Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,29.8,29.8,29.26,29.3134,837814,0
2016-06-16,15:40:00,29.3,29.7,29.27,29.51,439028,0
2016-06-16,15:45:00,29.5,29.63,29.48,29.53,297491,0
2016-06-16,15:50:00,29.53,29.535,29.39,29.43,410819,0
2016-06-16,15:55:00,29.43,29.53,29.33,29.4,310724,0
2016-06-16,16:00:00,29.39,29.4101,29.3,29.3099,172250,0
2016-06-16,16:05:00,29.3099,29.36,29.25,29.34,292627,0
2016-06-16,16:10:00,29.34,29.35,29.27,29.3,335021,0
2016-06-16,16:15:00,29.29,29.55,29.26,29.4638,479366,0
2016-06-16,16:20:00,29.46,29.5,29.37,29.49,272881,0
2016-06-16,16:25:00,29.49,29.51,29.385,29.45,280942,0
2016-06-16,16:30:00,29.45,29.46,29.35,29.35,226521,0
2016-06-16,16:35:00,29.36,29.37,29.2736,29.2736,217125,0
2016-06-16,16:40:00,29.27,29.32,29.25,29.26,198690,0
2016-06-16,16:45:00,29.26,29.35,29.21,29.225,297847,0
2016-06-16,16:50:00,29.23,29.28,29.225,29.24,144194,0
2016-06-16,16:55:00,29.235,29.27,29.2201,29.27,177982,0
2016-06-16,17:00:00,29.265,29.329,29.24,29.329,113733,0
2016-06-16,17:05:00,29.3237,29.3237,29.25,29.28,146721,0
2016-06-16,17:10:00,29.28,29.31,29.26,29.285,187297,0
2016-06-16,17:15:00,29.29,29.4093,29.28,29.3863,157995,0
2016-06-16,17:20:00,29.38,29.395,29.32,29.345,89686,0
2016-06-16,17:25:00,29.3467,29.399,29.345,29.38,136336,0
2016-06-16,17:30:00,29.37,29.4567,29.36,29.419,164870,0
2016-06-16,17:35:00,29.42,29.44,29.35,29.37,213065,0
2016-06-16,17:40:00,29.365,29.42,29.355,29.3963,124227,0
2016-06-16,17:45:00,29.39,29.405,29.34,29.35,127805,0
2016-06-16,17:50:00,29.355,29.3575,29.28,29.28,114480,0
2016-06-16,17:55:00,29.2878,29.2999,29.25,29.2542,120969,0
2016-06-16,18:00:00,29.26,29.26,29.16,29.19,231488,0
2016-06-16,18:05:00,29.19,29.2,29.12,29.14,192015,0
2016-06-16,18:10:00,29.14,29.14,29.0775,29.08,205542,0
2016-06-16,18:15:00,29.07,29.1,29.0201,29.04,347225,0
2016-06-16,18:20:00,29.045,29.15,29.02,29.15,153438,0
2016-06-16,18:25:00,29.155,29.22,29.13,29.2,203856,0
2016-06-16,18:30:00,29.2,29.27,29.18,29.1863,165511,0
2016-06-16,18:35:00,29.19,29.2,29.09,29.128,185804,0
2016-06-16,18:40:00,29.13,29.24,29.1263,29.22,105883,0
2016-06-16,18:45:00,29.21,29.3,29.19,29.3,124197,0
2016-06-16,18:50:00,29.2937,29.3,29.19,29.22,140725,0
2016-06-16,18:55:00,29.23,29.2467,29.1775,29.21,160515,0
2016-06-16,19:00:00,29.2062,29.2699,29.18,29.2699,135286,0
2016-06-16,19:05:00,29.27,29.34,29.27,29.29,147950,0
2016-06-16,19:10:00,29.3,29.349,29.29,29.349,87923,0
2016-06-16,19:15:00,29.35,29.36,29.3,29.335,100727,0
2016-06-16,19:20:00,29.3375,29.35,29.31,29.34,80201,0
2016-06-16,19:25:00,29.3359,29.355,29.2702,29.29,113656,0
2016-06-16,19:30:00,29.29,29.325,29.25,29.26,68726,0
2016-06-16,19:35:00,29.25,29.2993,29.175,29.23,148481,0
2016-06-16,19:40:00,29.225,29.25,29.2137,29.225,56492,0
2016-06-16,19:45:00,29.23,29.28,29.2275,29.255,52131,0
2016-06-16,19:50:00,29.25,29.255,29.17,29.1934,82357,0
2016-06-16,19:55:00,29.1901,29.2,29.1,29.13,151605,0
2016-06-16,20:00:00,29.13,29.17,29.1,29.13,111498,0
2016-06-16,20:05:00,29.13,29.175,29.12,29.16,85040,0
2016-06-16,20:10:00,29.165,29.175,29.11,29.16,100448,0
2016-06-16,20:15:00,29.155,29.25,29.15,29.1863,122720,0
2016-06-16,20:20:00,29.19,29.28,29.19,29.23,88645,0
2016-06-16,20:25:00,29.23,29.24,29.15,29.19,115213,0
2016-06-16,20:30:00,29.19,29.23,29.19,29.22,137139,0
2016-06-16,20:35:00,29.21,29.2499,29.19,29.2099,75233,0
2016-06-16,20:40:00,29.2,29.26,29.2,29.2139,77954,0
2016-06-16,20:45:00,29.21,29.22,29.16,29.19,88787,0
2016-06-16,20:50:00,29.189,29.23,29.15,29.23,107661,0
2016-06-16,20:55:00,29.23,29.32,29.21,29.32,137331,0
2016-06-16,21:00:00,29.32,29.35,29.27,29.3137,94277,0
2016-06-16,21:05:00,29.32,29.36,29.315,29.36,187167,0
2016-06-16,21:10:00,29.36,29.36,29.31,29.335,118574,0
2016-06-16,21:15:00,29.34,29.4,29.34,29.4,105388,0
2016-06-16,21:20:00,29.395,29.4,29.33,29.34,202937,0
2016-06-16,21:25:00,29.335,29.34,29.275,29.28,375297,0
2016-06-16,21:30:00,29.271,29.3067,29.23,29.23,206822,0
2016-06-16,21:35:00,29.2399,29.28,29.21,29.2492,267902,0
2016-06-16,21:40:00,29.26,29.26,29.19,29.2,219118,0
2016-06-16,21:45:00,29.2096,29.25,29.17,29.185,330523,0
2016-06-16,21:50:00,29.18,29.21,29.15,29.155,337652,0
2016-06-16,21:55:00,29.16,29.195,29.08,29.125,935169,0
2016-06-16,22:00:00,29.12,29.15,29.095,29.14,1913618,0
2016-06-17,15:35:00,29.1,29.12,28.85,28.93,1107694,0
2016-06-17,15:40:00,28.94,29.01,28.85,28.98,420491,0
2016-06-17,15:45:00,28.98,29.37,28.93,29.34,373148,0
2016-06-17,15:50:00,29.32,29.32,29.14,29.17,240933,0
2016-06-17,15:55:00,29.17,29.19,28.99,28.99,187195,0
2016-06-17,16:00:00,28.99,29.07,28.93,29.05,141291,0
2016-06-17,16:05:00,29.05,29.15,29.045,29.12,132668,0
2016-06-17,16:10:00,29.1256,29.22,29.125,29.2066,109201,0
2016-06-17,16:15:00,29.2,29.47,29.195,29.43,387515,0
2016-06-17,16:20:00,29.42,29.55,29.42,29.45,249580,0
2016-06-17,16:25:00,29.44,29.45,29.31,29.34,160038,0
2016-06-17,16:30:00,29.34,29.48,29.32,29.45,212664,0
2016-06-17,16:35:00,29.44,29.45,29.29,29.405,109961,0
2016-06-17,16:40:00,29.4029,29.495,29.38,29.4,85372,0
2016-06-17,16:45:00,29.4,29.43,29.355,29.41,144694,0
2016-06-17,16:50:00,29.41,29.42,29.365,29.37,70534,0
2016-06-17,16:55:00,29.36,29.41,29.345,29.3699,54587,0
2016-06-17,17:00:00,29.36,29.38,29.275,29.32,49379,0
2016-06-17,17:05:00,29.32,29.37,29.31,29.34,131394,0
2016-06-17,17:10:00,29.33,29.42,29.33,29.3842,56851,0
2016-06-17,17:15:00,29.385,29.41,29.3,29.33,63215,0
2016-06-17,17:20:00,29.34,29.35,29.26,29.34,70306,0
2016-06-17,17:25:00,29.3475,29.35,29.28,29.28,57341,0
2016-06-17,17:30:00,29.285,29.315,29.26,29.27,51660,0
2016-06-17,17:35:00,29.27,29.305,29.24,29.27,72804,0
2016-06-17,17:40:00,29.27,29.375,29.25,29.36,82493,0
2016-06-17,17:45:00,29.36,29.4,29.35,29.37,54132,0
2016-06-17,17:50:00,29.36,29.38,29.24,29.24,119558,0
2016-06-17,17:55:00,29.24,29.29,29.19,29.19,55001,0
2016-06-17,18:00:00,29.19,29.2,29.11,29.18,133019,0
2016-06-17,18:05:00,29.1733,29.21,29.15,29.2,73028,0
2016-06-17,18:10:00,29.1939,29.3,29.1834,29.295,50507,0
2016-06-17,18:15:00,29.29,29.3,29.24,29.27,50206,0
2016-06-17,18:20:00,29.275,29.29,29.21,29.26,51212,0
2016-06-17,18:25:00,29.26,29.28,29.24,29.25,41558,0
2016-06-17,18:30:00,29.25,29.3,29.25,29.3,53796,0
2016-06-17,18:35:00,29.295,29.3,29.26,29.26,60272,0
2016-06-17,18:40:00,29.26,29.3,29.25,29.26,37384,0
2016-06-17,18:45:00,29.26,29.31,29.255,29.31,50061,0
2016-06-17,18:50:00,29.305,29.34,29.25,29.26,52307,0
2016-06-17,18:55:00,29.26,29.28,29.24,29.27,90076,0
2016-06-17,19:00:00,29.26,29.28,29.215,29.25,43491,0
2016-06-17,19:05:00,29.2501,29.26,29.21,29.23,56210,0
2016-06-17,19:10:00,29.23,29.3,29.21,29.295,45387,0
2016-06-17,19:15:00,29.2901,29.3,29.25,29.27,59317,0
2016-06-17,19:20:00,29.27,29.27,29.23,29.25,45165,0
2016-06-17,19:25:00,29.26,29.29,29.255,29.26,51197,0
2016-06-17,19:30:00,29.255,29.3,29.22,29.22,81225,0
2016-06-17,19:35:00,29.22,29.255,29.21,29.24,47691,0
2016-06-17,19:40:00,29.24,29.2975,29.23,29.2975,41304,0
2016-06-17,19:45:00,29.29,29.33,29.27,29.325,64258,0
2016-06-17,19:50:00,29.33,29.33,29.27,29.29,45914,0
2016-06-17,19:55:00,29.2958,29.36,29.28,29.28,61872,0
2016-06-17,20:00:00,29.27,29.325,29.27,29.2899,46618,0
2016-06-17,20:05:00,29.2867,29.32,29.27,29.27,79402,0
2016-06-17,20:10:00,29.27,29.31,29.24,29.295,73180,0
2016-06-17,20:15:00,29.3,29.315,29.28,29.2858,55350,0
2016-06-17,20:20:00,29.2822,29.33,29.26,29.26,52808,0
2016-06-17,20:25:00,29.26,29.315,29.23,29.31,66834,0
2016-06-17,20:30:00,29.3,29.32,29.25,29.29,56335,0
2016-06-17,20:35:00,29.29,29.375,29.27,29.37,65640,0
2016-06-17,20:40:00,29.37,29.435,29.36,29.38,84119,0
2016-06-17,20:45:00,29.38,29.4,29.34,29.365,58179,0
2016-06-17,20:50:00,29.36,29.37,29.32,29.35,46557,0
2016-06-17,20:55:00,29.36,29.39,29.34,29.35,63542,0
2016-06-17,21:00:00,29.35,29.35,29.3,29.34,67673,0
2016-06-17,21:05:00,29.34,29.35,29.3,29.325,52130,0
2016-06-17,21:10:00,29.3233,29.325,29.24,29.255,137154,0
2016-06-17,21:15:00,29.26,29.2997,29.22,29.26,122558,0
2016-06-17,21:20:00,29.26,29.26,29.22,29.23,84996,0
2016-06-17,21:25:00,29.23,29.25,29.2,29.24,61631,0
2016-06-17,21:30:00,29.25,29.27,29.225,29.235,112984,0
2016-06-17,21:35:00,29.235,29.27,29.23,29.24,144617,0
2016-06-17,21:40:00,29.24,29.27,29.2375,29.245,139045,0
2016-06-17,21:45:00,29.2432,29.3,29.23,29.285,141096,0
2016-06-17,21:50:00,29.29,29.29,29.24,29.24,124070,0
2016-06-17,21:55:00,29.245,29.32,29.24,29.305,459873,0
2016-06-17,22:00:00,29.31,29.35,29.285,29.34,4350586,0
2016-06-20,15:35:00,29.75,30.03,29.73,29.865,520624,0
2016-06-20,15:40:00,29.87,30,29.81,29.97,244925,0
2016-06-20,15:45:00,29.97,30.09,29.93,30.05,239288,0
2016-06-20,15:50:00,30.0599,30.23,30.04,30.18,228464,0
2016-06-20,15:55:00,30.18,30.18,30.07,30.12,163672,0
2016-06-20,16:00:00,30.125,30.21,30.094,30.19,220459,0
2016-06-20,16:05:00,30.19,30.369,30.14,30.35,211937,0
2016-06-20,16:10:00,30.355,30.39,30.27,30.31,176660,0
2016-06-20,16:15:00,30.3,30.32,30.2133,30.2133,254315,0
2016-06-20,16:20:00,30.215,30.2575,30.132,30.2,185914,0
2016-06-20,16:25:00,30.21,30.235,30.19,30.205,72876,0
2016-06-20,16:30:00,30.205,30.24,30.18,30.21,125073,0
2016-06-20,16:35:00,30.205,30.24,30.18,30.185,118348,0
2016-06-20,16:40:00,30.19,30.2,30.11,30.13,97917,0
2016-06-20,16:45:00,30.13,30.23,30.13,30.195,107535,0
2016-06-20,16:50:00,30.2,30.24,30.18,30.185,97888,0
2016-06-20,16:55:00,30.18,30.225,30.17,30.195,76154,0
2016-06-20,17:00:00,30.2,30.23,30.1613,30.185,67782,0
2016-06-20,17:05:00,30.18,30.18,30.12,30.15,105601,0
2016-06-20,17:10:00,30.15,30.165,30.11,30.11,70135,0
2016-06-20,17:15:00,30.12,30.13,30.02,30.03,106784,0
