Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,33.38,33.708,33.38,33.708,713,0
2016-06-16,15:40:00,33.19,33.25,33.055,33.055,800,0
2016-06-16,15:50:00,32.995,32.995,32.84,32.99,3300,0
2016-06-16,15:55:00,33.02,33.02,33.02,33.02,400,0
2016-06-16,16:00:00,33,33.07,33,33.07,3800,0
2016-06-16,16:05:00,33.06,33.2,33.05,33.2,6530,0
2016-06-16,16:10:00,33.2,33.345,33.16,33.33,4300,0
2016-06-16,16:15:00,33.36,33.545,33.34,33.54,2100,0
2016-06-16,16:20:00,33.505,33.54,33.42,33.48,8400,0
2016-06-16,16:25:00,33.5,33.52,33.37,33.37,1900,0
2016-06-16,16:30:00,33.31,33.325,33.31,33.325,800,0
2016-06-16,16:35:00,33.29,33.3,33.16,33.16,1700,0
2016-06-16,16:40:00,33.18,33.225,33.16,33.16,2100,0
2016-06-16,16:45:00,33.185,33.185,33.14,33.15,433,0
2016-06-16,16:50:00,33.175,33.23,33.155,33.23,1500,0
2016-06-16,16:55:00,33.215,33.25,33.19,33.22,3100,0
2016-06-16,17:00:00,33.2369,33.32,33.2369,33.32,670,0
2016-06-16,17:05:00,33.33,33.41,33.31,33.38,4189,0
2016-06-16,17:10:00,33.35,33.43,33.33,33.395,1700,0
2016-06-16,17:15:00,33.4,33.47,33.4,33.47,1300,0
2016-06-16,17:20:00,33.455,33.48,33.39,33.41,2700,0
2016-06-16,17:25:00,33.42,33.49,33.42,33.48,1400,0
2016-06-16,17:30:00,33.49,33.76,33.49,33.76,4400,0
2016-06-16,17:35:00,33.745,33.745,33.54,33.54,2000,0
2016-06-16,17:40:00,33.52,33.55,33.48,33.485,2600,0
2016-06-16,17:45:00,33.47,33.49,33.46,33.46,1300,0
2016-06-16,17:50:00,33.44,33.44,33.35,33.37,3500,0
2016-06-16,17:55:00,33.385,33.41,33.34,33.3537,4900,0
2016-06-16,18:00:00,33.36,33.39,33.32,33.39,1600,0
2016-06-16,18:05:00,33.39,33.41,33.39,33.4,1800,0
2016-06-16,18:10:00,33.405,33.405,33.35,33.35,500,0
2016-06-16,18:15:00,33.35,33.36,33.33,33.35,1000,0
2016-06-16,18:20:00,33.38,33.47,33.37,33.435,7500,0
2016-06-16,18:25:00,33.43,33.54,33.3905,33.5,8600,0
2016-06-16,18:30:00,33.5,33.53,33.39,33.455,12719,0
2016-06-16,18:35:00,33.4556,33.47,33.35,33.35,10004,0
2016-06-16,18:40:00,33.38,33.42,33.31,33.348,29958,0
2016-06-16,18:45:00,33.35,33.39,33.35,33.36,4793,0
2016-06-16,18:50:00,33.35,33.365,33.307,33.33,6217,0
2016-06-16,18:55:00,33.33,33.33,33.33,33.33,600,0
2016-06-16,19:00:00,33.36,33.37,33.33,33.345,2500,0
2016-06-16,19:05:00,33.36,33.39,33.335,33.36,6095,0
2016-06-16,19:10:00,33.37,33.51,33.36,33.48,7750,0
2016-06-16,19:15:00,33.485,33.4895,33.4,33.4,4245,0
2016-06-16,19:20:00,33.435,33.52,33.435,33.49,8300,0
2016-06-16,19:25:00,33.49,33.49,33.42,33.42,3386,0
2016-06-16,19:30:00,33.42,33.42,33.39,33.39,700,0
2016-06-16,19:35:00,33.37,33.41,33.35,33.35,2156,0
2016-06-16,19:40:00,33.34,33.4,33.34,33.4,3305,0
2016-06-16,19:45:00,33.38,33.38,33.38,33.38,400,0
2016-06-16,19:50:00,33.41,33.41,33.37,33.37,1500,0
2016-06-16,19:55:00,33.38,33.4,33.3501,33.4,2165,0
2016-06-16,20:00:00,33.385,33.42,33.36,33.36,1700,0
2016-06-16,20:05:00,33.39,33.42,33.38,33.405,1400,0
2016-06-16,20:10:00,33.42,33.45,33.37,33.38,2016,0
2016-06-16,20:15:00,33.38,33.48,33.38,33.43,2900,0
2016-06-16,20:20:00,33.45,33.5,33.44,33.49,7151,0
2016-06-16,20:25:00,33.48,33.48,33.41,33.45,2404,0
