Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,58.13,58.3,57.48,57.48,32455,0
2016-06-16,15:40:00,57.49,57.49,57.08,57.33,20843,0
2016-06-16,15:45:00,57.335,57.77,57.335,57.71,11350,0
2016-06-16,15:50:00,57.77,57.77,57.52,57.6,7271,0
2016-06-16,15:55:00,57.59,57.64,57.48,57.58,3300,0
2016-06-16,16:00:00,57.52,57.52,57.345,57.46,3600,0
2016-06-16,16:05:00,57.4,57.435,57.25,57.32,21100,0
2016-06-16,16:10:00,57.37,57.37,57.25,57.34,8094,0
2016-06-16,16:15:00,57.39,57.42,57.26,57.32,23506,0
2016-06-16,16:20:00,57.37,57.41,57.29,57.39,8900,0
2016-06-16,16:25:00,57.35,57.36,57.14,57.3,64664,0
2016-06-16,16:30:00,57.31,57.4545,57.31,57.38,4900,0
2016-06-16,16:35:00,57.31,57.31,57.11,57.14,4100,0
2016-06-16,16:40:00,57.16,57.2,56.91,56.92,3280,0
2016-06-16,16:45:00,56.86,56.9,56.81,56.81,2383,0
2016-06-16,16:50:00,56.85,56.9,56.77,56.77,9516,0
2016-06-16,16:55:00,56.745,56.8,56.66,56.77,5093,0
2016-06-16,17:00:00,56.81,56.92,56.81,56.92,5600,0
2016-06-16,17:05:00,56.92,56.99,56.77,56.85,19990,0
2016-06-16,17:10:00,56.83,56.87,56.7,56.74,10741,0
2016-06-16,17:15:00,56.7,56.79,56.69,56.775,6252,0
2016-06-16,17:20:00,56.775,56.93,56.76,56.9,11841,0
2016-06-16,17:25:00,56.92,56.925,56.76,56.82,6000,0
2016-06-16,17:30:00,56.8101,57.03,56.8,57,6414,0
2016-06-16,17:35:00,56.99,57.02,56.88,57.01,3400,0
2016-06-16,17:40:00,57,57.05,56.95,56.99,4106,0
2016-06-16,17:45:00,57,57.01,56.96,56.98,3100,0
2016-06-16,17:50:00,56.95,57.04,56.92,57.01,2800,0
2016-06-16,17:55:00,57.03,57.03,56.89,57,4500,0
2016-06-16,18:00:00,57.03,57.1,56.92,57.095,56851,0
2016-06-16,18:05:00,57.12,57.44,57.12,57.44,7685,0
2016-06-16,18:10:00,57.44,57.64,57.42,57.64,30900,0
2016-06-16,18:15:00,57.65,57.69,57.5,57.56,3600,0
2016-06-16,18:20:00,57.61,57.67,57.495,57.67,3200,0
2016-06-16,18:25:00,57.67,57.78,57.55,57.74,2730,0
2016-06-16,18:30:00,57.78,57.81,57.63,57.685,4300,0
2016-06-16,18:35:00,57.71,57.71,57.48,57.53,2000,0
2016-06-16,18:40:00,57.57,57.72,57.54,57.72,2285,0
2016-06-16,18:45:00,57.74,57.8,57.62,57.8,2700,0
2016-06-16,18:50:00,57.79,57.81,57.67,57.69,4900,0
2016-06-16,18:55:00,57.67,57.67,57.55,57.55,3200,0
2016-06-16,19:00:00,57.6,57.66,57.54,57.64,2000,0
2016-06-16,19:05:00,57.7,57.96,57.7,57.96,4800,0
2016-06-16,19:10:00,57.91,58.04,57.88,58.04,14707,0
2016-06-16,19:15:00,58.108,58.13,57.97,57.97,5200,0
2016-06-16,19:20:00,57.98,58.02,57.9,57.97,5800,0
2016-06-16,19:25:00,57.965,58.1,57.95,58.1,2000,0
2016-06-16,19:30:00,58.09,58.22,58.04,58.18,19012,0
2016-06-16,19:35:00,58.19,58.21,58.09,58.16,6500,0
2016-06-16,19:40:00,58.15,58.28,58.13,58.13,3100,0
2016-06-16,19:45:00,58.13,58.18,58.075,58.075,3300,0
2016-06-16,19:50:00,58.07,58.07,57.88,57.935,2785,0
2016-06-16,19:55:00,57.93,57.99,57.89,57.99,7600,0
2016-06-16,20:00:00,57.98,58.01,57.925,58.01,6800,0
2016-06-16,20:05:00,57.99,58.08,57.99,58.04,1800,0
2016-06-16,20:10:00,58.11,58.16,58.03,58.05,4654,0
2016-06-16,20:15:00,58.13,58.22,58.11,58.15,4700,0
2016-06-16,20:20:00,58.16,58.37,58.16,58.37,3600,0
2016-06-16,20:25:00,58.3675,58.4,58.29,58.35,2900,0
2016-06-16,20:30:00,58.36,58.36,58.09,58.2,4125,0
2016-06-16,20:35:00,58.19,58.29,58.19,58.19,1900,0
2016-06-16,20:40:00,58.16,58.3,58.16,58.25,2800,0
2016-06-16,20:45:00,58.23,58.35,58.23,58.29,8100,0
2016-06-16,20:50:00,58.29,58.29,58.23,58.28,3319,0
2016-06-16,20:55:00,58.27,58.33,58.24,58.31,1800,0
2016-06-16,21:00:00,58.27,58.29,58.2,58.27,4000,0
2016-06-16,21:05:00,58.24,58.41,58.24,58.37,6474,0
2016-06-16,21:10:00,58.39,58.39,58.31,58.32,7100,0
2016-06-16,21:15:00,58.33,58.42,58.3,58.42,3700,0
2016-06-16,21:20:00,58.38,58.42,58.3382,58.36,4824,0
2016-06-16,21:25:00,58.34,58.38,58.31,58.34,8700,0
2016-06-16,21:30:00,58.32,58.525,58.32,58.48,5904,0
2016-06-16,21:35:00,58.48,58.56,58.48,58.53,9001,0
2016-06-16,21:40:00,58.54,58.57,58.5,58.56,10100,0
2016-06-16,21:45:00,58.56,58.6,58.51,58.53,10812,0
2016-06-16,21:50:00,58.52,58.55,58.4,58.52,27334,0
2016-06-16,21:55:00,58.52,58.55,58.47,58.48,34153,0
2016-06-16,22:00:00,58.48,58.61,58.48,58.58,40367,0
2016-06-17,15:35:00,58.26,58.79,58.19,58.62,13505,0
2016-06-17,15:40:00,58.535,58.59,58.31,58.42,5000,0
2016-06-17,15:45:00,58.44,58.8,58.44,58.68,4500,0
2016-06-17,15:50:00,58.71,58.86,58.56,58.86,5500,0
2016-06-17,15:55:00,58.79,58.99,58.77,58.93,3700,0
2016-06-17,16:00:00,58.92,59.02,58.85,58.89,6487,0
2016-06-17,16:05:00,58.96,59.28,58.87,59.28,28960,0
2016-06-17,16:10:00,59.24,59.29,58.96,59.01,4400,0
2016-06-17,16:15:00,58.96,59.04,58.92,58.96,6100,0
2016-06-17,16:20:00,58.96,59.11,58.87,59.09,8700,0
2016-06-17,16:25:00,59.11,59.12,59.01,59.12,7850,0
2016-06-17,16:30:00,59.08,59.12,58.76,58.76,12170,0
2016-06-17,16:35:00,58.73,58.79,58.6,58.79,2900,0
2016-06-17,16:40:00,58.74,58.74,58.63,58.65,1400,0
2016-06-17,16:45:00,58.73,58.73,58.56,58.61,2200,0
2016-06-17,16:50:00,58.65,58.8,58.65,58.665,5200,0
2016-06-17,16:55:00,58.72,58.74,58.61,58.61,2800,0
2016-06-17,17:00:00,58.6,58.72,58.44,58.47,5363,0
2016-06-17,17:05:00,58.4,58.4,57.96,57.96,7600,0
2016-06-17,17:10:00,57.96,58.02,57.85,57.92,8775,0
2016-06-17,17:15:00,57.92,58.01,57.9,57.9,8000,0
2016-06-17,17:20:00,57.9,57.98,57.76,57.77,8402,0
2016-06-17,17:25:00,57.8,57.84,57.57,57.59,7500,0
2016-06-17,17:30:00,57.59,57.59,57.37,57.37,8500,0
2016-06-17,17:35:00,57.33,57.51,57.33,57.47,8701,0
2016-06-17,17:40:00,57.44,57.47,57.32,57.435,7200,0
2016-06-17,17:45:00,57.44,57.56,57.43,57.48,10961,0
2016-06-17,17:50:00,57.47,57.48,57.39,57.39,4700,0
2016-06-17,17:55:00,57.39,57.48,57.37,57.48,24800,0
2016-06-17,18:00:00,57.47,57.47,57.38,57.42,5133,0
2016-06-17,18:05:00,57.36,57.55,57.35,57.45,19161,0
