Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,25.93,26.27,25.93,26.04,4028,0
2016-06-16,15:40:00,25.96,25.96,25.57,25.57,1485,0
2016-06-16,15:45:00,25.749,25.749,25.749,25.749,100,0
2016-06-16,15:50:00,25.57,25.91,25.57,25.9,5603,0
2016-06-16,15:55:00,25.9,25.91,25.83,25.83,1600,0
2016-06-16,16:00:00,25.78,25.8199,25.77,25.77,1792,0
2016-06-16,16:05:00,25.74,25.82,25.74,25.82,600,0
2016-06-16,16:10:00,25.86,25.86,25.66,25.66,4614,0
2016-06-16,16:15:00,25.75,25.78,25.74,25.7625,1100,0
2016-06-16,16:20:00,25.75,25.75,25.715,25.75,1200,0
2016-06-16,16:25:00,25.74,25.74,25.62,25.6575,1372,0
2016-06-16,16:30:00,25.67,25.75,25.67,25.75,200,0
2016-06-16,16:35:00,25.74,25.74,25.71,25.73,1500,0
2016-06-16,16:40:00,25.7,25.71,25.62,25.64,1000,0
2016-06-16,16:45:00,25.66,25.69,25.62,25.64,1660,0
2016-06-16,16:50:00,25.62,25.69,25.59,25.67,2345,0
2016-06-16,16:55:00,25.62,25.71,25.62,25.71,700,0
2016-06-16,17:00:00,25.75,25.755,25.73,25.75,500,0
2016-06-16,17:05:00,25.76,25.76,25.67,25.69,1600,0
2016-06-16,17:10:00,25.66,25.71,25.66,25.71,1100,0
2016-06-16,17:15:00,25.68,25.73,25.65,25.73,900,0
2016-06-16,17:20:00,25.76,25.76,25.68,25.68,600,0
2016-06-16,17:25:00,25.71,25.77,25.71,25.77,1000,0
2016-06-16,17:30:00,25.7525,25.8,25.74,25.8,4918,0
2016-06-16,17:35:00,25.8,25.8,25.74,25.75,1100,0
2016-06-16,17:40:00,25.74,25.74,25.74,25.74,200,0
2016-06-16,17:45:00,25.74,25.74,25.715,25.74,600,0
2016-06-16,17:50:00,25.7,25.74,25.7,25.74,500,0
2016-06-16,17:55:00,25.71,25.73,25.68,25.73,2500,0
2016-06-16,18:00:00,25.66,25.66,25.64,25.66,1000,0
2016-06-16,18:05:00,25.66,25.7,25.66,25.7,800,0
2016-06-16,18:10:00,25.68,25.68,25.63,25.63,400,0
2016-06-16,18:15:00,25.66,25.66,25.63,25.65,600,0
2016-06-16,18:20:00,25.67,25.68,25.67,25.68,300,0
2016-06-16,18:25:00,25.68,25.71,25.66,25.705,2900,0
2016-06-16,18:30:00,25.74,25.75,25.72,25.72,1120,0
2016-06-16,18:35:00,25.69,25.69,25.64,25.64,400,0
2016-06-16,18:40:00,25.61,25.62,25.595,25.6,1300,0
2016-06-16,18:45:00,25.66,25.68,25.63,25.675,5978,0
2016-06-16,18:50:00,25.68,25.68,25.59,25.59,2300,0
2016-06-16,18:55:00,25.6,25.61,25.6,25.61,200,0
2016-06-16,19:05:00,25.69,25.71,25.675,25.71,1100,0
2016-06-16,19:10:00,25.7,25.7,25.66,25.68,1100,0
2016-06-16,19:15:00,25.68,25.68,25.67,25.68,300,0
2016-06-16,19:20:00,25.65,25.67,25.6,25.62,400,0
2016-06-16,19:25:00,25.69,25.71,25.69,25.71,2300,0
2016-06-16,19:30:00,25.71,25.72,25.68,25.68,600,0
2016-06-16,19:35:00,25.67,25.67,25.66,25.66,500,0
2016-06-16,19:40:00,25.68,25.74,25.6501,25.6501,4254,0
2016-06-16,19:45:00,25.65,25.66,25.6,25.6,1400,0
2016-06-16,19:50:00,25.6,25.62,25.5233,25.56,2450,0
2016-06-16,19:55:00,25.53,25.54,25.4928,25.4928,3282,0
2016-06-16,20:00:00,25.53,25.535,25.52,25.52,500,0
2016-06-16,20:05:00,25.51,25.6,25.51,25.57,2760,0
2016-06-16,20:10:00,25.57,25.6,25.57,25.6,600,0
2016-06-16,20:15:00,25.6,25.63,25.59,25.6,6129,0
2016-06-16,20:20:00,25.6,25.7,25.6,25.7,3300,0
2016-06-16,20:25:00,25.71,25.71,25.65,25.65,1800,0
2016-06-16,20:30:00,25.63,25.66,25.59,25.6,1700,0
2016-06-16,20:35:00,25.61,25.6224,25.58,25.62,817,0
