Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-10-28,14:50:00,1.7293,1.75,1.72,1.75,9373,0
2015-10-28,14:55:00,1.86,1.87,1.86,1.87,200,0
2015-10-28,15:00:00,1.87,1.87,1.87,1.87,100,0
2015-10-28,15:05:00,1.87,1.87,1.87,1.87,100,0
2015-10-28,15:35:00,1.8144,1.8144,1.8144,1.8144,300,0
2015-10-28,15:40:00,1.86,1.86,1.86,1.86,100,0
2015-10-28,15:45:00,1.87,1.87,1.87,1.87,200,0
2015-10-28,20:00:00,1.8299,1.8299,1.75,1.75,3600,0
2015-10-28,20:10:00,1.75,1.75,1.75,1.75,1800,0
2015-10-28,20:55:00,1.77,1.77,1.76,1.76,300,0
2015-10-28,21:00:00,1.77,1.77,1.75,1.75,1100,0
2015-10-30,14:35:00,1.89,1.89,1.89,1.89,952,0
2015-10-30,15:00:00,1.88,1.92,1.875,1.875,1818,0
2015-10-30,15:35:00,1.9,1.9,1.9,1.9,200,0
2015-10-30,18:00:00,1.83,1.83,1.83,1.83,100,0
2015-10-30,18:15:00,1.84,1.84,1.84,1.84,100,0
2015-10-30,19:45:00,1.8209,1.8209,1.8209,1.8209,179,0
2015-10-30,20:15:00,1.8201,1.8201,1.8201,1.8201,1000,0
2015-10-30,20:30:00,1.82,1.82,1.75,1.75,4900,0
2015-11-02,15:50:00,1.8499,1.8499,1.7901,1.7901,1806,0
2015-11-02,16:20:00,1.82,1.82,1.82,1.82,703,0
2015-11-02,19:10:00,1.8142,1.8142,1.81,1.81,700,0
2015-11-02,19:40:00,1.81,1.81,1.81,1.81,500,0
2015-11-04,16:45:00,1.794,1.794,1.794,1.794,500,0
2015-11-04,17:25:00,1.83,1.83,1.82,1.82,2200,0
2015-11-04,17:30:00,1.8401,1.85,1.8401,1.85,325,0
2015-11-04,18:35:00,1.8401,1.85,1.8401,1.85,1101,0
2015-11-04,21:25:00,1.85,1.8501,1.85,1.8501,407,0
2015-11-04,21:55:00,1.84,1.84,1.84,1.84,100,0
2015-11-05,15:35:00,1.81,1.81,1.81,1.81,649,0
2015-11-05,16:45:00,1.8,1.84,1.78,1.78,3500,0
2015-11-05,18:40:00,1.7832,1.7832,1.7832,1.7832,1200,0
2015-11-05,18:45:00,1.78,1.78,1.78,1.78,100,0
2015-11-05,21:15:00,1.7701,1.7701,1.7701,1.7701,100,0
2015-11-05,21:25:00,1.77,1.77,1.77,1.77,200,0
2015-11-05,21:30:00,1.77,1.77,1.77,1.77,100,0
2015-11-06,15:50:00,1.802,1.802,1.802,1.802,500,0
2015-11-06,16:35:00,1.84,1.84,1.77,1.77,4300,0
2015-11-06,16:50:00,1.8,1.8,1.8,1.8,300,0
2015-11-06,22:00:00,1.82,1.82,1.81,1.81,200,0
2015-11-09,15:35:00,1.78,1.78,1.78,1.78,462,0
2015-11-09,15:40:00,1.85,1.85,1.85,1.85,100,0
2015-11-09,15:45:00,1.85,1.85,1.85,1.85,200,0
2015-11-09,16:25:00,1.9,1.9,1.9,1.9,100,0
2015-11-09,16:45:00,1.8601,1.8601,1.86,1.86,770,0
2015-11-09,17:30:00,1.88,1.88,1.88,1.88,200,0
2015-11-09,18:05:00,1.86,1.8601,1.84,1.84,5000,0
2015-11-09,18:10:00,1.82,1.82,1.82,1.82,100,0
2015-11-09,19:30:00,1.85,1.85,1.85,1.85,300,0
2015-11-09,20:30:00,1.8501,1.8501,1.8501,1.8501,106,0
2015-11-09,21:40:00,1.8588,1.8588,1.8588,1.8588,600,0
2015-11-09,21:55:00,1.88,1.88,1.88,1.88,200,0
2015-11-10,16:15:00,1.8701,1.92,1.87,1.87,1475,0
2015-11-10,16:20:00,1.87,1.87,1.85,1.85,10100,0
2015-11-10,16:55:00,1.83,1.83,1.83,1.83,100,0
2015-11-10,17:40:00,1.82,1.82,1.82,1.82,100,0
2015-11-10,19:10:00,1.819,1.819,1.819,1.819,700,0
2015-11-10,21:55:00,1.85,1.85,1.85,1.85,100,0
2015-11-11,15:35:00,1.81,1.91,1.8,1.91,5400,0
2015-11-11,15:55:00,1.8651,1.8651,1.78,1.78,1100,0
2015-11-11,16:05:00,1.81,1.81,1.8,1.8,800,0
2015-11-11,16:10:00,1.82,1.87,1.8,1.8,6200,0
2015-11-11,16:40:00,1.871,1.871,1.8,1.8,2100,0
2015-11-11,18:35:00,1.8,1.81,1.77,1.77,3400,0
2015-11-11,18:55:00,1.77,1.77,1.74,1.74,500,0
2015-11-11,19:00:00,1.8,1.8,1.75,1.75,1200,0
2015-11-11,20:40:00,1.76,1.76,1.75,1.75,1600,0
2015-11-11,22:00:00,1.75,1.75,1.75,1.75,200,0
2015-11-12,15:35:00,1.73,1.87,1.73,1.87,400,0
2015-11-12,16:05:00,1.87,1.87,1.87,1.87,200,0
2015-11-12,17:05:00,1.77,1.77,1.77,1.77,200,0
2015-11-12,17:10:00,1.86,1.86,1.86,1.86,100,0
2015-11-12,17:20:00,1.85,1.85,1.85,1.85,100,0
2015-11-12,17:55:00,1.86,1.86,1.77,1.77,500,0
2015-11-12,18:55:00,1.8,1.8,1.8,1.8,200,0
2015-11-12,19:00:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,19:10:00,1.8,1.8,1.8,1.8,200,0
2015-11-12,19:20:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,19:30:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,19:45:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,19:55:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,20:05:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,20:15:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,20:25:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,20:35:00,1.8,1.85,1.8,1.8,300,0
2015-11-12,21:15:00,1.86,1.86,1.86,1.86,100,0
2015-11-12,21:35:00,1.87,1.87,1.87,1.87,500,0
2015-11-12,21:45:00,1.8,1.8,1.8,1.8,100,0
2015-11-12,22:00:00,1.83,1.83,1.8,1.83,400,0
2015-11-13,15:55:00,1.9,1.9,1.9,1.9,600,0
2015-11-13,16:00:00,1.8268,1.8268,1.81,1.81,200,0
2015-11-13,17:35:00,1.8,1.8,1.8,1.8,100,0
2015-11-13,18:05:00,1.8224,1.8224,1.8224,1.8224,1000,0
2015-11-13,18:30:00,1.87,1.87,1.87,1.87,200,0
2015-11-13,21:20:00,1.854,1.854,1.854,1.854,163,0
2015-11-13,21:55:00,1.85,1.88,1.85,1.88,300,0
2015-11-16,15:35:00,1.91,1.92,1.91,1.92,255,0
2015-11-16,16:10:00,1.92,1.92,1.92,1.92,200,0
2015-11-16,17:05:00,1.9299,1.9299,1.9299,1.9299,500,0
2015-11-16,17:25:00,1.93,1.93,1.93,1.93,185,0
2015-11-16,18:45:00,1.92,1.92,1.92,1.92,100,0
2015-11-16,18:55:00,1.9376,1.9376,1.9376,1.9376,600,0
2015-11-16,19:00:00,1.94,1.94,1.94,1.94,600,0
2015-11-16,19:20:00,1.96,1.96,1.96,1.96,571,0
2015-11-16,19:25:00,1.9599,1.96,1.94,1.94,11398,0
2015-11-16,20:00:00,1.96,1.96,1.96,1.96,4000,0
2015-11-16,20:10:00,1.95,1.95,1.95,1.95,100,0
2015-11-16,20:50:00,1.96,1.9604,1.95,1.95,3498,0
2015-11-16,20:55:00,1.95,1.95,1.95,1.95,100,0
2015-11-16,21:35:00,1.96,1.96,1.95,1.95,1100,0
2015-11-16,21:50:00,1.9589,1.96,1.9589,1.96,200,0
