Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,56.51,56.51,56.4,56.41,12964,0
2016-06-16,15:40:00,56.4,56.54,56.3,56.34,15861,0
2016-06-16,15:45:00,56.29,56.39,56.27,56.33,7296,0
2016-06-16,15:50:00,56.3,56.35,56.2588,56.32,5878,0
2016-06-16,15:55:00,56.33,56.33,56.23,56.23,16505,0
2016-06-16,16:00:00,56.25,56.25,56.12,56.16,10843,0
2016-06-16,16:05:00,56.18,56.224,56.09,56.22,7207,0
2016-06-16,16:10:00,56.19,56.23,56.18,56.23,4987,0
2016-06-16,16:15:00,56.22,56.27,56.2,56.2499,6102,0
2016-06-16,16:20:00,56.25,56.26,56.15,56.15,11670,0
2016-06-16,16:25:00,56.13,56.15,56.06,56.07,6635,0
2016-06-16,16:30:00,56.08,56.0998,56.03,56.04,6040,0
2016-06-16,16:35:00,56.05,56.07,55.96,55.96,10536,0
2016-06-16,16:40:00,55.94,55.99,55.9001,55.9001,10704,0
2016-06-16,16:45:00,55.91,56.03,55.91,55.98,6800,0
2016-06-16,16:50:00,55.99,56.03,55.98,56.01,5273,0
2016-06-16,16:55:00,55.98,56.0099,55.905,55.98,10506,0
2016-06-16,17:00:00,55.98,56.02,55.98,56,7905,0
2016-06-16,17:05:00,56.02,56.05,55.99,56,6512,0
2016-06-16,17:10:00,56.01,56.01,55.96,55.98,7013,0
2016-06-16,17:15:00,55.98,56.08,55.97,56.08,4180,0
2016-06-16,17:20:00,56.05,56.06,55.98,55.99,4900,0
2016-06-16,17:25:00,56.01,56.01,55.95,56,5200,0
2016-06-16,17:30:00,56.0019,56.11,55.99,56.1,5668,0
2016-06-16,17:35:00,56.12,56.15,56.05,56.06,4400,0
2016-06-16,17:40:00,56.06,56.0999,56.05,56.07,3200,0
2016-06-16,17:45:00,56.07,56.07,56.01,56.02,6970,0
2016-06-16,17:50:00,56.02,56.02,55.95,56,7962,0
2016-06-16,17:55:00,55.99,56.02,55.96,56,4399,0
2016-06-16,18:00:00,55.99,55.99,55.93,55.98,7750,0
2016-06-16,18:05:00,55.99,56.05,55.96,56.05,8883,0
