Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,11.79,11.93,11.79,11.9,4838,0
2016-06-16,15:40:00,11.87,11.87,11.6,11.6,3050,0
2016-06-16,15:45:00,11.58,11.64,11.56,11.64,1000,0
2016-06-16,15:50:00,11.55,11.69,11.55,11.66,2101,0
2016-06-16,15:55:00,11.68,11.68,11.57,11.57,2300,0
2016-06-16,16:00:00,11.6,11.67,11.52,11.57,1300,0
2016-06-16,16:05:00,11.58,11.65,11.57,11.65,2654,0
2016-06-16,16:10:00,11.62,11.68,11.61,11.635,900,0
2016-06-16,16:15:00,11.68,11.68,11.52,11.54,45811,0
2016-06-16,16:20:00,11.54,11.69,11.5001,11.69,2800,0
2016-06-16,16:25:00,11.7,11.71,11.48,11.51,13886,0
2016-06-16,16:30:00,11.54,11.65,11.54,11.59,3700,0
2016-06-16,16:35:00,11.545,11.55,11.52,11.53,1400,0
2016-06-16,16:40:00,11.51,11.515,11.49,11.5,2874,0
2016-06-16,16:45:00,11.48,11.56,11.48,11.5,3010,0
2016-06-16,16:50:00,11.55,11.59,11.55,11.59,500,0
2016-06-16,16:55:00,11.54,11.58,11.53,11.58,900,0
2016-06-16,17:00:00,11.56,11.64,11.56,11.62,6334,0
2016-06-16,17:05:00,11.61,11.61,11.61,11.61,500,0
2016-06-16,17:10:00,11.64,11.64,11.6,11.62,3882,0
2016-06-16,17:15:00,11.62,11.64,11.53,11.56,5700,0
2016-06-16,17:20:00,11.55,11.57,11.53,11.57,1800,0
2016-06-16,17:25:00,11.6,11.61,11.57,11.595,3262,0
2016-06-16,17:30:00,11.58,11.62,11.53,11.62,6116,0
2016-06-16,17:35:00,11.62,11.62,11.585,11.59,2278,0
2016-06-16,17:40:00,11.57,11.57,11.57,11.57,100,0
2016-06-16,17:45:00,11.6,11.61,11.5601,11.6,1900,0
2016-06-16,17:50:00,11.6,11.62,11.6,11.62,1675,0
2016-06-16,17:55:00,11.62,11.62,11.59,11.6,8296,0
2016-06-16,18:00:00,11.59,11.61,11.59,11.59,1200,0
2016-06-16,18:05:00,11.62,11.62,11.62,11.62,300,0
2016-06-16,18:10:00,11.62,11.62,11.61,11.61,300,0
