Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,8.24,8.25,8.16,8.16,13178,0
2016-06-16,15:40:00,8.1,8.105,8.0529,8.09,3100,0
2016-06-16,15:45:00,8.06,8.07,8.04,8.05,1900,0
2016-06-16,15:50:00,8.03,8.2,8.03,8.18,14708,0
2016-06-16,15:55:00,8.18,8.18,8.1,8.1,8725,0
2016-06-16,16:00:00,8.09,8.12,8.0739,8.12,14402,0
2016-06-16,16:05:00,8.1199,8.14,8.07,8.14,9040,0
2016-06-16,16:10:00,8.14,8.14,8.07,8.1,3906,0
2016-06-16,16:15:00,8.1063,8.12,8.07,8.12,2987,0
2016-06-16,16:20:00,8.13,8.17,8.09,8.17,5100,0
2016-06-16,16:25:00,8.16,8.165,8.05,8.08,12708,0
2016-06-16,16:30:00,8.08,8.14,8.06,8.09,6392,0
2016-06-16,16:35:00,8.1,8.12,8.04,8.0497,7350,0
2016-06-16,16:40:00,8.05,8.06,8.02,8.02,5450,0
2016-06-16,16:45:00,8.023,8.05,8.01,8.04,9010,0
2016-06-16,16:50:00,8.037,8.045,8,8.0299,9220,0
2016-06-16,16:55:00,8.02,8.03,8.01,8.02,1700,0
2016-06-16,17:00:00,8.03,8.04,8.02,8.025,14364,0
2016-06-16,17:05:00,8.02,8.03,8,8.03,6200,0
2016-06-16,17:10:00,8.02,8.02,8.005,8.02,5305,0
2016-06-16,17:15:00,8.01,8.03,8,8.03,10800,0
2016-06-16,17:20:00,8.03,8.06,8.02,8.06,4240,0
2016-06-16,17:25:00,8.06,8.14,8.05,8.14,5000,0
2016-06-16,17:30:00,8.13,8.17,8.13,8.17,4400,0
2016-06-16,17:35:00,8.16,8.175,8.13,8.13,5389,0
2016-06-16,17:40:00,8.13,8.13,8.13,8.13,1500,0
2016-06-16,17:50:00,8.1163,8.16,8.11,8.16,5200,0
2016-06-16,17:55:00,8.16,8.16,8.14,8.14,3500,0
2016-06-16,18:00:00,8.14,8.14,8.12,8.14,900,0
2016-06-16,18:05:00,8.135,8.15,8.11,8.14,3600,0
2016-06-16,18:10:00,8.1435,8.18,8.1435,8.18,2900,0
2016-06-16,18:15:00,8.18,8.19,8.16,8.17,5070,0
2016-06-16,18:20:00,8.1701,8.18,8.16,8.18,5250,0
2016-06-16,18:25:00,8.19,8.19,8.16,8.18,4900,0
2016-06-16,18:30:00,8.19,8.19,8.1701,8.18,1600,0
2016-06-16,18:35:00,8.18,8.18,8.15,8.15,1900,0
2016-06-16,18:40:00,8.15,8.18,8.15,8.18,1200,0
2016-06-16,18:45:00,8.18,8.19,8.18,8.19,1400,0
2016-06-16,18:50:00,8.2,8.22,8.2,8.2,4125,0
2016-06-16,18:55:00,8.21,8.21,8.19,8.2,3704,0
2016-06-16,19:00:00,8.2,8.23,8.2,8.23,1400,0
2016-06-16,19:05:00,8.24,8.32,8.24,8.3,5000,0
2016-06-16,19:10:00,8.3,8.3075,8.25,8.26,5160,0
2016-06-16,19:15:00,8.27,8.3,8.26,8.26,9096,0
2016-06-16,19:20:00,8.26,8.2818,8.24,8.2818,3828,0
2016-06-16,19:25:00,8.29,8.38,8.2837,8.37,12086,0
2016-06-16,19:30:00,8.38,8.395,8.34,8.345,9169,0
2016-06-16,19:35:00,8.33,8.35,8.285,8.29,10815,0
2016-06-16,19:40:00,8.3,8.33,8.3,8.32,1900,0
2016-06-16,19:45:00,8.32,8.33,8.305,8.31,3600,0
2016-06-16,19:50:00,8.31,8.32,8.29,8.29,3300,0
2016-06-16,19:55:00,8.29,8.29,8.27,8.29,3236,0
2016-06-16,20:00:00,8.3,8.31,8.29,8.305,4850,0
2016-06-16,20:05:00,8.305,8.35,8.305,8.35,1300,0
2016-06-16,20:10:00,8.36,8.37,8.3499,8.35,5250,0
2016-06-16,20:15:00,8.35,8.375,8.35,8.365,3400,0
2016-06-16,20:20:00,8.36,8.41,8.36,8.4,3050,0
2016-06-16,20:25:00,8.39,8.395,8.38,8.39,2400,0
2016-06-16,20:30:00,8.39,8.4,8.34,8.34,6250,0
2016-06-16,20:35:00,8.34,8.35,8.31,8.31,6600,0
2016-06-16,20:40:00,8.32,8.34,8.32,8.32,3159,0
2016-06-16,20:45:00,8.33,8.355,8.33,8.35,3265,0
2016-06-16,20:50:00,8.35,8.39,8.35,8.39,8424,0
2016-06-16,20:55:00,8.39,8.41,8.39,8.41,2700,0
2016-06-16,21:00:00,8.415,8.425,8.3999,8.41,4200,0
2016-06-16,21:05:00,8.41,8.415,8.395,8.41,5436,0
2016-06-16,21:10:00,8.41,8.41,8.38,8.395,2742,0
2016-06-16,21:15:00,8.39,8.4,8.375,8.375,8000,0
2016-06-16,21:20:00,8.37,8.375,8.335,8.34,7041,0
2016-06-16,21:25:00,8.35,8.37,8.35,8.3699,1300,0
2016-06-16,21:30:00,8.365,8.4,8.365,8.4,3100,0
2016-06-16,21:35:00,8.4,8.425,8.4,8.42,7227,0
