Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,12.77,12.77,12.51,12.72,1077,0
2016-06-15,15:40:00,12.51,12.51,12.43,12.46,1500,0
2016-06-15,15:45:00,12.44,12.55,12.23,12.27,2953,0
2016-06-15,15:50:00,12.24,12.25,12.23,12.24,400,0
2016-06-15,15:55:00,12.4,12.4,12.31,12.39,800,0
2016-06-15,16:00:00,12.4,12.4,12.35,12.35,200,0
2016-06-15,16:25:00,12.52,12.65,12.52,12.65,3945,0
2016-06-15,16:30:00,12.64,12.65,12.51,12.585,6500,0
2016-06-15,16:35:00,12.56,12.59,12.425,12.53,7507,0
2016-06-15,16:40:00,12.5193,12.5193,12.44,12.44,1597,0
2016-06-15,16:45:00,12.37,12.45,12.37,12.45,1300,0
2016-06-15,16:50:00,12.46,12.46,12.44,12.44,600,0
2016-06-15,16:55:00,12.44,12.44,12.39,12.41,600,0
2016-06-15,17:00:00,12.41,12.41,12.41,12.41,100,0
2016-06-15,17:05:00,12.42,12.58,12.39,12.51,2000,0
2016-06-15,17:10:00,12.55,12.64,12.53,12.57,3450,0
2016-06-15,17:15:00,12.6,12.62,12.6,12.6,1600,0
2016-06-15,17:20:00,12.57,12.57,12.54,12.54,800,0
2016-06-15,17:25:00,12.47,12.49,12.435,12.49,1200,0
2016-06-15,17:30:00,12.5,12.5,12.44,12.44,4800,0
2016-06-15,17:35:00,12.39,12.4107,12.37,12.39,2413,0
2016-06-15,17:40:00,12.415,12.43,12.41,12.41,936,0
2016-06-15,17:45:00,12.47,12.54,12.47,12.54,1000,0
2016-06-15,17:50:00,12.54,12.57,12.54,12.54,2300,0
2016-06-15,17:55:00,12.54,12.54,12.5,12.52,700,0
2016-06-15,18:00:00,12.53,12.54,12.53,12.53,1200,0
2016-06-15,18:05:00,12.53,12.53,12.45,12.46,2235,0
2016-06-15,18:10:00,12.47,12.4971,12.47,12.4971,300,0
2016-06-15,18:15:00,12.5,12.5,12.42,12.47,5480,0
2016-06-15,18:25:00,12.46,12.5799,12.46,12.5799,1300,0
2016-06-15,18:30:00,12.54,12.54,12.42,12.42,2179,0
2016-06-15,18:35:00,12.47,12.49,12.46,12.46,500,0
2016-06-15,18:40:00,12.54,12.54,12.54,12.54,100,0
2016-06-15,18:45:00,12.555,12.555,12.53,12.53,400,0
2016-06-15,18:50:00,12.55,12.56,12.48,12.51,2800,0
2016-06-15,19:00:00,12.49,12.5,12.49,12.5,300,0
2016-06-15,19:05:00,12.485,12.54,12.485,12.54,800,0
2016-06-15,19:10:00,12.52,12.57,12.52,12.54,2700,0
2016-06-15,19:15:00,12.56,12.56,12.51,12.51,500,0
2016-06-15,19:20:00,12.51,12.54,12.5,12.505,1800,0
2016-06-15,19:25:00,12.43,12.44,12.43,12.44,300,0
2016-06-15,19:30:00,12.44,12.44,12.44,12.44,400,0
2016-06-15,19:35:00,12.5,12.58,12.5,12.53,3000,0
2016-06-15,19:40:00,12.54,12.54,12.44,12.44,700,0
2016-06-15,19:45:00,12.46,12.53,12.43,12.51,1600,0
2016-06-15,19:50:00,12.5,12.5,12.48,12.48,999,0
2016-06-15,19:55:00,12.43,12.48,12.425,12.45,4500,0
2016-06-15,20:00:00,12.45,12.46,12.415,12.45,2000,0
2016-06-15,20:05:00,12.47,12.54,12.46,12.495,2712,0
2016-06-15,20:10:00,12.49,12.52,12.49,12.5,2500,0
2016-06-15,20:15:00,12.5,12.5,12.49,12.495,1300,0
2016-06-15,20:20:00,12.4975,12.53,12.4975,12.52,2600,0
2016-06-15,20:25:00,12.5,12.53,12.5,12.5,1610,0
2016-06-15,20:30:00,12.54,12.54,12.47,12.47,1498,0
2016-06-15,20:35:00,12.42,12.5,12.37,12.5,4852,0
2016-06-15,20:40:00,12.49,12.49,12.45,12.45,1400,0
2016-06-15,20:45:00,12.44,12.48,12.44,12.48,6900,0
2016-06-15,20:50:00,12.48,12.49,12.465,12.49,900,0
2016-06-15,20:55:00,12.48,12.49,12.48,12.48,1500,0
2016-06-15,21:00:00,12.49,12.49,12.45,12.45,1100,0
2016-06-15,21:05:00,12.44,12.45,12.37,12.37,9091,0
2016-06-15,21:10:00,12.38,12.47,12.35,12.47,5905,0
2016-06-15,21:15:00,12.53,12.53,12.4101,12.4467,4215,0
2016-06-15,21:20:00,12.445,12.51,12.44,12.51,2800,0
2016-06-15,21:25:00,12.51,12.65,12.51,12.58,1200,0
2016-06-15,21:30:00,12.56,12.56,12.5,12.5,10700,0
2016-06-15,21:35:00,12.5,12.5,12.43,12.46,2600,0
2016-06-15,21:40:00,12.48,12.53,12.48,12.51,13690,0
2016-06-15,21:45:00,12.5,12.52,12.46,12.52,4310,0
2016-06-15,21:50:00,12.5,12.52,12.45,12.52,3500,0
2016-06-15,21:55:00,12.48,12.63,12.4467,12.57,13955,0
2016-06-15,22:00:00,12.55,12.56,12.45,12.48,15105,0
2016-06-16,15:35:00,12.47,12.47,12.315,12.315,755,0
2016-06-16,15:40:00,12.895,12.895,12.895,12.895,100,0
2016-06-16,15:45:00,12.65,12.65,12.32,12.33,4004,0
2016-06-16,15:50:00,12.38,12.53,12.38,12.53,1000,0
2016-06-16,15:55:00,12.515,12.515,12.495,12.51,300,0
2016-06-16,16:00:00,12.53,12.55,12.44,12.46,1600,0
2016-06-16,16:05:00,12.47,12.63,12.45,12.63,2000,0
2016-06-16,16:10:00,12.58,12.58,12.58,12.58,300,0
2016-06-16,16:15:00,12.58,12.66,12.5728,12.66,600,0
2016-06-16,16:20:00,12.66,12.685,12.6,12.6,4100,0
2016-06-16,16:25:00,12.54,12.58,12.43,12.58,2890,0
2016-06-16,16:35:00,12.57,12.58,12.56,12.56,1400,0
2016-06-16,16:40:00,12.55,12.56,12.5,12.52,1500,0
2016-06-16,16:45:00,12.54,12.63,12.54,12.63,1200,0
2016-06-16,16:50:00,12.6,12.63,12.6,12.63,200,0
2016-06-16,16:55:00,12.6,12.62,12.6,12.61,1150,0
2016-06-16,17:00:00,12.64,12.85,12.6368,12.82,5484,0
2016-06-16,17:05:00,12.86,12.89,12.84,12.875,3700,0
2016-06-16,17:10:00,12.85,12.87,12.69,12.73,4089,0
2016-06-16,17:15:00,12.75,12.75,12.75,12.75,100,0
2016-06-16,17:20:00,12.76,12.76,12.74,12.74,300,0
2016-06-16,17:25:00,12.75,12.82,12.75,12.82,900,0
2016-06-16,17:30:00,12.85,12.89,12.83,12.89,620,0
2016-06-16,17:35:00,12.89,12.89,12.82,12.83,3700,0
2016-06-16,17:40:00,12.82,12.82,12.77,12.785,1800,0
2016-06-16,17:45:00,12.77,12.77,12.735,12.735,400,0
2016-06-16,17:50:00,12.74,12.79,12.74,12.79,900,0
2016-06-16,17:55:00,12.82,12.82,12.82,12.82,100,0
2016-06-16,18:00:00,12.77,12.79,12.77,12.77,1500,0
2016-06-16,18:05:00,12.77,12.78,12.77,12.78,500,0
2016-06-16,18:10:00,12.83,12.84,12.82,12.83,500,0
2016-06-16,18:15:00,12.86,12.86,12.86,12.86,200,0
2016-06-16,18:20:00,12.86,12.98,12.86,12.98,1500,0
2016-06-16,18:25:00,12.99,13.02,12.97,13.02,2020,0
2016-06-16,18:30:00,13.06,13.06,12.93,12.94,4400,0
2016-06-16,18:40:00,12.91,12.93,12.91,12.93,1000,0
2016-06-16,18:45:00,12.96,12.99,12.96,12.98,1043,0
2016-06-16,18:50:00,12.98,13.01,12.98,12.99,900,0
2016-06-16,18:55:00,12.96,12.98,12.96,12.96,600,0
2016-06-16,19:00:00,12.99,12.99,12.99,12.99,200,0
2016-06-16,19:05:00,13,13.1,13,13.1,3600,0
2016-06-16,19:10:00,13.14,13.16,13.14,13.14,400,0
2016-06-16,19:15:00,13.17,13.23,13.1,13.16,10400,0
2016-06-16,19:20:00,13.16,13.21,13.16,13.21,200,0
2016-06-16,19:25:00,13.28,13.29,13.19,13.19,5500,0
2016-06-16,19:30:00,13.2,13.21,13.2,13.21,300,0
2016-06-16,19:35:00,13.19,13.22,13.16,13.2,1600,0
2016-06-16,19:40:00,13.18,13.18,13.17,13.17,500,0
2016-06-16,19:45:00,13.14,13.14,13.14,13.14,200,0
2016-06-16,19:50:00,13.15,13.17,13.12,13.14,1000,0
2016-06-16,19:55:00,13.1199,13.1199,13.1199,13.1199,400,0
2016-06-16,20:00:00,13.13,13.19,13.13,13.17,3900,0
2016-06-16,20:05:00,13.12,13.19,13.12,13.19,400,0
2016-06-16,20:10:00,13.18,13.23,13.18,13.23,700,0
2016-06-16,20:15:00,13.23,13.27,13.23,13.27,300,0
2016-06-16,20:20:00,13.26,13.31,13.26,13.3,900,0
2016-06-16,20:25:00,13.34,13.4,13.34,13.4,1093,0
2016-06-16,20:30:00,13.42,13.43,13.33,13.3887,5700,0
2016-06-16,20:35:00,13.4,13.4,13.36,13.37,2600,0
2016-06-16,20:40:00,13.36,13.36,13.36,13.36,100,0
2016-06-16,20:45:00,13.38,13.43,13.38,13.41,1800,0
2016-06-16,20:50:00,13.41,13.43,13.41,13.43,700,0
2016-06-16,20:55:00,13.43,13.43,13.41,13.43,2100,0
2016-06-16,21:00:00,13.43,13.43,13.41,13.42,1200,0
2016-06-16,21:05:00,13.415,13.53,13.415,13.53,8960,0
2016-06-16,21:10:00,13.49,13.49,13.4521,13.4521,1407,0
2016-06-16,21:15:00,13.47,13.52,13.47,13.52,1014,0
2016-06-16,21:20:00,13.52,13.565,13.49,13.51,4100,0
2016-06-16,21:25:00,13.47,13.47,13.39,13.39,1107,0
2016-06-16,21:30:00,13.4,13.44,13.4,13.44,400,0
2016-06-16,21:35:00,13.45,13.58,13.45,13.55,800,0
2016-06-16,21:40:00,13.55,13.65,13.55,13.63,3300,0
2016-06-16,21:45:00,13.64,13.64,13.58,13.62,5600,0
2016-06-16,21:50:00,13.65,13.65,13.59,13.6,12400,0
2016-06-16,21:55:00,13.59,13.6,13.57,13.6,3600,0
2016-06-16,22:00:00,13.6,13.62,13.54,13.6,8563,0
2016-06-17,15:35:00,13.65,13.65,13.65,13.65,24697,0
2016-06-17,15:40:00,13.5,13.5,13.235,13.26,1500,0
2016-06-17,15:45:00,13.3,13.3,13.3,13.3,699,0
2016-06-17,15:50:00,13.34,13.34,13.25,13.25,500,0
2016-06-17,15:55:00,13.11,13.3,13.11,13.3,1400,0
2016-06-17,16:00:00,13.47,13.47,13.47,13.47,100,0
2016-06-17,16:05:00,13.44,13.48,13.44,13.48,500,0
2016-06-17,16:15:00,13.47,13.57,13.45,13.45,1000,0
2016-06-17,16:20:00,13.36,13.43,13.36,13.38,300,0
2016-06-17,16:25:00,13.368,13.43,13.368,13.38,1629,0
2016-06-17,16:30:00,13.3,13.3199,13.19,13.22,2287,0
