Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,52.8,52.95,52.55,52.55,17868,0
2016-06-16,15:40:00,52.585,52.585,52.38,52.459,16779,0
2016-06-16,15:45:00,52.4,52.55,52.39,52.49,4187,0
2016-06-16,15:50:00,52.41,52.71,52.35,52.67,9751,0
2016-06-16,15:55:00,52.66,52.67,52.52,52.53,6997,0
2016-06-16,16:00:00,52.51,52.53,52.37,52.37,8686,0
2016-06-16,16:05:00,52.4,52.45,52.36,52.45,5933,0
2016-06-16,16:10:00,52.44,52.5,52.35,52.49,5222,0
2016-06-16,16:15:00,52.49,52.67,52.47,52.5868,26095,0
2016-06-16,16:20:00,52.6,52.608,52.5,52.58,6103,0
2016-06-16,16:25:00,52.56,52.59,52.42,52.46,13103,0
2016-06-16,16:30:00,52.44,52.52,52.44,52.49,4846,0
2016-06-16,16:35:00,52.47,52.49,52.36,52.37,11600,0
2016-06-16,16:40:00,52.39,52.46,52.35,52.37,16799,0
2016-06-16,16:45:00,52.4,52.49,52.4,52.42,9903,0
2016-06-16,16:50:00,52.44,52.52,52.44,52.48,11632,0
2016-06-16,16:55:00,52.49,52.53,52.41,52.52,9539,0
2016-06-16,17:00:00,52.52,52.59,52.5,52.59,15466,0
2016-06-16,17:05:00,52.62,52.68,52.58,52.63,15915,0
2016-06-16,17:10:00,52.63,52.69,52.62,52.65,9668,0
2016-06-16,17:15:00,52.67,52.73,52.67,52.73,3800,0
2016-06-16,17:20:00,52.76,52.76,52.62,52.7,5150,0
2016-06-16,17:25:00,52.7,52.83,52.7,52.83,10869,0
2016-06-16,17:30:00,52.82,52.94,52.81,52.89,20954,0
2016-06-16,17:35:00,52.89,52.93,52.8,52.9,4700,0
2016-06-16,17:40:00,52.88,52.89,52.83,52.85,4915,0
2016-06-16,17:45:00,52.83,52.83,52.79,52.79,14676,0
2016-06-16,17:50:00,52.78,52.78,52.72,52.77,5764,0
2016-06-16,17:55:00,52.76,52.7699,52.68,52.7699,10218,0
2016-06-16,18:00:00,52.76,52.79,52.65,52.77,54626,0
2016-06-16,18:05:00,52.77,52.855,52.72,52.83,12847,0
2016-06-16,18:10:00,52.85,52.9,52.82,52.9,17001,0
2016-06-16,18:15:00,52.91,52.91,52.83,52.88,9110,0
2016-06-16,18:20:00,52.89,53.01,52.89,53.01,6103,0
2016-06-16,18:25:00,53.02,53.18,52.985,53.18,8897,0
2016-06-16,18:30:00,53.18,53.24,53.14,53.195,9258,0
2016-06-16,18:35:00,53.17,53.185,53.09,53.1675,5708,0
2016-06-16,18:40:00,53.17,53.28,53.17,53.28,7400,0
2016-06-16,18:45:00,53.26,53.41,53.26,53.4,7500,0
2016-06-16,18:50:00,53.395,53.43,53.31,53.32,7750,0
2016-06-16,18:55:00,53.29,53.32,53.23,53.32,11759,0
2016-06-16,19:00:00,53.31,53.34,53.28,53.3,5947,0
2016-06-16,19:05:00,53.3,53.41,53.29,53.37,8842,0
2016-06-16,19:10:00,53.36,53.4,53.28,53.32,10539,0
2016-06-16,19:15:00,53.34,53.4,53.33,53.3499,4667,0
2016-06-16,19:20:00,53.34,53.36,53.27,53.35,8159,0
2016-06-16,19:25:00,53.34,53.35,53.29,53.32,5600,0
2016-06-16,19:30:00,53.33,53.36,53.24,53.24,3500,0
2016-06-16,19:35:00,53.24,53.29,53.2,53.22,8024,0
2016-06-16,19:40:00,53.22,53.29,53.22,53.27,5313,0
2016-06-16,19:45:00,53.28,53.31,53.27,53.2905,16092,0
2016-06-16,19:50:00,53.29,53.29,53.195,53.24,5629,0
2016-06-16,19:55:00,53.25,53.25,53.19,53.24,4300,0
2016-06-16,20:00:00,53.24,53.25,53.1576,53.19,6432,0
2016-06-16,20:05:00,53.18,53.26,53.18,53.26,6838,0
2016-06-16,20:10:00,53.28,53.28,53.23,53.26,8145,0
2016-06-16,20:15:00,53.27,53.42,53.26,53.38,8344,0
2016-06-16,20:20:00,53.38,53.4699,53.36,53.45,12356,0
2016-06-16,20:25:00,53.46,53.46,53.38,53.39,10580,0
2016-06-16,20:30:00,53.4,53.4101,53.28,53.28,11040,0
2016-06-16,20:35:00,53.27,53.32,53.27,53.27,8463,0
2016-06-16,20:40:00,53.29,53.35,53.29,53.33,12834,0
2016-06-16,20:45:00,53.33,53.36,53.32,53.36,11647,0
2016-06-16,20:50:00,53.37,53.41,53.3,53.41,12477,0
2016-06-16,20:55:00,53.41,53.55,53.37,53.55,28155,0
2016-06-16,21:00:00,53.58,53.58,53.47,53.5,17615,0
2016-06-16,21:05:00,53.5,53.53,53.49,53.51,18000,0
2016-06-16,21:10:00,53.51,53.515,53.47,53.49,12968,0
