Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,8.62,8.62,8.35,8.35,200,0
2016-06-15,15:45:00,8.78,8.78,8.6869,8.6869,200,0
2016-06-15,15:55:00,8.6765,8.6765,8.59,8.59,5600,0
2016-06-15,16:00:00,8.59,8.6,8.51,8.53,3100,0
2016-06-15,16:25:00,8.6001,8.63,8.6,8.63,3200,0
2016-06-15,16:30:00,8.63,8.635,8.5601,8.5601,1300,0
2016-06-15,16:35:00,8.57,8.58,8.57,8.58,700,0
2016-06-15,16:40:00,8.6,8.83,8.6,8.83,1268,0
2016-06-15,16:45:00,8.81,8.8776,8.775,8.78,2900,0
2016-06-15,16:50:00,8.8,8.8,8.76,8.76,300,0
2016-06-15,16:55:00,8.75,8.765,8.74,8.765,1000,0
2016-06-15,17:00:00,8.77,8.77,8.77,8.77,200,0
2016-06-15,17:05:00,8.75,8.75,8.75,8.75,100,0
2016-06-15,17:10:00,8.75,8.75,8.72,8.72,400,0
2016-06-15,17:15:00,8.7232,8.76,8.7232,8.76,2100,0
2016-06-15,17:20:00,8.745,8.745,8.73,8.73,300,0
2016-06-15,17:30:00,8.74,8.75,8.73,8.73,2447,0
2016-06-15,17:35:00,8.69,8.69,8.69,8.69,100,0
2016-06-15,17:40:00,8.71,8.85,8.69,8.85,11534,0
2016-06-15,17:45:00,8.86,8.9,8.86,8.9,14300,0
2016-06-15,17:50:00,8.91,8.96,8.91,8.96,17072,0
2016-06-15,17:55:00,8.92,8.96,8.85,8.85,10522,0
2016-06-15,18:00:00,8.9,8.905,8.8,8.8,16590,0
2016-06-15,18:10:00,8.73,8.77,8.73,8.75,2800,0
2016-06-15,18:15:00,8.75,8.7601,8.74,8.74,1601,0
2016-06-15,18:20:00,8.72,8.72,8.72,8.72,100,0
2016-06-15,18:25:00,8.7,8.7205,8.68,8.68,800,0
2016-06-15,18:35:00,8.69,8.7,8.69,8.7,300,0
2016-06-15,18:40:00,8.72,8.74,8.7186,8.72,1800,0
2016-06-15,18:45:00,8.72,8.72,8.72,8.72,100,0
2016-06-15,18:50:00,8.74,8.78,8.74,8.76,1600,0
2016-06-15,18:55:00,8.75,8.75,8.75,8.75,100,0
2016-06-15,19:00:00,8.75,8.75,8.72,8.72,400,0
2016-06-15,19:05:00,8.72,8.72,8.72,8.72,200,0
2016-06-15,19:15:00,8.73,8.77,8.73,8.77,200,0
2016-06-15,19:20:00,8.74,8.75,8.74,8.75,400,0
2016-06-15,19:25:00,8.74,8.74,8.7,8.7,500,0
2016-06-15,19:30:00,8.67,8.72,8.67,8.72,400,0
2016-06-15,19:35:00,8.68,8.7002,8.68,8.7002,600,0
2016-06-15,19:40:00,8.72,8.72,8.72,8.72,100,0
2016-06-15,19:45:00,8.76,8.76,8.73,8.73,500,0
2016-06-15,19:50:00,8.74,8.74,8.74,8.74,100,0
2016-06-15,19:55:00,8.72,8.735,8.72,8.735,200,0
2016-06-15,20:00:00,8.72,8.72,8.72,8.72,100,0
2016-06-15,20:05:00,8.7525,8.8,8.74,8.8,400,0
2016-06-15,20:10:00,8.77,8.78,8.7,8.7,1400,0
2016-06-15,20:15:00,8.68,8.68,8.44,8.45,19600,0
2016-06-15,20:20:00,8.45,8.4899,8.39,8.4899,27040,0
2016-06-15,20:25:00,8.49,8.57,8.44,8.51,8549,0
2016-06-15,20:30:00,8.54,8.55,8.53,8.53,1000,0
2016-06-15,20:35:00,8.5,8.51,8.48,8.5,18800,0
2016-06-15,20:40:00,8.5,8.51,8.48,8.51,11820,0
2016-06-15,20:45:00,8.52,8.6104,8.52,8.57,7500,0
2016-06-15,20:50:00,8.64,8.64,8.63,8.63,600,0
2016-06-15,20:55:00,8.63,8.63,8.63,8.63,849,0
2016-06-15,21:00:00,8.61,8.61,8.56,8.56,500,0
2016-06-15,21:05:00,8.62,8.72,8.61,8.69,17151,0
2016-06-15,21:10:00,8.7,8.74,8.69,8.69,400,0
2016-06-15,21:15:00,8.67,8.67,8.67,8.67,200,0
2016-06-15,21:20:00,8.66,8.66,8.64,8.64,400,0
2016-06-15,21:25:00,8.69,8.69,8.66,8.68,700,0
2016-06-15,21:30:00,8.7,8.7,8.66,8.66,400,0
2016-06-15,21:35:00,8.65,8.65,8.63,8.63,200,0
2016-06-15,21:40:00,8.63,8.63,8.59,8.59,2036,0
2016-06-15,21:45:00,8.58,8.61,8.58,8.58,1700,0
2016-06-15,21:50:00,8.6,8.6,8.57,8.57,1300,0
2016-06-15,21:55:00,8.55,8.57,8.53,8.5516,1800,0
2016-06-15,22:00:00,8.56,8.56,8.55,8.56,2582,0
2016-06-16,15:35:00,8.31,8.56,8.25,8.56,9160,0
2016-06-16,15:40:00,8.42,8.42,8.42,8.42,200,0
2016-06-16,15:50:00,8.45,8.45,8.4,8.4,400,0
2016-06-16,16:00:00,8.42,8.42,8.33,8.33,500,0
2016-06-16,16:05:00,8.31,8.35,8.31,8.35,649,0
2016-06-16,16:15:00,8.31,8.36,8.31,8.35,2500,0
2016-06-16,16:20:00,8.37,8.37,8.37,8.37,200,0
2016-06-16,16:25:00,8.38,8.43,8.38,8.43,1800,0
2016-06-16,16:35:00,8.44,8.44,8.43,8.43,300,0
2016-06-16,16:45:00,8.4,8.4,8.38,8.38,4023,0
2016-06-16,16:50:00,8.35,8.37,8.325,8.325,16039,0
2016-06-16,16:55:00,8.3,8.31,8.25,8.25,1000,0
2016-06-16,17:00:00,8.25,8.25,8.2,8.23,700,0
2016-06-16,17:05:00,8.21,8.22,8.21,8.21,600,0
2016-06-16,17:10:00,8.21,8.21,8.1501,8.17,3659,0
2016-06-16,17:20:00,8.22,8.23,8.22,8.23,600,0
2016-06-16,17:25:00,8.25,8.25,8.21,8.23,2301,0
2016-06-16,17:30:00,8.22,8.23,8.22,8.23,700,0
2016-06-16,17:35:00,8.25,8.25,8.22,8.225,679,0
2016-06-16,17:40:00,8.22,8.3,8.22,8.3,400,0
2016-06-16,17:45:00,8.31,8.31,8.31,8.31,100,0
2016-06-16,17:50:00,8.36,8.36,8.36,8.36,100,0
2016-06-16,17:55:00,8.35,8.35,8.24,8.24,1500,0
2016-06-16,18:00:00,8.21,8.21,8.21,8.21,100,0
2016-06-16,18:05:00,8.22,8.22,8.22,8.22,100,0
2016-06-16,18:10:00,8.22,8.22,8.22,8.22,200,0
2016-06-16,18:15:00,8.28,8.28,8.28,8.28,100,0
2016-06-16,18:25:00,8.27,8.27,8.27,8.27,200,0
2016-06-16,18:30:00,8.3301,8.41,8.3301,8.41,400,0
2016-06-16,18:35:00,8.44,8.44,8.425,8.44,500,0
2016-06-16,18:40:00,8.41,8.44,8.41,8.44,1100,0
2016-06-16,18:50:00,8.425,8.435,8.395,8.395,1802,0
2016-06-16,18:55:00,8.34,8.37,8.34,8.37,200,0
2016-06-16,19:00:00,8.35,8.38,8.35,8.38,200,0
2016-06-16,19:05:00,8.4,8.4,8.4,8.4,100,0
2016-06-16,19:15:00,8.38,8.38,8.38,8.38,400,0
2016-06-16,19:20:00,8.35,8.36,8.35,8.36,800,0
2016-06-16,19:25:00,8.37,8.37,8.37,8.37,200,0
2016-06-16,19:30:00,8.4,8.4,8.4,8.4,200,0
2016-06-16,19:35:00,8.4,8.41,8.3801,8.3801,700,0
2016-06-16,19:40:00,8.4,8.4,8.4,8.4,200,0
2016-06-16,19:45:00,8.38,8.38,8.34,8.34,1400,0
2016-06-16,19:50:00,8.35,8.35,8.3,8.3,1000,0
2016-06-16,19:55:00,8.3,8.3,8.3,8.3,791,0
2016-06-16,20:00:00,8.31,8.31,8.3,8.3,509,0
2016-06-16,20:05:00,8.27,8.27,8.24,8.26,500,0
2016-06-16,20:10:00,8.2357,8.2357,8.22,8.22,300,0
2016-06-16,20:15:00,8.23,8.28,8.2238,8.28,1400,0
2016-06-16,20:20:00,8.32,8.34,8.32,8.34,200,0
2016-06-16,20:25:00,8.38,8.38,8.38,8.38,100,0
2016-06-16,20:30:00,8.37,8.39,8.36,8.37,1200,0
2016-06-16,20:35:00,8.3411,8.3411,8.3411,8.3411,250,0
2016-06-16,20:45:00,8.36,8.36,8.24,8.24,4000,0
2016-06-16,20:50:00,8.23,8.24,8.23,8.24,300,0
2016-06-16,20:55:00,8.24,8.28,8.23,8.28,2300,0
