Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,93.79,94.07,93.69,94.07,21324,0
2016-06-16,15:40:00,94.06,94.11,94,94,8909,0
2016-06-16,15:45:00,94.01,94.04,93.87,93.91,16517,0
2016-06-16,15:50:00,93.91,93.94,93.84,93.92,15642,0
2016-06-16,15:55:00,93.91,93.91,93.78,93.8,17358,0
2016-06-16,16:00:00,93.78,93.8,93.62,93.64,6601,0
2016-06-16,16:05:00,93.61,93.69,93.52,93.62,10429,0
2016-06-16,16:10:00,93.61,93.61,93.42,93.54,10409,0
2016-06-16,16:15:00,93.52,93.78,93.5,93.76,3068,0
2016-06-16,16:20:00,93.77,93.79,93.59,93.65,3414,0
2016-06-16,16:25:00,93.65,93.66,93.23,93.23,5722,0
2016-06-16,16:30:00,93.24,93.4,93.21,93.39,1917,0
2016-06-16,16:35:00,93.33,93.38,93.33,93.37,3104,0
2016-06-16,16:40:00,93.33,93.4,93.28,93.29,6168,0
2016-06-16,16:45:00,93.275,93.47,93.275,93.46,6651,0
2016-06-16,16:50:00,93.47,93.54,93.44,93.44,5470,0
2016-06-16,16:55:00,93.38,93.41,93.34,93.3501,3174,0
2016-06-16,17:00:00,93.4043,93.5841,93.4043,93.56,13616,0
2016-06-16,17:05:00,93.54,93.75,93.54,93.75,11286,0
2016-06-16,17:10:00,93.79,93.86,93.745,93.84,14717,0
2016-06-16,17:15:00,93.79,93.96,93.74,93.95,1807,0
2016-06-16,17:20:00,93.94,93.94,93.75,93.75,2500,0
2016-06-16,17:25:00,93.845,93.87,93.79,93.83,13408,0
2016-06-16,17:30:00,93.8,94.03,93.8,94,4575,0
2016-06-16,17:35:00,93.9875,93.9875,93.89,93.95,3777,0
2016-06-16,17:40:00,93.92,93.92,93.89,93.92,500,0
2016-06-16,17:45:00,93.87,93.89,93.84,93.865,3300,0
2016-06-16,17:50:00,93.86,93.87,93.74,93.83,3200,0
2016-06-16,17:55:00,93.8,93.87,93.8,93.87,654,0
2016-06-16,18:00:00,93.82,93.86,93.82,93.86,475,0
2016-06-16,18:05:00,93.8,93.84,93.8,93.84,500,0
2016-06-16,18:10:00,93.92,94,93.92,93.94,1500,0
2016-06-16,18:15:00,93.97,94.07,93.94,94.07,2297,0
2016-06-16,18:20:00,94.04,94.39,94.04,94.39,4679,0
2016-06-16,18:25:00,94.44,94.64,94.37,94.62,5612,0
2016-06-16,18:30:00,94.63,94.79,94.63,94.73,3753,0
2016-06-16,18:35:00,94.75,94.75,94.555,94.57,1900,0
2016-06-16,18:40:00,94.59,94.86,94.59,94.86,1200,0
2016-06-16,18:45:00,94.82,95.27,94.8,95.22,16841,0
2016-06-16,18:50:00,95.23,95.24,95.05,95.05,6084,0
2016-06-16,18:55:00,94.94,94.94,94.9,94.92,1600,0
2016-06-16,19:00:00,94.86,94.92,94.8,94.85,2400,0
2016-06-16,19:05:00,94.85,95.17,94.85,95.04,4600,0
2016-06-16,19:10:00,95.02,95.02,94.91,95.02,1100,0
2016-06-16,19:15:00,95.01,95.175,94.98,95.14,3506,0
2016-06-16,19:20:00,94.99,95.07,94.99,95.07,700,0
2016-06-16,19:25:00,95.0542,95.06,94.94,94.94,1975,0
2016-06-16,19:30:00,95.09,95.1,94.965,94.97,1879,0
2016-06-16,19:35:00,95.04,95.05,94.77,94.83,4197,0
2016-06-16,19:40:00,94.84,94.965,94.84,94.94,1700,0
2016-06-16,19:45:00,94.95,94.98,94.83,94.91,4899,0
2016-06-16,19:50:00,94.81,94.81,94.73,94.77,1400,0
2016-06-16,19:55:00,94.75,94.76,94.73,94.73,400,0
2016-06-16,20:00:00,94.77,94.78,94.69,94.73,1623,0
2016-06-16,20:05:00,94.76,94.84,94.75,94.84,600,0
2016-06-16,20:10:00,94.89,94.93,94.86,94.93,1906,0
2016-06-16,20:15:00,94.98,95.12,94.98,95.09,2428,0
2016-06-16,20:20:00,95.1,95.16,95.1,95.15,1400,0
2016-06-16,20:25:00,95.15,95.2,95.08,95.1,2051,0
2016-06-16,20:30:00,95.09,95.09,94.98,94.99,1000,0
2016-06-16,20:35:00,94.981,95.025,94.98,94.985,1158,0
2016-06-16,20:40:00,95,95.06,94.95,94.98,1600,0
2016-06-16,20:45:00,95.05,95.05,95.02,95.03,965,0
2016-06-16,20:50:00,95.07,95.1,95.06,95.1,700,0
2016-06-16,20:55:00,95.1224,95.23,95.1,95.23,3229,0
2016-06-16,21:00:00,95.21,95.21,95.145,95.145,2462,0
2016-06-16,21:05:00,95.14,95.22,95.14,95.21,2400,0
2016-06-16,21:10:00,95.19,95.26,95.19,95.2,1700,0
2016-06-16,21:15:00,95.23,95.29,95.23,95.29,1314,0
2016-06-16,21:20:00,95.255,95.38,95.25,95.38,3504,0
2016-06-16,21:25:00,95.32,95.38,95.31,95.38,2330,0
2016-06-16,21:30:00,95.3844,95.48,95.3844,95.46,4595,0
2016-06-16,21:35:00,95.45,95.57,95.45,95.55,4400,0
2016-06-16,21:40:00,95.55,95.55,95.465,95.5,5557,0
2016-06-16,21:45:00,95.5,95.62,95.5,95.605,4737,0
2016-06-16,21:50:00,95.59,95.59,95.46,95.59,13710,0
2016-06-16,21:55:00,95.58,95.58,95.49,95.53,5021,0
2016-06-16,22:00:00,95.54,95.61,95.52,95.57,34964,0
2016-06-17,15:35:00,94.61,94.61,94.07,94.07,64555,0
2016-06-17,15:40:00,94.06,94.08,93.77,93.84,41636,0
2016-06-17,15:45:00,93.825,94.03,93.82,93.97,26940,0
2016-06-17,15:50:00,93.98,94.03,93.93,93.98,16689,0
2016-06-17,15:55:00,93.99,93.99,93.87,93.88,14096,0
2016-06-17,16:00:00,93.87,93.87,93.64,93.68,16886,0
2016-06-17,16:05:00,93.68,93.71,93.49,93.49,10516,0
2016-06-17,16:10:00,93.6,93.71,93.58,93.71,1615,0
2016-06-17,16:15:00,93.74,93.85,93.74,93.84,7571,0
2016-06-17,16:20:00,93.87,93.95,93.86,93.86,2200,0
2016-06-17,16:25:00,93.86,93.86,93.59,93.59,6775,0
2016-06-17,16:30:00,93.6,93.6,93.41,93.45,7586,0
2016-06-17,16:35:00,93.41,93.41,93.27,93.4,6080,0
2016-06-17,16:40:00,93.41,93.61,93.39,93.61,18559,0
2016-06-17,16:45:00,93.626,93.72,93.54,93.67,6456,0
2016-06-17,16:50:00,93.695,93.92,93.695,93.85,3284,0
2016-06-17,16:55:00,93.85,93.9083,93.79,93.79,5958,0
2016-06-17,17:00:00,93.81,93.85,93.71,93.71,4015,0
2016-06-17,17:05:00,93.75,93.76,93.61,93.63,5687,0
2016-06-17,17:10:00,93.61,93.73,93.58,93.7,1283,0
2016-06-17,17:15:00,93.71,93.71,93.58,93.61,5754,0
2016-06-17,17:20:00,93.59,93.87,93.59,93.87,4923,0
2016-06-17,17:25:00,93.86,94.02,93.85,93.98,7924,0
2016-06-17,17:30:00,93.96,93.99,93.76,93.77,5542,0
2016-06-17,17:35:00,93.82,93.99,93.81,93.85,9506,0
2016-06-17,17:40:00,93.85,93.97,93.81,93.96,4700,0
2016-06-17,17:45:00,94.02,94.04,94.02,94.04,600,0
2016-06-17,17:50:00,94.1,94.1,94.09,94.09,300,0
2016-06-17,17:55:00,94.15,94.15,94.1001,94.11,400,0
2016-06-17,18:00:00,94.08,94.08,94.01,94.02,1535,0
2016-06-17,18:05:00,94.21,94.33,94.21,94.33,2700,0
2016-06-17,18:10:00,94.265,94.42,94.265,94.39,2680,0
2016-06-17,18:15:00,94.36,94.39,94.34,94.36,2230,0
2016-06-17,18:20:00,94.39,94.42,94.25,94.34,1734,0
2016-06-17,18:25:00,94.36,94.38,94.28,94.335,900,0
2016-06-17,18:30:00,94.31,94.42,94.31,94.42,1840,0
2016-06-17,18:35:00,94.43,94.53,94.43,94.48,4625,0
2016-06-17,18:40:00,94.42,94.53,94.37,94.49,12966,0
2016-06-17,18:45:00,94.5,94.53,94.5,94.53,1134,0
