Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,4.32,4.32,4.31,4.32,2677,0
2016-06-15,15:40:00,4.32,4.32,4.32,4.32,100,0
2016-06-15,15:50:00,4.33,4.33,4.33,4.33,100,0
2016-06-15,15:55:00,4.33,4.33,4.325,4.33,600,0
2016-06-15,16:20:00,4.39,4.39,4.39,4.39,100,0
2016-06-15,16:25:00,4.36,4.36,4.36,4.36,100,0
2016-06-15,16:30:00,4.37,4.37,4.36,4.36,200,0
2016-06-15,16:35:00,4.37,4.39,4.37,4.39,600,0
2016-06-15,16:45:00,4.4,4.4,4.4,4.4,100,0
2016-06-15,16:55:00,4.4,4.4,4.4,4.4,300,0
2016-06-15,17:00:00,4.4,4.4,4.4,4.4,300,0
2016-06-15,17:05:00,4.39,4.39,4.39,4.39,100,0
2016-06-15,17:10:00,4.39,4.4,4.38,4.38,1600,0
2016-06-15,17:15:00,4.39,4.3975,4.39,4.3975,500,0
2016-06-15,17:20:00,4.3999,4.4,4.395,4.4,1500,0
2016-06-15,17:25:00,4.39,4.3975,4.39,4.39,700,0
2016-06-15,17:30:00,4.39,4.39,4.39,4.39,100,0
2016-06-15,17:35:00,4.395,4.395,4.39,4.39,400,0
2016-06-15,17:40:00,4.4,4.4,4.395,4.395,300,0
2016-06-15,17:45:00,4.395,4.395,4.395,4.395,100,0
2016-06-15,17:50:00,4.4,4.4,4.39,4.39,300,0
2016-06-15,17:55:00,4.4,4.4,4.39,4.39,2400,0
2016-06-15,18:00:00,4.4,4.4,4.39,4.39,3299,0
2016-06-15,18:05:00,4.39,4.39,4.39,4.39,500,0
2016-06-15,18:10:00,4.38,4.4,4.38,4.4,1500,0
2016-06-15,18:15:00,4.38,4.4,4.38,4.38,500,0
2016-06-15,18:20:00,4.39,4.39,4.39,4.39,100,0
2016-06-15,18:25:00,4.4,4.4,4.3999,4.3999,200,0
2016-06-15,18:30:00,4.39,4.39,4.39,4.39,100,0
2016-06-15,18:35:00,4.4,4.42,4.39,4.42,5497,0
2016-06-15,18:40:00,4.4001,4.4001,4.4,4.4,5453,0
2016-06-15,18:45:00,4.4,4.4,4.39,4.39,2900,0
2016-06-15,18:50:00,4.395,4.4,4.395,4.395,631,0
2016-06-15,18:55:00,4.4,4.4,4.4,4.4,100,0
2016-06-15,19:00:00,4.39,4.39,4.39,4.39,100,0
2016-06-15,19:05:00,4.4,4.4,4.39,4.39,400,0
2016-06-15,19:10:00,4.4,4.4,4.4,4.4,100,0
2016-06-15,19:15:00,4.39,4.4,4.39,4.39,500,0
2016-06-15,19:20:00,4.3999,4.3999,4.3999,4.3999,300,0
2016-06-15,19:25:00,4.39,4.39,4.39,4.39,600,0
2016-06-15,19:30:00,4.39,4.39,4.38,4.38,1300,0
2016-06-15,19:35:00,4.3815,4.3815,4.38,4.38,900,0
2016-06-15,19:40:00,4.39,4.39,4.38,4.38,600,0
2016-06-15,19:45:00,4.38,4.38,4.38,4.38,200,0
2016-06-15,19:50:00,4.3899,4.3899,4.3899,4.3899,300,0
2016-06-15,19:55:00,4.385,4.39,4.38,4.38,1706,0
2016-06-15,20:00:00,4.3899,4.39,4.38,4.38,700,0
2016-06-15,20:05:00,4.3899,4.39,4.3899,4.39,500,0
2016-06-15,20:10:00,4.38,4.385,4.38,4.38,600,0
2016-06-15,20:15:00,4.38,4.38,4.375,4.375,600,0
2016-06-15,20:20:00,4.37,4.38,4.36,4.36,1254,0
2016-06-15,20:25:00,4.36,4.36,4.34,4.34,700,0
2016-06-15,20:30:00,4.35,4.35,4.34,4.34,300,0
2016-06-15,20:35:00,4.33,4.33,4.32,4.32,200,0
2016-06-15,20:40:00,4.32,4.34,4.32,4.32,3100,0
2016-06-15,20:45:00,4.32,4.34,4.3,4.33,5400,0
2016-06-15,20:50:00,4.33,4.34,4.33,4.34,800,0
2016-06-15,20:55:00,4.34,4.34,4.34,4.34,100,0
2016-06-15,21:00:00,4.34,4.36,4.34,4.36,1100,0
2016-06-15,21:05:00,4.35,4.36,4.35,4.36,200,0
2016-06-15,21:15:00,4.37,4.37,4.36,4.36,600,0
2016-06-15,21:20:00,4.37,4.37,4.36,4.36,300,0
2016-06-15,21:25:00,4.35,4.355,4.35,4.35,2000,0
2016-06-15,21:30:00,4.35,4.355,4.34,4.35,2100,0
2016-06-15,21:35:00,4.35,4.35,4.34,4.345,2500,0
2016-06-15,21:40:00,4.345,4.35,4.345,4.345,400,0
2016-06-15,21:45:00,4.35,4.35,4.345,4.345,1000,0
2016-06-15,21:50:00,4.34,4.35,4.34,4.345,1800,0
2016-06-15,21:55:00,4.34,4.36,4.34,4.36,2300,0
2016-06-15,22:00:00,4.36,4.36,4.35,4.35,3023,0
2016-06-16,15:35:00,4.36,4.36,4.36,4.36,116,0
2016-06-16,15:40:00,4.31,4.36,4.31,4.36,407,0
2016-06-16,15:50:00,4.31,4.36,4.31,4.36,800,0
2016-06-16,15:55:00,4.32,4.32,4.28,4.28,2734,0
2016-06-16,16:00:00,4.27,4.27,4.27,4.27,1500,0
2016-06-16,16:05:00,4.2526,4.26,4.22,4.225,7026,0
2016-06-16,16:10:00,4.23,4.23,4.21,4.21,700,0
2016-06-16,16:15:00,4.21,4.21,4.21,4.21,200,0
2016-06-16,16:25:00,4.21,4.21,4.21,4.21,2407,0
2016-06-16,16:30:00,4.21,4.22,4.21,4.22,700,0
2016-06-16,16:35:00,4.215,4.215,4.215,4.215,100,0
2016-06-16,16:40:00,4.22,4.22,4.21,4.21,600,0
2016-06-16,16:45:00,4.22,4.22,4.21,4.21,200,0
2016-06-16,16:50:00,4.22,4.22,4.22,4.22,100,0
2016-06-16,16:55:00,4.21,4.21,4.21,4.21,200,0
2016-06-16,17:00:00,4.215,4.22,4.215,4.22,600,0
2016-06-16,17:05:00,4.215,4.215,4.215,4.215,100,0
2016-06-16,17:10:00,4.21,4.215,4.21,4.21,300,0
2016-06-16,17:15:00,4.22,4.22,4.22,4.22,100,0
2016-06-16,17:20:00,4.22,4.23,4.215,4.23,2100,0
2016-06-16,17:25:00,4.22,4.23,4.22,4.23,300,0
2016-06-16,17:30:00,4.23,4.23,4.23,4.23,600,0
2016-06-16,17:35:00,4.25,4.25,4.25,4.25,200,0
2016-06-16,17:40:00,4.2201,4.25,4.2201,4.25,1100,0
2016-06-16,17:45:00,4.23,4.23,4.23,4.23,700,0
2016-06-16,17:50:00,4.23,4.23,4.23,4.23,200,0
2016-06-16,17:55:00,4.23,4.24,4.23,4.24,500,0
2016-06-16,18:00:00,4.24,4.24,4.24,4.24,100,0
2016-06-16,18:10:00,4.23,4.26,4.23,4.26,5400,0
2016-06-16,18:15:00,4.24,4.25,4.24,4.25,1100,0
2016-06-16,18:25:00,4.25,4.25,4.25,4.25,700,0
2016-06-16,18:30:00,4.25,4.25,4.25,4.25,100,0
2016-06-16,18:35:00,4.26,4.26,4.26,4.26,200,0
2016-06-16,18:40:00,4.26,4.26,4.26,4.26,1000,0
2016-06-16,18:45:00,4.26,4.27,4.26,4.27,800,0
2016-06-16,18:55:00,4.3,4.3,4.3,4.3,400,0
2016-06-16,19:00:00,4.29,4.29,4.29,4.29,100,0
2016-06-16,19:05:00,4.29,4.29,4.28,4.29,700,0
2016-06-16,19:10:00,4.29,4.29,4.2801,4.2801,329,0
2016-06-16,19:15:00,4.29,4.3,4.29,4.3,1600,0
2016-06-16,19:20:00,4.3092,4.31,4.3,4.3,2700,0
2016-06-16,19:25:00,4.309,4.33,4.309,4.33,2000,0
2016-06-16,19:30:00,4.34,4.34,4.33,4.33,300,0
2016-06-16,19:35:00,4.35,4.35,4.34,4.34,200,0
2016-06-16,19:40:00,4.33,4.33,4.32,4.33,900,0
2016-06-16,19:45:00,4.32,4.32,4.32,4.32,200,0
2016-06-16,19:50:00,4.32,4.32,4.32,4.32,400,0
2016-06-16,19:55:00,4.325,4.34,4.32,4.34,9300,0
2016-06-16,20:05:00,4.335,4.34,4.33,4.34,800,0
2016-06-16,20:10:00,4.34,4.34,4.335,4.34,400,0
2016-06-16,20:15:00,4.33,4.34,4.33,4.335,800,0
2016-06-16,20:20:00,4.335,4.34,4.33,4.34,2200,0
2016-06-16,20:25:00,4.33,4.33,4.33,4.33,200,0
2016-06-16,20:30:00,4.34,4.34,4.33,4.33,300,0
2016-06-16,20:35:00,4.33,4.33,4.32,4.32,1000,0
2016-06-16,20:40:00,4.325,4.325,4.32,4.32,400,0
2016-06-16,20:45:00,4.32,4.3209,4.32,4.32,628,0
2016-06-16,20:50:00,4.32,4.325,4.32,4.32,817,0
2016-06-16,20:55:00,4.32,4.33,4.32,4.33,900,0
2016-06-16,21:00:00,4.33,4.33,4.33,4.33,1000,0
2016-06-16,21:05:00,4.32,4.33,4.32,4.33,800,0
2016-06-16,21:10:00,4.33,4.33,4.33,4.33,200,0
2016-06-16,21:15:00,4.33,4.33,4.33,4.33,300,0
2016-06-16,21:20:00,4.33,4.33,4.32,4.33,900,0
2016-06-16,21:25:00,4.325,4.33,4.325,4.33,700,0
2016-06-16,21:30:00,4.34,4.38,4.33,4.38,1100,0
2016-06-16,21:35:00,4.365,4.37,4.36,4.37,600,0
2016-06-16,21:40:00,4.37,4.39,4.37,4.37,500,0
2016-06-16,21:45:00,4.38,4.38,4.37,4.37,644,0
2016-06-16,21:50:00,4.37,4.375,4.37,4.37,7200,0
2016-06-16,21:55:00,4.37,4.375,4.37,4.37,1200,0
2016-06-16,22:00:00,4.37,4.38,4.36,4.37,4442,0
2016-06-17,15:35:00,4.38,4.4,4.38,4.4,48141,0
2016-06-17,15:40:00,4.4,4.4,4.39,4.39,1863,0
2016-06-17,15:50:00,4.41,4.41,4.4,4.41,500,0
2016-06-17,15:55:00,4.4,4.42,4.4,4.42,1400,0
2016-06-17,16:00:00,4.43,4.43,4.41,4.41,500,0
2016-06-17,16:05:00,4.41,4.41,4.41,4.41,700,0
2016-06-17,16:10:00,4.42,4.43,4.42,4.43,1000,0
2016-06-17,16:15:00,4.43,4.4398,4.42,4.4398,900,0
2016-06-17,16:20:00,4.42,4.42,4.42,4.42,100,0
2016-06-17,16:25:00,4.44,4.44,4.43,4.43,400,0
