Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-11,16:15:00,9.98,9.98,9.98,9.98,300,0
2015-02-11,16:45:00,10.0,10.0,9.98,9.99,3300,0
2015-02-11,19:50:00,9.9999,10.0,9.9999,10.0,900,0
2015-02-12,15:45:00,9.98,9.9801,9.98,9.9801,1792,0
2015-02-13,16:25:00,9.99,9.99,9.99,9.99,590,0
2015-02-13,16:40:00,9.9937,9.9937,9.9937,9.9937,100,0
2015-02-13,17:25:00,9.99,9.99,9.99,9.99,100,0
2015-02-13,18:20:00,9.9905,9.9905,9.9905,9.9905,100,0
2015-02-13,18:40:00,10.0,10.0,10.0,10.0,1500,0
2015-02-13,21:05:00,10.0,10.0,10.0,10.0,3000,0
2015-02-13,21:40:00,9.9905,9.9905,9.9905,9.9905,100,0
2015-02-17,15:35:00,10.0,10.0,10.0,10.0,1200,0
2015-02-17,19:40:00,9.988,9.988,9.988,9.988,100,0
2015-02-17,21:45:00,10.0,10.0,9.9999,10.0,2400,0
2015-02-18,15:35:00,10.0,10.0,10.0,10.0,1000,0
2015-02-18,16:30:00,9.97,9.97,9.97,9.97,500,0
2015-02-18,21:30:00,10.0,10.0,9.9999,10.0,2348,0
2015-02-20,21:45:00,10.0,10.0,9.96,9.96,50700,0
2015-02-23,15:35:00,9.95,9.95,9.95,9.95,250,0
2015-02-23,22:00:00,10.0,10.0,10.0,10.0,100,0
2015-02-24,15:50:00,9.97,9.97,9.97,9.97,3000,0
2015-02-24,22:00:00,10.0,10.0,9.98,9.98,300,0
2015-02-25,17:35:00,10.0,10.0,10.0,10.0,94144,0
2015-02-26,19:40:00,10.0,10.0,10.0,10.0,800,0
2015-02-26,22:00:00,10.0,10.0,10.0,10.0,100,0
2015-02-27,15:35:00,9.99,9.99,9.99,9.99,300,0
2015-02-27,17:40:00,9.99,9.99,9.99,9.99,3000,0
2015-02-27,19:20:00,9.996,9.996,9.996,9.996,100,0
2015-02-27,19:40:00,9.9905,9.9905,9.9905,9.9905,100,0
2015-02-27,19:50:00,10.0,10.0,10.0,10.0,2000,0
2015-02-27,21:00:00,10.0,10.0,10.0,10.0,6000,0
2015-02-27,21:50:00,10.0,10.0,9.993,10.0,300,0
2015-03-02,15:35:00,10,10,10,10,22,0
2015-03-02,22:00:00,10.01,10.01,10.01,10.01,11,0
2015-03-04,17:00:00,10,10,10,10,2100,0
2015-03-05,15:50:00,10,10.01,9.973,9.973,10200,0
2015-03-05,17:05:00,10,10,10,10,3000,0
2015-03-05,17:20:00,10,10.003,10,10.003,2300,0
2015-03-06,16:00:00,9.97,9.97,9.97,9.97,600,0
2015-03-09,14:35:00,9.9699,9.9699,9.9699,9.9699,2000,0
2015-03-09,14:50:00,9.97,9.97,9.97,9.97,1500,0
2015-03-11,20:45:00,9.97,9.97,9.97,9.97,100,0
2015-03-12,15:45:00,9.97,9.97,9.97,9.97,210,0
2015-03-16,15:35:00,9.98,9.98,9.98,9.98,100,0
2015-03-18,15:45:00,9.97,9.97,9.97,9.97,330,0
2015-03-18,21:00:00,10,10,10,10,2000,0
2015-03-19,14:55:00,9.973,9.973,9.97,9.97,1300,0
2015-03-19,20:05:00,9.9999,10,9.9999,10,2300,0
2015-03-26,15:30:00,10,10,10,10,2000,0
2015-03-26,17:30:00,10,10,10,10,3000,0
2015-03-30,17:25:00,10,10,10,10,5000,0
2015-03-30,20:30:00,10,10,10,10,4000,0
2015-03-30,20:35:00,10,10,10,10,4900,0
2015-03-31,17:40:00,9.95,9.95,9.95,9.95,400,0
2015-04-02,19:15:00,9.9999,10,9.9999,10,15900,0
