Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-03-16,21:00:00,0.18,0.18,0.18,0.18,800,0
2015-03-19,16:30:00,0.18,0.18,0.18,0.18,38000,0
2015-04-21,20:30:00,0.15,0.15,0.15,0.15,54480,0
2015-04-22,16:05:00,0.17,0.17,0.17,0.17,9987,0
2015-04-23,16:30:00,0.15,0.15,0.15,0.15,891,0
2015-04-24,16:35:00,0.15,0.15,0.15,0.15,4410,0
2015-04-27,19:45:00,0.16,0.16,0.16,0.16,5000,0
2015-04-30,19:00:00,0.17,0.17,0.17,0.17,9200,0
2015-05-01,15:45:00,0.17,0.17,0.17,0.17,3000,0
2015-05-01,18:35:00,0.17,0.18,0.17,0.18,2200,0
2015-05-01,18:40:00,0.18,0.18,0.18,0.18,6100,0
2015-05-01,19:10:00,0.17,0.17,0.17,0.17,2000,0
2015-05-01,19:15:00,0.17,0.17,0.17,0.17,3000,0
2015-05-01,21:45:00,0.18,0.18,0.18,0.18,5000,0
2015-05-01,21:50:00,0.18,0.18,0.18,0.18,24300,0
2015-05-01,21:55:00,0.18,0.18,0.18,0.18,25200,0
2015-05-04,17:15:00,0.18,0.18,0.18,0.18,6700,0
2015-05-04,17:50:00,0.18,0.18,0.18,0.18,20000,0
2015-05-05,18:40:00,0.16,0.17,0.16,0.17,6000,0
2015-05-05,20:25:00,0.18,0.18,0.18,0.18,600,0
2015-05-05,20:30:00,0.18,0.18,0.18,0.18,200,0
2015-05-06,16:00:00,0.165,0.165,0.165,0.165,250,0
2015-05-06,20:05:00,0.18,0.18,0.18,0.18,6300,0
2015-05-06,21:25:00,0.175,0.18,0.175,0.18,47600,0
2015-05-11,22:00:00,0.18,0.18,0.18,0.18,1400,0
2015-05-12,21:00:00,0.17,0.17,0.17,0.17,200,0
2015-05-13,16:50:00,0.1501,0.1501,0.1501,0.1501,100,0
2015-05-15,18:15:00,0.16,0.16,0.16,0.16,3000,0
2015-05-15,19:00:00,0.17,0.17,0.17,0.17,5000,0
2015-05-15,19:35:00,0.18,0.18,0.18,0.18,8000,0
2015-05-19,16:10:00,0.16,0.16,0.16,0.16,2000,0
2015-05-19,16:15:00,0.16,0.16,0.16,0.16,1200,0
2015-05-19,16:20:00,0.16,0.16,0.16,0.16,2000,0
2015-05-19,16:25:00,0.16,0.16,0.16,0.16,1000,0
2015-05-19,16:30:00,0.16,0.16,0.16,0.16,1000,0
2015-05-19,16:35:00,0.16,0.16,0.16,0.16,1800,0
2015-05-22,16:25:00,0.16,0.16,0.16,0.16,800,0
2015-05-27,16:00:00,0.16,0.16,0.16,0.16,198,0
2015-05-29,21:10:00,0.1748,0.1748,0.1748,0.1748,1100,0
2015-05-29,21:35:00,0.16,0.16,0.16,0.16,4000,0
2015-05-29,21:40:00,0.16,0.16,0.16,0.16,4200,0
2015-05-29,21:45:00,0.16,0.16,0.16,0.16,2000,0
2015-06-05,16:05:00,0.18,0.18,0.18,0.18,500,0
2015-06-05,16:40:00,0.18,0.18,0.18,0.18,4000,0
2015-06-05,16:45:00,0.18,0.18,0.18,0.18,25000,0
