Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-13,15:35:00,14.55,14.55,14.55,14.55,112,0
2016-06-13,15:40:00,14.49,14.56,14.49,14.56,900,0
2016-06-13,15:45:00,14.56,14.56,14.56,14.56,100,0
2016-06-13,15:50:00,14.51,14.6,14.51,14.6,500,0
2016-06-13,15:55:00,14.58,14.58,14.58,14.58,100,0
2016-06-13,16:05:00,14.53,14.53,14.5,14.5,400,0
2016-06-13,16:20:00,14.51,14.51,14.51,14.51,200,0
2016-06-13,16:25:00,14.53,14.55,14.53,14.55,400,0
2016-06-13,16:35:00,14.59,14.59,14.59,14.59,800,0
2016-06-13,16:40:00,14.59,14.59,14.56,14.56,600,0
2016-06-13,16:45:00,14.54,14.54,14.54,14.54,1200,0
2016-06-13,16:50:00,14.51,14.51,14.51,14.51,100,0
2016-06-13,16:55:00,14.51,14.51,14.51,14.51,600,0
2016-06-13,17:00:00,14.51,14.51,14.5,14.5,800,0
2016-06-13,17:05:00,14.5,14.52,14.5,14.52,200,0
2016-06-13,17:10:00,14.51,14.51,14.5,14.5,500,0
2016-06-13,17:15:00,14.5,14.52,14.5,14.52,300,0
2016-06-13,17:20:00,14.5,14.5,14.5,14.5,200,0
2016-06-13,17:25:00,14.5,14.5,14.5,14.5,200,0
2016-06-13,17:30:00,14.5,14.51,14.5,14.5,700,0
2016-06-13,17:35:00,14.5,14.5,14.5,14.5,100,0
2016-06-13,17:40:00,14.51,14.51,14.5,14.5,700,0
2016-06-13,17:45:00,14.5034,14.5034,14.5,14.5,500,0
2016-06-13,17:50:00,14.505,14.505,14.505,14.505,100,0
2016-06-13,17:55:00,14.51,14.51,14.51,14.51,200,0
2016-06-13,18:00:00,14.51,14.51,14.51,14.51,300,0
2016-06-13,18:05:00,14.51,14.51,14.51,14.51,300,0
2016-06-13,18:10:00,14.5,14.52,14.5,14.52,300,0
2016-06-13,18:15:00,14.52,14.52,14.52,14.52,200,0
2016-06-13,18:20:00,14.51,14.53,14.51,14.53,200,0
2016-06-13,18:25:00,14.52,14.52,14.52,14.52,300,0
2016-06-13,18:30:00,14.52,14.52,14.52,14.52,100,0
2016-06-13,18:40:00,14.52,14.52,14.52,14.52,100,0
2016-06-13,18:45:00,14.53,14.54,14.53,14.54,400,0
2016-06-13,18:50:00,14.52,14.54,14.52,14.54,200,0
2016-06-13,18:55:00,14.53,14.53,14.53,14.53,100,0
2016-06-13,19:00:00,14.51,14.52,14.51,14.51,300,0
2016-06-13,19:15:00,14.52,14.52,14.52,14.52,100,0
2016-06-13,19:20:00,14.52,14.52,14.52,14.52,100,0
2016-06-13,19:25:00,14.52,14.52,14.52,14.52,300,0
2016-06-13,19:35:00,14.52,14.53,14.52,14.53,200,0
2016-06-13,19:40:00,14.52,14.53,14.49,14.49,4400,0
2016-06-13,19:45:00,14.49,14.5,14.49,14.49,1200,0
2016-06-13,19:50:00,14.49,14.5,14.49,14.5,2100,0
2016-06-13,19:55:00,14.49,14.49,14.49,14.49,500,0
2016-06-13,20:05:00,14.49,14.49,14.49,14.49,100,0
2016-06-13,20:10:00,14.5,14.5,14.5,14.5,200,0
2016-06-13,20:15:00,14.495,14.495,14.495,14.495,200,0
2016-06-13,20:20:00,14.49,14.495,14.49,14.49,400,0
2016-06-13,20:25:00,14.49,14.49,14.49,14.49,300,0
2016-06-13,20:30:00,14.49,14.5,14.49,14.5,1100,0
2016-06-13,20:35:00,14.5,14.5,14.5,14.5,100,0
2016-06-13,20:40:00,14.5,14.5,14.5,14.5,500,0
2016-06-13,20:50:00,14.5001,14.5001,14.5001,14.5001,100,0
2016-06-13,20:55:00,14.5,14.5,14.5,14.5,300,0
2016-06-13,21:00:00,14.49,14.49,14.49,14.49,200,0
2016-06-13,21:05:00,14.49,14.49,14.49,14.49,200,0
2016-06-13,21:10:00,14.49,14.5,14.49,14.495,1000,0
2016-06-13,21:20:00,14.5,14.53,14.5,14.53,1030,0
2016-06-13,21:30:00,14.52,14.52,14.52,14.52,200,0
2016-06-13,21:35:00,14.51,14.52,14.51,14.51,600,0
2016-06-13,21:45:00,14.51,14.51,14.51,14.51,492,0
2016-06-13,21:50:00,14.51,14.51,14.5,14.51,1005,0
2016-06-13,21:55:00,14.51,14.51,14.5,14.51,2200,0
2016-06-13,22:00:00,14.51,14.54,14.5,14.52,7996,0
2016-06-14,15:35:00,14.5,14.5,14.5,14.5,359,0
2016-06-14,15:40:00,14.53,14.54,14.53,14.54,700,0
2016-06-14,15:50:00,14.6,14.6,14.6,14.6,146,0
2016-06-14,16:00:00,14.56,14.56,14.56,14.56,500,0
2016-06-14,16:05:00,14.55,14.55,14.55,14.55,400,0
2016-06-14,16:10:00,14.51,14.51,14.47,14.5,700,0
2016-06-14,16:20:00,14.54,14.55,14.54,14.55,2173,0
2016-06-14,16:25:00,14.54,14.54,14.53,14.53,1300,0
2016-06-14,16:30:00,14.48,14.48,14.48,14.48,100,0
2016-06-14,16:35:00,14.49,14.49,14.49,14.49,400,0
2016-06-14,16:40:00,14.49,14.49,14.49,14.49,400,0
2016-06-14,16:55:00,14.48,14.5,14.48,14.5,1500,0
2016-06-14,17:00:00,14.49,14.5,14.49,14.5,400,0
2016-06-14,17:10:00,14.5,14.5,14.5,14.5,500,0
