Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,11.13,11.13,10.87,10.89,7188,0
2016-06-16,15:40:00,10.91,10.91,10.76,10.78,16897,0
2016-06-16,15:45:00,10.77,10.82,10.72,10.81,27519,0
2016-06-16,15:50:00,10.8,10.835,10.76,10.8,7250,0
2016-06-16,15:55:00,10.8,10.8,10.75,10.75,11600,0
2016-06-16,16:00:00,10.75,10.75,10.69,10.6925,9720,0
2016-06-16,16:05:00,10.69,10.72,10.655,10.675,32489,0
2016-06-16,16:10:00,10.67,10.73,10.66,10.73,6700,0
2016-06-16,16:15:00,10.74,10.785,10.73,10.785,3800,0
2016-06-16,16:20:00,10.785,10.81,10.765,10.8,13758,0
2016-06-16,16:25:00,10.79,10.79,10.74,10.75,18420,0
2016-06-16,16:30:00,10.745,10.82,10.74,10.815,4700,0
2016-06-16,16:35:00,10.81,10.81,10.75,10.75,5000,0
2016-06-16,16:40:00,10.745,10.76,10.69,10.7,11096,0
2016-06-16,16:45:00,10.7,10.71,10.69,10.71,8700,0
2016-06-16,16:50:00,10.72,10.75,10.72,10.73,9900,0
2016-06-16,16:55:00,10.735,10.735,10.695,10.71,8440,0
2016-06-16,17:00:00,10.72,10.74,10.71,10.74,12116,0
2016-06-16,17:05:00,10.75,10.8,10.75,10.75,15787,0
2016-06-16,17:10:00,10.745,10.76,10.745,10.76,4300,0
2016-06-16,17:15:00,10.76,10.78,10.745,10.77,9096,0
2016-06-16,17:20:00,10.77,10.77,10.75,10.765,7000,0
2016-06-16,17:25:00,10.765,10.805,10.76,10.805,8200,0
2016-06-16,17:30:00,10.805,10.8525,10.805,10.82,10215,0
2016-06-16,17:35:00,10.82,10.82,10.775,10.785,5900,0
2016-06-16,17:40:00,10.79,10.82,10.785,10.785,7200,0
2016-06-16,17:45:00,10.78,10.78,10.725,10.725,9500,0
2016-06-16,17:50:00,10.725,10.76,10.725,10.75,18867,0
2016-06-16,17:55:00,10.76,10.76,10.735,10.745,30809,0
2016-06-16,18:00:00,10.745,10.76,10.73,10.755,10501,0
2016-06-16,18:05:00,10.755,10.77,10.75,10.765,12704,0
2016-06-16,18:10:00,10.76,10.7725,10.75,10.77,8700,0
2016-06-16,18:15:00,10.76,10.77,10.745,10.77,7032,0
2016-06-16,18:20:00,10.76,10.7925,10.75,10.79,4593,0
2016-06-16,18:25:00,10.8,10.81,10.76,10.81,7700,0
2016-06-16,18:30:00,10.81,10.815,10.79,10.805,7100,0
2016-06-16,18:35:00,10.8,10.8,10.78,10.785,4500,0
2016-06-16,18:40:00,10.785,10.82,10.78,10.82,7055,0
2016-06-16,18:45:00,10.81,10.86,10.8,10.85,36500,0
2016-06-16,18:50:00,10.855,10.855,10.815,10.83,10656,0
2016-06-16,18:55:00,10.84,10.84,10.805,10.82,7256,0
