Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,23.38,23.475,23.28,23.28,1126,0
2016-06-15,15:40:00,23.3299,23.3299,23.21,23.22,1400,0
2016-06-15,15:45:00,23.22,23.3,23.22,23.3,900,0
2016-06-15,15:50:00,23.42,23.42,23.335,23.335,200,0
2016-06-15,15:55:00,23.36,23.36,23.35,23.35,400,0
2016-06-15,16:00:00,23.34,23.34,23.27,23.27,300,0
2016-06-15,16:30:00,23.35,23.35,23.27,23.28,1700,0
2016-06-15,16:35:00,23.29,23.335,23.29,23.33,1200,0
2016-06-15,16:40:00,23.34,23.35,23.3325,23.3325,978,0
2016-06-15,16:45:00,23.33,23.37,23.33,23.36,1482,0
2016-06-15,16:50:00,23.37,23.38,23.35,23.35,2522,0
2016-06-15,16:55:00,23.37,23.37,23.29,23.3,2100,0
2016-06-15,17:00:00,23.3,23.31,23.22,23.22,1500,0
2016-06-15,17:05:00,23.25,23.28,23.25,23.25,3000,0
2016-06-15,17:10:00,23.23,23.235,23.17,23.17,1500,0
2016-06-15,17:15:00,23.18,23.2,23.13,23.13,600,0
2016-06-15,17:20:00,23.15,23.15,23.15,23.15,100,0
2016-06-15,17:25:00,23.15,23.15,23.15,23.15,100,0
2016-06-15,17:30:00,23.13,23.13,23.06,23.06,2500,0
2016-06-15,17:35:00,23.04,23.06,23.02,23.04,1000,0
2016-06-15,17:40:00,23.02,23.07,23.02,23.05,1900,0
2016-06-15,17:50:00,23.05,23.11,23.05,23.11,1100,0
2016-06-15,17:55:00,23.15,23.19,23.15,23.17,800,0
2016-06-15,18:00:00,23.18,23.18,23.16,23.16,500,0
2016-06-15,18:05:00,23.16,23.17,23.16,23.17,800,0
2016-06-15,18:10:00,23.17,23.2,23.17,23.19,800,0
2016-06-15,18:15:00,23.17,23.17,23.03,23.05,82200,0
2016-06-15,18:20:00,23.08,23.14,23.07,23.13,1600,0
2016-06-15,18:25:00,23.13,23.22,23.13,23.2,1400,0
2016-06-15,18:30:00,23.2,23.22,23.17,23.17,900,0
2016-06-15,18:35:00,23.18,23.19,23.18,23.19,500,0
2016-06-15,18:40:00,23.2,23.21,23.2,23.21,600,0
2016-06-15,18:45:00,23.21,23.26,23.2,23.22,1500,0
2016-06-15,18:50:00,23.26,23.26,23.24,23.25,600,0
2016-06-15,18:55:00,23.24,23.26,23.24,23.25,700,0
2016-06-15,19:00:00,23.24,23.27,23.23,23.23,1700,0
2016-06-15,19:05:00,23.25,23.265,23.24,23.265,2400,0
2016-06-15,19:10:00,23.25,23.25,23.23,23.23,400,0
2016-06-15,19:15:00,23.18,23.19,23.16,23.18,900,0
2016-06-15,19:20:00,23.19,23.25,23.19,23.25,2200,0
2016-06-15,19:25:00,23.25,23.25,23.19,23.19,2000,0
2016-06-15,19:30:00,23.2,23.23,23.19,23.21,1200,0
2016-06-15,19:35:00,23.2283,23.2283,23.19,23.2,2165,0
2016-06-15,19:40:00,23.2,23.23,23.2,23.23,600,0
2016-06-15,19:45:00,23.23,23.25,23.22,23.24,2800,0
2016-06-15,19:50:00,23.25,23.25,23.2,23.2,1700,0
2016-06-15,19:55:00,23.17,23.18,23.15,23.18,1300,0
2016-06-15,20:00:00,23.18,23.2,23.14,23.14,900,0
2016-06-15,20:05:00,23.15,23.15,23.04,23.04,1900,0
2016-06-15,20:10:00,23.08,23.08,22.97,22.98,4700,0
2016-06-15,20:15:00,22.89,22.93,22.88,22.88,2200,0
2016-06-15,20:20:00,22.91,22.98,22.91,22.96,2700,0
2016-06-15,20:25:00,22.97,23.04,22.97,22.97,3800,0
2016-06-15,20:30:00,22.95,22.97,22.95,22.97,1800,0
2016-06-15,20:35:00,22.96,23.03,22.96,23.01,3000,0
2016-06-15,20:40:00,23,23.03,22.98,23,1500,0
2016-06-15,20:45:00,23.02,23.05,23.02,23.05,1500,0
2016-06-15,20:50:00,23.06,23.115,23.06,23.06,1600,0
2016-06-15,20:55:00,23.06,23.08,23.05,23.06,1300,0
2016-06-15,21:00:00,23.08,23.09,23.07,23.09,900,0
2016-06-15,21:05:00,23.09,23.1,23.07,23.095,1600,0
2016-06-15,21:10:00,23.1,23.11,23.1,23.11,800,0
2016-06-15,21:15:00,23.1,23.1099,23.07,23.09,2257,0
2016-06-15,21:20:00,23.07,23.07,23.05,23.05,1030,0
2016-06-15,21:25:00,23.05,23.09,23.05,23.08,1800,0
2016-06-15,21:30:00,23.07,23.08,23.03,23.03,2000,0
2016-06-15,21:35:00,23.04,23.04,23.015,23.03,2651,0
2016-06-15,21:40:00,23.04,23.04,22.96,23,5900,0
2016-06-15,21:45:00,22.98,23,22.97,22.99,6553,0
2016-06-15,21:50:00,22.99,23.02,22.97,23,6300,0
2016-06-15,21:55:00,22.99,23.03,22.98,22.98,16493,0
2016-06-15,22:00:00,22.99,23.01,22.97,22.97,14639,0
2016-06-16,15:35:00,22.86,23.035,22.64,23.035,1389,0
2016-06-16,15:40:00,22.9799,22.98,22.74,22.74,2300,0
2016-06-16,15:45:00,22.82,22.82,22.74,22.82,300,0
2016-06-16,15:50:00,22.75,22.89,22.75,22.86,1874,0
2016-06-16,15:55:00,22.85,22.85,22.79,22.81,500,0
2016-06-16,16:00:00,22.791,22.85,22.76,22.76,1640,0
2016-06-16,16:05:00,22.75,22.77,22.75,22.77,500,0
2016-06-16,16:10:00,22.78,22.78,22.77,22.78,700,0
2016-06-16,16:15:00,22.77,22.86,22.77,22.86,348,0
2016-06-16,16:20:00,22.8,22.8,22.8,22.8,800,0
2016-06-16,16:25:00,22.8,22.86,22.75,22.75,9788,0
2016-06-16,16:35:00,22.87,22.87,22.82,22.82,400,0
2016-06-16,16:40:00,22.87,22.88,22.87,22.88,3045,0
2016-06-16,16:45:00,22.92,22.94,22.92,22.94,600,0
2016-06-16,16:50:00,22.94,22.9599,22.9,22.9,7200,0
2016-06-16,16:55:00,22.87,22.88,22.87,22.88,620,0
2016-06-16,17:00:00,22.87,22.87,22.87,22.87,122,0
2016-06-16,17:05:00,22.9,22.9,22.9,22.9,1142,0
2016-06-16,17:10:00,22.95,22.95,22.92,22.94,1222,0
2016-06-16,17:15:00,22.95,22.95,22.94,22.95,1400,0
2016-06-16,17:20:00,22.92,22.935,22.9,22.9,500,0
2016-06-16,17:25:00,22.89,22.94,22.88,22.9,1900,0
2016-06-16,17:30:00,22.91,22.95,22.87,22.88,8929,0
2016-06-16,17:35:00,22.88,22.88,22.87,22.87,300,0
2016-06-16,17:40:00,22.91,22.93,22.9,22.9,1100,0
2016-06-16,17:45:00,22.9,22.9,22.85,22.85,1700,0
2016-06-16,17:50:00,22.81,22.85,22.81,22.85,200,0
2016-06-16,17:55:00,22.83,22.88,22.83,22.88,1000,0
2016-06-16,18:00:00,22.86,22.89,22.86,22.89,700,0
2016-06-16,18:05:00,22.9,22.9,22.88,22.88,300,0
2016-06-16,18:10:00,22.87,22.87,22.87,22.87,700,0
2016-06-16,18:15:00,22.88,22.88,22.85,22.85,700,0
2016-06-16,18:20:00,22.86,22.88,22.84,22.88,800,0
2016-06-16,18:25:00,22.87,22.88,22.87,22.88,500,0
2016-06-16,18:30:00,22.86,22.9,22.86,22.9,222,0
2016-06-16,18:35:00,22.88,22.9,22.88,22.9,200,0
2016-06-16,18:40:00,22.88,22.88,22.87,22.88,400,0
2016-06-16,18:45:00,22.87,22.9,22.87,22.87,700,0
2016-06-16,18:50:00,22.88,22.88,22.85,22.86,1400,0
2016-06-16,18:55:00,22.8599,22.86,22.82,22.82,500,0
2016-06-16,19:00:00,22.83,22.88,22.83,22.88,500,0
2016-06-16,19:05:00,22.88,22.9,22.88,22.88,800,0
2016-06-16,19:10:00,22.86,22.87,22.85,22.87,900,0
2016-06-16,19:15:00,22.87,22.89,22.87,22.89,500,0
2016-06-16,19:20:00,22.89,22.89,22.86,22.87,400,0
2016-06-16,19:25:00,22.9,22.93,22.88,22.89,2071,0
2016-06-16,19:30:00,22.93,22.93,22.88,22.88,421,0
2016-06-16,19:35:00,22.92,22.93,22.88,22.88,754,0
