Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-14,15:35:00,4.46,5.1,4.46,4.79,2295,0
2015-12-14,15:40:00,4.61,4.7,4.6,4.6,1400,0
2015-12-14,16:25:00,4.7,4.7,4.7,4.7,100,0
2015-12-14,16:50:00,4.3501,4.3501,4.3501,4.3501,100,0
2015-12-14,18:50:00,4.75,4.75,4.75,4.75,100,0
2015-12-14,19:15:00,4.4138,4.4138,4.4138,4.4138,500,0
2015-12-14,21:00:00,4.62,4.62,4.52,4.57,1300,0
2015-12-15,15:50:00,4.76,4.76,4.57,4.64,2100,0
2015-12-15,15:55:00,4.65,4.77,4.64,4.77,1300,0
2015-12-15,16:10:00,4.6558,4.6558,4.64,4.64,437,0
2015-12-15,16:15:00,4.6405,4.65,4.58,4.58,300,0
2015-12-15,17:25:00,4.732,4.732,4.732,4.732,200,0
2015-12-15,19:05:00,4.73,4.73,4.73,4.73,1500,0
2015-12-16,16:10:00,4.75,4.75,4.73,4.73,200,0
2015-12-16,16:15:00,4.73,4.73,4.64,4.66,3100,0
2015-12-16,16:20:00,4.6501,4.7,4.64,4.65,3000,0
2015-12-16,16:25:00,4.65,4.65,4.65,4.65,100,0
2015-12-16,17:55:00,4.6196,4.6196,4.6196,4.6196,125,0
2015-12-16,21:30:00,4.58,4.58,4.58,4.58,350,0
2015-12-17,16:10:00,4.61,4.61,4.6,4.6,600,0
2015-12-17,16:15:00,4.71,4.71,4.63,4.63,600,0
2015-12-17,17:20:00,4.63,4.6301,4.63,4.63,300,0
2015-12-17,17:25:00,4.5801,4.59,4.57,4.57,900,0
2015-12-17,18:25:00,4.546,4.546,4.546,4.546,210,0
2015-12-17,18:55:00,4.54,4.54,4.44,4.44,400,0
2015-12-17,19:25:00,4.48,4.48,4.48,4.48,299,0
2015-12-18,16:25:00,4.39,4.39,4.39,4.39,1200,0
2015-12-18,18:45:00,4.36,4.37,4.3418,4.3418,1500,0
2015-12-18,19:00:00,4.3,4.3,4.3,4.3,600,0
2015-12-18,19:05:00,4.33,4.33,4.33,4.33,500,0
2015-12-18,19:20:00,4.3,4.3,4.3,4.3,200,0
2015-12-18,19:40:00,4.29,4.3,4.29,4.3,353,0
2015-12-18,20:35:00,4.34,4.34,4.31,4.34,2735,0
2015-12-18,21:15:00,4.35,4.38,4.35,4.38,700,0
2015-12-18,21:50:00,4.35,4.35,4.35,4.35,500,0
2015-12-21,16:00:00,4.46,4.46,4.25,4.275,800,0
2015-12-21,16:05:00,4.49,4.615,4.26,4.28,1500,0
2015-12-21,16:10:00,4.15,4.51,4.15,4.49,2900,0
2015-12-21,16:15:00,4.41,4.46,4.41,4.4599,926,0
2015-12-21,16:20:00,4.44,4.44,4.44,4.44,400,0
2015-12-21,16:35:00,4.2,4.23,4.2,4.23,800,0
2015-12-21,16:40:00,4.27,4.3499,4.27,4.3,1253,0
2015-12-21,16:45:00,4.37,4.37,4.37,4.37,100,0
2015-12-21,17:25:00,4.2001,4.2001,4.2001,4.2001,200,0
2015-12-21,17:40:00,4.3,4.3,4.3,4.3,200,0
2015-12-21,20:25:00,4.2,4.2,4.2,4.2,1000,0
2015-12-21,20:30:00,4.2,4.2,4.2,4.2,144,0
2015-12-21,21:00:00,4.25,4.25,4.25,4.25,100,0
2015-12-22,15:35:00,4.5,4.5,4.43,4.43,1700,0
2015-12-22,15:40:00,4.41,4.41,4.31,4.32,1000,0
2015-12-22,15:45:00,4.33,4.45,4.23,4.23,1236,0
2015-12-22,15:50:00,4.25,4.25,4.25,4.25,100,0
2015-12-22,17:20:00,4.32,4.32,4.25,4.25,500,0
2015-12-22,17:25:00,4.3,4.3,4.28,4.28,1100,0
2015-12-22,17:30:00,4.26,4.28,4.14,4.19,2000,0
2015-12-22,17:35:00,4.23,4.31,4.23,4.31,300,0
2015-12-22,17:50:00,4.29,4.29,4.29,4.29,596,0
2015-12-22,17:55:00,4.28,4.28,4.28,4.28,161,0
2015-12-22,18:15:00,4.25,4.25,4.25,4.25,100,0
2015-12-22,18:45:00,4.25,4.25,4.21,4.25,1600,0
2015-12-23,16:25:00,4.24,4.3299,4.24,4.3299,1308,0
2015-12-23,16:35:00,4.27,4.33,4.27,4.295,400,0
2015-12-23,17:20:00,4.31,4.36,4.21,4.26,3200,0
2015-12-23,17:25:00,4.21,4.22,4.21,4.22,200,0
2015-12-23,17:30:00,4.21,4.24,4.14,4.24,1800,0
2015-12-23,17:35:00,4.23,4.24,4.21,4.21,1400,0
2015-12-23,17:40:00,4.21,4.21,4.21,4.21,1098,0
2015-12-23,18:50:00,4.1799,4.2414,4.1799,4.2414,1500,0
2015-12-24,15:35:00,4.14,4.14,4.14,4.14,200,0
2015-12-24,15:45:00,4.24,4.37,4.24,4.36,400,0
2015-12-24,15:50:00,4.46,4.46,4.25,4.25,1600,0
2015-12-24,15:55:00,4.14,4.34,4.14,4.23,1500,0
2015-12-24,16:00:00,4.29,4.29,4.29,4.29,747,0
2015-12-24,16:15:00,4.24,4.24,4.24,4.24,150,0
2015-12-24,16:55:00,4.25,4.31,4.25,4.3,2600,0
2015-12-24,18:00:00,4.3,4.3,4.3,4.3,2400,0
2015-12-24,18:30:00,4.32,4.32,4.32,4.32,100,0
2015-12-24,19:00:00,4.3,4.3,4.3,4.3,100,0
2015-12-28,19:15:00,4.15,4.15,4.14,4.14,2400,0
2015-12-28,19:20:00,4.14,4.14,4.14,4.14,370,0
2015-12-28,21:00:00,4.1,4.1,4.1,4.1,500,0
2015-12-28,21:20:00,4.1,4.2,4.1,4.2,3454,0
2015-12-29,16:05:00,4.2,4.2,4.2,4.2,1000,0
2015-12-29,18:15:00,4.19,4.2,4.19,4.2,1100,0
2015-12-29,18:55:00,4.03,4.05,4,4,1400,0
2015-12-29,19:00:00,4.03,4.03,3.99,4,900,0
2015-12-29,19:05:00,3.96,4.01,3.95,3.9999,2200,0
2015-12-29,19:30:00,4,4,4,4,6100,0
2015-12-29,19:45:00,4,4,3.99,3.99,400,0
2015-12-29,20:15:00,4,4,3.96,3.96,1600,0
2015-12-29,20:25:00,3.9601,3.9601,3.9601,3.9601,100,0
2015-12-29,20:35:00,3.9688,3.9688,3.9688,3.9688,500,0
2015-12-29,20:50:00,3.976,3.976,3.976,3.976,500,0
2015-12-29,21:10:00,3.9799,3.9799,3.9799,3.9799,500,0
2015-12-29,21:25:00,3.98,4,3.98,4,3000,0
2015-12-29,21:45:00,3.98,4,3.98,4,3600,0
2015-12-30,15:45:00,4.1,4.1301,4.1,4.1,3000,0
2015-12-30,16:05:00,4.09,4.09,4.04,4.04,200,0
2015-12-30,17:30:00,4.1494,4.2,4.1494,4.18,800,0
2015-12-30,18:45:00,4.18,4.18,4.18,4.18,100,0
2015-12-30,18:50:00,4.2,4.2,4.2,4.2,100,0
2015-12-30,20:25:00,4.1,4.2,4.1,4.15,900,0
2015-12-30,20:30:00,4.2,4.2,4.2,4.2,100,0
2015-12-30,20:35:00,4.2,4.2,4.2,4.2,100,0
2015-12-30,20:40:00,4.2,4.2,4.15,4.15,999,0
2015-12-30,20:45:00,4.15,4.15,4.15,4.15,200,0
2015-12-30,21:05:00,4.3,4.3,4.3,4.3,750,0
2015-12-30,21:10:00,4.22,4.22,4.22,4.22,100,0
2015-12-30,21:15:00,4.3,4.3,4.26,4.3,1552,0
2015-12-30,21:30:00,4.25,4.3,4.25,4.3,600,0
2015-12-30,21:40:00,4.3,4.3,4.3,4.3,849,0
2015-12-30,22:00:00,4.01,4.1024,4.01,4.1024,2700,0
2015-12-31,16:05:00,4.36,4.36,4,4.17,1500,0
2015-12-31,16:10:00,4.13,4.34,4,4.09,2000,0
2015-12-31,16:15:00,4.05,4.14,3.99,4.14,1200,0
2015-12-31,18:10:00,4.01,4.01,4.01,4.01,100,0
2015-12-31,18:45:00,4.1499,4.1499,4.1499,4.1499,1142,0
2015-12-31,20:10:00,4.0699,4.0699,4.035,4.035,1500,0
2015-12-31,20:15:00,4.035,4.035,4,4.0225,2600,0
2015-12-31,20:25:00,3.99,3.99,3.99,3.99,100,0
2015-12-31,20:30:00,3.99,3.99,3.98,3.99,800,0
2015-12-31,20:40:00,3.98,4,3.98,4,766,0
2015-12-31,21:15:00,4,4,4,4,2100,0
2015-12-31,21:25:00,4,4,4,4,2400,0
2015-12-31,21:35:00,4.01,4.01,4.0001,4.0001,200,0
2015-12-31,21:45:00,4.0001,4.0001,4.0001,4.0001,100,0
2015-12-31,22:00:00,4.02,4.02,4.02,4.02,100,0
2016-01-04,15:40:00,4.02,4.02,4,4,600,0
2016-01-04,15:50:00,4,4,4,4,300,0
2016-01-04,19:35:00,4.019,4.095,4.019,4.095,750,0
2016-01-04,21:05:00,4.2,4.2,4.16,4.16,200,0
2016-01-04,22:00:00,4.19,4.19,4.19,4.19,100,0
2016-01-05,15:35:00,4.31,4.31,4.31,4.31,112,0
2016-01-05,16:15:00,3.94,3.94,3.94,3.94,100,0
2016-01-05,16:20:00,4,4.24,3.89,4.02,1000,0
2016-01-05,16:25:00,4.025,4.15,4.025,4.1,500,0
2016-01-05,17:20:00,4.04,4.04,3.96,3.98,1300,0
2016-01-05,17:25:00,4,4.09,4,4.09,1191,0
2016-01-05,17:30:00,4.03,4.05,4.03,4.05,500,0
2016-01-05,17:45:00,4.01,4.01,4.01,4.01,100,0
2016-01-05,17:50:00,3.98,3.98,3.98,3.98,100,0
2016-01-05,21:45:00,4,4.0463,4,4.01,600,0
2016-01-05,21:50:00,4.0499,4.0533,4,4.0533,2700,0
2016-01-07,15:35:00,4.15,4.15,4.05,4.08,1100,0
2016-01-07,15:40:00,4.12,4.12,4.12,4.12,600,0
2016-01-07,16:05:00,4.0495,4.0495,4.04,4.04,270,0
2016-01-07,16:10:00,4.0395,4.0395,4.03,4.03,400,0
2016-01-07,16:40:00,3.902,3.91,3.9,3.9,930,0
2016-01-07,17:20:00,3.89,3.89,3.89,3.89,100,0
2016-01-07,19:00:00,3.938,3.938,3.938,3.938,126,0
2016-01-07,19:05:00,3.9,3.9,3.89,3.89,2300,0
2016-01-07,20:40:00,3.89,3.89,3.89,3.89,400,0
2016-01-07,21:15:00,3.91,3.91,3.91,3.91,100,0
2016-01-07,21:35:00,3.89,3.89,3.89,3.89,2600,0
2016-01-07,22:00:00,3.84,3.84,3.84,3.84,200,0
2016-01-08,17:35:00,4.08,4.08,4.02,4.02,200,0
2016-01-08,17:40:00,3.98,3.98,3.98,3.98,300,0
2016-01-08,20:25:00,4.03,4.04,4.03,4.04,200,0
2016-01-08,20:30:00,4.04,4.05,3.95,4.05,1200,0
2016-01-11,15:35:00,4.12,4.29,4.0001,4.08,1534,0
2016-01-11,15:40:00,3.87,4.26,3.8501,3.86,1543,0
2016-01-11,15:50:00,4,4,4,4,97,0
2016-01-11,18:40:00,3.945,3.964,3.945,3.964,200,0
2016-01-11,19:30:00,3.95,3.95,3.94,3.9499,268,0
2016-01-11,19:35:00,3.95,3.95,3.95,3.95,79,0
2016-01-12,15:55:00,4.01,4.04,4.01,4.04,200,0
2016-01-12,20:30:00,4.06,4.06,4.06,4.06,100,0
2016-01-13,17:55:00,4.05,4.09,3.93,4.06,1500,0
2016-01-13,20:00:00,3.91,3.91,3.91,3.91,100,0
2016-01-13,21:55:00,3.9,3.9,3.9,3.9,299,0
2016-01-14,15:35:00,4.17,4.17,4.17,4.17,284,0
2016-01-14,16:40:00,4.29,4.29,4.18,4.18,300,0
2016-01-14,17:50:00,4.18,4.18,4.17,4.1701,400,0
2016-01-14,18:20:00,4.24,4.24,4.24,4.24,100,0
2016-01-14,18:25:00,4.23,4.23,4.23,4.23,149,0
2016-01-14,18:40:00,4.3,4.3,4.3,4.3,100,0
2016-01-14,18:55:00,4.19,4.19,4.19,4.19,100,0
2016-01-14,20:55:00,4.2405,4.2405,4.2,4.2,450,0
2016-01-14,21:05:00,4.25,4.25,4.25,4.25,100,0
2016-01-14,21:10:00,4.19,4.26,4.19,4.2,799,0
2016-01-14,21:15:00,4.21,4.21,4.21,4.21,100,0
2016-01-14,21:35:00,4.2789,4.28,4.17,4.2789,2400,0
2016-01-14,21:40:00,4.2799,4.2799,4.276,4.276,400,0
2016-01-14,21:50:00,4.2693,4.2693,4.2693,4.2693,100,0
2016-01-14,21:55:00,4.25,4.2696,4.21,4.2696,400,0
2016-01-15,15:50:00,4.34,4.34,4.13,4.2,1800,0
2016-01-15,18:15:00,3.9201,3.9201,3.9201,3.9201,100,0
2016-01-15,19:05:00,4.26,4.26,4.17,4.17,200,0
2016-01-15,19:10:00,3.99,4.07,3.99,4.07,500,0
2016-01-15,19:15:00,4.12,4.12,4.12,4.12,100,0
2016-01-15,19:20:00,4.164,4.164,4.164,4.164,500,0
2016-01-15,19:25:00,4.19,4.19,4.19,4.19,100,0
2016-01-15,20:45:00,4.02,4.02,4.02,4.02,200,0
2016-01-15,20:55:00,4.07,4.07,4.07,4.07,200,0
2016-01-15,21:50:00,4.02,4.02,4.02,4.02,100,0
2016-01-19,16:55:00,4.15,4.15,3.9,3.9,3,0
2016-01-19,19:20:00,4.18,4.18,3.92,3.99,4216,0
2016-01-19,19:25:00,4.01,4.17,3.98,3.98,886,0
2016-01-19,19:30:00,3.99,4.16,3.99,3.99,1004,0
2016-01-19,19:35:00,3.93,4.1,3.91,4.1,1761,0
2016-01-19,19:40:00,4.1,4.1,3.93,3.96,2205,0
2016-01-19,19:45:00,4.11,4.11,3.935,3.9495,1475,0
2016-01-19,19:50:00,3.93,3.93,3.91,3.91,1102,0
2016-01-20,15:40:00,3.91,3.91,3.84,3.84,1665,0
2016-01-20,16:00:00,3.8708,3.8708,3.8708,3.8708,155,0
2016-01-20,16:15:00,3.84,3.84,3.84,3.84,400,0
2016-01-20,16:55:00,3.84,3.84,3.84,3.84,100,0
2016-01-20,17:00:00,3.84,3.84,3.84,3.84,500,0
2016-01-20,17:05:00,3.84,3.84,3.84,3.84,100,0
2016-01-20,20:25:00,3.8395,3.8395,3.83,3.83,470,0
2016-01-20,21:50:00,3.79,3.79,3.79,3.79,200,0
2016-01-21,15:45:00,3.79,3.79,3.79,3.79,2425,0
2016-01-21,16:10:00,3.6463,3.6463,3.6463,3.6463,400,0
2016-01-21,16:35:00,3.65,3.65,3.65,3.65,100,0
2016-01-21,18:10:00,3.5658,3.5658,3.5658,3.5658,100,0
2016-01-21,18:55:00,3.57,3.57,3.57,3.57,17500,0
2016-01-21,19:45:00,3.59,3.59,3.59,3.59,100,0
2016-01-21,20:10:00,3.57,3.57,3.57,3.57,100,0
2016-01-21,20:40:00,3.57,3.57,3.57,3.57,800,0
2016-01-21,22:00:00,3.58,3.58,3.57,3.57,600,0
2016-01-22,16:00:00,3.85,3.85,3.8,3.8001,3200,0
2016-01-22,16:05:00,3.835,3.835,3.835,3.835,100,0
2016-01-22,16:50:00,3.814,3.814,3.814,3.814,200,0
2016-01-22,17:25:00,3.8001,3.8001,3.8001,3.8001,434,0
2016-01-22,17:30:00,3.81,3.82,3.81,3.82,358,0
2016-01-22,18:25:00,3.81,3.81,3.81,3.81,100,0
2016-01-22,18:30:00,3.81,3.81,3.81,3.81,100,0
2016-01-22,18:35:00,3.8,3.8,3.8,3.8,700,0
2016-01-25,15:35:00,4.02,4.02,3.8201,3.8201,10301,0
2016-01-25,15:40:00,3.99,4.1,3.82,3.99,3900,0
2016-01-25,15:45:00,4.001,4.01,4,4,547,0
2016-01-25,15:55:00,3.97,3.99,3.97,3.99,500,0
2016-01-25,17:45:00,3.97,4,3.97,4,2100,0
2016-01-25,18:35:00,3.9,3.9,3.9,3.9,400,0
2016-01-25,20:30:00,3.9,3.9,3.9,3.9,100,0
2016-01-25,21:20:00,3.9,3.9,3.9,3.9,1743,0
2016-01-25,21:35:00,3.9,3.9,3.9,3.9,900,0
2016-01-25,21:50:00,3.9,3.9,3.9,3.9,400,0
2016-01-25,21:55:00,3.9,3.9,3.9,3.9,100,0
2016-01-25,22:00:00,3.9,3.9,3.9,3.9,500,0
2016-01-26,15:50:00,3.9,3.925,3.9,3.9,700,0
2016-01-26,16:00:00,3.9,3.9,3.9,3.9,700,0
2016-01-26,16:05:00,3.9,3.91,3.9,3.9,1600,0
2016-01-26,16:20:00,3.9,3.9,3.9,3.9,800,0
2016-01-26,16:35:00,3.9,3.9,3.9,3.9,600,0
2016-01-26,16:50:00,3.89,3.9,3.89,3.9,400,0
2016-01-26,16:55:00,3.86,3.86,3.86,3.86,100,0
2016-01-26,18:10:00,3.8499,3.8499,3.8499,3.8499,500,0
2016-01-26,18:50:00,3.84,3.85,3.84,3.84,4101,0
2016-01-26,19:45:00,3.84,3.84,3.84,3.84,100,0
2016-01-26,19:50:00,3.84,3.84,3.84,3.84,475,0
2016-01-26,20:10:00,3.603,3.772,3.603,3.772,496,0
2016-01-26,20:40:00,3.6,3.6765,3.59,3.6765,4698,0
2016-01-26,21:40:00,3.58,3.58,3.58,3.58,100,0
2016-01-26,22:00:00,3.58,3.58,3.58,3.58,100,0
2016-01-27,16:15:00,3.75,3.75,3.75,3.75,100,0
2016-01-27,16:20:00,3.75,3.75,3.75,3.75,400,0
2016-01-27,17:25:00,3.75,3.75,3.64,3.64,600,0
2016-01-27,17:30:00,3.64,3.94,3.64,3.67,700,0
2016-01-27,17:35:00,3.63,3.65,3.63,3.65,400,0
2016-01-27,18:20:00,3.64,3.64,3.64,3.64,150,0
2016-01-27,18:25:00,3.6,3.6,3.6,3.6,100,0
2016-01-27,19:00:00,3.57,3.57,3.57,3.57,1100,0
2016-01-27,19:15:00,3.57,3.57,3.57,3.57,100,0
2016-01-27,21:40:00,3.495,3.495,3.4852,3.4896,3600,0
2016-01-27,21:45:00,3.49,3.6089,3.49,3.51,1100,0
2016-01-27,21:55:00,3.64,3.64,3.57,3.57,800,0
2016-01-27,22:00:00,3.57,3.5701,3.57,3.57,600,0
2016-01-28,16:50:00,3.7499,3.7499,3.7499,3.7499,100,0
2016-01-28,16:55:00,3.65,3.65,3.65,3.65,500,0
2016-01-28,19:50:00,3.76,3.7885,3.76,3.7885,200,0
2016-01-28,22:00:00,3.71,3.71,3.71,3.71,100,0
2016-01-29,15:40:00,3.85,3.86,3.85,3.86,500,0
2016-01-29,19:30:00,3.77,3.77,3.66,3.7285,2600,0
2016-01-29,19:35:00,3.726,3.7287,3.56,3.7287,800,0
2016-01-29,20:20:00,3.65,3.6525,3.65,3.6525,200,0
2016-01-29,20:35:00,3.655,3.6799,3.65,3.65,2099,0
2016-01-29,20:40:00,3.65,3.66,3.65,3.65,1300,0
2016-01-29,21:05:00,3.62,3.62,3.62,3.62,100,0
