Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-18,15:35:00,6.122,6.122,6.122,6.122,102,0
2016-04-18,15:40:00,6.2116,6.2215,6.2041,6.2215,1708,0
2016-04-18,15:50:00,6.2215,6.2812,6.2215,6.2812,1517,0
2016-04-18,16:05:00,6.2653,6.2703,6.2165,6.2165,904,0
2016-04-18,17:00:00,6.1916,6.1916,6.1916,6.1916,201,0
2016-04-18,17:35:00,6.1767,6.1767,6.1767,6.1767,100,0
2016-04-18,18:25:00,6.1817,6.1817,6.1817,6.1817,100,0
2016-04-18,19:15:00,6.1915,6.1915,6.1817,6.1817,1205,0
2016-04-18,19:25:00,6.1916,6.1916,6.1916,6.1916,100,0
2016-04-18,19:35:00,6.1867,6.1867,6.1867,6.1867,100,0
2016-04-18,19:45:00,6.1916,6.2165,6.1916,6.2165,502,0
2016-04-18,19:50:00,6.2116,6.2116,6.122,6.1966,2511,0
2016-04-18,20:30:00,6.1289,6.1289,6.1289,6.1289,201,0
2016-04-18,20:35:00,6.1816,6.1816,6.1816,6.1816,286,0
2016-04-18,20:40:00,6.1817,6.1817,6.1817,6.1817,100,0
2016-04-18,20:50:00,6.1817,6.1817,6.1817,6.1817,538,0
2016-04-18,20:55:00,6.1817,6.1817,6.1817,6.1817,14968,0
2016-04-18,21:00:00,6.1916,6.2315,6.1916,6.2315,201,0
2016-04-18,21:15:00,6.2046,6.2046,6.2046,6.2046,100,0
2016-04-18,21:35:00,6.2016,6.2016,6.1817,6.1817,1030,0
2016-04-18,21:40:00,6.1817,6.1817,6.1817,6.1817,1431,0
2016-04-18,21:45:00,6.1817,6.1817,6.1722,6.1722,201,0
2016-04-18,22:00:00,6.1827,6.1916,6.1817,6.1817,879,0
2016-04-19,15:35:00,6.1817,6.1817,6.1817,6.1817,104,0
2016-04-19,15:40:00,6.2215,6.2215,6.2215,6.2215,100,0
2016-04-19,16:45:00,6.1857,6.1857,6.143,6.143,1708,0
2016-04-19,16:50:00,6.1429,6.1459,6.1429,6.1459,502,0
2016-04-19,17:10:00,6.1717,6.1717,6.1717,6.1717,201,0
2016-04-19,17:20:00,6.1717,6.1717,6.0921,6.0921,2708,0
2016-04-19,17:45:00,6.1618,6.1618,6.1618,6.1618,100,0
2016-04-19,18:00:00,6.1871,6.1871,6.1871,6.1871,100,0
2016-04-19,18:25:00,6.2016,6.2016,6.2016,6.2016,502,0
2016-04-19,18:35:00,6.2016,6.2016,6.2016,6.2016,100,0
2016-04-19,19:25:00,6.1916,6.1916,6.1916,6.1916,100,0
2016-04-19,20:05:00,6.1916,6.1916,6.1916,6.1916,100,0
2016-04-19,20:20:00,6.1717,6.1717,6.1717,6.1717,100,0
2016-04-19,20:40:00,6.1717,6.1717,6.1618,6.1716,3477,0
2016-04-19,20:55:00,6.1717,6.1717,6.1717,6.1717,100,0
2016-04-19,21:05:00,6.1817,6.1817,6.1717,6.1717,201,0
2016-04-19,21:15:00,6.1618,6.1817,6.1618,6.1817,2686,0
2016-04-19,21:20:00,6.1618,6.1618,6.1618,6.1618,100,0
2016-04-19,21:35:00,6.1717,6.1717,6.1717,6.1717,201,0
2016-04-19,21:50:00,6.1716,6.1716,6.1459,6.1459,201,0
2016-04-19,21:55:00,6.1717,6.1717,6.1717,6.1717,100,0
2016-04-19,22:00:00,6.1717,6.1817,6.1717,6.1817,402,0
2016-04-20,15:45:00,6.2116,6.2116,6.2116,6.2116,100,0
2016-04-20,17:10:00,6.2214,6.2214,6.2214,6.2214,502,0
2016-04-20,17:15:00,6.2215,6.2215,6.1916,6.1916,301,0
2016-04-20,18:00:00,6.1915,6.1915,6.1518,6.1518,1507,0
2016-04-20,18:15:00,6.1916,6.1916,6.1916,6.1916,100,0
2016-04-20,19:20:00,6.1817,6.1817,6.1817,6.1817,100,0
2016-04-20,19:25:00,6.1916,6.1916,6.1916,6.1916,100,0
2016-04-20,19:45:00,6.1916,6.1916,6.1916,6.1916,502,0
2016-04-20,19:55:00,6.1915,6.1915,6.1915,6.1915,3014,0
2016-04-20,20:00:00,6.1915,6.1916,6.1915,6.1916,1205,0
2016-04-20,20:20:00,6.2116,6.2116,6.2116,6.2116,100,0
2016-04-20,20:55:00,6.2215,6.2215,6.2215,6.2215,100,0
2016-04-20,21:00:00,6.1956,6.1956,6.1916,6.1916,502,0
2016-04-20,21:20:00,6.1916,6.1916,6.1916,6.1916,201,0
2016-04-20,21:40:00,6.1817,6.1817,6.1618,6.1618,201,0
2016-04-20,21:50:00,6.1717,6.1717,6.1518,6.1518,201,0
2016-04-20,21:55:00,6.1518,6.1518,6.1518,6.1518,100,0
2016-04-20,22:00:00,6.1618,6.1717,6.1618,6.1717,301,0
2016-04-21,15:35:00,6.1021,6.1021,6.1021,6.1021,2009,0
2016-04-21,15:40:00,6.1022,6.1022,6.1022,6.1022,1005,0
2016-04-21,15:45:00,6.2116,6.2116,6.2116,6.2116,100,0
2016-04-21,16:25:00,6.1817,6.1817,6.1817,6.1817,100,0
2016-04-21,18:15:00,6.1817,6.1817,6.1817,6.1817,201,0
2016-04-21,18:20:00,6.1717,6.1717,6.1717,6.1717,603,0
