Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,11.73,11.73,11.73,11.73,2259,0
2016-06-16,15:40:00,11.82,11.82,11.64,11.64,1558,0
2016-06-16,15:45:00,11.64,11.68,11.64,11.67,400,0
2016-06-16,15:50:00,11.67,11.72,11.67,11.72,3178,0
2016-06-16,15:55:00,11.71,11.71,11.6901,11.6901,734,0
2016-06-16,16:00:00,11.69,11.7,11.65,11.65,2800,0
2016-06-16,16:05:00,11.66,11.67,11.65,11.66,3558,0
2016-06-16,16:10:00,11.665,11.665,11.64,11.645,3600,0
2016-06-16,16:15:00,11.65,11.67,11.65,11.6525,4300,0
2016-06-16,16:20:00,11.655,11.67,11.64,11.64,1800,0
2016-06-16,16:25:00,11.65,11.67,11.63,11.63,2000,0
2016-06-16,16:30:00,11.61,11.64,11.6001,11.64,2800,0
2016-06-16,16:35:00,11.64,11.64,11.61,11.62,1316,0
2016-06-16,16:40:00,11.62,11.63,11.62,11.63,2600,0
2016-06-16,16:45:00,11.63,11.64,11.63,11.64,1400,0
2016-06-16,16:50:00,11.64,11.65,11.64,11.65,800,0
2016-06-16,16:55:00,11.66,11.66,11.6201,11.6201,2100,0
2016-06-16,17:00:00,11.64,11.64,11.64,11.64,1500,0
2016-06-16,17:05:00,11.65,11.66,11.645,11.66,2900,0
2016-06-16,17:10:00,11.66,11.68,11.66,11.68,1950,0
2016-06-16,17:15:00,11.68,11.69,11.68,11.69,2200,0
2016-06-16,17:20:00,11.7,11.7,11.68,11.68,1500,0
2016-06-16,17:25:00,11.68,11.7,11.68,11.7,3100,0
2016-06-16,17:30:00,11.71,11.77,11.71,11.765,4153,0
2016-06-16,17:35:00,11.76,11.76,11.74,11.75,4100,0
2016-06-16,17:40:00,11.75,11.75,11.71,11.73,1600,0
2016-06-16,17:45:00,11.75,11.75,11.725,11.73,2100,0
2016-06-16,17:50:00,11.725,11.73,11.72,11.725,2400,0
2016-06-16,17:55:00,11.72,11.73,11.715,11.72,5400,0
2016-06-16,18:00:00,11.72,11.73,11.71,11.71,1800,0
2016-06-16,18:05:00,11.7,11.7,11.7,11.7,290,0
2016-06-16,18:10:00,11.71,11.72,11.71,11.715,1000,0
2016-06-16,18:15:00,11.71,11.72,11.705,11.72,1900,0
2016-06-16,18:20:00,11.72,11.72,11.7,11.72,1100,0
2016-06-16,18:25:00,11.71,11.73,11.695,11.73,1400,0
2016-06-16,18:30:00,11.72,11.73,11.72,11.73,800,0
2016-06-16,18:35:00,11.71,11.71,11.71,11.71,200,0
2016-06-16,18:40:00,11.715,11.74,11.715,11.74,1100,0
2016-06-16,18:45:00,11.74,11.75,11.73,11.74,1600,0
2016-06-16,18:50:00,11.74,11.74,11.74,11.74,300,0
2016-06-16,18:55:00,11.73,11.73,11.73,11.73,600,0
2016-06-16,19:00:00,11.73,11.73,11.725,11.73,400,0
2016-06-16,19:05:00,11.73,11.75,11.73,11.75,866,0
2016-06-16,19:10:00,11.74,11.76,11.73,11.76,1600,0
2016-06-16,19:15:00,11.755,11.755,11.74,11.74,1200,0
2016-06-16,19:20:00,11.73,11.74,11.73,11.74,1200,0
2016-06-16,19:25:00,11.77,11.77,11.75,11.75,600,0
2016-06-16,19:30:00,11.7515,11.76,11.74,11.7415,4801,0
2016-06-16,19:35:00,11.75,11.755,11.745,11.745,700,0
2016-06-16,19:40:00,11.73,11.74,11.72,11.725,2230,0
2016-06-16,19:45:00,11.72,11.72,11.705,11.705,828,0
2016-06-16,19:50:00,11.705,11.705,11.69,11.69,800,0
2016-06-16,19:55:00,11.69,11.7,11.68,11.68,1378,0
2016-06-16,20:00:00,11.69,11.7,11.68,11.68,3500,0
2016-06-16,20:05:00,11.675,11.69,11.675,11.69,2787,0
2016-06-16,20:10:00,11.7,11.71,11.695,11.71,1600,0
2016-06-16,20:15:00,11.71,11.74,11.705,11.74,3600,0
2016-06-16,20:20:00,11.74,11.75,11.735,11.75,2400,0
2016-06-16,20:25:00,11.75,11.76,11.735,11.745,1500,0
2016-06-16,20:30:00,11.74,11.74,11.72,11.72,3082,0
2016-06-16,20:35:00,11.73,11.73,11.725,11.725,988,0
2016-06-16,20:40:00,11.73,11.73,11.72,11.72,400,0
2016-06-16,20:45:00,11.715,11.72,11.71,11.72,1155,0
2016-06-16,20:50:00,11.71,11.73,11.71,11.725,4000,0
2016-06-16,20:55:00,11.73,11.75,11.725,11.75,2000,0
2016-06-16,21:00:00,11.755,11.76,11.73,11.73,1800,0
2016-06-16,21:05:00,11.74,11.76,11.74,11.75,1910,0
2016-06-16,21:10:00,11.73,11.73,11.725,11.725,200,0
2016-06-16,21:15:00,11.725,11.73,11.72,11.725,883,0
2016-06-16,21:20:00,11.72,11.73,11.6,11.66,12128,0
2016-06-16,21:25:00,11.67,11.7,11.67,11.7,2985,0
2016-06-16,21:30:00,11.71,11.72,11.71,11.72,2100,0
2016-06-16,21:35:00,11.715,11.73,11.715,11.73,2749,0
2016-06-16,21:40:00,11.73,11.73,11.705,11.71,2300,0
2016-06-16,21:45:00,11.71,11.73,11.71,11.73,4528,0
2016-06-16,21:50:00,11.725,11.725,11.69,11.69,7098,0
2016-06-16,21:55:00,11.685,11.7,11.68,11.7,11931,0
2016-06-16,22:00:00,11.69,11.72,11.685,11.71,42693,0
2016-06-17,15:35:00,11.75,11.8,11.75,11.8,184559,0
2016-06-17,15:40:00,11.79,11.79,11.77,11.77,1300,0
2016-06-17,15:45:00,11.8,11.8,11.8,11.8,100,0
2016-06-17,15:50:00,11.83,11.83,11.78,11.81,2600,0
2016-06-17,15:55:00,11.81,11.84,11.8,11.8,3110,0
2016-06-17,16:00:00,11.81,11.81,11.78,11.78,1800,0
2016-06-17,16:05:00,11.78,11.82,11.78,11.78,1571,0
2016-06-17,16:10:00,11.82,11.84,11.81,11.83,1400,0
2016-06-17,16:15:00,11.815,11.815,11.815,11.815,200,0
2016-06-17,16:20:00,11.8,11.85,11.8,11.85,1400,0
2016-06-17,16:25:00,11.86,11.865,11.84,11.86,4300,0
2016-06-17,16:30:00,11.84,11.845,11.82,11.82,4600,0
2016-06-17,16:35:00,11.83,11.83,11.78,11.79,9878,0
2016-06-17,16:40:00,11.785,11.79,11.77,11.78,1400,0
2016-06-17,16:45:00,11.79,11.8,11.79,11.8,2300,0
2016-06-17,16:50:00,11.8,11.81,11.79,11.8,18900,0
2016-06-17,16:55:00,11.805,11.805,11.79,11.79,4750,0
2016-06-17,17:00:00,11.8,11.8,11.79,11.79,5200,0
2016-06-17,17:05:00,11.795,11.8,11.77,11.77,4100,0
2016-06-17,17:10:00,11.76,11.78,11.76,11.76,4401,0
2016-06-17,17:15:00,11.76,11.77,11.74,11.74,4350,0
2016-06-17,17:20:00,11.73,11.735,11.71,11.725,3900,0
2016-06-17,17:25:00,11.72,11.725,11.72,11.72,2000,0
2016-06-17,17:30:00,11.71,11.72,11.69,11.7,3633,0
2016-06-17,17:35:00,11.69,11.69,11.69,11.69,1400,0
2016-06-17,17:40:00,11.695,11.71,11.67,11.71,3331,0
2016-06-17,17:45:00,11.71,11.73,11.71,11.73,600,0
2016-06-17,17:50:00,11.7201,11.7399,11.72,11.7399,1700,0
2016-06-17,17:55:00,11.74,11.74,11.73,11.7301,500,0
2016-06-17,18:00:00,11.73,11.73,11.71,11.71,1500,0
2016-06-17,18:05:00,11.7101,11.72,11.71,11.7101,700,0
2016-06-17,18:10:00,11.72,11.72,11.71,11.72,900,0
2016-06-17,18:15:00,11.72,11.73,11.71,11.73,1900,0
2016-06-17,18:20:00,11.7299,11.73,11.7,11.71,2058,0
2016-06-17,18:25:00,11.71,11.71,11.67,11.67,1822,0
2016-06-17,18:30:00,11.67,11.68,11.67,11.68,1800,0
2016-06-17,18:35:00,11.68,11.68,11.66,11.66,1200,0
2016-06-17,18:40:00,11.67,11.685,11.67,11.67,2435,0
2016-06-17,18:45:00,11.67,11.675,11.66,11.66,700,0
2016-06-17,18:50:00,11.68,11.68,11.64,11.64,1200,0
2016-06-17,18:55:00,11.64,11.64,11.63,11.63,1500,0
2016-06-17,19:00:00,11.63,11.64,11.63,11.6399,3499,0
2016-06-17,19:05:00,11.63,11.635,11.62,11.63,2600,0
2016-06-17,19:10:00,11.62,11.67,11.61,11.665,3100,0
2016-06-17,19:15:00,11.665,11.665,11.65,11.66,900,0
2016-06-17,19:20:00,11.655,11.6575,11.65,11.655,2500,0
2016-06-17,19:25:00,11.66,11.68,11.66,11.675,1700,0
2016-06-17,19:30:00,11.68,11.7,11.67,11.69,3100,0
2016-06-17,19:35:00,11.69,11.69,11.67,11.67,1100,0
2016-06-17,19:40:00,11.6701,11.6701,11.67,11.67,700,0
2016-06-17,19:45:00,11.67,11.69,11.67,11.67,1900,0
2016-06-17,19:50:00,11.68,11.68,11.67,11.67,700,0
2016-06-17,19:55:00,11.67,11.7,11.67,11.69,3254,0
2016-06-17,20:00:00,11.69,11.69,11.68,11.68,800,0
2016-06-17,20:05:00,11.68,11.69,11.675,11.675,2335,0
2016-06-17,20:10:00,11.68,11.68,11.65,11.65,1400,0
2016-06-17,20:15:00,11.66,11.67,11.66,11.67,2200,0
2016-06-17,20:20:00,11.66,11.665,11.66,11.66,925,0
2016-06-17,20:25:00,11.66,11.67,11.655,11.67,4500,0
2016-06-17,20:30:00,11.6687,11.67,11.66,11.66,2342,0
2016-06-17,20:35:00,11.67,11.72,11.67,11.72,5600,0
2016-06-17,20:40:00,11.72,11.73,11.72,11.73,1700,0
2016-06-17,20:45:00,11.73,11.75,11.72,11.75,5350,0
2016-06-17,20:50:00,11.75,11.755,11.73,11.73,4300,0
2016-06-17,20:55:00,11.74,11.75,11.74,11.75,2700,0
2016-06-17,21:00:00,11.745,11.745,11.73,11.73,1200,0
2016-06-17,21:05:00,11.74,11.745,11.72,11.72,4500,0
2016-06-17,21:10:00,11.72,11.73,11.705,11.72,4700,0
2016-06-17,21:15:00,11.71,11.72,11.71,11.72,4000,0
2016-06-17,21:20:00,11.71,11.715,11.71,11.71,3300,0
2016-06-17,21:25:00,11.71,11.71,11.7,11.705,1303,0
2016-06-17,21:30:00,11.71,11.73,11.7,11.73,10800,0
2016-06-17,21:35:00,11.73,11.76,11.73,11.76,6455,0
2016-06-17,21:40:00,11.76,11.76,11.74,11.74,7761,0
2016-06-17,21:45:00,11.745,11.75,11.73,11.73,3809,0
2016-06-17,21:50:00,11.74,11.74,11.73,11.735,4700,0
2016-06-17,21:55:00,11.73,11.73,11.72,11.72,14856,0
2016-06-17,22:00:00,11.72,11.74,11.71,11.71,363071,0
2016-06-20,15:35:00,11.93,12.04,11.93,12.04,1637,0
2016-06-20,15:40:00,12.04,12.04,11.9,12.01,975,0
2016-06-20,15:45:00,11.97,12.02,11.96,12.02,2600,0
2016-06-20,15:50:00,12.01,12.015,11.98,12,3800,0
2016-06-20,15:55:00,11.99,12.02,11.99,12.02,1600,0
2016-06-20,16:00:00,12.01,12.025,12,12.015,2400,0
2016-06-20,16:05:00,12.02,12.09,12.01,12.09,3702,0
2016-06-20,16:10:00,12.09,12.1,12.085,12.1,4083,0
2016-06-20,16:15:00,12.11,12.13,12.11,12.12,6400,0
2016-06-20,16:20:00,12.12,12.16,12.115,12.16,10872,0
2016-06-20,16:25:00,12.16,12.16,12.125,12.125,3593,0
2016-06-20,16:30:00,12.13,12.14,12.12,12.14,7300,0
2016-06-20,16:35:00,12.14,12.15,12.11,12.11,5850,0
2016-06-20,16:40:00,12.12,12.13,12.11,12.12,6200,0
2016-06-20,16:45:00,12.12,12.14,12.12,12.13,14865,0
2016-06-20,16:50:00,12.13,12.13,12.11,12.11,6900,0
2016-06-20,16:55:00,12.1,12.1,12.09,12.09,2100,0
2016-06-20,17:00:00,12.1,12.105,12.055,12.055,7100,0
2016-06-20,17:05:00,12.05,12.06,12.035,12.06,3750,0
2016-06-20,17:10:00,12.06,12.08,12.06,12.08,2200,0
2016-06-20,17:15:00,12.08,12.08,12.03,12.03,2100,0
2016-06-20,17:20:00,12.03,12.035,12.03,12.03,500,0
2016-06-20,17:25:00,12.04,12.05,12.03,12.03,6915,0
2016-06-20,17:30:00,12.04,12.06,12.04,12.045,11000,0
2016-06-20,17:35:00,12.04,12.05,12.04,12.04,400,0
2016-06-20,17:40:00,12.045,12.05,12.04,12.04,1900,0
2016-06-20,17:45:00,12.05,12.06,12.04,12.05,4800,0
2016-06-20,17:50:00,12.04,12.05,12.04,12.05,1700,0
2016-06-20,17:55:00,12.05,12.06,12.04,12.04,5265,0
