Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,5.26,5.29,5.25,5.29,11733,0
2016-06-16,15:40:00,5.28,5.28,5.1601,5.21,22172,0
2016-06-16,15:45:00,5.2,5.2088,5.15,5.1917,4998,0
2016-06-16,15:50:00,5.15,5.1775,5.15,5.16,1649,0
2016-06-16,15:55:00,5.1885,5.2036,5.17,5.18,4115,0
2016-06-16,16:00:00,5.18,5.2,5.16,5.16,5100,0
2016-06-16,16:05:00,5.17,5.2,5.1599,5.17,9194,0
2016-06-16,16:10:00,5.178,5.19,5.15,5.17,1410,0
2016-06-16,16:15:00,5.21,5.24,5.18,5.2,11385,0
2016-06-16,16:20:00,5.2,5.2,5.1601,5.188,2625,0
2016-06-16,16:25:00,5.17,5.17,5.1317,5.16,13960,0
2016-06-16,16:30:00,5.15,5.16,5.15,5.16,5000,0
2016-06-16,16:35:00,5.16,5.16,5.05,5.12,31628,0
2016-06-16,16:40:00,5.09,5.1024,5.08,5.0929,2930,0
2016-06-16,16:45:00,5.08,5.09,5.06,5.08,15499,0
2016-06-16,16:50:00,5.08,5.0901,5.08,5.09,2473,0
2016-06-16,16:55:00,5.08,5.0899,5.05,5.07,6740,0
2016-06-16,17:00:00,5.06,5.07,5.0499,5.0499,25660,0
2016-06-16,17:05:00,5.06,5.08,5.02,5.04,14175,0
2016-06-16,17:10:00,5.04,5.045,5.02,5.0287,14612,0
2016-06-16,17:15:00,5.01,5.04,5.01,5.04,6597,0
2016-06-16,17:20:00,5.03,5.04,5.01,5.02,3382,0
2016-06-16,17:25:00,5.0202,5.05,5.0202,5.05,5569,0
2016-06-16,17:30:00,5.05,5.06,5.0304,5.04,9506,0
2016-06-16,17:35:00,5.05,5.06,5.02,5.03,14824,0
2016-06-16,17:40:00,5.0329,5.04,5.02,5.0325,4025,0
2016-06-16,17:45:00,5.03,5.04,5.03,5.03,15639,0
2016-06-16,17:50:00,5.03,5.05,5.03,5.04,3400,0
2016-06-16,17:55:00,5.06,5.08,5.06,5.06,1743,0
2016-06-16,18:00:00,5.05,5.06,5.04,5.04,4776,0
2016-06-16,18:05:00,5.0432,5.06,5.0301,5.04,8181,0
2016-06-16,18:10:00,5.03,5.05,5.03,5.03,5135,0
2016-06-16,18:15:00,5.03,5.03,5.02,5.02,800,0
2016-06-16,18:20:00,5.0325,5.05,5.02,5.04,4300,0
2016-06-16,18:25:00,5.06,5.06,5.03,5.04,3281,0
2016-06-16,18:30:00,5.06,5.07,5.03,5.03,1420,0
2016-06-16,18:35:00,5.03,5.07,5.03,5.07,8534,0
2016-06-16,18:40:00,5.08,5.0899,5.06,5.06,5074,0
2016-06-16,18:45:00,5.0762,5.1,5.075,5.085,1173,0
2016-06-16,18:50:00,5.09,5.11,5.07,5.07,4225,0
2016-06-16,18:55:00,5.07,5.09,5.07,5.07,2000,0
2016-06-16,19:00:00,5.06,5.1,5.06,5.1,1260,0
2016-06-16,19:05:00,5.1,5.12,5.08,5.105,2400,0
2016-06-16,19:10:00,5.1,5.1,5.09,5.09,400,0
2016-06-16,19:15:00,5.1,5.1599,5.1,5.14,10760,0
2016-06-16,19:20:00,5.11,5.11,5.09,5.09,1160,0
2016-06-16,19:25:00,5.1,5.14,5.1,5.13,6375,0
2016-06-16,19:30:00,5.12,5.1299,5.11,5.11,2617,0
2016-06-16,19:35:00,5.12,5.14,5.1162,5.14,3000,0
2016-06-16,19:40:00,5.14,5.15,5.13,5.13,2064,0
2016-06-16,19:45:00,5.13,5.14,5.12,5.12,600,0
2016-06-16,19:50:00,5.1399,5.15,5.1301,5.15,4800,0
2016-06-16,19:55:00,5.15,5.21,5.15,5.16,2830,0
2016-06-16,20:00:00,5.18,5.22,5.15,5.16,7500,0
2016-06-16,20:05:00,5.17,5.19,5.16,5.18,2900,0
2016-06-16,20:10:00,5.18,5.1899,5.15,5.15,7870,0
2016-06-16,20:15:00,5.16,5.16,5.14,5.14,2700,0
2016-06-16,20:20:00,5.16,5.17,5.15,5.17,700,0
2016-06-16,20:25:00,5.17,5.19,5.16,5.16,1900,0
2016-06-16,20:30:00,5.16,5.17,5.15,5.15,600,0
2016-06-16,20:35:00,5.16,5.18,5.14,5.16,1462,0
2016-06-16,20:40:00,5.1662,5.17,5.15,5.17,4200,0
2016-06-16,20:45:00,5.1631,5.192,5.1631,5.18,6811,0
2016-06-16,20:50:00,5.17,5.24,5.1657,5.24,15837,0
2016-06-16,20:55:00,5.24,5.24,5.2,5.23,3164,0
2016-06-16,21:00:00,5.2152,5.2224,5.207,5.22,3700,0
2016-06-16,21:05:00,5.23,5.23,5.2116,5.2116,3600,0
2016-06-16,21:10:00,5.2289,5.2289,5.21,5.22,1600,0
2016-06-16,21:15:00,5.23,5.23,5.21,5.22,3750,0
2016-06-16,21:20:00,5.22,5.2271,5.21,5.21,1861,0
2016-06-16,21:25:00,5.2,5.22,5.2,5.22,3900,0
2016-06-16,21:30:00,5.21,5.21,5.2,5.21,1600,0
2016-06-16,21:35:00,5.22,5.2301,5.21,5.23,8075,0
2016-06-16,21:45:00,5.23,5.2367,5.21,5.21,7353,0
2016-06-16,21:50:00,5.21,5.2401,5.2,5.2237,8814,0
2016-06-16,21:55:00,5.23,5.24,5.215,5.234,12257,0
2016-06-16,22:00:00,5.2399,5.28,5.2399,5.26,34474,0
2016-06-17,15:35:00,5.22,5.34,5.21,5.2723,60768,0
2016-06-17,15:40:00,5.28,5.29,5.21,5.21,3300,0
2016-06-17,15:45:00,5.25,5.28,5.25,5.28,290,0
2016-06-17,15:50:00,5.28,5.3,5.26,5.2899,1550,0
2016-06-17,15:55:00,5.29,5.34,5.28,5.29,4982,0
2016-06-17,16:00:00,5.29,5.29,5.253,5.255,1810,0
2016-06-17,16:05:00,5.2808,5.29,5.254,5.254,6722,0
2016-06-17,16:10:00,5.23,5.27,5.23,5.23,4014,0
2016-06-17,16:15:00,5.2202,5.23,5.21,5.22,5049,0
2016-06-17,16:20:00,5.23,5.24,5.202,5.24,2478,0
2016-06-17,16:25:00,5.22,5.22,5.165,5.165,1831,0
2016-06-17,16:30:00,5.17,5.185,5.131,5.131,3995,0
2016-06-17,16:35:00,5.15,5.15,5.13,5.1452,3995,0
2016-06-17,16:40:00,5.1557,5.2,5.15,5.2,2500,0
2016-06-17,16:45:00,5.188,5.188,5.162,5.165,1700,0
