Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,167.31,167.97,167.31,167.695,5959,0
2016-06-16,15:40:00,167.5,167.64,167.2284,167.56,9861,0
2016-06-16,15:45:00,167.27,167.54,166.99,167.54,1719,0
2016-06-16,15:50:00,167.22,167.71,167.22,167.7,1400,0
2016-06-16,15:55:00,167.44,167.69,167.44,167.69,1400,0
2016-06-16,16:00:00,167.71,167.7299,167.3,167.52,3932,0
2016-06-16,16:05:00,167.61,167.665,167.56,167.6,750,0
2016-06-16,16:10:00,167.58,167.59,167.58,167.58,700,0
2016-06-16,16:15:00,167.706,167.76,167.55,167.56,1122,0
2016-06-16,16:20:00,167.335,167.34,166.84,167.1899,2891,0
2016-06-16,16:25:00,167.01,167.17,166.75,166.75,1462,0
2016-06-16,16:30:00,166.62,166.8575,166.61,166.73,1314,0
2016-06-16,16:35:00,166.65,166.67,166.57,166.65,2615,0
2016-06-16,16:40:00,166.67,166.8,166.61,166.6912,3100,0
2016-06-16,16:45:00,166.74,166.74,166.57,166.7,2200,0
2016-06-16,16:50:00,166.655,166.88,166.655,166.853,600,0
2016-06-16,16:55:00,166.75,167.13,166.75,167.13,1600,0
2016-06-16,17:00:00,166.93,167.13,166.93,167.03,800,0
2016-06-16,17:05:00,166.97,166.97,166.79,166.87,2854,0
2016-06-16,17:10:00,166.87,167.02,166.87,167.02,600,0
2016-06-16,17:15:00,167.05,167.18,166.96,167.058,2600,0
2016-06-16,17:20:00,167.43,167.43,167.12,167.12,1844,0
2016-06-16,17:25:00,167.17,167.86,167.17,167.63,2145,0
2016-06-16,17:30:00,167.79,167.79,167.175,167.46,2100,0
2016-06-16,17:35:00,167.47,167.715,167.39,167.54,700,0
2016-06-16,17:40:00,167.37,167.44,167.09,167.095,1100,0
2016-06-16,17:45:00,167.25,167.25,166.99,166.99,500,0
2016-06-16,17:50:00,167,167.02,166.87,166.97,3723,0
2016-06-16,17:55:00,167.01,167.25,166.98,167.21,900,0
2016-06-16,18:00:00,167.22,167.51,167.21,167.27,2800,0
2016-06-16,18:05:00,167.02,167.43,167.02,167.43,900,0
2016-06-16,18:10:00,167.35,167.535,167.075,167.075,1500,0
2016-06-16,18:15:00,167.23,167.31,167.15,167.31,1000,0
2016-06-16,18:20:00,167.205,167.36,167.2034,167.29,1349,0
2016-06-16,18:25:00,167.32,167.38,167,167.33,2100,0
2016-06-16,18:30:00,167.33,167.43,167.24,167.24,2400,0
2016-06-16,18:35:00,167.2999,167.2999,167.24,167.29,900,0
2016-06-16,18:40:00,167.29,167.48,167.29,167.31,1200,0
2016-06-16,18:45:00,167.49,167.62,167.455,167.62,1200,0
2016-06-16,18:50:00,167.77,167.83,167.6,167.785,3145,0
2016-06-16,18:55:00,167.75,167.75,167.445,167.57,3600,0
2016-06-16,19:00:00,167.51,167.8599,167.51,167.76,1675,0
2016-06-16,19:05:00,167.8,167.84,167.646,167.646,1400,0
2016-06-16,19:10:00,167.76,167.78,167.68,167.78,800,0
2016-06-16,19:15:00,167.78,167.825,167.67,167.765,2165,0
2016-06-16,19:20:00,167.57,167.88,167.49,167.76,1897,0
2016-06-16,19:25:00,167.88,167.88,167.66,167.82,900,0
2016-06-16,19:30:00,167.75,167.75,167.56,167.74,1100,0
2016-06-16,19:35:00,167.69,167.725,167.565,167.65,2200,0
2016-06-16,19:40:00,167.67,167.835,167.67,167.7,1930,0
2016-06-16,19:45:00,167.7,167.84,167.68,167.68,400,0
2016-06-16,19:50:00,167.75,167.85,167.64,167.66,1700,0
2016-06-16,19:55:00,167.645,167.9,167.645,167.855,3555,0
2016-06-16,20:00:00,167.92,168.07,167.87,167.925,3700,0
2016-06-16,20:05:00,167.9931,168.38,167.95,168.23,1705,0
2016-06-16,20:10:00,168.265,168.32,167.94,168.05,2700,0
2016-06-16,20:15:00,168.06,168.51,167.95,168.15,8193,0
2016-06-16,20:20:00,168.385,168.53,168.025,168.39,9400,0
2016-06-16,20:25:00,168.25,168.5,168.2,168.315,1645,0
2016-06-16,20:30:00,168.25,168.39,168.19,168.38,3400,0
2016-06-16,20:35:00,168.39,168.63,168.32,168.38,6228,0
2016-06-16,20:40:00,168.4,168.72,168.33,168.41,3436,0
2016-06-16,20:45:00,168.42,168.475,168.42,168.475,400,0
2016-06-16,20:50:00,168.46,168.53,168.35,168.5,1200,0
2016-06-16,20:55:00,168.57,168.88,168.53,168.8,2800,0
2016-06-16,21:00:00,168.8101,168.85,168.68,168.75,2225,0
2016-06-16,21:05:00,168.76,169.04,168.72,168.85,2350,0
2016-06-16,21:10:00,168.68,168.885,168.6501,168.87,1200,0
2016-06-16,21:15:00,168.98,169.07,168.8001,169.06,2524,0
2016-06-16,21:20:00,169.035,169.05,168.74,168.96,3118,0
2016-06-16,21:25:00,168.94,169.11,168.74,169.11,2200,0
2016-06-16,21:30:00,169.13,169.13,169.0597,169.07,1600,0
2016-06-16,21:35:00,169.05,169.12,168.91,169.03,2100,0
2016-06-16,21:40:00,168.96,168.96,168.63,168.635,3848,0
2016-06-16,21:45:00,168.68,168.77,168.68,168.73,1185,0
2016-06-16,21:50:00,168.7,168.73,168.53,168.69,3508,0
2016-06-16,21:55:00,168.55,168.67,168.36,168.36,6830,0
2016-06-16,22:00:00,168.57,168.7925,168.15,168.32,31345,0
2016-06-17,15:35:00,168,168.07,167.47,167.5,61188,0
2016-06-17,15:40:00,167.7,168.09,167.22,168.09,500,0
2016-06-17,15:45:00,168.03,168.19,168.03,168.19,200,0
2016-06-17,15:50:00,166.86,168.22,166.8,166.8,1900,0
2016-06-17,15:55:00,166.81,166.81,166.21,166.21,4919,0
2016-06-17,16:00:00,166.25,166.51,166.0296,166.0296,1500,0
2016-06-17,16:05:00,166.34,167.09,166.175,166.745,2743,0
