Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,54.28,54.29,53.92,54.01,25628,0
2016-06-16,15:40:00,53.99,54.01,53.76,53.76,17617,0
2016-06-16,15:45:00,53.735,53.82,53.67,53.79,13106,0
2016-06-16,15:50:00,53.8,53.82,53.67,53.81,4400,0
2016-06-16,15:55:00,53.81,53.81,53.63,53.69,7323,0
2016-06-16,16:00:00,53.67,53.67,53.52,53.55,14439,0
2016-06-16,16:05:00,53.58,53.64,53.55,53.64,16426,0
2016-06-16,16:10:00,53.625,53.674,53.56,53.674,11168,0
2016-06-16,16:15:00,53.66,53.73,53.66,53.68,7891,0
2016-06-16,16:20:00,53.66,53.68,53.579,53.64,8867,0
2016-06-16,16:25:00,53.635,53.7023,53.55,53.55,21613,0
2016-06-16,16:30:00,53.55,53.64,53.55,53.58,49737,0
2016-06-16,16:35:00,53.57,53.57,53.49,53.49,31638,0
2016-06-16,16:40:00,53.51,53.56,53.47,53.52,8193,0
2016-06-16,16:45:00,53.52,53.5868,53.5148,53.5285,7900,0
2016-06-16,16:50:00,53.511,53.511,53.46,53.46,7415,0
2016-06-16,16:55:00,53.47,53.5,53.41,53.5,21327,0
2016-06-16,17:00:00,53.5037,53.53,53.49,53.499,9117,0
2016-06-16,17:05:00,53.51,53.61,53.5,53.59,12006,0
2016-06-16,17:10:00,53.59,53.6,53.545,53.56,12609,0
2016-06-16,17:15:00,53.56,53.595,53.555,53.58,12954,0
2016-06-16,17:20:00,53.58,53.58,53.53,53.54,13857,0
2016-06-16,17:25:00,53.5519,53.58,53.52,53.58,7724,0
2016-06-16,17:30:00,53.5747,53.63,53.53,53.63,12970,0
2016-06-16,17:35:00,53.63,53.65,53.56,53.56,22007,0
2016-06-16,17:40:00,53.56,53.58,53.42,53.45,52607,0
2016-06-16,17:45:00,53.45,53.46,53.395,53.41,39260,0
2016-06-16,17:50:00,53.42,53.44,53.3825,53.43,21646,0
2016-06-16,17:55:00,53.41,53.45,53.39,53.45,13799,0
2016-06-16,18:00:00,53.45,53.47,53.39,53.425,13402,0
2016-06-16,18:05:00,53.43,53.44,53.39,53.42,29446,0
2016-06-16,18:10:00,53.42,53.51,53.4,53.51,24357,0
2016-06-16,18:15:00,53.5,53.58,53.42,53.445,42361,0
2016-06-16,18:20:00,53.44,53.615,53.42,53.58,249733,0
2016-06-16,18:25:00,53.57,53.69,53.52,53.645,166352,0
2016-06-16,18:30:00,53.63,53.8,53.59,53.8,76437,0
2016-06-16,18:35:00,53.795,53.83,53.76,53.805,26220,0
2016-06-16,18:40:00,53.84,54.02,53.83,53.97,31114,0
2016-06-16,18:45:00,53.96,54.09,53.94,54.07,14471,0
2016-06-16,18:50:00,54.08,54.11,54.05,54.09,23532,0
2016-06-16,18:55:00,54.09,54.13,54.07,54.1,16446,0
2016-06-16,19:00:00,54.1,54.11,54.07,54.1,15979,0
2016-06-16,19:05:00,54.11,54.25,54.1,54.22,9453,0
2016-06-16,19:10:00,54.22,54.25,54.1611,54.2497,6072,0
2016-06-16,19:15:00,54.23,54.27,54.2,54.21,6404,0
2016-06-16,19:20:00,54.23,54.23,54.17,54.21,7724,0
2016-06-16,19:25:00,54.2299,54.23,54.16,54.19,7808,0
2016-06-16,19:30:00,54.195,54.23,54.14,54.16,13284,0
2016-06-16,19:35:00,54.17,54.21,54.14,54.16,16500,0
2016-06-16,19:40:00,54.13,54.2,54.1214,54.17,5883,0
2016-06-16,19:45:00,54.15,54.18,54.12,54.145,7880,0
2016-06-16,19:50:00,54.13,54.15,54.075,54.105,8843,0
2016-06-16,19:55:00,54.12,54.145,54.1,54.145,5029,0
2016-06-16,20:00:00,54.15,54.16,54.09,54.14,6800,0
2016-06-16,20:05:00,54.13,54.19,54.12,54.19,4923,0
2016-06-16,20:10:00,54.2,54.26,54.18,54.25,69925,0
2016-06-16,20:15:00,54.26,54.3604,54.25,54.3,23426,0
2016-06-16,20:20:00,54.3,54.317,54.27,54.29,19086,0
2016-06-16,20:25:00,54.28,54.305,54.2,54.24,12450,0
2016-06-16,20:30:00,54.25,54.25,54.1,54.15,13690,0
2016-06-16,20:35:00,54.16,54.205,54.13,54.15,5635,0
2016-06-16,20:40:00,54.15,54.17,54.1122,54.15,3420,0
2016-06-16,20:45:00,54.138,54.18,54.12,54.16,3792,0
2016-06-16,20:50:00,54.16,54.21,54.14,54.2,37680,0
2016-06-16,20:55:00,54.19,54.27,54.16,54.25,17023,0
