Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-21,15:35:00,6.65,6.65,6.65,6.65,4000,0
2016-04-21,17:05:00,6.7,6.71,6.6101,6.6101,500,0
2016-04-21,17:15:00,6.78,6.78,6.7799,6.7799,2300,0
2016-04-21,17:45:00,6.59,6.6,6.59,6.6,500,0
2016-04-21,17:50:00,6.535,6.535,6.535,6.535,100,0
2016-04-21,18:45:00,6.56,6.57,6.56,6.57,300,0
2016-04-21,19:20:00,6.5122,6.5122,6.5122,6.5122,1000,0
2016-04-21,21:20:00,6.5114,6.5114,6.5114,6.5114,500,0
2016-04-21,22:00:00,6.575,6.62,6.57,6.62,2305,0
2016-04-22,15:35:00,6.54,6.54,6.54,6.54,750,0
2016-04-22,16:20:00,6.4044,6.54,6.4037,6.4037,775,0
2016-04-22,16:25:00,6.54,6.54,6.54,6.54,100,0
2016-04-22,17:35:00,6.53,6.53,6.5,6.53,300,0
2016-04-22,17:40:00,6.58,6.58,6.54,6.54,300,0
2016-04-22,17:55:00,6.53,6.53,6.53,6.53,100,0
2016-04-22,18:00:00,6.59,6.6,6.51,6.53,6600,0
2016-04-22,18:05:00,6.48,6.54,6.43,6.46,2900,0
2016-04-22,18:10:00,6.47,6.53,6.47,6.48,3200,0
2016-04-22,18:30:00,6.42,6.49,6.3701,6.3701,4755,0
2016-04-22,18:35:00,6.46,6.47,6.3701,6.44,1450,0
2016-04-22,18:50:00,6.44,6.44,6.44,6.44,100,0
2016-04-22,19:40:00,6.44,6.44,6.44,6.44,100,0
2016-04-22,21:10:00,6.351,6.44,6.35,6.4301,1300,0
2016-04-22,21:15:00,6.425,6.425,6.4012,6.4012,200,0
2016-04-22,21:50:00,6.53,6.53,6.49,6.49,1700,0
2016-04-22,21:55:00,6.51,6.51,6.5,6.5,450,0
2016-04-22,22:00:00,6.51,6.53,6.49,6.51,772,0
2016-04-25,16:05:00,6.52,6.665,6.51,6.51,1500,0
2016-04-25,16:10:00,6.53,6.57,6.53,6.57,420,0
2016-04-25,17:05:00,6.5,6.5,6.5,6.5,200,0
2016-04-25,18:15:00,6.5,6.5,6.5,6.5,100,0
2016-04-25,20:00:00,6.55,6.55,6.55,6.55,100,0
2016-04-25,20:05:00,6.55,6.7,6.55,6.5701,2000,0
2016-04-25,20:10:00,6.6,6.61,6.6,6.61,500,0
2016-04-25,21:30:00,6.6,6.6,6.6,6.6,900,0
2016-04-25,21:55:00,6.54,6.54,6.52,6.52,600,0
2016-04-25,22:00:00,6.52,6.6,6.52,6.6,400,0
2016-04-26,15:35:00,6.64,6.64,6.64,6.64,696,0
2016-04-26,15:55:00,6.51,6.51,6.51,6.51,100,0
2016-04-26,17:55:00,6.5899,6.5899,6.5899,6.5899,500,0
2016-04-26,18:10:00,6.61,6.61,6.61,6.61,100,0
2016-04-26,18:45:00,6.59,6.61,6.59,6.605,1200,0
2016-04-26,19:50:00,6.61,6.61,6.61,6.61,300,0
2016-04-26,19:55:00,6.61,6.61,6.61,6.61,400,0
2016-04-26,20:15:00,6.68,6.68,6.68,6.68,100,0
2016-04-26,20:25:00,6.67,6.7,6.67,6.69,600,0
2016-04-26,20:30:00,6.66,6.66,6.66,6.66,200,0
2016-04-26,20:45:00,6.6012,6.6012,6.6012,6.6012,200,0
2016-04-26,20:50:00,6.74,6.76,6.7,6.7,300,0
2016-04-26,22:00:00,6.6999,6.6999,6.6999,6.6999,396,0
2016-04-27,15:35:00,6.64,6.64,6.64,6.64,100,0
2016-04-27,16:40:00,6.6,6.6799,6.6,6.6799,600,0
2016-04-27,16:45:00,6.69,6.7,6.69,6.7,800,0
2016-04-27,18:40:00,6.76,6.78,6.72,6.72,900,0
2016-04-27,18:55:00,6.72,6.72,6.72,6.72,200,0
2016-04-27,21:05:00,6.7,6.78,6.7,6.72,449,0
2016-04-27,21:35:00,6.75,6.75,6.75,6.75,10000,0
2016-04-27,21:45:00,6.78,6.97,6.77,6.93,2297,0
2016-04-27,21:50:00,6.92,7,6.92,7,300,0
2016-04-27,21:55:00,6.98,6.98,6.98,6.98,100,0
2016-04-27,22:00:00,7.01,7.01,6.97,7,478,0
2016-04-28,15:35:00,6.93,6.93,6.93,6.93,100,0
2016-04-28,16:15:00,7.0705,7.08,7.06,7.06,400,0
2016-04-28,17:00:00,7.01,7.03,6.925,6.95,10500,0
2016-04-28,17:15:00,6.86,6.86,6.85,6.85,600,0
2016-04-28,17:40:00,6.9,6.9,6.9,6.9,100,0
2016-04-28,18:05:00,6.94,6.94,6.94,6.94,100,0
2016-04-28,19:00:00,6.9,6.9,6.9,6.9,404,0
2016-04-28,19:15:00,6.85,6.87,6.69,6.69,11385,0
2016-04-28,19:35:00,6.98,6.98,6.98,6.98,100,0
2016-04-28,20:10:00,6.98,6.98,6.98,6.98,100,0
2016-04-28,21:40:00,6.89,6.89,6.89,6.89,100,0
2016-04-28,21:50:00,6.81,6.81,6.81,6.81,100,0
2016-04-29,15:35:00,6.62,6.62,6.49,6.49,6414,0
2016-04-29,15:40:00,6.49,6.49,6.49,6.49,300,0
2016-04-29,15:45:00,6.4901,6.4901,6.4901,6.4901,100,0
2016-04-29,15:55:00,6.68,6.68,6.5,6.5,25100,0
2016-04-29,16:05:00,6.5001,6.65,6.5001,6.506,400,0
2016-04-29,16:10:00,6.6,6.6,6.55,6.55,11500,0
2016-04-29,16:20:00,6.528,6.6,6.528,6.6,200,0
2016-04-29,16:35:00,6.6,6.6,6.6,6.6,100,0
2016-04-29,16:45:00,6.61,6.61,6.61,6.61,100,0
2016-04-29,16:55:00,6.61,6.61,6.61,6.61,200,0
2016-04-29,17:05:00,6.6,6.64,6.6,6.63,600,0
2016-04-29,17:10:00,6.65,6.67,6.61,6.62,1300,0
2016-04-29,17:15:00,6.6,6.6,6.6,6.6,100,0
2016-04-29,17:30:00,6.6,6.6,6.52,6.58,2600,0
2016-04-29,17:35:00,6.6,6.6,6.5501,6.5501,200,0
2016-04-29,17:55:00,6.6,6.6,6.6,6.6,100,0
2016-04-29,18:10:00,6.6,6.6,6.6,6.6,100,0
2016-04-29,18:20:00,6.595,6.595,6.548,6.548,3100,0
2016-04-29,18:45:00,6.58,6.58,6.5,6.55,9350,0
2016-04-29,18:50:00,6.56,6.56,6.5,6.53,2450,0
2016-04-29,19:10:00,6.485,6.56,6.485,6.56,2746,0
2016-04-29,19:15:00,6.565,6.85,6.565,6.85,400,0
2016-04-29,19:20:00,6.618,6.73,6.618,6.73,200,0
2016-04-29,19:25:00,6.73,6.73,6.73,6.73,100,0
2016-04-29,19:30:00,6.62,6.62,6.62,6.62,100,0
2016-04-29,19:40:00,6.574,6.574,6.57,6.57,200,0
2016-04-29,19:50:00,6.56,6.56,6.56,6.56,100,0
2016-04-29,19:55:00,6.565,6.565,6.55,6.56,600,0
2016-04-29,20:00:00,6.54,6.57,6.54,6.5675,500,0
2016-04-29,20:05:00,6.545,6.545,6.545,6.545,100,0
2016-04-29,20:10:00,6.56,6.56,6.545,6.545,200,0
2016-04-29,20:15:00,6.56,6.58,6.56,6.58,200,0
2016-04-29,20:25:00,6.56,6.56,6.56,6.56,100,0
2016-04-29,20:30:00,6.53,6.7,6.53,6.65,1100,0
2016-04-29,20:40:00,6.55,6.55,6.55,6.55,100,0
2016-04-29,20:45:00,6.54,6.56,6.54,6.56,300,0
2016-04-29,20:50:00,6.55,6.56,6.55,6.56,200,0
2016-04-29,20:55:00,6.54,6.56,6.54,6.56,300,0
2016-04-29,21:00:00,6.54,6.54,6.535,6.535,200,0
2016-04-29,21:05:00,6.55,6.57,6.55,6.57,400,0
2016-04-29,21:15:00,6.57,6.57,6.57,6.57,100,0
2016-04-29,21:20:00,6.575,6.575,6.575,6.575,100,0
2016-04-29,21:25:00,6.575,6.575,6.575,6.575,100,0
2016-04-29,21:30:00,6.57,6.57,6.57,6.57,200,0
2016-04-29,21:35:00,6.57,6.57,6.57,6.57,100,0
2016-04-29,21:40:00,6.57,6.58,6.55,6.55,2100,0
2016-04-29,21:45:00,6.55,6.55,6.55,6.55,2100,0
2016-04-29,21:50:00,6.516,6.516,6.516,6.516,100,0
2016-04-29,21:55:00,6.52,6.534,6.52,6.534,200,0
2016-04-29,22:00:00,6.55,6.78,6.52,6.78,816,0
2016-05-02,15:35:00,6.73,6.73,6.73,6.73,500,0
2016-05-02,16:05:00,6.6,6.6,6.5,6.6,11200,0
2016-05-02,17:05:00,6.56,6.56,6.56,6.56,100,0
2016-05-02,17:10:00,6.51,6.51,6.5,6.5001,1000,0
2016-05-02,17:15:00,6.56,6.56,6.5,6.5,400,0
2016-05-02,17:50:00,6.51,6.51,6.51,6.51,100,0
2016-05-02,17:55:00,6.59,6.59,6.59,6.59,100,0
2016-05-02,18:05:00,6.56,6.56,6.56,6.56,400,0
2016-05-02,18:15:00,6.51,6.6,6.51,6.55,5600,0
2016-05-02,18:50:00,6.52,6.52,6.52,6.52,100,0
2016-05-02,19:30:00,6.5,6.56,6.5,6.56,400,0
2016-05-02,19:35:00,6.39,6.39,6.39,6.39,100,0
2016-05-02,19:40:00,6.56,6.56,6.56,6.56,100,0
2016-05-02,19:50:00,6.56,6.56,6.56,6.56,100,0
2016-05-02,20:20:00,6.56,6.56,6.56,6.56,100,0
2016-05-02,20:25:00,6.57,6.57,6.57,6.57,150,0
2016-05-02,20:35:00,6.51,6.51,6.51,6.51,100,0
2016-05-02,21:15:00,6.5029,6.5029,6.5029,6.5029,1400,0
2016-05-02,21:20:00,6.5,6.5,6.5,6.5,100,0
2016-05-02,21:25:00,6.5,6.5,6.5,6.5,100,0
2016-05-02,21:55:00,6.5,6.5,6.5,6.5,100,0
2016-05-02,22:00:00,6.51,6.57,6.51,6.51,929,0
2016-05-03,16:40:00,6.48,6.6,6.48,6.59,800,0
2016-05-03,16:45:00,6.56,6.56,6.435,6.51,1600,0
2016-05-03,16:50:00,6.49,6.53,6.435,6.53,2700,0
2016-05-03,17:40:00,6.54,6.54,6.54,6.54,100,0
2016-05-03,21:40:00,6.51,6.575,6.5,6.575,1300,0
2016-05-03,21:45:00,6.5,6.5,6.5,6.5,100,0
