Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,31.63,31.98,31.61,31.9,26527,0
2016-06-16,15:40:00,31.82,31.87,31.62,31.69,2100,0
2016-06-16,15:45:00,31.69,31.73,31.62,31.73,7225,0
2016-06-16,15:50:00,31.76,31.84,31.695,31.81,12700,0
2016-06-16,15:55:00,31.81,31.83,31.76,31.78,18367,0
2016-06-16,16:00:00,31.76,31.81,31.7435,31.77,12848,0
2016-06-16,16:05:00,31.77,31.78,31.68,31.78,13218,0
2016-06-16,16:10:00,31.78,31.78,31.7,31.725,12300,0
2016-06-16,16:15:00,31.71,31.77,31.7,31.77,25615,0
2016-06-16,16:20:00,31.76,31.815,31.73,31.745,13868,0
2016-06-16,16:25:00,31.74,31.75,31.62,31.62,16556,0
2016-06-16,16:30:00,31.62,31.62,31.56,31.61,8625,0
2016-06-16,16:35:00,31.62,31.65,31.6,31.64,5989,0
2016-06-16,16:40:00,31.625,31.65,31.6,31.61,9175,0
2016-06-16,16:45:00,31.62,31.64,31.6,31.64,3800,0
2016-06-16,16:50:00,31.64,31.71,31.64,31.7,8600,0
2016-06-16,16:55:00,31.7,31.7,31.6,31.62,15300,0
2016-06-16,17:00:00,31.63,31.66,31.63,31.66,4600,0
2016-06-16,17:05:00,31.67,31.73,31.66,31.7,10739,0
2016-06-16,17:10:00,31.72,31.72,31.65,31.65,6167,0
2016-06-16,17:15:00,31.65,31.72,31.64,31.72,4419,0
2016-06-16,17:20:00,31.72,31.72,31.65,31.65,6000,0
2016-06-16,17:25:00,31.66,31.73,31.65,31.73,6287,0
2016-06-16,17:30:00,31.74,31.795,31.72,31.77,12149,0
2016-06-16,17:35:00,31.77,31.8,31.7,31.76,12572,0
2016-06-16,17:40:00,31.77,31.79,31.73,31.745,5749,0
2016-06-16,17:45:00,31.75,31.83,31.73,31.82,12735,0
2016-06-16,17:50:00,31.81,31.84,31.78,31.84,19311,0
2016-06-16,17:55:00,31.85,31.895,31.83,31.89,14893,0
2016-06-16,18:00:00,31.89,31.9,31.78,31.81,26178,0
2016-06-16,18:05:00,31.82,31.92,31.82,31.89,16549,0
2016-06-16,18:10:00,31.89,31.89,31.83,31.84,12032,0
2016-06-16,18:15:00,31.84,31.85,31.79,31.82,12483,0
2016-06-16,18:20:00,31.81,31.85,31.8,31.85,3015,0
2016-06-16,18:25:00,31.86,31.93,31.83,31.93,6830,0
2016-06-16,18:30:00,31.93,31.94,31.92,31.92,1822,0
2016-06-16,18:35:00,31.91,31.91,31.85,31.9,12876,0
2016-06-16,18:40:00,31.91,31.93,31.87,31.93,11785,0
2016-06-16,18:45:00,31.93,31.98,31.9,31.98,4008,0
2016-06-16,18:50:00,31.98,32,31.91,31.91,5000,0
2016-06-16,18:55:00,31.9,31.94,31.87,31.91,7363,0
2016-06-16,19:00:00,31.92,31.96,31.91,31.95,2800,0
2016-06-16,19:05:00,31.96,31.96,31.92,31.96,3189,0
2016-06-16,19:10:00,31.96,32.01,31.94,32.01,25165,0
2016-06-16,19:15:00,32.02,32.05,31.99,32,10770,0
2016-06-16,19:20:00,32.01,32.03,31.99,32.03,6065,0
2016-06-16,19:25:00,32.03,32.09,32,32.06,11026,0
2016-06-16,19:30:00,32.08,32.1,32.05,32.06,15951,0
2016-06-16,19:35:00,32.07,32.11,32.04,32.05,11891,0
2016-06-16,19:40:00,32.06,32.0867,32.05,32.05,12661,0
2016-06-16,19:45:00,32.05,32.05,32.02,32.03,11329,0
2016-06-16,19:50:00,32.03,32.03,31.96,31.96,3050,0
2016-06-16,19:55:00,31.95,31.95,31.91,31.95,2316,0
2016-06-16,20:00:00,31.94,31.94,31.9,31.925,4751,0
2016-06-16,20:05:00,31.93,31.98,31.93,31.98,4594,0
2016-06-16,20:10:00,31.99,32,31.95,32,3339,0
2016-06-16,20:15:00,31.99,32.06,31.99,32.05,5497,0
2016-06-16,20:20:00,32.05,32.0975,32.05,32.07,4450,0
2016-06-16,20:25:00,32.07,32.07,32,32.03,4928,0
2016-06-16,20:30:00,32.04,32.045,31.99,31.99,5194,0
2016-06-16,20:35:00,32.01,32.07,32.01,32.06,10031,0
2016-06-16,20:40:00,32.07,32.11,32.05,32.1,8598,0
2016-06-16,20:45:00,32.1,32.13,32.08,32.13,5015,0
2016-06-16,20:50:00,32.14,32.15,32.09,32.15,9700,0
2016-06-16,20:55:00,32.16,32.16,32.13,32.16,5285,0
2016-06-16,21:00:00,32.2,32.2,32.12,32.13,6330,0
2016-06-16,21:05:00,32.13,32.18,32.12,32.17,12800,0
2016-06-16,21:10:00,32.16,32.18,32.13,32.15,7902,0
2016-06-16,21:15:00,32.14,32.18,32.13,32.17,5586,0
2016-06-16,21:20:00,32.17,32.26,32.1472,32.24,16159,0
2016-06-16,21:25:00,32.23,32.31,32.21,32.31,19504,0
2016-06-16,21:30:00,32.3,32.375,32.3,32.375,13960,0
2016-06-16,21:35:00,32.37,32.41,32.34,32.39,17963,0
2016-06-16,21:40:00,32.4,32.405,32.34,32.36,16987,0
2016-06-16,21:45:00,32.36,32.4,32.34,32.4,11240,0
2016-06-16,21:50:00,32.39,32.4,32.36,32.395,12946,0
2016-06-16,21:55:00,32.39,32.39,32.31,32.34,25457,0
