Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-04,15:35:00,2.37,2.37,2.35,2.35,1000,0
2015-12-04,15:45:00,2.49,2.49,2.49,2.49,100,0
2015-12-04,15:50:00,2.47,2.47,2.47,2.47,500,0
2015-12-04,16:30:00,2.47,2.47,2.47,2.47,100,0
2015-12-04,17:15:00,2.47,2.47,2.47,2.47,800,0
2015-12-04,20:40:00,2.5,2.5,2.5,2.5,100,0
2015-12-04,20:45:00,2.5,2.5,2.5,2.5,100,0
2015-12-04,21:20:00,2.55,2.55,2.52,2.52,200,0
2015-12-04,21:55:00,2.44,2.44,2.44,2.44,200,0
2015-12-04,22:00:00,2.46,2.46,2.46,2.46,100,0
2015-12-07,17:20:00,2.49,2.49,2.49,2.49,300,0
2015-12-07,17:25:00,2.49,2.49,2.49,2.49,10900,0
2015-12-07,17:45:00,2.49,2.49,2.49,2.49,100,0
2015-12-07,17:55:00,2.485,2.485,2.485,2.485,100,0
2015-12-07,18:00:00,2.46,2.46,2.46,2.46,382,0
2015-12-07,18:05:00,2.46,2.48,2.46,2.48,400,0
2015-12-07,18:25:00,2.49,2.5,2.49,2.5,518,0
2015-12-07,18:35:00,2.5,2.5,2.5,2.5,200,0
2015-12-07,18:45:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,18:55:00,2.5,2.5,2.49,2.49,300,0
2015-12-07,19:15:00,2.49,2.49,2.49,2.49,100,0
2015-12-07,19:30:00,2.49,2.49,2.49,2.49,100,0
2015-12-07,19:40:00,2.49,2.5,2.49,2.5,200,0
2015-12-07,19:55:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,20:05:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,20:15:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,20:30:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,20:35:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,20:40:00,2.5,2.5,2.5,2.5,300,0
2015-12-07,20:50:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,20:55:00,2.5,2.5,2.5,2.5,100,0
2015-12-07,21:10:00,2.5,2.5,2.48,2.4801,500,0
2015-12-07,21:15:00,2.48,2.48,2.46,2.47,1200,0
2015-12-07,21:20:00,2.47,2.47,2.47,2.47,200,0
2015-12-07,21:55:00,2.4696,2.4696,2.4696,2.4696,500,0
2015-12-07,22:00:00,2.46,2.5,2.46,2.5,539,0
2015-12-08,17:10:00,2.4628,2.4662,2.4628,2.4662,1200,0
2015-12-08,17:30:00,2.44,2.44,2.44,2.44,100,0
2015-12-08,17:35:00,2.45,2.45,2.45,2.45,100,0
2015-12-08,18:20:00,2.45,2.45,2.45,2.45,100,0
2015-12-08,19:05:00,2.45,2.45,2.45,2.45,100,0
2015-12-08,19:50:00,2.4,2.4,2.4,2.4,100,0
2015-12-08,20:10:00,2.39,2.39,2.39,2.39,600,0
2015-12-08,20:15:00,2.44,2.5,2.44,2.5,2964,0
2015-12-08,20:20:00,2.49,2.49,2.49,2.49,100,0
2015-12-08,20:35:00,2.48,2.48,2.48,2.48,100,0
2015-12-08,21:05:00,2.45,2.46,2.45,2.46,500,0
2015-12-08,21:20:00,2.48,2.48,2.48,2.48,300,0
2015-12-08,21:30:00,2.48,2.48,2.48,2.48,155,0
2015-12-08,22:00:00,2.48,2.48,2.46,2.4799,900,0
2015-12-09,15:40:00,2.41,2.41,2.36,2.36,1200,0
2015-12-09,16:00:00,2.43,2.43,2.42,2.42,500,0
2015-12-09,16:30:00,2.47,2.47,2.47,2.47,100,0
2015-12-09,16:50:00,2.4799,2.4799,2.4799,2.4799,1000,0
2015-12-09,17:05:00,2.47,2.47,2.47,2.47,100,0
2015-12-09,17:25:00,2.47,2.47,2.46,2.46,1200,0
2015-12-09,17:30:00,2.46,2.46,2.46,2.46,100,0
2015-12-09,17:55:00,2.46,2.46,2.46,2.46,100,0
2015-12-09,18:20:00,2.46,2.46,2.46,2.46,100,0
2015-12-09,18:55:00,2.48,2.48,2.48,2.48,300,0
2015-12-09,19:00:00,2.48,2.48,2.48,2.48,100,0
2015-12-09,19:20:00,2.48,2.48,2.48,2.48,100,0
2015-12-09,19:45:00,2.48,2.48,2.48,2.48,100,0
2015-12-09,19:50:00,2.4686,2.4686,2.46,2.468,1200,0
2015-12-09,20:25:00,2.47,2.47,2.47,2.47,200,0
2015-12-09,20:30:00,2.47,2.4701,2.4525,2.4525,1100,0
2015-12-09,20:55:00,2.48,2.48,2.4799,2.4799,372,0
2015-12-09,21:05:00,2.48,2.48,2.47,2.47,700,0
2015-12-09,21:15:00,2.48,2.48,2.48,2.48,100,0
2015-12-09,21:35:00,2.4602,2.4602,2.4602,2.4602,1000,0
2015-12-09,21:55:00,2.4701,2.4701,2.45,2.46,2400,0
2015-12-09,22:00:00,2.46,2.48,2.43,2.43,1000,0
2015-12-10,19:05:00,2.47,2.47,2.47,2.47,1200,0
2015-12-10,19:20:00,2.47,2.47,2.47,2.47,1100,0
2015-12-10,19:25:00,2.46,2.46,2.46,2.46,100,0
2015-12-10,20:10:00,2.49,2.49,2.48,2.48,300,0
2015-12-10,20:20:00,2.49,2.49,2.49,2.49,1400,0
2015-12-10,20:35:00,2.49,2.49,2.49,2.49,100,0
2015-12-10,20:40:00,2.49,2.49,2.49,2.49,100,0
2015-12-10,20:45:00,2.48,2.48,2.48,2.48,100,0
2015-12-10,20:55:00,2.48,2.49,2.48,2.49,500,0
2015-12-10,21:05:00,2.49,2.49,2.49,2.49,100,0
2015-12-10,21:10:00,2.49,2.49,2.49,2.49,200,0
2015-12-10,21:15:00,2.49,2.49,2.49,2.49,316,0
2015-12-10,21:20:00,2.48,2.49,2.48,2.4899,1000,0
2015-12-10,21:25:00,2.49,2.49,2.49,2.49,100,0
2015-12-10,21:50:00,2.49,2.49,2.49,2.49,100,0
2015-12-10,22:00:00,2.49,2.49,2.49,2.49,331,0
2015-12-11,20:05:00,2.48,2.48,2.48,2.48,100,0
2015-12-11,20:10:00,2.48,2.48,2.48,2.48,100,0
2015-12-11,20:15:00,2.48,2.48,2.48,2.48,100,0
2015-12-11,20:20:00,2.48,2.48,2.48,2.48,100,0
2015-12-11,20:45:00,2.48,2.48,2.48,2.48,100,0
2015-12-11,21:05:00,2.48,2.48,2.48,2.48,1900,0
2015-12-11,21:10:00,2.48,2.4998,2.48,2.48,700,0
2015-12-11,21:15:00,2.5,2.5,2.47,2.5,3400,0
2015-12-11,21:20:00,2.47,2.47,2.47,2.47,100,0
2015-12-11,21:30:00,2.45,2.45,2.45,2.45,100,0
2015-12-11,21:50:00,2.418,2.49,2.418,2.49,5100,0
2015-12-11,22:00:00,2.44,2.45,2.44,2.45,728,0
2015-12-14,16:05:00,2.42,2.43,2.42,2.42,1300,0
2015-12-14,16:15:00,2.42,2.47,2.42,2.45,500,0
2015-12-14,16:25:00,2.45,2.45,2.45,2.45,100,0
2015-12-14,16:45:00,2.45,2.45,2.45,2.45,100,0
2015-12-14,17:00:00,2.45,2.45,2.45,2.45,100,0
2015-12-14,17:05:00,2.44,2.44,2.44,2.44,100,0
2015-12-14,17:20:00,2.44,2.45,2.44,2.45,200,0
2015-12-14,17:25:00,2.44,2.44,2.44,2.44,200,0
2015-12-14,17:40:00,2.44,2.44,2.44,2.44,100,0
2015-12-14,18:05:00,2.44,2.44,2.44,2.44,200,0
2015-12-14,18:20:00,2.45,2.45,2.45,2.45,200,0
2015-12-14,18:30:00,2.44,2.44,2.44,2.44,100,0
2015-12-14,19:05:00,2.44,2.44,2.44,2.44,100,0
2015-12-14,19:20:00,2.45,2.45,2.45,2.45,100,0
2015-12-14,19:45:00,2.45,2.45,2.45,2.45,100,0
2015-12-14,20:00:00,2.45,2.45,2.45,2.45,475,0
2015-12-14,20:35:00,2.45,2.46,2.45,2.46,400,0
2015-12-14,20:40:00,2.45,2.45,2.45,2.45,100,0
