Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,35.38,35.46,35.32,35.3201,1296,0
2016-06-16,15:40:00,35.34,35.405,35.04,35.09,4100,0
2016-06-16,15:45:00,35.08,35.08,34.89,35.05,9182,0
2016-06-16,15:50:00,35.09,35.17,35.05,35.16,400,0
2016-06-16,15:55:00,35.21,35.33,35.21,35.28,6400,0
2016-06-16,16:00:00,35.27,35.43,35.22,35.43,13000,0
2016-06-16,16:05:00,35.44,35.51,35.36,35.51,11740,0
2016-06-16,16:10:00,35.51,35.58,35.5,35.54,1455,0
2016-06-16,16:15:00,35.59,35.8,35.59,35.8,800,0
2016-06-16,16:20:00,35.81,35.81,35.69,35.74,2400,0
2016-06-16,16:25:00,35.72,35.72,35.62,35.67,4300,0
2016-06-16,16:30:00,35.66,35.77,35.65,35.72,2510,0
2016-06-16,16:35:00,35.63,35.64,35.43,35.565,7201,0
2016-06-16,16:40:00,35.485,35.5,35.43,35.465,4800,0
2016-06-16,16:45:00,35.44,35.51,35.44,35.51,2200,0
2016-06-16,16:50:00,35.53,35.56,35.53,35.54,3700,0
2016-06-16,16:55:00,35.51,35.51,35.42,35.51,4900,0
2016-06-16,17:00:00,35.5,35.5,35.49,35.5,500,0
2016-06-16,17:05:00,35.55,35.65,35.48,35.53,2000,0
2016-06-16,17:10:00,35.57,35.6,35.57,35.57,1900,0
2016-06-16,17:15:00,35.6,35.61,35.58,35.61,1400,0
2016-06-16,17:20:00,35.61,35.62,35.47,35.47,2000,0
2016-06-16,17:25:00,35.53,35.65,35.53,35.62,1200,0
2016-06-16,17:30:00,35.7,35.741,35.7,35.73,1203,0
2016-06-16,17:35:00,35.71,35.86,35.71,35.8,11463,0
2016-06-16,17:40:00,35.79,35.87,35.75,35.86,3200,0
2016-06-16,17:45:00,35.89,35.89,35.83,35.83,800,0
2016-06-16,17:50:00,35.78,35.82,35.75,35.82,3100,0
2016-06-16,17:55:00,35.79,35.79,35.75,35.75,1000,0
2016-06-16,18:00:00,35.75,35.86,35.7,35.82,14924,0
2016-06-16,18:05:00,35.79,35.79,35.76,35.76,1800,0
2016-06-16,18:10:00,35.82,35.84,35.82,35.83,800,0
2016-06-16,18:15:00,35.81,35.81,35.75,35.75,1500,0
2016-06-16,18:20:00,35.8,35.84,35.8,35.84,700,0
2016-06-16,18:25:00,35.84,35.87,35.8,35.87,800,0
2016-06-16,18:30:00,35.83,35.83,35.83,35.83,910,0
2016-06-16,18:35:00,35.86,35.86,35.78,35.82,1100,0
2016-06-16,18:40:00,35.83,35.955,35.83,35.95,1100,0
2016-06-16,18:45:00,35.94,36.05,35.94,36.05,700,0
2016-06-16,18:50:00,36.08,36.13,35.98,35.98,2600,0
2016-06-16,18:55:00,35.94,35.94,35.9,35.92,700,0
