Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,32.23,32.48,32.23,32.48,1410,0
2016-06-14,15:45:00,32.13,32.1401,32.13,32.1401,200,0
2016-06-14,15:50:00,32.5,32.5,32.158,32.158,200,0
2016-06-14,15:55:00,32.37,32.46,32.035,32.035,1200,0
2016-06-14,16:00:00,32.135,32.25,32.02,32.02,1300,0
2016-06-14,16:05:00,32.035,32.15,32.03,32.05,2493,0
2016-06-14,16:10:00,32.02,32.05,32,32.03,3400,0
2016-06-14,16:15:00,32.05,32.05,32,32,1400,0
2016-06-14,16:20:00,32,32.03,32,32.03,700,0
2016-06-14,16:25:00,32.01,32.01,32.01,32.01,200,0
2016-06-14,16:30:00,32.005,32.005,32.005,32.005,100,0
2016-06-14,16:40:00,32.005,32.005,32.005,32.005,200,0
2016-06-14,16:45:00,32.005,32.005,32,32,200,0
2016-06-14,16:50:00,32.005,32.01,32.005,32.01,200,0
2016-06-14,16:55:00,32.015,32.08,31.96,32.08,9200,0
2016-06-14,17:00:00,32.13,32.16,32.13,32.16,300,0
2016-06-14,17:05:00,32.13,32.21,32.05,32.12,6500,0
2016-06-14,17:10:00,32.13,32.17,32.09,32.12,2000,0
2016-06-14,17:15:00,32.1,32.1,32.065,32.065,200,0
2016-06-14,17:20:00,32.1,32.3,32.1,32.3,3800,0
2016-06-14,17:35:00,32.24,32.24,32.19,32.19,300,0
2016-06-14,17:40:00,32.22,32.22,32.15,32.2,800,0
2016-06-14,17:45:00,32.16,32.22,32.16,32.22,500,0
2016-06-14,17:55:00,32.26,32.26,32.26,32.26,100,0
2016-06-14,18:00:00,32.27,32.46,32.27,32.33,1300,0
2016-06-14,18:05:00,32.46,32.46,32.29,32.29,1300,0
2016-06-14,18:15:00,32.43,32.43,32.34,32.34,400,0
2016-06-14,18:20:00,32.46,32.46,32.46,32.46,100,0
2016-06-14,18:30:00,32.48,32.48,32.465,32.465,300,0
2016-06-14,18:40:00,32.4999,32.5,32.4999,32.5,200,0
2016-06-14,18:45:00,32.437,32.48,32.437,32.48,900,0
2016-06-14,18:50:00,32.48,32.48,32.44,32.44,900,0
2016-06-14,18:55:00,32.3401,32.3401,32.3401,32.3401,100,0
2016-06-14,19:00:00,32.35,32.35,32.35,32.35,200,0
2016-06-14,19:05:00,32.35,32.35,32.35,32.35,100,0
2016-06-14,19:10:00,32.35,32.35,32.35,32.35,400,0
2016-06-14,19:20:00,32.19,32.25,32.18,32.25,300,0
2016-06-14,19:30:00,32.29,32.29,32.29,32.29,400,0
2016-06-14,19:45:00,32.3,32.3,32.3,32.3,200,0
2016-06-14,19:50:00,32.32,32.32,32.32,32.32,200,0
2016-06-14,19:55:00,32.35,32.35,32.35,32.35,100,0
2016-06-14,20:00:00,32.31,32.31,32.31,32.31,100,0
2016-06-14,20:15:00,32.31,32.37,32.31,32.37,700,0
2016-06-14,20:20:00,32.53,32.53,32.53,32.53,100,0
2016-06-14,20:25:00,32.66,32.66,32.66,32.66,200,0
2016-06-14,20:30:00,32.66,32.66,32.6597,32.6597,200,0
2016-06-14,20:35:00,32.58,32.87,32.58,32.85,2600,0
2016-06-14,20:40:00,32.84,32.84,32.49,32.66,2549,0
2016-06-14,20:45:00,32.75,32.76,32.75,32.76,300,0
2016-06-14,20:50:00,32.46,32.56,32.46,32.56,200,0
2016-06-14,20:55:00,32.3501,32.3501,32.35,32.35,221,0
2016-06-14,21:00:00,32.43,32.72,32.43,32.72,3100,0
2016-06-14,21:10:00,32.8,32.8,32.8,32.8,100,0
2016-06-14,21:20:00,32.53,32.79,32.53,32.67,400,0
2016-06-14,21:25:00,32.54,32.78,32.54,32.78,300,0
2016-06-14,21:30:00,32.79,32.8,32.6208,32.8,1300,0
2016-06-14,21:35:00,32.799,32.8,32.78,32.8,300,0
2016-06-14,21:40:00,32.77,32.79,32.63,32.79,300,0
2016-06-14,21:45:00,32.79,32.79,32.638,32.638,335,0
2016-06-14,21:50:00,32.8,32.8,32.79,32.79,200,0
2016-06-14,21:55:00,32.71,32.77,32.71,32.76,400,0
2016-06-14,22:00:00,32.71,32.79,32.65,32.79,5282,0
2016-06-15,15:35:00,32.78,32.78,32.78,32.78,129,0
2016-06-15,15:55:00,32.45,32.45,32.45,32.45,100,0
2016-06-15,16:00:00,32.74,32.74,32.74,32.74,100,0
2016-06-15,16:30:00,32.48,32.48,32.48,32.48,100,0
2016-06-15,16:40:00,32.52,32.52,32.52,32.52,100,0
2016-06-15,16:45:00,32.52,32.67,32.43,32.54,2200,0
2016-06-15,16:50:00,32.48,32.48,32.47,32.47,300,0
2016-06-15,17:00:00,32.47,32.54,32.47,32.47,300,0
2016-06-15,17:05:00,32.43,32.43,32.43,32.43,100,0
2016-06-15,17:10:00,32.46,32.46,32.28,32.28,870,0
2016-06-15,17:15:00,32.27,32.45,32.27,32.325,1700,0
2016-06-15,17:25:00,32.45,32.45,32.32,32.32,300,0
2016-06-15,17:30:00,32.325,32.325,32.3,32.3,300,0
2016-06-15,17:40:00,32.365,32.37,32.35,32.35,300,0
2016-06-15,17:45:00,32.43,32.43,32.35,32.35,700,0
2016-06-15,17:50:00,32.39,32.39,32.34,32.35,1700,0
2016-06-15,18:00:00,32.34,32.34,32.34,32.34,100,0
2016-06-15,18:05:00,32.345,32.345,32.345,32.345,100,0
2016-06-15,18:10:00,32.3,32.35,32.3,32.3,500,0
2016-06-15,18:15:00,32.37,32.41,32.31,32.41,1800,0
2016-06-15,18:20:00,32.536,32.536,32.536,32.536,100,0
2016-06-15,18:25:00,32.505,32.505,32.505,32.505,100,0
2016-06-15,18:30:00,32.75,32.75,32.67,32.72,400,0
2016-06-15,18:35:00,32.59,32.59,32.59,32.59,100,0
2016-06-15,18:45:00,32.59,32.72,32.3,32.46,2388,0
2016-06-15,18:50:00,32.33,32.51,32.33,32.51,600,0
2016-06-15,18:55:00,32.585,32.73,32.585,32.73,200,0
2016-06-15,19:00:00,32.61,32.615,32.5,32.51,400,0
2016-06-15,19:05:00,32.48,32.48,32.46,32.46,400,0
2016-06-15,19:10:00,32.44,32.44,32.44,32.44,100,0
2016-06-15,19:15:00,32.41,32.4737,32.39,32.39,900,0
2016-06-15,19:30:00,32.42,32.64,32.4,32.5,1200,0
2016-06-15,19:35:00,32.52,32.54,32.52,32.54,266,0
2016-06-15,19:40:00,32.53,32.64,32.53,32.62,2400,0
2016-06-15,19:45:00,32.68,32.77,32.63,32.705,1800,0
2016-06-15,19:50:00,32.68,32.68,32.64,32.6495,500,0
2016-06-15,19:55:00,32.64,32.69,32.64,32.69,1000,0
2016-06-15,20:00:00,32.7,32.83,32.7,32.78,1641,0
2016-06-15,20:10:00,33.16,33.16,32.82,32.86,1781,0
2016-06-15,20:15:00,32.62,32.86,32.62,32.735,300,0
2016-06-15,20:20:00,32.85,33.07,32.85,32.9,700,0
2016-06-15,20:25:00,33.07,33.07,32.9,32.99,500,0
2016-06-15,20:30:00,32.88,33,32.88,33,2000,0
2016-06-15,20:35:00,33,33.17,32.965,33.1001,1800,0
2016-06-15,20:40:00,33.12,33.12,33.01,33.05,3110,0
2016-06-15,20:45:00,33.05,33.11,33.0175,33.1005,1393,0
2016-06-15,20:50:00,33.17,33.17,33.17,33.17,100,0
2016-06-15,21:00:00,33.24,33.24,33.05,33.06,600,0
2016-06-15,21:05:00,33.13,33.13,32.96,33.0375,2300,0
2016-06-15,21:10:00,33.03,33.06,33.03,33.06,1000,0
2016-06-15,21:15:00,33.02,33.07,32.925,33.07,3400,0
2016-06-15,21:20:00,33.08,33.08,33.08,33.08,100,0
2016-06-15,21:25:00,33.06,33.06,32.91,32.91,400,0
2016-06-15,21:30:00,33.06,33.06,32.99,33.06,528,0
2016-06-15,21:35:00,32.91,33.05,32.91,33.045,2900,0
2016-06-15,21:40:00,33.05,33.14,33.005,33.14,3300,0
2016-06-15,21:45:00,33.14,33.14,33.0425,33.0425,400,0
2016-06-15,21:50:00,33.045,33.13,33.04,33.04,300,0
2016-06-15,21:55:00,33.13,33.13,33,33.12,1281,0
2016-06-15,22:00:00,33.03,33.21,32.95,32.95,7449,0
2016-06-16,15:35:00,32.71,32.78,32.71,32.78,891,0
2016-06-16,15:45:00,32.74,32.74,32.425,32.425,200,0
2016-06-16,15:50:00,32.735,32.735,32.735,32.735,100,0
2016-06-16,16:05:00,32.58,32.88,32.58,32.83,3442,0
2016-06-16,16:10:00,33.01,33.01,33.01,33.01,100,0
2016-06-16,16:15:00,33.15,33.25,33.1,33.151,2100,0
2016-06-16,16:20:00,33.22,33.24,32.94,33.025,2434,0
2016-06-16,16:25:00,32.8501,33.15,32.8501,33.15,6811,0
2016-06-16,16:30:00,33.02,33.09,32.99,33.04,7900,0
2016-06-16,16:35:00,33.06,33.19,33.06,33.13,3300,0
2016-06-16,16:40:00,33.13,33.34,33.13,33.31,4100,0
2016-06-16,16:45:00,33.36,33.4,33.36,33.4,700,0
2016-06-16,16:50:00,33.5,33.5,33.4,33.48,2000,0
