Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,83.99,84.226,83.44,83.52,21484,0
2016-06-16,15:40:00,83.52,84.06,83.52,84.06,19880,0
2016-06-16,15:45:00,84.04,84.17,83.9264,84.135,2803,0
2016-06-16,15:50:00,84.135,84.135,83.85,83.85,15530,0
2016-06-16,15:55:00,83.81,83.855,83.72,83.79,9345,0
2016-06-16,16:00:00,83.8,83.8,83.48,83.48,10832,0
2016-06-16,16:05:00,83.46,83.62,83.46,83.51,9614,0
2016-06-16,16:10:00,83.49,83.51,83.43,83.49,16098,0
2016-06-16,16:15:00,83.49,83.55,83.44,83.475,13787,0
2016-06-16,16:20:00,83.5,83.53,83.46,83.5,10724,0
2016-06-16,16:25:00,83.49,83.54,83.39,83.39,9571,0
2016-06-16,16:30:00,83.4,83.54,83.39,83.41,9561,0
2016-06-16,16:35:00,83.39,83.55,83.39,83.45,10301,0
2016-06-16,16:40:00,83.48,83.58,83.45,83.5,10971,0
2016-06-16,16:45:00,83.48,83.53,83.44,83.44,9000,0
2016-06-16,16:50:00,83.47,83.47,83.43,83.43,6298,0
2016-06-16,16:55:00,83.43,83.5,83.35,83.5,8523,0
2016-06-16,17:00:00,83.5,83.535,83.46,83.46,9292,0
2016-06-16,17:05:00,83.4582,83.5,83.32,83.4,24651,0
2016-06-16,17:10:00,83.4,83.53,83.4,83.5,9911,0
2016-06-16,17:15:00,83.5,83.61,83.5,83.51,9766,0
2016-06-16,17:20:00,83.51,83.51,83.38,83.44,8300,0
2016-06-16,17:25:00,83.426,83.565,83.42,83.54,11170,0
2016-06-16,17:30:00,83.52,83.665,83.475,83.63,10700,0
2016-06-16,17:35:00,83.62,83.73,83.545,83.6,12487,0
2016-06-16,17:40:00,83.5884,83.5884,83.49,83.49,8958,0
2016-06-16,17:45:00,83.48,83.48,83.39,83.41,3938,0
2016-06-16,17:50:00,83.4,83.43,83.31,83.41,10400,0
2016-06-16,17:55:00,83.44,83.5,83.38,83.5,7608,0
2016-06-16,18:00:00,83.51,83.52,83.39,83.455,5100,0
2016-06-16,18:05:00,83.45,83.55,83.42,83.55,4589,0
2016-06-16,18:10:00,83.55,83.58,83.43,83.46,3400,0
2016-06-16,18:15:00,83.49,83.524,83.44,83.49,9008,0
2016-06-16,18:20:00,83.5,83.64,83.46,83.64,29328,0
2016-06-16,18:25:00,83.64,83.72,83.57,83.72,15186,0
2016-06-16,18:30:00,83.73,83.84,83.73,83.77,12237,0
2016-06-16,18:35:00,83.78,83.84,83.73,83.83,5757,0
2016-06-16,18:40:00,83.83,83.89,83.805,83.88,9507,0
2016-06-16,18:45:00,83.91,83.94,83.77,83.94,19586,0
2016-06-16,18:50:00,83.91,83.94,83.82,83.84,23877,0
2016-06-16,18:55:00,83.84,83.92,83.82,83.92,5101,0
2016-06-16,19:00:00,83.91,83.94,83.85,83.86,4907,0
2016-06-16,19:05:00,83.89,84.08,83.89,84,9100,0
2016-06-16,19:10:00,84.03,84.03,83.91,84.01,9776,0
2016-06-16,19:15:00,83.99,84.07,83.89,83.89,10725,0
2016-06-16,19:20:00,83.91,83.95,83.84,83.95,4521,0
2016-06-16,19:25:00,83.99,83.99,83.8,83.83,9948,0
2016-06-16,19:30:00,83.85,83.94,83.78,83.8,6732,0
2016-06-16,19:35:00,83.81,83.93,83.74,83.79,7354,0
2016-06-16,19:40:00,83.79,83.92,83.775,83.92,5899,0
2016-06-16,19:45:00,83.91,83.945,83.87,83.89,4488,0
2016-06-16,19:50:00,83.91,83.91,83.75,83.8,6482,0
2016-06-16,19:55:00,83.81,83.81,83.725,83.75,9344,0
2016-06-16,20:00:00,83.76,83.835,83.76,83.78,3935,0
2016-06-16,20:05:00,83.78,83.94,83.78,83.94,7200,0
2016-06-16,20:10:00,83.93,83.947,83.89,83.921,7330,0
2016-06-16,20:15:00,83.92,84.03,83.91,83.995,20141,0
2016-06-16,20:20:00,83.98,84.02,83.95,84.02,17005,0
2016-06-16,20:25:00,84,84.005,83.94,83.95,9999,0
2016-06-16,20:30:00,83.95,83.99,83.82,83.82,11688,0
2016-06-16,20:35:00,83.82,83.91,83.82,83.8571,9580,0
2016-06-16,20:40:00,83.85,83.8825,83.81,83.82,8951,0
2016-06-16,20:45:00,83.82,83.89,83.81,83.85,7633,0
2016-06-16,20:50:00,83.87,83.98,83.85,83.98,8988,0
2016-06-16,20:55:00,83.97,84.03,83.95,84.03,23038,0
2016-06-16,21:00:00,84.01,84.06,83.98,83.99,13913,0
2016-06-16,21:05:00,84,84.14,83.99,84.12,13640,0
2016-06-16,21:10:00,84.13,84.21,84.09,84.2,12050,0
2016-06-16,21:15:00,84.2,84.21,84.17,84.2,10040,0
2016-06-16,21:20:00,84.2,84.3,84.17,84.28,25586,0
2016-06-16,21:25:00,84.27,84.36,84.17,84.32,8480,0
2016-06-16,21:30:00,84.31,84.46,84.2901,84.44,10741,0
2016-06-16,21:35:00,84.43,84.48,84.4094,84.46,15422,0
2016-06-16,21:40:00,84.465,84.465,84.32,84.33,11767,0
2016-06-16,21:45:00,84.34,84.42,84.34,84.42,13535,0
2016-06-16,21:50:00,84.41,84.44,84.335,84.39,23486,0
2016-06-16,21:55:00,84.38,84.38,84.29,84.36,31141,0
2016-06-16,22:00:00,84.36,84.42,84.32,84.4,101755,0
2016-06-17,15:35:00,84.09,84.32,83.59,83.76,175172,0
2016-06-17,15:40:00,83.78,83.82,83.42,83.53,17887,0
2016-06-17,15:45:00,83.66,83.91,83.57,83.9,6275,0
2016-06-17,15:50:00,83.87,83.91,83.75,83.89,9394,0
