Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-13,15:35:00,0.34,0.348,0.3302,0.3303,13668,0
2016-06-13,15:40:00,0.3304,0.3304,0.325,0.325,14200,0
2016-06-13,15:45:00,0.325,0.3255,0.325,0.325,2100,0
2016-06-13,15:50:00,0.325,0.3253,0.325,0.325,4700,0
2016-06-13,15:55:00,0.325,0.3253,0.325,0.325,6100,0
2016-06-13,16:00:00,0.325,0.3253,0.325,0.325,2900,0
2016-06-13,16:05:00,0.325,0.3252,0.325,0.325,3100,0
2016-06-13,16:10:00,0.325,0.3252,0.325,0.325,5300,0
2016-06-13,16:15:00,0.325,0.325,0.3161,0.3161,168805,0
2016-06-13,16:20:00,0.3161,0.3185,0.3161,0.3179,20700,0
2016-06-13,16:25:00,0.3161,0.3185,0.315,0.3152,35047,0
2016-06-13,16:30:00,0.3152,0.3153,0.312,0.3121,37961,0
2016-06-13,16:35:00,0.3122,0.3122,0.3101,0.3109,68900,0
2016-06-13,16:40:00,0.3118,0.3131,0.3116,0.312,8200,0
2016-06-13,16:45:00,0.3109,0.315,0.3109,0.3109,17550,0
2016-06-13,16:50:00,0.312,0.3124,0.3117,0.3117,2000,0
2016-06-13,16:55:00,0.3117,0.3122,0.311,0.311,5875,0
2016-06-13,17:00:00,0.3116,0.3123,0.3116,0.3123,3300,0
2016-06-13,17:05:00,0.3123,0.3124,0.3109,0.3115,10116,0
2016-06-13,17:10:00,0.3109,0.3151,0.3109,0.3109,700,0
2016-06-13,17:15:00,0.3112,0.3151,0.311,0.311,19080,0
2016-06-13,17:20:00,0.311,0.3151,0.311,0.311,3000,0
2016-06-13,17:25:00,0.311,0.3151,0.311,0.3145,17100,0
2016-06-13,17:30:00,0.3143,0.3143,0.311,0.3142,800,0
2016-06-13,17:35:00,0.311,0.3142,0.311,0.3113,16000,0
2016-06-13,17:40:00,0.311,0.3111,0.3109,0.3109,8484,0
2016-06-13,17:45:00,0.3109,0.3113,0.3109,0.3111,7450,0
2016-06-13,17:50:00,0.3109,0.3109,0.3028,0.3028,52016,0
2016-06-13,17:55:00,0.3097,0.3105,0.3029,0.3032,25100,0
2016-06-13,18:00:00,0.3033,0.3066,0.3033,0.3033,467,0
2016-06-13,18:05:00,0.304,0.304,0.301,0.301,57797,0
2016-06-13,18:10:00,0.3011,0.3045,0.301,0.3045,10302,0
2016-06-13,18:15:00,0.3014,0.3045,0.3012,0.3019,10800,0
2016-06-13,18:20:00,0.3014,0.3105,0.3014,0.31,1300,0
2016-06-13,18:30:00,0.3103,0.3104,0.3019,0.3019,13500,0
2016-06-13,18:35:00,0.3019,0.3019,0.301,0.3019,2425,0
2016-06-13,18:40:00,0.3102,0.3104,0.3102,0.3104,300,0
2016-06-13,18:45:00,0.3104,0.3104,0.3104,0.3104,3000,0
2016-06-13,18:55:00,0.3101,0.3189,0.31,0.3189,19804,0
2016-06-13,19:00:00,0.3171,0.3171,0.3171,0.3171,6700,0
2016-06-13,19:05:00,0.313,0.3181,0.313,0.317,1400,0
2016-06-13,19:10:00,0.3106,0.3106,0.3106,0.3106,1800,0
2016-06-13,19:20:00,0.3106,0.3107,0.3106,0.3107,18148,0
2016-06-13,19:35:00,0.3186,0.3189,0.3108,0.3189,14984,0
2016-06-13,19:40:00,0.315,0.315,0.315,0.315,4000,0
2016-06-13,19:45:00,0.3189,0.3189,0.315,0.315,5250,0
2016-06-13,19:50:00,0.3188,0.3189,0.3108,0.3108,24219,0
2016-06-13,19:55:00,0.3108,0.3189,0.3108,0.315,900,0
2016-06-13,20:10:00,0.3188,0.3188,0.3188,0.3188,200,0
2016-06-13,20:25:00,0.3189,0.3189,0.3188,0.3188,4200,0
2016-06-13,20:35:00,0.3188,0.3188,0.3153,0.3153,1100,0
2016-06-13,20:45:00,0.3185,0.3185,0.3185,0.3185,200,0
2016-06-13,20:55:00,0.3185,0.3185,0.3185,0.3185,200,0
2016-06-13,21:05:00,0.3185,0.3185,0.3185,0.3185,540,0
2016-06-13,21:10:00,0.3185,0.3185,0.3185,0.3185,100,0
2016-06-13,21:15:00,0.315,0.3151,0.315,0.315,11500,0
2016-06-13,21:20:00,0.3181,0.3183,0.3181,0.3183,2300,0
2016-06-13,21:25:00,0.3181,0.3181,0.3181,0.3181,5000,0
2016-06-13,21:30:00,0.3178,0.3178,0.3178,0.3178,200,0
2016-06-13,21:40:00,0.318,0.318,0.318,0.318,200,0
2016-06-13,21:50:00,0.318,0.318,0.3169,0.3169,2100,0
2016-06-13,21:55:00,0.3179,0.3179,0.317,0.317,3400,0
2016-06-13,22:00:00,0.317,0.318,0.317,0.3179,5900,0
2016-06-14,15:35:00,0.318,0.319,0.3105,0.3189,10715,0
2016-06-14,15:40:00,0.3112,0.3189,0.3111,0.3189,18124,0
2016-06-14,15:45:00,0.311,0.3135,0.311,0.312,2130,0
2016-06-14,15:50:00,0.3134,0.32,0.312,0.32,4700,0
2016-06-14,15:55:00,0.3193,0.3193,0.315,0.3151,1500,0
2016-06-14,16:00:00,0.315,0.3165,0.315,0.3164,1000,0
2016-06-14,16:10:00,0.3155,0.3155,0.312,0.312,7700,0
2016-06-14,16:15:00,0.3122,0.3122,0.312,0.312,658,0
2016-06-14,16:20:00,0.3122,0.3123,0.3122,0.3123,200,0
2016-06-14,16:25:00,0.315,0.315,0.3148,0.315,9100,0
