Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-27,15:35:00,11.29,11.29,11.29,11.29,100,0
2015-08-27,15:40:00,11.18,11.18,11.18,11.18,100,0
2015-08-27,18:55:00,11.2085,11.21,11.2085,11.2099,900,0
2015-08-27,20:55:00,11.18,11.18,11.18,11.18,200,0
2015-08-27,21:25:00,11.19,11.19,11.1801,11.19,1900,0
2015-08-27,21:30:00,11.19,11.19,11.19,11.19,1400,0
2015-08-27,21:35:00,11.21,11.21,11.21,11.21,1400,0
2015-08-28,15:35:00,11.18,11.18,11.18,11.18,102,0
2015-08-28,15:40:00,11.19,11.19,11.19,11.19,100,0
2015-08-28,16:30:00,11.21,11.21,11.21,11.21,300,0
2015-08-28,18:05:00,11.19,11.19,11.19,11.19,1500,0
2015-08-28,19:35:00,11.18,11.18,11.18,11.18,298,0
2015-08-28,20:45:00,11.1,11.14,11.1,11.14,550,0
2015-08-28,21:55:00,11.1,11.1001,11.09,11.1,1152,0
2015-08-28,22:00:00,11.187,11.19,11.11,11.11,2062,0
2015-08-31,15:35:00,11.055,11.055,11.055,11.055,100,0
2015-08-31,15:40:00,11,11,11,11,100,0
2015-08-31,17:25:00,11.0952,11.0952,11.0952,11.0952,200,0
2015-08-31,18:40:00,11.18,11.18,11.18,11.18,300,0
2015-08-31,20:40:00,11.12,11.12,11.12,11.12,100,0
2015-08-31,21:20:00,11.123,11.123,11.12,11.12,1400,0
2015-08-31,21:25:00,11.1201,11.1201,11.12,11.12,1100,0
2015-08-31,21:30:00,11.12,11.12,11.12,11.12,100,0
2015-08-31,22:00:00,11.08,11.08,11.08,11.08,100,0
2015-09-01,15:35:00,10.95,10.95,10.95,10.95,302,0
2015-09-01,15:40:00,10.88,10.88,10.88,10.88,100,0
2015-09-01,18:55:00,11.1,11.1,11.1,11.1,100,0
2015-09-01,19:45:00,11.05,11.08,11.05,11.08,700,0
2015-09-01,19:55:00,11.08,11.09,11.08,11.08,1000,0
2015-09-01,20:05:00,11.12,11.12,11.12,11.12,200,0
2015-09-01,22:00:00,11.05,11.05,11.05,11.05,126,0
2015-09-02,15:35:00,11.1,11.1,11.09,11.09,269,0
2015-09-02,15:40:00,11,11,11,11,100,0
2015-09-02,15:50:00,11.08,11.08,11.08,11.08,100,0
2015-09-02,18:35:00,11.08,11.08,11.08,11.08,500,0
2015-09-02,19:15:00,11.08,11.08,11.08,11.08,200,0
2015-09-02,19:20:00,11.09,11.09,11.09,11.09,2000,0
2015-09-02,19:25:00,11.09,11.15,11.09,11.15,1363,0
2015-09-02,20:40:00,11.103,11.103,11.1,11.1,400,0
2015-09-02,21:20:00,11.0901,11.0901,11.0901,11.0901,600,0
2015-09-02,21:30:00,11.09,11.09,11.09,11.09,1300,0
2015-09-02,21:55:00,11.13,11.15,11.13,11.15,1300,0
2015-09-02,22:00:00,11.1,11.1,11.1,11.1,456,0
2015-09-03,16:15:00,11.01,11.01,11.01,11.01,100,0
2015-09-03,22:00:00,11.04,11.04,11.04,11.04,100,0
2015-09-04,15:35:00,10.9,10.9,10.9,10.9,100,0
2015-09-04,16:40:00,11.28,11.28,11.28,11.28,100,0
2015-09-04,18:20:00,11.26,11.28,11.26,11.28,1400,0
2015-09-04,20:35:00,11,11,11,11,100,0
2015-09-08,15:35:00,11.16,11.16,11.16,11.16,200,0
2015-09-08,17:35:00,11.174,11.18,11.17,11.17,502,0
2015-09-08,17:45:00,11.2,11.2,11.19,11.2,1200,0
2015-09-08,19:45:00,11.2101,11.2101,11.21,11.21,300,0
2015-09-08,19:50:00,11.2,11.2,11.2,11.2,700,0
2015-09-08,19:55:00,11.2,11.2,11.2,11.2,200,0
2015-09-08,20:00:00,11.2,11.2,11.2,11.2,200,0
2015-09-08,20:25:00,11.2,11.21,11.2,11.21,600,0
2015-09-08,20:30:00,11.1901,11.2,11.19,11.19,700,0
2015-09-08,21:40:00,11.16,11.16,11.0601,11.0601,1800,0
2015-09-08,21:55:00,11.077,11.08,11.07,11.07,1200,0
2015-09-08,22:00:00,11.08,11.09,11.06,11.06,998,0
2015-09-09,15:35:00,11.22,11.22,11.22,11.22,100,0
2015-09-09,18:00:00,11.22,11.22,11.22,11.22,100,0
2015-09-09,18:10:00,11.25,11.25,11.22,11.234,1900,0
2015-09-09,18:15:00,11.25,11.25,11.25,11.25,600,0
2015-09-09,18:30:00,11.25,11.25,11.25,11.25,108,0
2015-09-09,18:35:00,11.265,11.265,11.265,11.265,100,0
2015-09-09,18:55:00,11.265,11.29,11.26,11.29,4091,0
2015-09-09,20:30:00,11.293,11.293,11.293,11.293,700,0
2015-09-09,21:00:00,11.29,11.29,11.29,11.29,100,0
2015-09-09,21:10:00,11.2901,11.2901,11.29,11.29,3000,0
2015-09-09,21:15:00,11.29,11.29,11.29,11.29,1200,0
2015-09-09,21:20:00,11.29,11.31,11.29,11.31,669,0
2015-09-09,21:25:00,11.41,11.41,11.41,11.41,129,0
2015-09-09,22:00:00,11.3,11.3,11.3,11.3,100,0
2015-09-10,17:20:00,11.39,11.39,11.39,11.39,100,0
2015-09-10,17:25:00,11.4,11.4,11.4,11.4,700,0
2015-09-10,18:50:00,11.4,11.4,11.21,11.3,1700,0
2015-09-10,19:50:00,11.27,11.27,11.27,11.27,100,0
2015-09-10,19:55:00,11.29,11.3,11.29,11.3,500,0
2015-09-10,20:10:00,11.255,11.255,11.21,11.21,1800,0
2015-09-10,20:20:00,11.2101,11.255,11.21,11.255,2000,0
2015-09-10,20:35:00,11.25,11.28,11.25,11.28,1900,0
2015-09-10,20:40:00,11.25,11.25,11.25,11.25,100,0
2015-09-10,21:10:00,11.25,11.25,11.25,11.25,100,0
2015-09-10,21:45:00,11.25,11.25,11.25,11.25,100,0
2015-09-10,21:55:00,11.29,11.29,11.2899,11.29,1400,0
2015-09-10,22:00:00,11.29,11.32,11.29,11.32,3034,0
2015-09-11,20:05:00,11.27,11.27,11.27,11.27,100,0
2015-09-11,21:05:00,11.27,11.27,11.27,11.27,100,0
2015-09-11,21:40:00,11.27,11.27,11.27,11.27,100,0
2015-09-11,21:50:00,11.27,11.27,11.27,11.27,100,0
2015-09-11,22:00:00,11.27,11.27,11.27,11.27,100,0
2015-09-14,15:35:00,11.32,11.45,11.32,11.45,200,0
2015-09-14,19:55:00,11.29,11.29,11.29,11.29,100,0
2015-09-14,21:00:00,11.28,11.28,11.28,11.28,100,0
2015-09-14,22:00:00,11.25,11.25,11.24,11.24,217,0
2015-09-15,17:35:00,11.28,11.28,11.28,11.28,100,0
2015-09-15,20:05:00,11.29,11.29,11.29,11.29,100,0
2015-09-15,20:35:00,11.28,11.28,11.28,11.28,100,0
2015-09-15,21:55:00,11.27,11.27,11.27,11.27,100,0
2015-09-15,22:00:00,11.27,11.27,11.27,11.27,100,0
2015-09-16,19:05:00,11.12,11.12,11.12,11.12,100,0
2015-09-16,19:25:00,11.17,11.27,11.17,11.2692,4327,0
2015-09-16,19:45:00,11.25,11.25,11.11,11.11,1212,0
2015-09-16,21:20:00,11.11,11.11,11.11,11.11,100,0
2015-09-16,22:00:00,11.11,11.11,11.11,11.11,100,0
2015-09-17,20:40:00,11.11,11.205,11.1,11.1,7863,0
2015-09-17,21:15:00,11.1,11.15,11.1,11.15,2344,0
2015-09-17,21:45:00,11.1,11.1,11.1,11.1,100,0
2015-09-17,21:55:00,11.11,11.11,11.11,11.11,100,0
2015-09-17,22:00:00,11.15,11.15,11.11,11.11,477,0
2015-09-18,15:35:00,11.09,11.1191,11.09,11.1191,802,0
2015-09-18,15:55:00,11.1,11.1,11.1,11.1,100,0
2015-09-18,16:05:00,11.1,11.1,11.1,11.1,1800,0
2015-09-18,16:10:00,11.1,11.1,11.1,11.1,100,0
2015-09-18,16:35:00,11.1,11.1,11.1,11.1,200,0
2015-09-18,17:20:00,11.1,11.1,11.07,11.09,6135,0
2015-09-18,17:45:00,10.99,10.99,10.99,10.99,100,0
2015-09-18,19:10:00,11,11,11,11,100,0
2015-09-18,19:55:00,10.99,10.99,10.99,10.99,100,0
2015-09-18,20:05:00,10.99,10.99,10.99,10.99,100,0
2015-09-18,20:35:00,10.99,10.99,10.99,10.99,143,0
2015-09-18,21:35:00,10.9,10.9,10.9,10.9,100,0
2015-09-18,21:40:00,10.9,10.9,10.9,10.9,100,0
2015-09-18,21:55:00,11.18,11.2,11.16,11.2,1417,0
2015-09-18,22:00:00,11.2,11.4,11.18,11.4,10649,0
2015-09-21,15:35:00,11.33,11.33,11.33,11.33,100,0
2015-09-21,16:20:00,11.39,11.39,11.39,11.39,200,0
2015-09-21,16:30:00,11.3401,11.3401,11.3401,11.3401,1000,0
2015-09-21,18:00:00,11.39,11.39,11.39,11.39,100,0
2015-09-21,18:30:00,11.4,11.4,11.39,11.4,2294,0
2015-09-21,18:35:00,11.4,11.4,11.4,11.4,400,0
2015-09-21,18:40:00,11.4,11.4,11.39,11.39,400,0
2015-09-21,18:45:00,11.39,11.39,11.39,11.39,400,0
2015-09-21,18:50:00,11.39,11.39,11.39,11.39,457,0
2015-09-21,18:55:00,11.38,11.38,11.3,11.3,700,0
2015-09-21,19:10:00,11.24,11.25,11.24,11.2499,583,0
2015-09-22,15:35:00,11.11,11.11,11.11,11.11,100,0
