Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,15:35:00,5.16,5.16,5.16,5.16,2158,0
2016-05-20,15:40:00,5.2,5.2,5.2,5.2,200,0
2016-05-20,15:45:00,5.28,5.28,5.195,5.195,1365,0
2016-05-20,15:55:00,5.1804,5.1804,5.1804,5.1804,1000,0
2016-05-20,16:20:00,5.185,5.185,5.1501,5.1501,400,0
2016-05-20,16:35:00,5.165,5.165,5.165,5.165,500,0
2016-05-20,16:55:00,5.21,5.21,5.21,5.21,100,0
2016-05-20,17:10:00,5.23,5.23,5.23,5.23,200,0
2016-05-20,17:15:00,5.2075,5.215,5.185,5.2,3277,0
2016-05-20,17:25:00,5.2,5.2,5.1901,5.2,700,0
2016-05-20,17:55:00,5.195,5.195,5.1901,5.195,1200,0
2016-05-20,18:00:00,5.195,5.195,5.195,5.195,100,0
2016-05-20,18:25:00,5.175,5.19,5.16,5.16,400,0
2016-05-20,18:45:00,5.2,5.2,5.2,5.2,100,0
2016-05-20,19:00:00,5.2,5.2,5.19,5.19,200,0
2016-05-20,19:05:00,5.19,5.2,5.185,5.185,600,0
2016-05-20,19:15:00,5.18,5.185,5.17,5.17,500,0
2016-05-20,19:25:00,5.2,5.215,5.2,5.215,400,0
2016-05-20,19:45:00,5.22,5.22,5.22,5.22,100,0
2016-05-20,19:55:00,5.21,5.2199,5.21,5.21,1002,0
2016-05-20,20:20:00,5.21,5.21,5.1999,5.1999,200,0
2016-05-20,20:25:00,5.1984,5.1984,5.1984,5.1984,500,0
2016-05-20,20:30:00,5.1916,5.1916,5.1916,5.1916,100,0
2016-05-20,20:35:00,5.1748,5.176,5.1748,5.176,300,0
2016-05-20,20:45:00,5.2,5.2,5.2,5.2,100,0
2016-05-20,20:50:00,5.2,5.2,5.2,5.2,172,0
2016-05-20,20:55:00,5.19,5.19,5.19,5.19,100,0
2016-05-20,21:00:00,5.2,5.2,5.1832,5.2,428,0
2016-05-20,21:05:00,5.1832,5.2,5.18,5.18,300,0
2016-05-20,21:10:00,5.18,5.18,5.18,5.18,100,0
2016-05-20,21:15:00,5.2,5.2,5.2,5.2,185,0
2016-05-20,21:20:00,5.2,5.21,5.18,5.18,1300,0
2016-05-20,21:35:00,5.22,5.22,5.2064,5.22,700,0
2016-05-20,21:50:00,5.2,5.2,5.2,5.2,100,0
2016-05-20,22:00:00,5.21,5.22,5.18,5.18,3078,0
2016-05-23,15:35:00,5.18,5.18,5.18,5.18,289,0
2016-05-23,15:40:00,5.2,5.2,5.18,5.19,2500,0
2016-05-23,15:55:00,5.19,5.19,5.19,5.19,100,0
2016-05-23,16:05:00,5.2,5.2,5.2,5.2,600,0
2016-05-23,16:20:00,5.22,5.22,5.22,5.22,1400,0
2016-05-23,16:30:00,5.22,5.24,5.22,5.24,920,0
2016-05-23,16:45:00,5.2389,5.25,5.2389,5.24,2380,0
2016-05-23,16:50:00,5.2411,5.2411,5.2411,5.2411,100,0
2016-05-23,16:55:00,5.25,5.25,5.245,5.245,1400,0
2016-05-23,17:00:00,5.25,5.25,5.25,5.25,900,0
2016-05-23,17:05:00,5.25,5.25,5.245,5.245,300,0
2016-05-23,17:15:00,5.24,5.24,5.24,5.24,100,0
2016-05-23,17:20:00,5.25,5.25,5.24,5.24,500,0
2016-05-23,17:30:00,5.25,5.25,5.25,5.25,200,0
2016-05-23,17:45:00,5.25,5.25,5.2419,5.2419,1200,0
2016-05-23,17:50:00,5.245,5.25,5.245,5.25,200,0
2016-05-23,17:55:00,5.25,5.25,5.24,5.25,600,0
2016-05-23,18:05:00,5.238,5.238,5.238,5.238,200,0
2016-05-23,18:15:00,5.25,5.25,5.24,5.24,200,0
2016-05-23,18:20:00,5.24,5.24,5.24,5.24,100,0
2016-05-23,18:30:00,5.25,5.25,5.25,5.25,100,0
2016-05-23,18:35:00,5.25,5.25,5.25,5.25,222,0
2016-05-23,18:40:00,5.25,5.25,5.25,5.25,100,0
2016-05-23,19:45:00,5.24,5.24,5.23,5.23,200,0
2016-05-23,20:10:00,5.25,5.25,5.25,5.25,100,0
2016-05-23,21:05:00,5.24,5.24,5.23,5.24,300,0
2016-05-23,21:15:00,5.25,5.25,5.25,5.25,100,0
2016-05-23,21:35:00,5.25,5.25,5.25,5.25,100,0
2016-05-23,21:45:00,5.247,5.247,5.247,5.247,100,0
2016-05-23,21:50:00,5.23,5.24,5.23,5.24,300,0
2016-05-23,22:00:00,5.238,5.24,5.17,5.17,1702,0
2016-05-24,15:35:00,5.2,5.2,5.2,5.2,404,0
2016-05-24,15:45:00,5.2,5.2,5.2,5.2,1000,0
2016-05-24,15:50:00,5.24,5.24,5.24,5.24,100,0
2016-05-24,16:00:00,5.26,5.26,5.24,5.24,300,0
2016-05-24,16:25:00,5.2702,5.2702,5.2702,5.2702,100,0
2016-05-24,16:35:00,5.2581,5.26,5.25,5.26,1200,0
2016-05-24,17:40:00,5.26,5.26,5.25,5.25,600,0
2016-05-24,18:15:00,5.29,5.3,5.29,5.3,400,0
2016-05-24,19:00:00,5.37,5.37,5.33,5.33,300,0
2016-05-24,19:10:00,5.3335,5.334,5.3335,5.334,400,0
2016-05-24,19:20:00,5.34,5.34,5.34,5.34,100,0
2016-05-24,20:00:00,5.35,5.3625,5.32,5.3625,7000,0
2016-05-24,20:15:00,5.3436,5.355,5.33,5.33,3100,0
2016-05-24,20:20:00,5.34,5.34,5.34,5.34,200,0
2016-05-24,20:30:00,5.3699,5.3699,5.3699,5.3699,400,0
2016-05-24,20:35:00,5.35,5.3621,5.35,5.35,700,0
2016-05-24,20:40:00,5.37,5.37,5.355,5.355,200,0
2016-05-24,20:45:00,5.34,5.34,5.34,5.34,100,0
2016-05-24,21:00:00,5.3699,5.3699,5.35,5.35,1522,0
2016-05-24,21:10:00,5.35,5.35,5.34,5.35,400,0
2016-05-24,21:15:00,5.35,5.35,5.35,5.35,100,0
2016-05-24,21:20:00,5.35,5.35,5.3301,5.34,700,0
2016-05-24,21:35:00,5.33,5.33,5.33,5.33,100,0
2016-05-24,21:50:00,5.33,5.33,5.33,5.33,100,0
2016-05-24,22:00:00,5.33,5.33,5.32,5.32,221,0
2016-05-25,15:35:00,5.32,5.32,5.2757,5.2757,856,0
2016-05-25,15:40:00,5.32,5.35,5.32,5.35,2100,0
2016-05-25,15:50:00,5.38,5.38,5.38,5.38,100,0
2016-05-25,15:55:00,5.39,5.39,5.39,5.39,100,0
2016-05-25,16:20:00,5.4,5.4,5.4,5.4,1000,0
2016-05-25,17:05:00,5.45,5.45,5.45,5.45,100,0
2016-05-25,17:35:00,5.44,5.44,5.44,5.44,200,0
2016-05-25,17:40:00,5.42,5.42,5.42,5.42,200,0
2016-05-25,17:45:00,5.44,5.44,5.44,5.44,100,0
2016-05-25,17:50:00,5.4499,5.45,5.4499,5.45,1400,0
2016-05-25,18:05:00,5.4386,5.45,5.4386,5.45,700,0
2016-05-25,18:20:00,5.42,5.42,5.41,5.41,200,0
2016-05-25,18:45:00,5.42,5.43,5.42,5.43,200,0
2016-05-25,19:00:00,5.436,5.436,5.436,5.436,1000,0
2016-05-25,19:05:00,5.45,5.45,5.45,5.45,200,0
2016-05-25,19:20:00,5.45,5.45,5.45,5.45,300,0
2016-05-25,19:35:00,5.47,5.47,5.47,5.47,200,0
2016-05-25,19:50:00,5.47,5.47,5.47,5.47,100,0
2016-05-25,19:55:00,5.45,5.45,5.45,5.45,300,0
2016-05-25,20:10:00,5.47,5.47,5.45,5.45,1350,0
2016-05-25,20:15:00,5.46,5.46,5.46,5.46,100,0
2016-05-25,20:20:00,5.46,5.47,5.46,5.47,1200,0
2016-05-25,20:25:00,5.48,5.48,5.48,5.48,300,0
2016-05-25,20:30:00,5.48,5.48,5.48,5.48,200,0
2016-05-25,20:35:00,5.5,5.5,5.46,5.46,700,0
2016-05-25,20:40:00,5.475,5.475,5.46,5.475,300,0
2016-05-25,20:45:00,5.475,5.475,5.45,5.47,1700,0
2016-05-25,20:50:00,5.45,5.45,5.45,5.45,100,0
2016-05-25,20:55:00,5.45,5.45,5.45,5.45,200,0
2016-05-25,21:00:00,5.465,5.465,5.46,5.465,400,0
2016-05-25,21:05:00,5.45,5.47,5.42,5.42,1000,0
2016-05-25,21:10:00,5.41,5.42,5.41,5.41,300,0
2016-05-25,21:15:00,5.42,5.42,5.41,5.41,200,0
2016-05-25,21:25:00,5.45,5.4899,5.45,5.4899,2000,0
2016-05-25,21:35:00,5.45,5.45,5.41,5.41,200,0
2016-05-25,21:45:00,5.465,5.465,5.41,5.41,1900,0
2016-05-25,21:50:00,5.44,5.44,5.44,5.44,580,0
2016-05-25,21:55:00,5.41,5.41,5.41,5.41,100,0
2016-05-25,22:00:00,5.41,5.41,5.41,5.41,400,0
2016-05-26,15:35:00,5.47,5.47,5.47,5.47,810,0
2016-05-26,15:45:00,5.48,5.48,5.48,5.48,100,0
2016-05-26,15:50:00,5.48,5.48,5.48,5.48,100,0
2016-05-26,15:55:00,5.4394,5.4394,5.4394,5.4394,900,0
2016-05-26,16:05:00,5.49,5.49,5.42,5.42,300,0
2016-05-26,16:30:00,5.45,5.49,5.45,5.49,400,0
2016-05-26,16:35:00,5.48,5.5,5.48,5.5,400,0
2016-05-26,16:40:00,5.4989,5.5,5.49,5.5,700,0
2016-05-26,16:55:00,5.49,5.49,5.49,5.49,100,0
2016-05-26,17:10:00,5.49,5.49,5.44,5.44,1200,0
2016-05-26,17:30:00,5.488,5.488,5.488,5.488,400,0
2016-05-26,17:35:00,5.4531,5.4531,5.4531,5.4531,200,0
2016-05-26,17:45:00,5.5,5.5,5.5,5.5,100,0
2016-05-26,18:00:00,5.46,5.491,5.36,5.43,23500,0
2016-05-26,18:05:00,5.43,5.43,5.43,5.43,100,0
2016-05-26,18:10:00,5.49,5.49,5.49,5.49,100,0
2016-05-26,18:20:00,5.43,5.4895,5.43,5.43,900,0
2016-05-26,18:35:00,5.4725,5.4725,5.4725,5.4725,1400,0
2016-05-26,18:40:00,5.47,5.49,5.47,5.49,300,0
2016-05-26,18:45:00,5.49,5.49,5.49,5.49,400,0
2016-05-26,18:50:00,5.49,5.49,5.49,5.49,500,0
2016-05-26,18:55:00,5.49,5.49,5.49,5.49,400,0
2016-05-26,19:00:00,5.49,5.49,5.49,5.49,500,0
2016-05-26,19:05:00,5.49,5.49,5.47,5.47,500,0
2016-05-26,19:10:00,5.49,5.49,5.47,5.49,500,0
2016-05-26,19:15:00,5.49,5.49,5.46,5.49,800,0
