Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-10,15:35:00,12.2,12.25,12.2,12.2184,2805,0
2016-06-10,15:45:00,12.185,12.25,12.185,12.25,200,0
2016-06-10,15:50:00,12.18,12.18,12.1695,12.1695,1100,0
2016-06-10,16:10:00,12.16,12.16,12.15,12.15,224,0
2016-06-10,16:15:00,12.181,12.181,12.181,12.181,100,0
2016-06-10,16:20:00,12.22,12.3,12.22,12.3,2360,0
2016-06-10,16:25:00,12.3,12.4,12.3,12.38,3156,0
2016-06-10,16:30:00,12.38,12.38,12.38,12.38,200,0
2016-06-10,16:35:00,12.38,12.46,12.37,12.46,3096,0
2016-06-10,16:40:00,12.47,12.67,12.47,12.63,7252,0
2016-06-10,16:45:00,12.61,12.61,12.59,12.59,300,0
2016-06-10,16:50:00,12.6,12.61,12.56,12.61,3227,0
2016-06-10,17:00:00,12.56,12.56,12.41,12.5,2200,0
2016-06-10,17:05:00,12.4116,12.4116,12.4116,12.4116,100,0
2016-06-10,17:10:00,12.51,12.51,12.485,12.485,200,0
2016-06-10,17:15:00,12.46,12.46,12.422,12.422,1788,0
2016-06-10,17:20:00,12.4201,12.4201,12.42,12.42,1400,0
2016-06-10,17:25:00,12.4,12.44,12.3912,12.44,1320,0
2016-06-10,17:30:00,12.37,12.4,12.35,12.4,700,0
2016-06-10,17:35:00,12.38,12.3867,12.35,12.35,2176,0
2016-06-10,17:40:00,12.39,12.39,12.39,12.39,100,0
2016-06-10,17:45:00,12.36,12.365,12.35,12.35,1600,0
2016-06-10,17:55:00,12.35,12.39,12.35,12.39,400,0
2016-06-10,18:10:00,12.4,12.4,12.4,12.4,100,0
2016-06-10,18:15:00,12.4,12.4,12.4,12.4,200,0
2016-06-10,18:20:00,12.3989,12.3989,12.376,12.376,200,0
2016-06-10,18:25:00,12.37,12.39,12.35,12.39,1615,0
2016-06-10,18:30:00,12.36,12.36,12.36,12.36,200,0
2016-06-10,18:35:00,12.35,12.37,12.35,12.3695,600,0
2016-06-10,18:40:00,12.37,12.37,12.37,12.37,100,0
2016-06-10,18:45:00,12.38,12.43,12.38,12.43,2300,0
2016-06-10,18:50:00,12.43,12.43,12.43,12.43,200,0
2016-06-10,18:55:00,12.43,12.43,12.41,12.41,1400,0
2016-06-10,19:00:00,12.43,12.43,12.41,12.41,1200,0
2016-06-10,19:20:00,12.44,12.44,12.44,12.44,100,0
2016-06-10,19:30:00,12.46,12.46,12.46,12.46,200,0
2016-06-10,19:35:00,12.43,12.43,12.43,12.43,100,0
2016-06-10,19:40:00,12.4,12.42,12.39,12.42,2200,0
2016-06-10,19:45:00,12.39,12.39,12.39,12.39,600,0
2016-06-10,19:50:00,12.39,12.4,12.39,12.4,700,0
2016-06-10,19:55:00,12.39,12.39,12.39,12.39,1800,0
2016-06-10,20:10:00,12.35,12.37,12.325,12.35,9289,0
2016-06-10,20:15:00,12.36,12.3745,12.36,12.3604,1900,0
2016-06-10,20:20:00,12.37,12.37,12.35,12.35,1300,0
2016-06-10,20:25:00,12.35,12.35,12.35,12.35,1700,0
2016-06-10,20:30:00,12.36,12.36,12.36,12.36,2705,0
2016-06-10,20:35:00,12.35,12.35,12.35,12.35,332,0
2016-06-10,20:40:00,12.35,12.35,12.35,12.35,881,0
2016-06-10,20:45:00,12.35,12.36,12.35,12.36,320,0
2016-06-10,20:50:00,12.35,12.36,12.35,12.36,700,0
2016-06-10,20:55:00,12.35,12.35,12.35,12.35,108,0
2016-06-10,21:00:00,12.35,12.35,12.35,12.35,100,0
2016-06-10,21:05:00,12.35,12.36,12.3,12.32,3500,0
2016-06-10,21:10:00,12.34,12.36,12.325,12.34,2309,0
2016-06-10,21:15:00,12.32,12.32,12.32,12.32,400,0
2016-06-10,21:20:00,12.33,12.35,12.33,12.35,400,0
2016-06-10,21:25:00,12.35,12.35,12.35,12.35,1141,0
2016-06-10,21:30:00,12.35,12.35,12.35,12.35,100,0
