Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-26,16:30:00,4.0,4.0,4.0,4.0,3401,0
2014-11-26,17:55:00,4.03,4.04,4.03,4.04,1366,0
2014-11-26,18:20:00,4.05,4.05,4.04,4.05,2000,0
2014-11-26,21:40:00,4.02,4.02,4.02,4.02,1000,0
2014-11-28,18:25:00,3.95,3.95,3.95,3.95,100,0
2014-11-28,18:45:00,3.95,3.95,3.95,3.95,1794,0
2014-12-01,16:25:00,3.96,3.96,3.96,3.96,1000,0
2014-12-01,17:20:00,3.96,3.96,3.9599,3.9599,3029,0
2014-12-01,17:40:00,3.97,3.97,3.97,3.97,100,0
2014-12-01,18:50:00,4.006,4.006,4.006,4.006,200,0
2014-12-01,20:05:00,4.01,4.02,4.01,4.02,3100,0
2014-12-02,17:25:00,4.03,4.05,4.03,4.05,4100,0
2014-12-02,18:05:00,3.951,3.951,3.95,3.95,3000,0
2014-12-02,20:05:00,4.0,4.0,4.0,4.0,250,0
2014-12-02,21:50:00,4.05,4.05,4.05,4.05,200,0
2014-12-03,17:20:00,4.0292,4.0292,4.0292,4.0292,2000,0
2014-12-03,20:45:00,4.03,4.03,4.03,4.03,300,0
2014-12-03,20:55:00,4.0468,4.0468,4.0468,4.0468,200,0
2014-12-03,21:00:00,4.05,4.05,4.05,4.05,600,0
2014-12-03,21:45:00,4.0301,4.05,4.03,4.03,3300,0
2014-12-03,21:50:00,4.0172,4.0172,4.0172,4.0172,400,0
2014-12-03,21:55:00,4.03,4.03,4.03,4.03,200,0
2014-12-03,22:00:00,4.0172,4.0172,4.0172,4.0172,300,0
2014-12-04,15:35:00,4.06,4.06,4.06,4.06,100,0
2014-12-04,17:10:00,4.06,4.06,4.06,4.06,100,0
2014-12-04,20:55:00,3.96,3.96,3.95,3.95,3300,0
2014-12-04,21:10:00,3.95,3.95,3.95,3.95,2800,0
2014-12-05,21:50:00,3.99,3.99,3.99,3.99,105,0
2014-12-08,15:35:00,3.9,3.9,3.9,3.9,400,0
2014-12-08,16:20:00,4.07,4.07,4.07,4.07,100,0
2014-12-08,16:50:00,4.05,4.05,4.05,4.05,100,0
2014-12-08,17:10:00,3.9218,3.9218,3.9218,3.9218,500,0
2014-12-08,17:25:00,4.05,4.05,4.05,4.05,200,0
2014-12-08,18:30:00,4.06,4.07,4.06,4.07,404,0
2014-12-08,20:45:00,4.0,4.0,4.0,4.0,375,0
2014-12-08,21:35:00,4.0301,4.0301,4.0301,4.0301,200,0
2014-12-09,15:40:00,4.03,4.03,4.03,4.03,1700,0
2014-12-09,16:55:00,4.07,4.07,4.07,4.07,568,0
2014-12-09,17:55:00,4.1,4.1,4.1,4.1,200,0
2014-12-09,18:05:00,4.08,4.08,4.08,4.08,167,0
2014-12-09,18:40:00,4.08,4.08,4.08,4.08,2000,0
2014-12-09,19:30:00,4.08,4.08,4.08,4.08,100,0
2014-12-09,20:50:00,4.09,4.13,4.0664,4.0664,2582,0
2014-12-10,19:35:00,3.95,3.96,3.95,3.9505,500,0
2014-12-10,19:40:00,3.97,3.97,3.97,3.97,585,0
2014-12-11,15:35:00,4.01,4.01,4.01,4.01,9810,0
2014-12-11,15:40:00,4.13,4.13,4.13,4.13,100,0
