Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,20.099,20.169,19.989,20.169,4456,0
2016-06-16,15:40:00,20.029,20.029,19.789,19.884,3537,0
2016-06-16,15:45:00,19.839,19.909,19.839,19.909,902,0
2016-06-16,15:50:00,19.889,19.939,19.889,19.939,200,0
2016-06-16,15:55:00,19.909,20.009,19.909,20.009,1804,0
2016-06-16,16:00:00,19.909,19.969,19.909,19.969,701,0
2016-06-16,16:05:00,20.004,20.009,19.989,20.009,601,0
2016-06-16,16:10:00,20.029,20.069,20.004,20.069,802,0
2016-06-16,16:15:00,20.029,20.029,20.029,20.029,100,0
2016-06-16,16:20:00,20.069,20.079,20.059,20.069,701,0
2016-06-16,16:25:00,20.059,20.059,19.929,19.929,1102,0
2016-06-16,16:30:00,19.929,19.959,19.889,19.949,1202,0
2016-06-16,16:35:00,19.919,19.919,19.809,19.859,2677,0
2016-06-16,16:40:00,19.819,19.819,19.799,19.799,1202,0
2016-06-16,16:45:00,19.779,19.799,19.749,19.799,1002,0
2016-06-16,16:50:00,19.779,19.779,19.749,19.749,501,0
2016-06-16,16:55:00,19.719,19.719,19.67,19.67,1736,0
2016-06-16,17:00:00,19.68,19.695,19.64,19.64,4159,0
2016-06-16,17:05:00,19.68,19.71,19.66,19.71,2205,0
2016-06-16,17:10:00,19.71,19.719,19.64,19.64,2104,0
2016-06-16,17:15:00,19.64,19.67,19.61,19.67,2104,0
2016-06-16,17:20:00,19.7,19.705,19.68,19.705,601,0
2016-06-16,17:25:00,19.66,19.7,19.66,19.7,401,0
2016-06-16,17:30:00,19.729,19.759,19.729,19.759,401,0
2016-06-16,17:35:00,19.789,19.789,19.719,19.739,1403,0
2016-06-16,17:40:00,19.729,19.758,19.729,19.729,1077,0
2016-06-16,17:45:00,19.7,19.719,19.69,19.69,501,0
2016-06-16,17:50:00,19.7,19.739,19.7,19.712,1303,0
2016-06-16,17:55:00,19.739,19.739,19.739,19.739,100,0
2016-06-16,18:00:00,19.68,19.69,19.67,19.68,1703,0
2016-06-16,18:05:00,19.7,19.749,19.7,19.749,401,0
2016-06-16,18:10:00,19.749,19.769,19.719,19.769,601,0
2016-06-16,18:15:00,19.739,19.759,19.71,19.71,1303,0
2016-06-16,18:20:00,19.729,19.729,19.71,19.71,200,0
2016-06-16,18:25:00,19.749,19.779,19.749,19.769,401,0
2016-06-16,18:30:00,19.809,19.809,19.769,19.769,1025,0
2016-06-16,18:35:00,19.769,19.769,19.749,19.749,501,0
2016-06-16,18:40:00,19.719,19.754,19.69,19.754,2305,0
2016-06-16,18:45:00,19.799,19.849,19.799,19.849,501,0
2016-06-16,18:50:00,19.839,19.849,19.789,19.789,1002,0
2016-06-16,18:55:00,19.789,19.789,19.784,19.784,401,0
2016-06-16,19:00:00,19.789,19.789,19.779,19.779,301,0
2016-06-16,19:05:00,19.789,19.809,19.789,19.809,372,0
2016-06-16,19:10:00,19.849,19.909,19.809,19.844,3808,0
2016-06-16,19:15:00,19.829,19.829,19.829,19.829,100,0
2016-06-16,19:20:00,19.819,19.819,19.819,19.819,100,0
2016-06-16,19:25:00,19.859,19.859,19.859,19.859,200,0
2016-06-16,19:30:00,19.889,19.889,19.779,19.849,3395,0
2016-06-16,19:35:00,19.839,19.839,19.759,19.799,1002,0
2016-06-16,19:40:00,19.809,19.859,19.789,19.789,1102,0
2016-06-16,19:45:00,19.759,19.799,19.749,19.749,701,0
2016-06-16,19:50:00,19.769,19.769,19.729,19.749,927,0
2016-06-16,19:55:00,19.729,19.729,19.729,19.729,301,0
2016-06-16,20:00:00,19.759,19.759,19.759,19.759,100,0
2016-06-16,20:05:00,19.719,19.759,19.719,19.729,1603,0
2016-06-16,20:10:00,19.739,19.754,19.719,19.754,601,0
2016-06-16,20:15:00,19.749,19.819,19.749,19.799,902,0
2016-06-16,20:20:00,19.779,19.929,19.779,19.929,2205,0
2016-06-16,20:25:00,19.889,19.929,19.859,19.909,1703,0
2016-06-16,20:30:00,19.929,19.929,19.832,19.849,3708,0
2016-06-16,20:35:00,19.869,19.889,19.869,19.889,200,0
2016-06-16,20:40:00,19.839,19.839,19.799,19.839,802,0
2016-06-16,20:45:00,19.809,19.879,19.809,19.869,1804,0
2016-06-16,20:50:00,19.879,19.899,19.859,19.859,401,0
2016-06-16,20:55:00,19.899,19.909,19.859,19.909,822,0
2016-06-16,21:00:00,19.919,19.919,19.849,19.879,2400,0
2016-06-16,21:05:00,19.859,19.879,19.839,19.839,1331,0
2016-06-16,21:10:00,19.849,19.869,19.819,19.844,1303,0
2016-06-16,21:15:00,19.839,19.869,19.819,19.849,1703,0
2016-06-16,21:20:00,19.819,19.849,19.809,19.849,1202,0
2016-06-16,21:25:00,19.829,19.869,19.799,19.839,1323,0
2016-06-16,21:30:00,19.879,19.879,19.819,19.829,3537,0
2016-06-16,21:35:00,19.829,19.878,19.829,19.859,1551,0
2016-06-16,21:40:00,19.859,19.859,19.809,19.829,2466,0
