Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-09-09,16:25:00,1.29,1.29,1.29,1.29,100,0
2015-09-09,16:30:00,1.29,1.29,1.29,1.29,100,0
2015-09-09,16:40:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,16:45:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,16:55:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,17:05:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,17:15:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,17:20:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,17:30:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,17:40:00,1.28,1.28,1.28,1.28,200,0
2015-09-09,17:50:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,18:00:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,18:10:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,18:25:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,18:35:00,1.28,1.28,1.28,1.28,400,0
2015-09-09,18:45:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,19:00:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,19:10:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,19:25:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,19:35:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,19:45:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,20:00:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,20:10:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,20:20:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,20:30:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,20:35:00,1.28,1.28,1.28,1.28,200,0
2015-09-09,20:40:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,20:50:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:00:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:10:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:20:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:25:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:35:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:40:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:45:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,21:50:00,1.28,1.28,1.28,1.28,500,0
2015-09-09,21:55:00,1.28,1.28,1.28,1.28,100,0
2015-09-09,22:00:00,1.28,1.28,1.28,1.28,800,0
2015-09-10,15:35:00,1.28,1.28,1.28,1.28,570,0
2015-09-10,16:00:00,1.25,1.25,1.25,1.25,100,0
2015-09-10,16:05:00,1.24,1.24,1.24,1.24,100,0
2015-09-10,16:15:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,16:25:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,16:30:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,16:35:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,16:40:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,16:50:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,17:00:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,17:10:00,1.23,1.23,1.23,1.23,100,0
2015-09-10,17:20:00,1.23,1.23,1.23,1.23,200,0
2015-09-10,17:30:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,17:40:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,17:50:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,18:05:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,18:15:00,1.2,1.2,1.2,1.2,200,0
2015-09-10,18:20:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,18:30:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,18:40:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,18:55:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,19:05:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,19:10:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,19:20:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,19:35:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,19:45:00,1.21,1.21,1.21,1.21,200,0
2015-09-10,20:00:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,20:10:00,1.21,1.21,1.21,1.21,100,0
2015-09-10,20:25:00,1.21,1.21,1.21,1.21,200,0
2015-09-10,20:35:00,1.21,1.21,1.21,1.21,200,0
2015-09-10,20:45:00,1.2,1.2,1.2,1.2,200,0
2015-09-10,21:00:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,21:05:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,21:10:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,21:20:00,1.2,1.2,1.2,1.2,100,0
2015-09-10,21:35:00,1.17,1.17,1.17,1.17,100,0
2015-09-10,21:45:00,1.18,1.18,1.18,1.18,100,0
2015-09-10,21:50:00,1.18,1.18,1.18,1.18,100,0
2015-09-10,21:55:00,1.18,1.18,1.18,1.18,200,0
2015-09-10,22:00:00,1.18,1.21,1.18,1.2,700,0
2015-09-11,15:35:00,1.18,1.2108,1.18,1.2108,6300,0
2015-09-11,15:50:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,16:00:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,16:05:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,16:15:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,16:25:00,1.2,1.2001,1.2,1.2,938,0
2015-09-11,16:30:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,16:40:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,16:50:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,17:00:00,1.2,1.24,1.2,1.2001,400,0
2015-09-11,17:10:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,17:20:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,17:30:00,1.2,1.2,1.2,1.2,100,0
2015-09-11,17:50:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,18:05:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,18:15:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,18:30:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,18:40:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,18:55:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,19:10:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,19:20:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,19:35:00,1.18,1.18,1.18,1.18,200,0
2015-09-11,19:45:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,20:00:00,1.18,1.18,1.18,1.18,100,0
2015-09-11,20:10:00,1.18,1.18,1.17,1.17,200,0
2015-09-11,20:25:00,1.16,1.16,1.16,1.16,100,0
2015-09-11,20:35:00,1.15,1.15,1.15,1.15,100,0
2015-09-11,20:45:00,1.15,1.15,1.15,1.15,100,0
2015-09-11,21:00:00,1.15,1.15,1.15,1.15,100,0
2015-09-11,21:20:00,1.15,1.15,1.15,1.15,100,0
2015-09-11,21:25:00,1.15,1.15,1.15,1.15,100,0
2015-09-11,21:35:00,1.15,1.15,1.15,1.15,100,0
2015-09-11,21:40:00,1.13,1.13,1.13,1.13,100,0
2015-09-11,21:50:00,1.13,1.16,1.13,1.16,200,0
2015-09-11,21:55:00,1.08,1.08,1.08,1.08,100,0
2015-09-11,22:00:00,1.09,1.09,1.085,1.085,400,0
2015-09-14,16:20:00,1.12,1.12,1.12,1.12,100,0
2015-09-14,16:30:00,1.11,1.11,1.11,1.11,200,0
2015-09-14,16:35:00,1.11,1.11,1.08,1.08,797,0
2015-09-14,16:40:00,1.08,1.08,1.08,1.08,100,0
2015-09-14,16:55:00,1.1,1.1,1.1,1.1,300,0
2015-09-14,17:10:00,1.1,1.1,1.08,1.08,300,0
2015-09-14,17:15:00,1.08,1.08,1.08,1.08,400,0
2015-09-14,17:20:00,1.09,1.09,1.09,1.09,100,0
2015-09-14,17:55:00,1.08,1.09,1.08,1.09,547,0
2015-09-14,18:00:00,1.09,1.09,1.09,1.09,100,0
2015-09-14,18:10:00,1.09,1.09,1.09,1.09,100,0
2015-09-14,18:20:00,1.09,1.09,1.09,1.09,171,0
2015-09-14,20:05:00,1.09,1.09,1.09,1.09,260,0
2015-09-14,20:10:00,1.09,1.09,1.09,1.09,100,0
2015-09-14,21:35:00,1.09,1.1,1.09,1.1,1267,0
2015-09-14,21:40:00,1.085,1.095,1.085,1.095,1951,0
2015-09-14,21:50:00,1.1,1.1,1.0901,1.0901,1100,0
2015-09-14,22:00:00,1.1,1.1,1.1,1.1,100,0
2015-09-15,16:25:00,1.08,1.08,1.08,1.08,100,0
2015-09-15,16:35:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,16:40:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,16:50:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,16:55:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:05:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:10:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:20:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:30:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:35:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:45:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,17:55:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,18:05:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,18:10:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,18:25:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,18:35:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,18:45:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,18:55:00,1.07,1.07,1.07,1.07,100,0
2015-09-15,19:05:00,1.07,1.1,1.07,1.1,289,0
2015-09-15,19:15:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,19:45:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,19:50:00,1.3,1.3,1.3,1.3,100,0
2015-09-15,20:05:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,20:10:00,1.15,1.15,1.15,1.15,200,0
2015-09-15,20:15:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,20:45:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,20:55:00,1.15,1.15,1.15,1.15,600,0
2015-09-15,21:00:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,21:10:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,21:15:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,21:25:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,21:30:00,1.15,1.15,1.15,1.15,100,0
2015-09-15,21:35:00,1.08,1.08,1.08,1.08,100,0
2015-09-15,21:40:00,1.16,1.16,1.16,1.16,100,0
2015-09-15,21:50:00,1.07,1.07,1.07,1.07,189,0
2015-09-15,21:55:00,1.08,1.15,1.08,1.15,1900,0
2015-09-15,22:00:00,1.16,1.16,1.08,1.08,700,0
2015-09-16,16:30:00,1.09,1.19,1.09,1.19,200,0
2015-09-16,16:35:00,1.09,1.09,1.09,1.09,100,0
2015-09-16,16:40:00,1.09,1.09,1.09,1.09,100,0
2015-09-16,16:50:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,16:55:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,17:05:00,1.12,1.12,1.12,1.12,100,0
2015-09-16,17:10:00,1.12,1.12,1.12,1.12,100,0
2015-09-16,17:15:00,1.19,1.19,1.19,1.19,100,0
2015-09-16,17:20:00,1.09,1.09,1.09,1.09,100,0
2015-09-16,17:30:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,17:35:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,17:45:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,17:55:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,18:05:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,18:15:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,18:25:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,18:35:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,18:45:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,18:55:00,1.09,1.09,1.09,1.09,100,0
2015-09-16,19:05:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,19:15:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,19:35:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,19:45:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,19:55:00,1.07,1.2,1.07,1.2,937,0
2015-09-16,20:25:00,1.2,1.2,1.2,1.2,100,0
2015-09-16,20:30:00,1.2,1.2,1.2,1.2,100,0
2015-09-16,20:40:00,1.2,1.2,1.2,1.2,400,0
2015-09-16,21:05:00,1.22,1.22,1.22,1.22,100,0
2015-09-16,21:15:00,1.2,1.2049,1.2,1.2049,1000,0
2015-09-16,21:20:00,1.11,1.11,1.11,1.11,100,0
2015-09-16,21:25:00,1.2,1.2,1.2,1.2,500,0
2015-09-16,21:35:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,21:40:00,1.08,1.08,1.08,1.08,100,0
2015-09-16,22:00:00,1.09,1.09,1.08,1.09,300,0
2015-09-17,16:30:00,1.08,1.08,1.08,1.08,100,0
2015-09-17,16:35:00,1.08,1.08,1.08,1.08,100,0
2015-09-17,17:20:00,1.08,1.08,1.08,1.08,100,0
2015-09-17,17:25:00,1.1,1.11,1.085,1.11,600,0
2015-09-17,17:50:00,1.11,1.11,1.1,1.1,200,0
2015-09-17,18:15:00,1.13,1.13,1.13,1.13,100,0
2015-09-17,18:25:00,1.12,1.19,1.115,1.19,600,0
2015-09-17,18:35:00,1.22,1.22,1.0773,1.1699,4000,0
2015-09-17,18:40:00,1.17,1.17,1.17,1.17,100,0
2015-09-17,18:50:00,1.09,1.09,1.09,1.09,100,0
2015-09-17,19:00:00,1.09,1.09,1.09,1.09,100,0
2015-09-17,19:10:00,1.13,1.13,1.11,1.11,200,0
2015-09-17,19:35:00,1.09,1.09,1.09,1.09,100,0
2015-09-17,19:45:00,1.1,1.13,1.1,1.13,200,0
2015-09-17,19:55:00,1.22,1.28,1.17,1.27,1900,0
2015-09-17,20:00:00,1.23,1.26,1.23,1.26,404,0
2015-09-17,20:20:00,1.11,1.11,1.11,1.11,100,0
2015-09-17,20:30:00,1.11,1.11,1.11,1.11,100,0
2015-09-17,20:45:00,1.15,1.15,1.15,1.15,100,0
2015-09-17,20:50:00,1.12,1.15,1.12,1.15,300,0
