Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,43.81,43.91,43.6,43.62,33574,0
2016-06-16,15:40:00,43.62,43.75,43.53,43.73,12739,0
2016-06-16,15:45:00,43.73,43.73,43.68,43.7,12179,0
2016-06-16,15:50:00,43.69,43.7,43.6,43.61,7590,0
2016-06-16,15:55:00,43.6,43.69,43.6,43.66,13793,0
2016-06-16,16:00:00,43.64,43.65,43.525,43.61,38272,0
2016-06-16,16:05:00,43.61,43.63,43.545,43.59,79405,0
2016-06-16,16:10:00,43.6,43.63,43.56,43.605,16440,0
2016-06-16,16:15:00,43.61,43.8,43.6,43.79,22518,0
2016-06-16,16:20:00,43.785,43.83,43.7114,43.72,18975,0
2016-06-16,16:25:00,43.7143,43.7174,43.64,43.68,30281,0
2016-06-16,16:30:00,43.6773,43.78,43.66,43.74,15260,0
2016-06-16,16:35:00,43.74,43.74,43.655,43.66,19770,0
2016-06-16,16:40:00,43.655,43.73,43.645,43.66,15611,0
2016-06-16,16:45:00,43.66,43.74,43.65,43.73,14088,0
2016-06-16,16:50:00,43.74,43.75,43.72,43.73,12192,0
2016-06-16,16:55:00,43.735,43.76,43.695,43.76,44723,0
2016-06-16,17:00:00,43.75,43.87,43.75,43.87,37118,0
2016-06-16,17:05:00,43.87,43.91,43.84,43.85,56270,0
2016-06-16,17:10:00,43.85,43.98,43.84,43.95,41119,0
2016-06-16,17:15:00,43.9599,43.995,43.95,43.99,13617,0
2016-06-16,17:20:00,43.99,44,43.945,43.95,11675,0
2016-06-16,17:25:00,43.955,44,43.94,44,19239,0
2016-06-16,17:30:00,43.99,44.09,43.97,44.07,62292,0
2016-06-16,17:35:00,44.07,44.11,44.06,44.1099,38131,0
2016-06-16,17:40:00,44.1,44.1399,44.09,44.125,12092,0
2016-06-16,17:45:00,44.12,44.12,44.09,44.095,19806,0
2016-06-16,17:50:00,44.0956,44.1,44.06,44.1,15975,0
2016-06-16,17:55:00,44.09,44.09,44.01,44.05,7972,0
2016-06-16,18:00:00,44.04,44.04,43.95,43.95,8306,0
2016-06-16,18:05:00,43.95,44.02,43.915,44.01,14129,0
2016-06-16,18:10:00,44.01,44.03,43.97,43.995,13058,0
2016-06-16,18:15:00,44,44.03,43.97,44.03,7956,0
2016-06-16,18:20:00,44.03,44.2,44.02,44.18,32583,0
2016-06-16,18:25:00,44.19,44.26,44.13,44.25,21044,0
2016-06-16,18:30:00,44.26,44.28,44.22,44.2463,12012,0
2016-06-16,18:35:00,44.24,44.24,44.18,44.24,18106,0
2016-06-16,18:40:00,44.25,44.3,44.19,44.3,11039,0
2016-06-16,18:45:00,44.3,44.37,44.26,44.36,9401,0
2016-06-16,18:50:00,44.37,44.49,44.3,44.39,64920,0
2016-06-16,18:55:00,44.4,44.41,44.33,44.34,65077,0
2016-06-16,19:00:00,44.33,44.33,44.25,44.28,4917,0
2016-06-16,19:05:00,44.26,44.39,44.25,44.31,12893,0
2016-06-16,19:10:00,44.32,44.335,44.21,44.265,13777,0
2016-06-16,19:15:00,44.26,44.33,44.25,44.26,25927,0
2016-06-16,19:20:00,44.24,44.28,44.22,44.28,7374,0
2016-06-16,19:25:00,44.29,44.3,44.2275,44.25,12602,0
2016-06-16,19:30:00,44.24,44.29,44.22,44.22,10141,0
2016-06-16,19:35:00,44.225,44.255,44.155,44.17,17223,0
2016-06-16,19:40:00,44.18,44.2699,44.18,44.2699,7937,0
2016-06-16,19:45:00,44.27,44.27,44.2,44.2,6830,0
2016-06-16,19:50:00,44.195,44.2,44.12,44.15,12724,0
2016-06-16,19:55:00,44.15,44.16,44.1,44.155,11008,0
2016-06-16,20:00:00,44.165,44.17,44.11,44.11,10322,0
2016-06-16,20:05:00,44.1,44.19,44.1,44.19,9860,0
2016-06-16,20:10:00,44.2,44.215,44.16,44.19,10765,0
2016-06-16,20:15:00,44.19,44.29,44.18,44.27,12389,0
2016-06-16,20:20:00,44.26,44.33,44.26,44.29,21155,0
2016-06-16,20:25:00,44.3,44.31,44.2499,44.25,11500,0
2016-06-16,20:30:00,44.25,44.27,44.19,44.21,11182,0
2016-06-16,20:35:00,44.2,44.23,44.2,44.22,12711,0
2016-06-16,20:40:00,44.22,44.275,44.22,44.24,10805,0
2016-06-16,20:45:00,44.24,44.29,44.24,44.28,10500,0
2016-06-16,20:50:00,44.29,44.3,44.27,44.3,12575,0
2016-06-16,20:55:00,44.305,44.38,44.295,44.37,14788,0
2016-06-16,21:00:00,44.376,44.376,44.3,44.3,9123,0
2016-06-16,21:05:00,44.28,44.31,44.28,44.3,10831,0
2016-06-16,21:10:00,44.3,44.32,44.27,44.3,16148,0
2016-06-16,21:15:00,44.29,44.32,44.29,44.3101,9496,0
2016-06-16,21:20:00,44.32,44.36,44.295,44.33,19126,0
2016-06-16,21:25:00,44.33,44.365,44.3,44.36,17539,0
2016-06-16,21:30:00,44.35,44.41,44.34,44.395,15117,0
2016-06-16,21:35:00,44.4,44.435,44.4,44.42,19908,0
2016-06-16,21:40:00,44.42,44.435,44.36,44.38,56033,0
2016-06-16,21:45:00,44.3701,44.44,44.35,44.44,31935,0
2016-06-16,21:50:00,44.43,44.43,44.365,44.375,32821,0
2016-06-16,21:55:00,44.37,44.37,44.31,44.33,68902,0
2016-06-16,22:00:00,44.32,44.34,44.275,44.3,194831,0
2016-06-17,15:35:00,44.3,44.3,43.83,44.01,299350,0
2016-06-17,15:40:00,43.98,44.2,43.96,44.06,15648,0
2016-06-17,15:45:00,44.05,44.18,44.05,44.1524,21339,0
