Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,45.25,45.74,45.135,45.415,11631,0
2016-06-16,15:40:00,45.32,45.32,44.79,44.79,18740,0
2016-06-16,15:45:00,44.79,45,44.767,44.897,12751,0
2016-06-16,15:50:00,44.88,44.96,44.84,44.94,4377,0
2016-06-16,15:55:00,44.94,45.03,44.88,44.965,12214,0
2016-06-16,16:00:00,44.95,44.9569,44.8,44.8,2006,0
2016-06-16,16:05:00,44.82,44.87,44.69,44.82,8543,0
2016-06-16,16:10:00,44.81,44.8199,44.75,44.8008,3244,0
2016-06-16,16:15:00,44.7701,44.99,44.76,44.978,3506,0
2016-06-16,16:20:00,44.98,44.98,44.875,44.93,1900,0
2016-06-16,16:25:00,44.91,44.91,44.6,44.6,7500,0
2016-06-16,16:30:00,44.62,44.72,44.59,44.71,6652,0
2016-06-16,16:35:00,44.7,44.71,44.66,44.66,4400,0
2016-06-16,16:40:00,44.68,44.76,44.68,44.7017,3409,0
2016-06-16,16:45:00,44.7,44.83,44.69,44.804,2700,0
2016-06-16,16:50:00,44.81,44.96,44.81,44.94,3666,0
2016-06-16,16:55:00,44.92,44.94,44.78,44.84,4842,0
2016-06-16,17:00:00,44.85,44.88,44.82,44.83,2123,0
2016-06-16,17:05:00,44.82,44.89,44.81,44.87,1714,0
2016-06-16,17:10:00,44.87,44.89,44.87,44.87,800,0
2016-06-16,17:15:00,44.86,44.98,44.86,44.98,2500,0
2016-06-16,17:20:00,45.02,45.02,44.91,44.94,1600,0
2016-06-16,17:25:00,44.95,45.03,44.95,45.01,2400,0
2016-06-16,17:30:00,45.04,45.19,45.04,45.18,1300,0
2016-06-16,17:35:00,45.19,45.19,45.05,45.05,4483,0
2016-06-16,17:40:00,45.04,45.0799,45.04,45.055,3406,0
2016-06-16,17:45:00,45.055,45.055,44.97,44.97,2942,0
2016-06-16,17:50:00,45.01,45.03,45,45.01,1400,0
2016-06-16,17:55:00,45.0199,45.03,45,45,3180,0
2016-06-16,18:00:00,44.98,44.98,44.95,44.96,400,0
2016-06-16,18:05:00,44.93,44.99,44.91,44.98,4503,0
2016-06-16,18:10:00,44.97,44.97,44.95,44.96,900,0
2016-06-16,18:15:00,44.96,44.97,44.93,44.93,1500,0
2016-06-16,18:20:00,44.93,44.98,44.93,44.97,2331,0
2016-06-16,18:25:00,44.99,45.13,44.99,45.1,5467,0
2016-06-16,18:30:00,45.12,45.22,45.12,45.19,1045,0
2016-06-16,18:35:00,45.185,45.1905,45.14,45.16,1122,0
2016-06-16,18:40:00,45.17,45.22,45.15,45.22,1500,0
2016-06-16,18:45:00,45.24,45.39,45.22,45.37,2900,0
2016-06-16,18:50:00,45.37,45.49,45.335,45.46,7900,0
2016-06-16,18:55:00,45.44,45.49,45.41,45.478,5025,0
2016-06-16,19:00:00,45.48,45.51,45.39,45.43,8003,0
2016-06-16,19:05:00,45.42,45.43,45.39,45.395,2429,0
2016-06-16,19:10:00,45.4,45.41,45.3,45.325,3500,0
2016-06-16,19:15:00,45.31,45.32,45.21,45.22,800,0
2016-06-16,19:20:00,45.2,45.22,45.14,45.2,1070,0
2016-06-16,19:25:00,45.19,45.21,45.18,45.18,959,0
2016-06-16,19:30:00,45.2,45.23,45.15,45.22,3665,0
2016-06-16,19:35:00,45.1989,45.1989,45.13,45.13,1300,0
2016-06-16,19:40:00,45.1687,45.1687,45.1156,45.1156,3582,0
2016-06-16,19:45:00,45.11,45.11,45.0524,45.09,2000,0
2016-06-16,19:50:00,45.0676,45.0676,45.018,45.018,3900,0
2016-06-16,19:55:00,45.03,45.07,45.02,45.065,5300,0
2016-06-16,20:00:00,45.08,45.1,45.06,45.06,2500,0
2016-06-16,20:05:00,45.07,45.18,45.07,45.17,3375,0
2016-06-16,20:10:00,45.17,45.18,45.116,45.17,1900,0
2016-06-16,20:15:00,45.16,45.3,45.15,45.3,1600,0
2016-06-16,20:20:00,45.33,45.4,45.3,45.36,5300,0
2016-06-16,20:25:00,45.35,45.35,45.2857,45.325,7928,0
2016-06-16,20:30:00,45.33,45.33,45.21,45.21,1248,0
2016-06-16,20:35:00,45.225,45.225,45.11,45.13,2778,0
2016-06-16,20:40:00,45.14,45.17,45.115,45.115,700,0
2016-06-16,20:45:00,45.11,45.17,45.11,45.14,1432,0
2016-06-16,20:50:00,45.17,45.25,45.15,45.25,2089,0
2016-06-16,20:55:00,45.25,45.37,45.24,45.365,2100,0
2016-06-16,21:00:00,45.34,45.34,45.26,45.26,2658,0
2016-06-16,21:05:00,45.2549,45.26,45.23,45.255,600,0
2016-06-16,21:10:00,45.25,45.37,45.24,45.32,4842,0
2016-06-16,21:15:00,45.31,45.31,45.26,45.3,1600,0
2016-06-16,21:20:00,45.285,45.31,45.27,45.29,2400,0
2016-06-16,21:25:00,45.28,45.33,45.27,45.32,2000,0
2016-06-16,21:30:00,45.32,45.4,45.31,45.38,4734,0
2016-06-16,21:35:00,45.38,45.5163,45.37,45.474,16029,0
2016-06-16,21:40:00,45.46,45.46,45.31,45.31,10900,0
2016-06-16,21:45:00,45.33,45.33,45.2701,45.285,4292,0
2016-06-16,21:50:00,45.28,45.33,45.28,45.32,4701,0
2016-06-16,21:55:00,45.29,45.42,45.285,45.42,12997,0
2016-06-16,22:00:00,45.42,45.48,45.34,45.42,50320,0
2016-06-17,15:35:00,45.53,45.62,44.96,45.35,122692,0
2016-06-17,15:40:00,45.34,45.415,45.23,45.3,3800,0
2016-06-17,15:45:00,45.39,45.48,45.3,45.41,2171,0
2016-06-17,15:50:00,45.47,45.48,45.29,45.38,6267,0
2016-06-17,15:55:00,45.44,45.48,45.38,45.38,2400,0
2016-06-17,16:00:00,45.45,45.46,45.41,45.44,1823,0
2016-06-17,16:05:00,45.42,45.58,45.42,45.58,2024,0
2016-06-17,16:10:00,45.565,45.565,45.52,45.55,500,0
2016-06-17,16:15:00,45.57,45.72,45.57,45.65,6039,0
2016-06-17,16:20:00,45.72,45.8025,45.72,45.79,7279,0
2016-06-17,16:25:00,45.78,45.83,45.76,45.79,4200,0
2016-06-17,16:30:00,45.8,45.98,45.8,45.92,13750,0
2016-06-17,16:35:00,45.91,45.94,45.86,45.94,4072,0
2016-06-17,16:40:00,45.91,45.94,45.91,45.94,3050,0
2016-06-17,16:45:00,45.91,45.95,45.91,45.95,1100,0
2016-06-17,16:50:00,45.95,45.98,45.92,45.93,8746,0
2016-06-17,16:55:00,45.939,45.9599,45.93,45.9498,1467,0
2016-06-17,17:00:00,45.95,45.96,45.8933,45.8933,3800,0
