Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,17.11,17.11,17.11,17.11,2793,0
2016-06-15,15:40:00,17.11,17.16,17.1,17.16,800,0
2016-06-15,15:45:00,17.16,17.17,17,17,2219,0
2016-06-15,15:50:00,16.99,17.17,16.99,17.16,1498,0
2016-06-15,15:55:00,17.18,17.23,17.18,17.19,500,0
2016-06-15,16:25:00,17.29,17.31,17.2601,17.2601,1360,0
2016-06-15,16:30:00,17.28,17.28,17.28,17.28,300,0
2016-06-15,16:35:00,17.33,17.46,17.33,17.46,900,0
2016-06-15,16:40:00,17.4495,17.47,17.42,17.44,1373,0
2016-06-15,16:45:00,17.43,17.43,17.43,17.43,100,0
2016-06-15,16:50:00,17.48,17.48,17.44,17.45,1200,0
2016-06-15,16:55:00,17.5,17.53,17.5,17.5,1100,0
2016-06-15,17:00:00,17.54,17.56,17.54,17.54,500,0
2016-06-15,17:05:00,17.55,17.55,17.53,17.53,300,0
2016-06-15,17:10:00,17.56,17.67,17.53,17.65,2800,0
2016-06-15,17:15:00,17.67,17.68,17.61,17.61,600,0
2016-06-15,17:20:00,17.59,17.59,17.58,17.58,600,0
2016-06-15,17:25:00,17.585,17.63,17.585,17.6099,1100,0
2016-06-15,17:30:00,17.6,17.6,17.6,17.6,400,0
2016-06-15,17:35:00,17.58,17.58,17.49,17.53,1700,0
2016-06-15,17:40:00,17.55,17.58,17.55,17.57,800,0
2016-06-15,17:45:00,17.58,17.58,17.56,17.56,400,0
2016-06-15,17:50:00,17.6,17.65,17.6,17.65,500,0
2016-06-15,17:55:00,17.65,17.74,17.65,17.74,1300,0
2016-06-15,18:00:00,17.72,17.79,17.72,17.79,3900,0
2016-06-15,18:05:00,17.79,17.79,17.73,17.74,800,0
2016-06-15,18:10:00,17.74,17.74,17.73,17.73,400,0
2016-06-15,18:15:00,17.74,17.74,17.71,17.71,400,0
2016-06-15,18:20:00,17.75,17.75,17.75,17.75,400,0
2016-06-15,18:25:00,17.76,17.76,17.76,17.76,100,0
2016-06-15,18:30:00,17.76,17.76,17.72,17.73,500,0
2016-06-15,18:40:00,17.71,17.73,17.7,17.715,1690,0
2016-06-15,18:45:00,17.73,17.78,17.71,17.78,1020,0
2016-06-15,18:50:00,17.78,17.78,17.74,17.74,1100,0
2016-06-15,18:55:00,17.72,17.75,17.72,17.75,300,0
2016-06-15,19:00:00,17.73,17.73,17.695,17.71,500,0
2016-06-15,19:05:00,17.74,17.74,17.74,17.74,100,0
2016-06-15,19:10:00,17.73,17.73,17.66,17.7,7493,0
2016-06-15,19:15:00,17.68,17.68,17.68,17.68,500,0
2016-06-15,19:20:00,17.7,17.76,17.69,17.69,1023,0
2016-06-15,19:25:00,17.69,17.7,17.688,17.688,1000,0
2016-06-15,19:30:00,17.67,17.67,17.66,17.67,300,0
2016-06-15,19:35:00,17.7,17.79,17.7,17.79,1100,0
2016-06-15,19:40:00,17.79,17.79,17.78,17.78,500,0
2016-06-15,19:45:00,17.79,17.79,17.76,17.77,1100,0
2016-06-15,19:55:00,17.79,17.79,17.76,17.76,800,0
2016-06-15,20:00:00,17.77,17.8,17.77,17.77,1100,0
2016-06-15,20:05:00,17.79,17.8,17.57,17.61,2500,0
2016-06-15,20:10:00,17.6,17.6,17.49,17.49,2431,0
2016-06-15,20:15:00,17.51,17.53,17.43,17.44,800,0
2016-06-15,20:20:00,17.42,17.46,17.41,17.46,1287,0
2016-06-15,20:25:00,17.42,17.47,17.42,17.47,600,0
2016-06-15,20:30:00,17.39,17.39,17.35,17.35,1515,0
2016-06-15,20:35:00,17.3,17.38,17.28,17.38,2178,0
2016-06-15,20:40:00,17.38,17.4,17.38,17.4,700,0
2016-06-15,20:45:00,17.38,17.38,17.38,17.38,300,0
2016-06-15,20:50:00,17.43,17.46,17.39,17.39,700,0
2016-06-15,20:55:00,17.42,17.45,17.42,17.42,500,0
