Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-16,17:55:00,0.35,0.35,0.35,0.35,10000,0
2015-04-16,18:15:00,0.35,0.35,0.35,0.35,30000,0
2015-04-16,18:25:00,0.35,0.35,0.35,0.35,75000,0
2015-04-16,18:55:00,0.35,0.35,0.35,0.35,15000,0
2015-04-17,18:00:00,0.3,0.3,0.3,0.3,15000,0
2015-04-17,18:10:00,0.32,0.32,0.32,0.32,25000,0
2015-04-17,21:55:00,0.3499,0.3499,0.3499,0.3499,400,0
2015-04-20,15:45:00,0.32,0.34,0.32,0.34,11700,0
2015-04-21,20:30:00,0.35,0.35,0.35,0.35,5000,0
2015-04-21,20:35:00,0.35,0.35,0.35,0.35,5000,0
2015-04-24,19:50:00,0.34,0.34,0.34,0.34,5000,0
2015-04-27,17:05:00,0.34,0.34,0.34,0.34,8300,0
2015-04-27,17:10:00,0.34,0.34,0.34,0.34,1700,0
2015-04-28,15:55:00,0.34,0.34,0.34,0.34,15000,0
2015-04-28,16:40:00,0.34,0.34,0.34,0.34,1600,0
2015-04-28,17:05:00,0.34,0.34,0.34,0.34,15000,0
2015-04-28,18:50:00,0.34,0.34,0.34,0.34,15000,0
2015-05-04,20:00:00,0.32,0.32,0.32,0.32,5000,0
2015-05-05,17:30:00,0.32,0.32,0.32,0.32,5000,0
2015-05-06,16:55:00,0.36,0.36,0.36,0.36,3000,0
2015-05-06,17:20:00,0.38,0.38,0.38,0.38,5000,0
2015-05-06,18:00:00,0.34,0.34,0.34,0.34,5000,0
2015-05-13,16:20:00,0.32,0.32,0.32,0.32,9300,0
2015-05-13,16:25:00,0.32,0.32,0.32,0.32,10700,0
2015-05-18,18:10:00,0.31,0.31,0.3011,0.3011,10000,0
2015-05-19,16:35:00,0.33,0.33,0.33,0.33,5200,0
2015-05-26,16:00:00,0.4,0.4,0.4,0.4,1000,0
2015-05-26,20:30:00,0.3999,0.3999,0.3999,0.3999,4900,0
2015-06-03,19:15:00,0.57,0.6,0.57,0.6,3005,0
2015-06-04,17:30:00,0.55,0.55,0.55,0.55,316,0
2015-06-09,16:30:00,0.4,0.4,0.4,0.4,5000,0
2015-06-10,20:40:00,0.399,0.4,0.399,0.4,5100,0
2015-06-10,21:55:00,0.4,0.4,0.4,0.4,10100,0
2015-06-12,19:30:00,0.65,0.65,0.65,0.65,100,0
2015-06-15,17:40:00,0.43,0.43,0.4,0.4,1300,0
2015-06-15,18:10:00,0.3999,0.4,0.3999,0.4,15800,0
2015-06-15,22:00:00,0.44,0.44,0.44,0.44,5000,0
2015-06-17,17:20:00,0.41,0.41,0.41,0.41,6000,0
2015-06-17,17:55:00,0.39,0.39,0.39,0.39,100,0
2015-06-18,22:00:00,0.37,0.37,0.37,0.37,200,0
2015-06-19,21:50:00,0.45,0.45,0.45,0.45,2500,0
2015-06-22,15:35:00,0.45,0.45,0.45,0.45,2500,0
2015-06-22,19:55:00,0.37,0.37,0.37,0.37,10300,0
2015-06-22,20:00:00,0.4,0.4,0.4,0.4,2500,0
2015-07-14,16:10:00,0.38,0.38,0.38,0.38,5000,0
2015-07-14,20:15:00,0.38,0.38,0.38,0.38,4800,0
2015-07-15,18:55:00,0.3403,0.3403,0.3403,0.3403,200,0
2015-07-15,19:00:00,0.35,0.35,0.3403,0.3403,700,0
2015-07-15,19:05:00,0.34,0.3403,0.34,0.34,600,0
2015-07-15,19:10:00,0.34,0.34,0.34,0.34,300,0
2015-07-17,15:45:00,0.34,0.34,0.34,0.34,19300,0
2015-07-17,16:05:00,0.341,0.341,0.3401,0.3401,1000,0
2015-07-17,18:40:00,0.34,0.34,0.34,0.34,1380,0
2015-07-20,16:30:00,0.3499,0.3499,0.3499,0.3499,56,0
2015-07-20,18:20:00,0.3411,0.3411,0.3411,0.3411,500,0
2015-07-20,18:35:00,0.3411,0.3411,0.3411,0.3411,500,0
2015-07-21,19:25:00,0.33,0.33,0.33,0.33,14000,0
2015-07-27,17:10:00,0.32,0.32,0.32,0.32,30000,0
2015-07-30,16:15:00,0.32,0.32,0.32,0.32,24500,0
2015-07-30,16:20:00,0.32,0.32,0.32,0.32,5500,0
2015-07-30,16:25:00,0.35,0.35,0.35,0.35,100,0
2015-07-31,17:25:00,0.32,0.32,0.32,0.32,21283,0
2015-07-31,17:35:00,0.35,0.35,0.35,0.35,100,0
2015-08-12,21:35:00,0.3499,0.35,0.3499,0.35,9990,0
2015-08-24,16:45:00,0.3199,0.32,0.3199,0.32,10000,0
2015-08-25,19:55:00,0.311,0.3111,0.311,0.3111,514,0
2015-08-31,15:35:00,0.33,0.33,0.33,0.33,998,0
2015-08-31,17:35:00,0.36,0.36,0.36,0.36,300,0
2015-08-31,21:10:00,0.3899,0.39,0.3899,0.39,1900,0
2015-09-03,15:35:00,0.35,0.35,0.35,0.35,4200,0
2015-09-03,17:10:00,0.331,0.331,0.331,0.331,100,0
2015-09-03,19:50:00,0.311,0.311,0.3,0.3,1100,0
2015-09-10,16:15:00,0.33,0.33,0.33,0.33,5000,0
2015-09-10,20:10:00,0.3299,0.3299,0.3299,0.3299,5000,0
2015-09-10,22:00:00,0.3111,0.3111,0.3111,0.3111,100,0
2015-09-15,18:00:00,0.3,0.3,0.3,0.3,10200,0
2015-09-18,17:25:00,0.29,0.29,0.29,0.29,6500,0
2015-10-12,18:05:00,0.34,0.34,0.34,0.34,100,0
2015-10-12,21:10:00,0.35,0.35,0.35,0.35,100,0
2015-10-30,21:00:00,0.4,0.4,0.4,0.4,100,0
2015-11-11,17:00:00,0.35,0.35,0.35,0.35,100,0
2015-11-30,21:10:00,0.38,0.38,0.38,0.38,100,0
2015-12-24,15:35:00,0.22,0.22,0.22,0.22,316,0
2015-12-24,18:20:00,0.35,0.35,0.35,0.35,100,0
2015-12-30,16:15:00,0.35,0.35,0.3499,0.3499,1800,0
2015-12-30,16:25:00,0.38,0.38,0.38,0.38,100,0
2016-01-11,15:35:00,0.39,0.39,0.39,0.39,36,0
2016-01-11,15:40:00,0.3299,0.3299,0.3299,0.3299,100,0
2016-01-12,19:10:00,0.33,0.33,0.33,0.33,100,0
2016-01-13,16:15:00,0.3201,0.3201,0.3201,0.3201,125,0
