Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-06,17:00:00,6.1099,6.1099,6.1035,6.1035,3550,0
2016-05-06,17:10:00,6.1035,6.1035,6.1035,6.1035,2779,0
2016-05-06,17:45:00,6.1035,6.1035,6.1035,6.1035,101,0
2016-05-06,17:50:00,6.1035,6.1035,6.0443,6.0443,10560,0
2016-05-06,17:55:00,6.0246,6.0641,6.0246,6.0345,406,0
2016-05-06,18:00:00,6.0641,6.0641,6.0345,6.0345,507,0
2016-05-06,18:10:00,6.0345,6.0542,6.0148,6.0148,6902,0
2016-05-06,18:15:00,6.0148,6.0148,6.0148,6.0148,710,0
2016-05-06,18:20:00,6.0542,6.0542,6.0542,6.0542,101,0
2016-05-06,18:25:00,6.0345,6.0542,6.0148,6.0542,1621,0
2016-05-06,18:30:00,6.0641,6.0641,6.0345,6.0345,507,0
2016-05-06,18:35:00,6.0621,6.0838,6.0443,6.0443,2231,0
2016-05-06,18:45:00,6.064,6.0641,6.0443,6.0443,1014,0
2016-05-06,18:55:00,6.0641,6.0641,6.0641,6.0641,101,0
2016-05-06,19:00:00,6.0641,6.0838,6.0641,6.0838,811,0
2016-05-06,19:05:00,6.0838,6.1232,6.0641,6.0641,1215,0
2016-05-06,19:30:00,6.0739,6.0739,6.0739,6.0739,6283,0
2016-05-06,19:45:00,6.0719,6.0719,6.0719,6.0719,1014,0
2016-05-06,20:20:00,6.0542,6.0542,6.0542,6.0542,201,0
2016-05-06,22:00:00,6.0936,6.0936,6.0739,6.0739,203,0
2016-05-09,15:35:00,6.1134,6.1134,6.1134,6.1134,5578,0
2016-05-09,16:05:00,6.128,6.128,6.128,6.128,124,0
2016-05-09,16:10:00,6.1232,6.1233,6.1232,6.1233,203,0
2016-05-09,16:20:00,6.1232,6.1528,6.1232,6.1528,1927,0
2016-05-09,16:30:00,6.1332,6.1332,6.1332,6.1332,1524,0
2016-05-09,16:40:00,6.1428,6.1428,6.1331,6.1331,1521,0
2016-05-09,16:50:00,6.1429,6.1429,6.1331,6.1429,609,0
2016-05-09,17:15:00,6.1332,6.1332,6.1331,6.1331,1223,0
2016-05-09,17:20:00,6.1232,6.1232,6.1232,6.1232,3144,0
2016-05-09,18:10:00,6.1232,6.1232,6.1232,6.1232,1524,0
2016-05-09,18:15:00,6.1232,6.1232,6.1232,6.1232,3905,0
2016-05-09,18:20:00,6.1232,6.1232,6.1232,6.1232,913,0
2016-05-09,18:25:00,6.0936,6.0936,6.0936,6.0936,203,0
2016-05-09,18:30:00,6.1134,6.1232,6.1134,6.1232,2231,0
2016-05-09,18:55:00,6.1134,6.1134,6.1134,6.1134,1014,0
2016-05-09,19:05:00,6.1134,6.1134,6.1134,6.1134,1116,0
2016-05-09,19:10:00,6.1035,6.1035,6.1035,6.1035,101,0
2016-05-09,19:30:00,6.1074,6.1074,6.1074,6.1074,152,0
2016-05-09,20:15:00,6.1134,6.1134,6.1035,6.1035,3891,0
2016-05-09,21:30:00,6.1231,6.1231,6.1231,6.1231,1014,0
2016-05-09,21:45:00,6.1124,6.1232,6.1124,6.1134,1217,0
2016-05-09,21:50:00,6.1108,6.1108,6.1108,6.1108,406,0
2016-05-09,21:55:00,6.11,6.11,6.11,6.11,933,0
2016-05-09,22:00:00,6.1232,6.1232,6.1232,6.1232,101,0
2016-05-10,15:35:00,6.1134,6.1134,6.1134,6.1134,2537,0
2016-05-10,16:05:00,6.1036,6.1036,6.1036,6.1036,626,0
2016-05-10,16:20:00,6.1036,6.1428,6.1036,6.1134,1698,0
2016-05-10,16:25:00,6.1428,6.1428,6.1035,6.1428,5629,0
2016-05-10,16:55:00,6.1153,6.1153,6.1153,6.1153,1521,0
2016-05-10,18:20:00,6.1232,6.1429,6.1232,6.1429,2551,0
2016-05-10,18:25:00,6.1429,6.1429,6.1429,6.1429,203,0
2016-05-10,18:40:00,6.1331,6.1331,6.1232,6.1232,1724,0
2016-05-10,19:00:00,6.1284,6.1284,6.1284,6.1284,101,0
2016-05-10,20:05:00,6.1232,6.1429,6.1232,6.1429,3144,0
2016-05-10,20:10:00,6.1428,6.1428,6.138,6.138,616,0
2016-05-10,20:20:00,6.1331,6.1627,6.1331,6.1627,4260,0
2016-05-10,20:25:00,6.1627,6.1725,6.1627,6.1725,203,0
2016-05-10,20:30:00,6.1725,6.1725,6.1725,6.1725,1014,0
2016-05-10,20:35:00,6.1824,6.1824,6.1824,6.1824,3550,0
2016-05-10,20:55:00,6.1922,6.1922,6.1922,6.1922,203,0
2016-05-10,21:25:00,6.1922,6.1922,6.1922,6.1922,1623,0
2016-05-10,21:30:00,6.1873,6.1955,6.1873,6.1955,507,0
2016-05-10,21:40:00,6.1932,6.1932,6.1932,6.1932,507,0
2016-05-10,21:55:00,6.1824,6.2021,6.1824,6.2021,2131,0
2016-05-10,22:00:00,6.1824,6.1824,6.1824,6.1824,101,0
2016-05-11,15:35:00,6.2021,6.2021,6.2021,6.2021,1523,0
2016-05-11,16:05:00,6.1725,6.1725,6.1725,6.1725,507,0
2016-05-11,16:25:00,6.1922,6.2218,6.1824,6.2021,12580,0
2016-05-11,16:45:00,6.1824,6.1824,6.1824,6.1824,507,0
2016-05-11,17:20:00,6.1922,6.2021,6.1824,6.1824,4868,0
2016-05-11,17:25:00,6.1922,6.2021,6.1824,6.2021,3337,0
2016-05-11,17:35:00,6.2021,6.2021,6.2021,6.2021,3043,0
2016-05-11,17:40:00,6.2021,6.2021,6.2021,6.2021,28904,0
2016-05-11,18:05:00,6.2021,6.2021,6.2021,6.2021,2028,0
2016-05-11,18:10:00,6.2021,6.2021,6.2021,6.2021,203,0
2016-05-11,18:20:00,6.1922,6.1922,6.1922,6.1922,811,0
2016-05-11,18:50:00,6.1627,6.1628,6.1627,6.1627,1015,0
2016-05-11,19:05:00,6.1593,6.1593,6.1569,6.1569,791,0
2016-05-11,19:25:00,6.1824,6.1824,6.1824,6.1824,1420,0
2016-05-11,19:30:00,6.2021,6.212,6.1922,6.1922,9229,0
2016-05-11,19:35:00,6.1922,6.212,6.1922,6.212,15010,0
2016-05-11,19:50:00,6.212,6.212,6.212,6.212,2231,0
2016-05-11,20:10:00,6.212,6.2122,6.207,6.207,25253,0
2016-05-11,20:20:00,6.212,6.212,6.2022,6.212,14188,0
2016-05-11,20:30:00,6.212,6.212,6.2119,6.212,2130,0
2016-05-11,20:50:00,6.2119,6.2119,6.2119,6.2119,101,0
2016-05-11,20:55:00,6.212,6.212,6.2119,6.212,7080,0
2016-05-11,21:00:00,6.212,6.212,6.212,6.212,10755,0
2016-05-11,21:05:00,6.212,6.212,6.1922,6.1922,21312,0
2016-05-11,22:00:00,6.2119,6.2119,6.2021,6.2021,1724,0
2016-05-12,16:50:00,6.1725,6.1725,6.1724,6.1724,1927,0
2016-05-12,16:55:00,6.1627,6.1627,6.1528,6.1528,2028,0
2016-05-12,17:10:00,6.1627,6.1725,6.1429,6.1724,4260,0
2016-05-12,17:15:00,6.1725,6.1725,6.1725,6.1725,203,0
2016-05-12,17:25:00,6.1627,6.1627,6.1627,6.1627,609,0
2016-05-12,17:30:00,6.1528,6.1627,6.1429,6.1429,1014,0
2016-05-12,17:35:00,6.1134,6.1134,6.0739,6.0739,10852,0
2016-05-12,17:40:00,6.0739,6.1134,6.0542,6.1134,20692,0
2016-05-12,17:50:00,6.0641,6.0739,6.0542,6.0542,2535,0
2016-05-12,17:55:00,6.0641,6.0641,6.0641,6.0641,203,0
2016-05-12,18:00:00,6.0641,6.0641,6.0542,6.0542,1837,0
2016-05-12,18:05:00,6.0542,6.0739,6.0542,6.0739,4260,0
2016-05-12,18:10:00,6.0936,6.0936,6.0936,6.0936,1014,0
2016-05-12,18:15:00,6.1035,6.1134,6.1035,6.1134,1318,0
2016-05-12,18:20:00,6.1527,6.1527,6.1527,6.1527,862,0
2016-05-12,18:25:00,6.1134,6.1134,6.1035,6.1134,811,0
2016-05-12,18:30:00,6.1118,6.1232,6.1118,6.1232,3144,0
2016-05-12,18:35:00,6.1134,6.1627,6.0936,6.1627,3505,0
2016-05-12,18:40:00,6.1232,6.1528,6.1232,6.1528,1014,0
2016-05-12,18:45:00,6.1528,6.1528,6.1528,6.1528,1826,0
2016-05-12,18:50:00,6.1331,6.1331,6.1331,6.1331,304,0
2016-05-12,19:00:00,6.1232,6.1232,6.0936,6.0936,203,0
2016-05-12,19:05:00,6.1134,6.1134,6.1134,6.1134,609,0
2016-05-12,19:10:00,6.1134,6.1725,6.1134,6.1725,2028,0
2016-05-12,19:15:00,6.1725,6.1725,6.1528,6.1725,4057,0
2016-05-12,19:20:00,6.1725,6.1725,6.1627,6.1725,1014,0
2016-05-12,19:25:00,6.1627,6.1627,6.1627,6.1627,5274,0
2016-05-12,19:30:00,6.1627,6.1725,6.1627,6.1725,17544,0
2016-05-12,19:35:00,6.1627,6.1627,6.1627,6.1627,507,0
2016-05-12,19:40:00,6.1627,6.1627,6.1528,6.1528,21605,0
2016-05-12,19:45:00,6.1627,6.1627,6.1331,6.1331,11154,0
2016-05-12,19:50:00,6.1331,6.1331,6.1331,6.1331,3246,0
2016-05-12,19:55:00,6.0936,6.0936,6.0936,6.0936,203,0
2016-05-12,20:00:00,6.1035,6.1035,6.1035,6.1035,101,0
2016-05-12,20:05:00,6.0936,6.104,6.0936,6.104,507,0
2016-05-12,20:10:00,6.0936,6.1035,6.0936,6.1035,203,0
2016-05-12,20:15:00,6.0936,6.0936,6.0936,6.0936,101,0
