Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,14.81,14.81,14.8,14.8,686,0
2016-06-15,15:40:00,14.67,15.02,14.67,15.02,4599,0
2016-06-15,15:45:00,15,15.01,14.88,14.95,3789,0
2016-06-15,15:50:00,14.98,14.98,14.93,14.93,1257,0
2016-06-15,15:55:00,14.95,14.95,14.95,14.95,300,0
2016-06-15,16:00:00,14.965,14.965,14.95,14.95,300,0
2016-06-15,16:25:00,15.04,15.08,14.97,14.98,10212,0
2016-06-15,16:30:00,15.03,15.06,14.98,15.06,16219,0
2016-06-15,16:35:00,15.05,15.05,14.97,15,8833,0
2016-06-15,16:40:00,14.99,14.99,14.84,14.87,6300,0
2016-06-15,16:45:00,14.88,14.92,14.85,14.88,9286,0
2016-06-15,16:50:00,14.91,14.91,14.8,14.87,6148,0
2016-06-15,16:55:00,14.85,14.91,14.85,14.89,1800,0
2016-06-15,17:00:00,14.9008,14.93,14.89,14.91,7487,0
2016-06-15,17:05:00,14.91,14.92,14.9,14.91,3000,0
2016-06-15,17:10:00,14.92,14.935,14.91,14.91,1900,0
2016-06-15,17:15:00,14.915,15.005,14.915,14.95,9286,0
2016-06-15,17:20:00,14.95,14.99,14.935,14.96,4400,0
2016-06-15,17:25:00,14.96,14.96,14.93,14.95,3269,0
2016-06-15,17:30:00,14.96,14.96,14.93,14.93,500,0
2016-06-15,17:35:00,14.93,14.965,14.91,14.92,6500,0
2016-06-15,17:40:00,14.935,14.95,14.935,14.95,600,0
2016-06-15,17:45:00,14.95,14.97,14.95,14.9623,1000,0
2016-06-15,17:50:00,14.965,14.965,14.93,14.96,2800,0
2016-06-15,17:55:00,14.99,15.02,14.969,15.016,6083,0
2016-06-15,18:00:00,15.02,15.045,15.015,15.045,1700,0
2016-06-15,18:05:00,15.04,15.05,14.95,14.96,4246,0
2016-06-15,18:10:00,14.99,15,14.99,15,599,0
2016-06-15,18:15:00,15.04,15.055,15.04,15.055,200,0
2016-06-15,18:20:00,15.055,15.06,15.02,15.02,2933,0
2016-06-15,18:25:00,15.01,15.03,15,15.0201,1204,0
2016-06-15,18:30:00,15.0254,15.05,14.99,14.99,1788,0
2016-06-15,18:35:00,14.97,15,14.97,14.99,596,0
2016-06-15,18:40:00,15.02,15.02,14.99,14.99,500,0
2016-06-15,18:45:00,15,15.05,15,15.035,1011,0
2016-06-15,18:50:00,15.035,15.06,15.015,15.015,2900,0
2016-06-15,18:55:00,15.04,15.04,15.02,15.02,3000,0
2016-06-15,19:00:00,14.99,15.02,14.98,15.01,1400,0
2016-06-15,19:05:00,15.01,15.02,14.98,15,900,0
2016-06-15,19:10:00,15.01,15.01,15.0099,15.01,500,0
2016-06-15,19:15:00,15.01,15.01,14.99,15,500,0
2016-06-15,19:20:00,14.99,15,14.94,15,2600,0
2016-06-15,19:25:00,15.01,15.02,14.99,15,1124,0
2016-06-15,19:30:00,15,15.01,15,15.01,200,0
2016-06-15,19:35:00,15.01,15.04,15.01,15.035,1500,0
2016-06-15,19:40:00,15.035,15.04,14.99,15.01,1700,0
2016-06-15,19:45:00,15.02,15.04,14.99,14.99,900,0
2016-06-15,19:50:00,14.99,15.005,14.985,14.99,2300,0
2016-06-15,19:55:00,14.97,14.99,14.97,14.985,300,0
2016-06-15,20:00:00,14.985,15,14.97,14.97,1600,0
2016-06-15,20:05:00,14.97,14.97,14.92,14.92,200,0
2016-06-15,20:10:00,14.92,14.93,14.91,14.91,1100,0
2016-06-15,20:15:00,14.92,14.92,14.9,14.92,400,0
2016-06-15,20:20:00,14.92,14.98,14.915,14.96,1900,0
2016-06-15,20:25:00,14.96,14.99,14.96,14.985,1199,0
2016-06-15,20:30:00,15,15,14.97,14.97,400,0
2016-06-15,20:35:00,14.97,15,14.97,14.99,2100,0
2016-06-15,20:40:00,15,15.02,15,15.02,1100,0
2016-06-15,20:45:00,15.02,15.03,14.99,15.03,400,0
2016-06-15,20:50:00,15.02,15.025,15.01,15.02,1800,0
2016-06-15,20:55:00,15.01,15.01,14.95,14.95,1800,0
2016-06-15,21:00:00,14.96,14.975,14.96,14.975,3500,0
2016-06-15,21:05:00,14.98,15.02,14.98,15.01,4963,0
2016-06-15,21:10:00,15.01,15.02,15.005,15.01,800,0
2016-06-15,21:15:00,15,15.005,14.93,14.955,5500,0
2016-06-15,21:20:00,14.97,14.97,14.97,14.97,1100,0
2016-06-15,21:25:00,14.98,14.98,14.97,14.98,1500,0
2016-06-15,21:30:00,14.98,15,14.98,15,3900,0
2016-06-15,21:35:00,15,15,14.98,14.98,1200,0
2016-06-15,21:40:00,15,15,14.93,14.93,6300,0
2016-06-15,21:45:00,14.93,14.94,14.93,14.94,2800,0
2016-06-15,21:50:00,14.94,14.94,14.91,14.92,3600,0
2016-06-15,21:55:00,14.92,14.95,14.92,14.95,4122,0
2016-06-15,22:00:00,14.95,14.95,14.9,14.92,24215,0
2016-06-16,15:35:00,14.85,14.95,14.85,14.95,817,0
2016-06-16,15:40:00,14.88,14.88,14.77,14.77,3897,0
2016-06-16,15:45:00,14.79,14.84,14.73,14.76,3593,0
2016-06-16,15:50:00,14.71,14.74,14.71,14.74,200,0
