Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,0.7035,0.7035,0.7035,0.7035,1001,0
2016-06-15,15:40:00,0.7035,0.75,0.7035,0.7038,400,0
2016-06-15,15:45:00,0.705,0.705,0.7035,0.7035,400,0
2016-06-15,15:50:00,0.7035,0.7036,0.7035,0.7036,600,0
2016-06-15,15:55:00,0.7036,0.7334,0.7036,0.7038,800,0
2016-06-15,16:00:00,0.7039,0.727,0.7039,0.727,400,0
2016-06-15,16:25:00,0.7058,0.7097,0.7048,0.706,1300,0
2016-06-15,16:30:00,0.708,0.7094,0.708,0.708,600,0
2016-06-15,16:35:00,0.7093,0.7093,0.7093,0.7093,300,0
2016-06-15,16:40:00,0.708,0.708,0.708,0.708,400,0
2016-06-15,16:45:00,0.708,0.7088,0.7072,0.7072,600,0
2016-06-15,16:50:00,0.7072,0.7072,0.7029,0.703,1200,0
2016-06-15,16:55:00,0.7029,0.703,0.7029,0.7029,600,0
2016-06-15,17:00:00,0.703,0.7081,0.7029,0.703,500,0
2016-06-15,17:05:00,0.703,0.7079,0.7029,0.703,1025,0
2016-06-15,17:10:00,0.703,0.7075,0.7029,0.703,3710,0
2016-06-15,17:15:00,0.7031,0.7079,0.703,0.7079,3500,0
2016-06-15,17:20:00,0.7079,0.7079,0.7079,0.7079,200,0
2016-06-15,17:25:00,0.7031,0.7078,0.7031,0.7078,200,0
2016-06-15,17:30:00,0.7077,0.7077,0.7052,0.7053,400,0
2016-06-15,17:35:00,0.7053,0.7059,0.7053,0.7053,700,0
2016-06-15,17:40:00,0.7059,0.7059,0.7052,0.7052,1000,0
2016-06-15,17:45:00,0.7052,0.7052,0.7052,0.7052,100,0
2016-06-15,17:50:00,0.7059,0.7059,0.7059,0.7059,400,0
2016-06-15,17:55:00,0.7055,0.7055,0.7055,0.7055,100,0
2016-06-15,18:00:00,0.7053,0.7059,0.7052,0.7059,1400,0
2016-06-15,18:05:00,0.7053,0.7059,0.7053,0.7053,1800,0
2016-06-15,18:10:00,0.7059,0.7059,0.7059,0.7059,100,0
2016-06-15,18:15:00,0.7058,0.7058,0.7058,0.7058,400,0
2016-06-15,18:25:00,0.7054,0.7058,0.7052,0.7052,700,0
2016-06-15,18:30:00,0.7052,0.7052,0.705,0.705,500,0
2016-06-15,18:35:00,0.7055,0.7055,0.705,0.7053,1200,0
2016-06-15,18:40:00,0.7052,0.7052,0.705,0.705,200,0
2016-06-15,18:45:00,0.7052,0.7052,0.7052,0.7052,200,0
