Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,23.2,23.39,23.2,23.38,3688,0
2016-06-14,15:40:00,23.31,23.34,23.31,23.34,200,0
2016-06-14,15:45:00,23.41,23.41,23.395,23.395,200,0
2016-06-14,15:50:00,23.4,23.4,23.35,23.35,200,0
2016-06-14,15:55:00,23.305,23.305,23.305,23.305,100,0
2016-06-14,16:00:00,23.28,23.315,23.28,23.3,2600,0
2016-06-14,16:05:00,23.325,23.325,23.275,23.295,2200,0
2016-06-14,16:10:00,23.26,23.2899,23.235,23.2899,1700,0
2016-06-14,16:15:00,23.29,23.305,23.27,23.305,1700,0
2016-06-14,16:20:00,23.3,23.3,23.22,23.285,3400,0
2016-06-14,16:25:00,23.245,23.285,23.24,23.26,1300,0
2016-06-14,16:30:00,23.255,23.28,23.19,23.255,3750,0
2016-06-14,16:35:00,23.27,23.275,23.2,23.24,3333,0
2016-06-14,16:40:00,23.24,23.24,23.15,23.185,1652,0
2016-06-14,16:45:00,23.215,23.22,23.2,23.21,1100,0
2016-06-14,16:50:00,23.2,23.2,23.17,23.17,200,0
2016-06-14,16:55:00,23.15,23.17,23.12,23.12,1534,0
2016-06-14,17:00:00,23.09,23.125,23.09,23.12,500,0
2016-06-14,17:05:00,23.06,23.13,23.06,23.13,700,0
2016-06-14,17:10:00,23.13,23.15,23.13,23.14,300,0
2016-06-14,17:15:00,23.14,23.14,23.14,23.14,100,0
2016-06-14,17:20:00,23.1,23.12,23.08,23.12,800,0
2016-06-14,17:25:00,23.16,23.16,23.16,23.16,200,0
2016-06-14,17:30:00,23.12,23.12,23.08,23.12,700,0
2016-06-14,17:35:00,23.12,23.15,23.12,23.15,500,0
2016-06-14,17:40:00,23.14,23.14,23.12,23.12,400,0
2016-06-14,17:45:00,23.1,23.1,23.09,23.09,300,0
2016-06-14,17:50:00,23.12,23.13,23.12,23.13,200,0
2016-06-14,17:55:00,23.13,23.14,23.06,23.14,1100,0
2016-06-14,18:00:00,23.125,23.13,23.01,23.13,6264,0
2016-06-14,18:05:00,23.13,23.18,23.09,23.14,17185,0
2016-06-14,18:10:00,23.15,23.26,23.15,23.245,24901,0
2016-06-14,18:15:00,23.225,23.25,23.22,23.22,2248,0
2016-06-14,18:25:00,23.29,23.3,23.25,23.27,1700,0
2016-06-14,18:30:00,23.32,23.35,23.28,23.28,1000,0
2016-06-14,18:35:00,23.28,23.28,23.28,23.28,100,0
2016-06-14,18:40:00,23.16,23.16,23.16,23.16,100,0
2016-06-14,18:45:00,23.09,23.12,23.09,23.12,200,0
2016-06-14,18:50:00,23.13,23.13,23.11,23.11,400,0
2016-06-14,18:55:00,23.13,23.13,23.09,23.13,500,0
2016-06-14,19:00:00,23.14,23.14,23.11,23.13,588,0
2016-06-14,19:05:00,23.12,23.13,23.12,23.13,200,0
2016-06-14,19:10:00,23.12,23.12,23.1,23.1,200,0
2016-06-14,19:15:00,23.07,23.08,23.07,23.08,400,0
2016-06-14,19:20:00,23.03,23.045,23.02,23.04,1094,0
2016-06-14,19:25:00,23.04,23.04,23.04,23.04,100,0
2016-06-14,19:30:00,23.06,23.09,23.06,23.09,1100,0
2016-06-14,19:35:00,23.08,23.13,23.08,23.13,600,0
2016-06-14,19:40:00,23.13,23.14,23.125,23.13,1000,0
2016-06-14,19:45:00,23.14,23.18,23.13,23.165,3100,0
