Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-24,15:35:00,10,10.05,10,10,21078,0
2015-07-24,15:55:00,10,10.0001,10,10.0001,1000,0
2015-07-24,16:00:00,10,10.03,10,10,36163,0
2015-07-24,16:10:00,10.02,10.0272,9.9,9.91,24510,0
2015-07-24,16:15:00,9.98,10,9.9675,9.9999,8300,0
2015-07-24,16:20:00,9.99,10,9.99,9.99,5100,0
2015-07-24,16:35:00,9.98,9.98,9.98,9.98,200,0
2015-07-24,16:45:00,10,10,10,10,110,0
2015-07-24,16:50:00,9.98,9.98,9.98,9.98,100,0
2015-07-24,21:20:00,10,10,10,10,24900,0
2015-07-24,21:25:00,10,10,10,10,4700,0
2015-07-24,22:00:00,9.98,10,9.98,10,4921,0
2015-07-27,15:35:00,10,10,10,10,1240,0
2015-07-27,16:15:00,10,10,10,10,2400,0
2015-07-27,18:50:00,9.98,9.98,9.98,9.98,300,0
2015-07-27,21:00:00,9.998,10,9.997,10,2000,0
2015-07-27,22:00:00,9.988,9.988,9.98,9.98,5200,0
2015-07-28,17:25:00,9.9999,10,9.9999,10,500,0
2015-07-28,21:00:00,9.99,9.99,9.99,9.99,6100,0
2015-07-28,21:50:00,9.99,9.991,9.99,9.991,1100,0
2015-07-28,21:55:00,9.99,9.99,9.99,9.99,4100,0
2015-07-29,18:30:00,9.99,9.997,9.99,9.997,1300,0
2015-07-29,19:05:00,10,10,9.9999,10,900,0
2015-07-29,19:10:00,9.99,9.99,9.98,9.98,12400,0
2015-07-29,19:35:00,9.98,9.98,9.98,9.98,100,0
2015-07-29,19:40:00,9.98,9.98,9.98,9.98,600,0
2015-07-29,19:50:00,9.98,9.98,9.98,9.98,600,0
2015-07-29,19:55:00,9.98,9.98,9.98,9.98,500,0
2015-07-29,20:00:00,9.98,9.98,9.98,9.98,600,0
2015-07-29,20:05:00,9.98,9.98,9.98,9.98,400,0
2015-07-29,20:10:00,9.98,9.98,9.98,9.98,900,0
2015-07-29,20:15:00,9.98,9.98,9.98,9.98,1100,0
2015-07-29,20:20:00,9.98,9.98,9.98,9.98,1100,0
2015-07-29,20:25:00,9.98,9.98,9.98,9.98,1500,0
2015-07-29,20:30:00,9.98,9.98,9.98,9.98,2400,0
2015-07-29,20:35:00,9.98,9.98,9.98,9.98,600,0
2015-07-29,21:00:00,9.98,9.98,9.98,9.98,2700,0
2015-07-29,21:20:00,9.98,9.98,9.98,9.98,3800,0
2015-07-29,21:55:00,9.98,9.98,9.98,9.98,10723,0
2015-07-29,22:00:00,9.99,9.99,9.98,9.98,25100,0
2015-07-30,15:35:00,9.98,9.98,9.98,9.98,18700,0
2015-07-30,15:45:00,9.9816,9.992,9.9816,9.99,300,0
2015-07-30,16:30:00,9.98,9.981,9.98,9.981,2300,0
2015-07-30,16:45:00,9.98,9.98,9.98,9.98,1000,0
2015-07-30,18:10:00,9.99,9.99,9.99,9.99,100,0
2015-07-30,18:15:00,9.98,9.981,9.98,9.981,1100,0
2015-07-30,18:45:00,9.99,9.99,9.9875,9.99,4700,0
2015-07-30,18:55:00,9.995,10,9.995,10,4100,0
2015-07-30,19:20:00,10,10,10,10,1100,0
2015-07-30,19:25:00,10,10,10,10,2000,0
2015-07-30,20:45:00,10.01,10.01,9.98,9.98,200,0
2015-07-30,22:00:00,10.01,10.01,10.01,10.01,100,0
2015-07-31,16:10:00,9.9935,9.9935,9.9935,9.9935,100,0
2015-07-31,22:00:00,9.98,9.98,9.98,9.98,100,0
2015-08-03,16:35:00,9.99,9.99,9.99,9.99,100,0
2015-08-03,17:50:00,9.983,9.983,9.983,9.983,1000,0
2015-08-03,21:40:00,9.9816,9.9816,9.9816,9.9816,100,0
2015-08-03,21:50:00,9.9816,9.9816,9.9816,9.9816,200,0
2015-08-03,21:55:00,9.9816,9.9816,9.98,9.98,2100,0
2015-08-04,15:45:00,9.95,9.95,9.95,9.95,100,0
2015-08-04,17:40:00,9.9728,9.9728,9.9728,9.9728,100,0
2015-08-04,18:05:00,9.97,9.97,9.97,9.97,100,0
2015-08-04,20:35:00,9.9861,9.9861,9.9861,9.9861,100,0
2015-08-05,15:40:00,9.97,9.97,9.97,9.97,370,0
2015-08-05,16:15:00,9.9798,9.9798,9.9798,9.9798,100,0
2015-08-05,17:10:00,9.99,9.99,9.99,9.99,200,0
2015-08-05,18:15:00,9.972,9.973,9.972,9.973,500,0
2015-08-05,19:05:00,9.99,9.99,9.99,9.99,100,0
2015-08-05,21:50:00,9.98,9.98,9.98,9.98,1000,0
2015-08-06,17:10:00,9.99,9.99,9.99,9.99,1000,0
2015-08-06,18:50:00,9.97,9.97,9.97,9.97,1790,0
2015-08-06,20:50:00,10,10,9.982,9.983,500,0
2015-08-06,21:45:00,10,10,9.982,9.983,500,0
2015-08-06,22:00:00,10,10,10,10,200,0
2015-08-07,15:45:00,9.972,9.998,9.972,9.998,500,0
2015-08-07,16:35:00,10,10,10,10,4600,0
2015-08-07,17:45:00,9.995,9.995,9.995,9.995,1000,0
2015-08-07,20:25:00,10,10,10,10,15000,0
2015-08-07,20:30:00,10,10,10,10,22322,0
2015-08-11,19:35:00,9.982,9.994,9.98,9.994,2100,0
2015-08-11,20:45:00,9.99,9.99,9.98,9.98,100100,0
2015-08-11,21:20:00,9.983,9.983,9.98,9.98,10000,0
2015-08-11,21:30:00,9.99,9.99,9.99,9.99,200,0
2015-08-12,19:20:00,9.97,9.97,9.97,9.97,100,0
2015-08-12,20:05:00,9.9801,9.9801,9.9801,9.9801,100,0
2015-08-12,20:35:00,9.9801,9.9801,9.9801,9.9801,100,0
2015-08-12,21:05:00,9.98,9.98,9.98,9.98,100,0
2015-08-13,15:35:00,9.98,9.98,9.98,9.98,1000,0
2015-08-13,19:20:00,9.98,10.02,9.97,10.02,20800,0
2015-08-13,20:30:00,9.995,9.995,9.97,9.975,3400,0
2015-08-13,21:00:00,9.97,9.97,9.97,9.97,100,0
2015-08-13,21:35:00,9.97,9.97,9.97,9.97,100,0
2015-08-13,21:45:00,9.97,9.971,9.97,9.971,2200,0
