Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-10,15:35:00,4.02,4.03,4.02,4.03,303,0
2016-05-10,15:50:00,4.01,4.01,4.01,4.01,100,0
2016-05-10,15:55:00,4.0122,4.0122,4.0122,4.0122,100,0
2016-05-10,16:25:00,4.03,4.03,4.0299,4.0299,600,0
2016-05-10,16:45:00,4.02,4.02,4.02,4.02,100,0
2016-05-10,17:20:00,4.02,4.02,4.02,4.02,100,0
2016-05-10,17:25:00,4.015,4.015,4.01,4.0101,900,0
2016-05-10,17:55:00,4.01,4.01,4.01,4.01,750,0
2016-05-10,18:15:00,4.02,4.02,4.02,4.02,1500,0
2016-05-10,18:20:00,4.02,4.02,4.02,4.02,1360,0
2016-05-10,18:30:00,4.03,4.04,4.03,4.03,2400,0
2016-05-10,18:35:00,4.03,4.03,4.03,4.03,1000,0
2016-05-10,19:10:00,4.01,4.03,4.01,4.02,1300,0
2016-05-10,19:35:00,4.02,4.02,4.02,4.02,100,0
2016-05-10,19:50:00,4.015,4.015,4.01,4.01,4590,0
2016-05-10,19:55:00,4.01,4.02,4.01,4.01,6100,0
2016-05-10,20:05:00,4.01,4.01,4.01,4.01,1354,0
2016-05-10,20:15:00,4.01,4.01,4.01,4.01,200,0
2016-05-10,20:30:00,4.02,4.02,4.02,4.02,3500,0
2016-05-10,20:35:00,4.015,4.015,4.015,4.015,100,0
2016-05-10,20:45:00,4.0125,4.0125,4.01,4.01,18091,0
2016-05-10,20:50:00,4.02,4.02,4.02,4.02,2000,0
2016-05-10,21:00:00,4.015,4.02,4.015,4.015,400,0
2016-05-10,21:10:00,4.02,4.02,4.02,4.02,100,0
2016-05-10,21:30:00,4.02,4.02,4.02,4.02,400,0
2016-05-10,21:35:00,4.02,4.02,4.02,4.02,100,0
2016-05-10,21:45:00,4.0102,4.02,4.0102,4.02,1100,0
2016-05-10,21:55:00,4.01,4.01,4.01,4.01,6680,0
2016-05-10,22:00:00,4.01,4.0162,4,4,2781,0
2016-05-11,15:35:00,4.01,4.0136,4.01,4.0136,1164,0
2016-05-11,15:40:00,4.01,4.02,4.01,4.02,1600,0
2016-05-11,15:45:00,4.01,4.0101,4.0099,4.01,5500,0
2016-05-11,15:50:00,4,4.01,4,4.01,492,0
2016-05-11,15:55:00,4,4,4,4,1000,0
2016-05-11,16:00:00,4.01,4.01,4.01,4.01,200,0
2016-05-11,16:05:00,4,4.01,4,4.01,400,0
2016-05-11,16:10:00,4.01,4.01,4.01,4.01,100,0
2016-05-11,16:15:00,4.01,4.01,4.01,4.01,100,0
2016-05-11,16:20:00,4,4.01,4,4.01,200,0
2016-05-11,16:25:00,4,4.01,4,4.01,700,0
2016-05-11,16:30:00,4.01,4.01,4.01,4.01,300,0
2016-05-11,16:35:00,4.01,4.01,4.01,4.01,100,0
2016-05-11,16:50:00,4.01,4.02,4.01,4.01,580,0
2016-05-11,16:55:00,4.01,4.01,4.01,4.01,700,0
2016-05-11,17:10:00,4.02,4.02,4.01,4.01,547,0
2016-05-11,17:15:00,4.02,4.02,4.02,4.02,700,0
2016-05-11,17:20:00,4.01,4.01,4,4,10600,0
2016-05-11,17:25:00,4.01,4.01,4.01,4.01,1603,0
2016-05-11,17:35:00,4,4.02,4,4.01,800,0
2016-05-11,17:45:00,4.02,4.02,4.01,4.01,200,0
2016-05-11,18:15:00,4.02,4.02,4.02,4.02,200,0
2016-05-11,18:25:00,4.0135,4.0135,4.0135,4.0135,100,0
2016-05-11,18:30:00,4.01,4.01,4.01,4.01,400,0
2016-05-11,18:40:00,4.01,4.02,4.01,4.02,600,0
2016-05-11,18:50:00,4.02,4.02,4.02,4.02,200,0
2016-05-11,18:55:00,4.01,4.02,4.01,4.01,900,0
2016-05-11,19:05:00,4.01,4.01,4.01,4.01,985,0
2016-05-11,19:10:00,4.014,4.014,4.014,4.014,200,0
2016-05-11,19:20:00,4.02,4.02,4.02,4.02,200,0
2016-05-11,19:25:00,4.02,4.02,4.02,4.02,400,0
2016-05-11,19:30:00,4.02,4.02,4.015,4.015,3599,0
2016-05-11,19:35:00,4.0103,4.0103,4.0103,4.0103,400,0
2016-05-11,19:50:00,4.02,4.02,4.02,4.02,700,0
2016-05-11,19:55:00,4.01,4.02,4,4.02,15700,0
2016-05-11,20:00:00,4.01,4.01,4.01,4.01,100,0
2016-05-11,20:20:00,4.01,4.01,4.01,4.01,400,0
2016-05-11,20:30:00,4.02,4.02,4.01,4.01,300,0
2016-05-11,21:05:00,4.02,4.02,4.01,4.01,500,0
2016-05-11,21:10:00,4.01,4.01,4.01,4.01,200,0
2016-05-11,21:15:00,4.01,4.02,4.01,4.01,1551,0
2016-05-11,21:25:00,4.01,4.01,4.01,4.01,400,0
2016-05-11,21:30:00,4.02,4.02,4.02,4.02,200,0
2016-05-11,21:40:00,4,4,4,4,500,0
2016-05-11,21:45:00,4.01,4.02,4,4.01,1800,0
2016-05-11,21:50:00,4.02,4.02,4.0007,4.0007,1150,0
2016-05-11,21:55:00,4.01,4.01,4.0085,4.0085,1797,0
2016-05-11,22:00:00,4.02,4.02,4,4.01,4691,0
2016-05-12,15:35:00,4,4.01,4,4.01,1871,0
2016-05-12,15:50:00,4.01,4.01,4.01,4.01,200,0
2016-05-12,15:55:00,4,4.01,4,4.01,1100,0
2016-05-12,16:05:00,4,4.01,4,4.01,17548,0
2016-05-12,16:10:00,4.005,4.005,4,4.005,500,0
2016-05-12,16:25:00,4.01,4.01,4.0011,4.005,1300,0
2016-05-12,16:30:00,4.01,4.01,4.01,4.01,100,0
2016-05-12,16:40:00,4,4.01,4,4.005,1500,0
2016-05-12,16:45:00,4.005,4.005,4,4.005,300,0
2016-05-12,16:55:00,4,4.005,4,4.005,600,0
2016-05-12,17:00:00,4.005,4.01,4,4.005,600,0
2016-05-12,17:20:00,4.0026,4.005,4,4,8964,0
2016-05-12,17:25:00,4,4.01,4,4.01,1400,0
2016-05-12,17:45:00,4.01,4.01,4.01,4.01,200,0
2016-05-12,18:05:00,4,4,4,4,4281,0
2016-05-12,18:10:00,4.0038,4.0038,4,4,1500,0
2016-05-12,18:15:00,4,4,4,4,100,0
2016-05-12,18:20:00,4,4.0001,4,4,4531,0
2016-05-12,18:25:00,4,4.01,4,4,7938,0
2016-05-12,18:30:00,4,4.01,4,4,4600,0
2016-05-12,18:35:00,4,4.0001,4,4,7300,0
2016-05-12,18:40:00,4.0001,4.0001,4,4,11100,0
2016-05-12,18:45:00,4,4.0001,4,4,12638,0
2016-05-12,18:50:00,4.01,4.01,4.01,4.01,400,0
2016-05-12,19:00:00,4,4,4,4,25000,0
2016-05-12,19:05:00,4.01,4.01,4.005,4.01,6360,0
2016-05-12,19:10:00,4,4.01,4,4.005,5100,0
2016-05-12,19:15:00,4,4.01,4,4.0099,8000,0
2016-05-12,19:25:00,4.01,4.01,4.01,4.01,1000,0
2016-05-12,19:40:00,4.005,4.01,4.005,4.01,300,0
2016-05-12,20:15:00,4.01,4.01,4,4,782,0
2016-05-12,20:25:00,4,4,4,4,300,0
2016-05-12,20:40:00,4.01,4.01,4,4,600,0
2016-05-12,20:45:00,4.0016,4.0032,4.0016,4.0032,500,0
2016-05-12,20:50:00,4.0016,4.0016,4.0016,4.0016,100,0
2016-05-12,20:55:00,4.0001,4.02,4,4.02,9100,0
2016-05-12,21:00:00,4.0002,4.01,4.0002,4.01,3450,0
2016-05-12,21:05:00,4.01,4.01,4,4.0002,3450,0
2016-05-12,21:10:00,4.005,4.01,4,4,1100,0
2016-05-12,21:15:00,4.005,4.01,4,4.005,7500,0
2016-05-12,21:25:00,4,4.01,4,4.005,1196,0
2016-05-12,21:30:00,4.005,4.005,4,4,1000,0
2016-05-12,21:35:00,4,4,4,4,500,0
2016-05-12,21:40:00,4,4.01,4,4.01,400,0
2016-05-12,21:45:00,4,4.01,4,4,16228,0
2016-05-12,21:50:00,4,4,4,4,100,0
2016-05-12,21:55:00,4,4,4,4,10729,0
2016-05-12,22:00:00,4,4.01,4,4,10603,0
2016-05-13,15:35:00,4,4.014,3.995,4.01,8401,0
2016-05-13,15:40:00,4.01,4.01,4.01,4.01,200,0
