Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,18.09,18.09,17.99,17.99,761,0
2016-06-14,15:40:00,18.06,18.21,18.06,18.21,2100,0
2016-06-14,15:45:00,18.2,18.26,18.12,18.18,2800,0
2016-06-14,15:50:00,18.135,18.34,18.135,18.34,3600,0
2016-06-14,15:55:00,18.23,18.28,18.135,18.135,500,0
2016-06-14,16:00:00,18.165,18.165,18.135,18.135,400,0
2016-06-14,16:05:00,18.23,18.23,18.14,18.14,300,0
2016-06-14,16:10:00,18.15,18.15,18.13,18.1375,500,0
2016-06-14,16:15:00,18.1375,18.16,18.1375,18.145,300,0
2016-06-14,16:20:00,18.165,18.165,18.145,18.16,989,0
2016-06-14,16:25:00,18.15,18.2,18.12,18.14,1000,0
2016-06-14,16:30:00,18.18,18.18,18.12,18.12,600,0
2016-06-14,16:35:00,18.12,18.12,18.12,18.12,100,0
2016-06-14,16:40:00,18.11,18.13,18.09,18.11,600,0
2016-06-14,16:45:00,18.09,18.13,18.09,18.13,300,0
2016-06-14,16:50:00,18.1,18.1,18.04,18.04,2296,0
2016-06-14,16:55:00,18.04,18.08,18.04,18.08,700,0
2016-06-14,17:00:00,18.045,18.045,18.045,18.045,100,0
2016-06-14,17:05:00,18.04,18.14,18.04,18.1,9300,0
2016-06-14,17:10:00,18.09,18.12,18.09,18.11,1561,0
2016-06-14,17:15:00,18.1,18.12,18.09,18.1125,600,0
2016-06-14,17:20:00,18.09,18.09,18.09,18.09,800,0
2016-06-14,17:25:00,18.12,18.14,18.12,18.14,200,0
2016-06-14,17:30:00,18.14,18.14,18.07,18.07,300,0
2016-06-14,17:35:00,18.1,18.1,18.1,18.1,200,0
2016-06-14,17:40:00,18.12,18.12,18.12,18.12,200,0
2016-06-14,17:45:00,18.14,18.14,18.14,18.14,100,0
2016-06-14,17:50:00,18.13,18.13,18.13,18.13,484,0
2016-06-14,17:55:00,18.04,18.04,18.04,18.04,100,0
2016-06-14,18:00:00,18.09,18.09,18.04,18.04,500,0
2016-06-14,18:05:00,18.04,18.08,18.04,18.05,300,0
2016-06-14,18:10:00,18.04,18.06,18.025,18.025,1900,0
2016-06-14,18:15:00,18.01,18.01,18.01,18.01,100,0
2016-06-14,18:20:00,18.01,18.085,18.01,18.085,400,0
2016-06-14,18:25:00,18.12,18.12,18.12,18.12,100,0
2016-06-14,18:30:00,18.17,18.17,18.17,18.17,100,0
2016-06-14,18:35:00,18.13,18.13,18.07,18.12,400,0
2016-06-14,18:40:00,18.05,18.1,18.05,18.1,200,0
2016-06-14,18:45:00,18.06,18.09,18.06,18.07,300,0
2016-06-14,18:50:00,18.08,18.09,18.08,18.09,200,0
2016-06-14,18:55:00,18.09,18.13,18.09,18.13,200,0
2016-06-14,19:00:00,18.09,18.1,18.075,18.1,1000,0
2016-06-14,19:10:00,18.085,18.085,18.085,18.085,100,0
2016-06-14,19:15:00,18.085,18.085,18.085,18.085,100,0
2016-06-14,19:20:00,18.085,18.085,18.08,18.08,300,0
2016-06-14,19:30:00,18.13,18.13,18.09,18.09,400,0
2016-06-14,19:35:00,18.09,18.12,18.09,18.12,200,0
2016-06-14,19:40:00,18.12,18.12,18.09,18.09,200,0
2016-06-14,19:45:00,18.09,18.09,18.09,18.09,100,0
2016-06-14,19:50:00,18.09,18.115,18.09,18.115,400,0
2016-06-14,19:55:00,18.07,18.07,18.07,18.07,200,0
2016-06-14,20:00:00,18.07,18.09,18.07,18.09,600,0
2016-06-14,20:05:00,18.08,18.08,18.08,18.08,100,0
2016-06-14,20:10:00,18.07,18.07,18.07,18.07,200,0
2016-06-14,20:15:00,18.08,18.08,18.08,18.08,200,0
2016-06-14,20:20:00,18.08,18.08,18.05,18.05,400,0
2016-06-14,20:25:00,18.08,18.11,18.08,18.1,300,0
2016-06-14,20:30:00,18.09,18.11,18.09,18.11,600,0
2016-06-14,20:40:00,18.14,18.15,18.135,18.15,500,0
2016-06-14,20:50:00,18.17,18.17,18.17,18.17,100,0
2016-06-14,20:55:00,18.09,18.09,18.06,18.08,800,0
2016-06-14,21:00:00,18.08,18.08,18.08,18.08,300,0
2016-06-14,21:05:00,18.09,18.09,18.09,18.09,200,0
2016-06-14,21:10:00,18.15,18.16,18.15,18.16,200,0
2016-06-14,21:15:00,18.17,18.2,18.17,18.18,500,0
2016-06-14,21:20:00,18.19,18.2,18.14,18.14,600,0
2016-06-14,21:25:00,18.17,18.17,18.14,18.17,711,0
2016-06-14,21:30:00,18.17,18.2,18.17,18.185,702,0
2016-06-14,21:35:00,18.18,18.2,18.18,18.2,300,0
2016-06-14,21:40:00,18.17,18.17,18.11,18.15,2000,0
2016-06-14,21:45:00,18.16,18.17,18.16,18.165,800,0
2016-06-14,21:50:00,18.16,18.165,18.15,18.16,2200,0
2016-06-14,21:55:00,18.17,18.2,18.17,18.2,900,0
2016-06-14,22:00:00,18.2,18.21,18.18,18.19,11042,0
2016-06-15,15:35:00,18.16,18.24,18.16,18.22,1674,0
2016-06-15,15:40:00,18.224,18.224,18.08,18.09,3060,0
2016-06-15,15:45:00,18.2,18.2,18.19,18.19,400,0
2016-06-15,15:55:00,18.215,18.215,18.215,18.215,100,0
2016-06-15,16:25:00,18.2,18.2,18.2,18.2,100,0
2016-06-15,16:35:00,18.16,18.16,18.16,18.16,100,0
2016-06-15,16:40:00,18.15,18.15,18.15,18.15,100,0
2016-06-15,16:45:00,18.19,18.19,18.14,18.14,500,0
2016-06-15,16:50:00,18.16,18.2,18.16,18.2,1443,0
2016-06-15,16:55:00,18.225,18.24,18.225,18.24,200,0
2016-06-15,17:00:00,18.17,18.17,18.17,18.17,100,0
2016-06-15,17:10:00,18.19,18.24,18.19,18.21,514,0
2016-06-15,17:15:00,18.25,18.25,18.22,18.22,200,0
2016-06-15,17:20:00,18.25,18.25,18.25,18.25,100,0
2016-06-15,17:25:00,18.22,18.24,18.22,18.24,300,0
2016-06-15,17:30:00,18.17,18.17,18.17,18.17,100,0
2016-06-15,17:35:00,18.18,18.2,18.18,18.2,200,0
2016-06-15,17:40:00,18.17,18.21,18.17,18.21,200,0
2016-06-15,17:45:00,18.19,18.19,18.165,18.165,300,0
2016-06-15,17:55:00,18.18,18.24,18.18,18.2,1200,0
2016-06-15,18:00:00,18.17,18.175,18.17,18.175,200,0
2016-06-15,18:05:00,18.19,18.19,18.19,18.19,400,0
2016-06-15,18:10:00,18.2,18.23,18.2,18.23,500,0
2016-06-15,18:20:00,18.2,18.23,18.2,18.23,200,0
2016-06-15,18:25:00,18.24,18.24,18.21,18.21,300,0
2016-06-15,18:30:00,18.26,18.26,18.26,18.26,100,0
2016-06-15,18:35:00,18.22,18.22,18.18,18.18,300,0
2016-06-15,18:40:00,18.19,18.19,18.19,18.19,100,0
2016-06-15,18:45:00,18.17,18.17,18.17,18.17,100,0
2016-06-15,18:55:00,18.175,18.19,18.17,18.19,900,0
2016-06-15,19:00:00,18.2,18.2,18.18,18.18,300,0
2016-06-15,19:05:00,18.16,18.16,18.16,18.16,100,0
2016-06-15,19:10:00,18.16,18.16,18.16,18.16,745,0
2016-06-15,19:15:00,18.15,18.15,18.12,18.12,200,0
2016-06-15,19:20:00,18.14,18.15,18.14,18.14,1000,0
2016-06-15,19:25:00,18.12,18.12,18.12,18.12,100,0
2016-06-15,19:30:00,18.12,18.12,18.12,18.12,100,0
2016-06-15,19:35:00,18.11,18.13,18.11,18.13,200,0
2016-06-15,19:40:00,18.13,18.13,18.11,18.11,400,0
2016-06-15,19:45:00,18.14,18.15,18.14,18.15,400,0
2016-06-15,19:50:00,18.17,18.17,18.15,18.15,300,0
2016-06-15,20:00:00,18.14,18.14,18.13,18.13,300,0
2016-06-15,20:05:00,18.125,18.18,18.1,18.1,400,0
2016-06-15,20:10:00,18.12,18.12,18.085,18.085,1000,0
2016-06-15,20:15:00,18.11,18.11,18.11,18.11,400,0
2016-06-15,20:20:00,18.11,18.15,18.11,18.15,400,0
2016-06-15,20:30:00,18.15,18.16,18.1357,18.16,625,0
2016-06-15,20:35:00,18.11,18.185,18.09,18.175,1528,0
2016-06-15,20:40:00,18.21,18.21,18.205,18.205,200,0
2016-06-15,20:45:00,18.17,18.17,18.17,18.17,200,0
2016-06-15,20:50:00,18.22,18.22,18.205,18.205,353,0
2016-06-15,20:55:00,18.2,18.225,18.17,18.225,9600,0
2016-06-15,21:00:00,18.26,18.28,18.26,18.27,600,0
2016-06-15,21:05:00,18.26,18.26,18.26,18.26,100,0
2016-06-15,21:10:00,18.24,18.31,18.24,18.29,1100,0
2016-06-15,21:15:00,18.28,18.28,18.25,18.26,1100,0
2016-06-15,21:20:00,18.26,18.27,18.26,18.26,500,0
2016-06-15,21:25:00,18.28,18.28,18.24,18.25,500,0
2016-06-15,21:30:00,18.25,18.25,18.235,18.245,800,0
2016-06-15,21:35:00,18.23,18.23,18.16,18.16,400,0
2016-06-15,21:40:00,18.165,18.165,18.13,18.13,600,0
2016-06-15,21:45:00,18.09,18.14,18.09,18.13,1400,0
2016-06-15,21:50:00,18.13,18.13,18.0875,18.0875,900,0
2016-06-15,21:55:00,18.095,18.11,18.07,18.1,1800,0
2016-06-15,22:00:00,18.075,18.13,18.075,18.12,11076,0
2016-06-16,15:35:00,17.94,17.94,17.94,17.94,2234,0
2016-06-16,15:40:00,17.83,17.93,17.55,17.55,7462,0
2016-06-16,15:45:00,17.55,17.615,17.55,17.55,1300,0
2016-06-16,15:50:00,17.55,17.64,17.55,17.64,600,0
2016-06-16,15:55:00,17.6,17.62,17.33,17.39,11310,0
2016-06-16,16:00:00,17.47,17.4825,17.4,17.4,2010,0
2016-06-16,16:05:00,17.455,17.46,17.45,17.45,864,0
2016-06-16,16:10:00,17.445,17.455,17.42,17.455,775,0
2016-06-16,16:15:00,17.455,17.54,17.455,17.54,6831,0
2016-06-16,16:20:00,17.555,17.555,17.5,17.5,500,0
2016-06-16,16:25:00,17.49,17.49,17.44,17.44,600,0
2016-06-16,16:30:00,17.4,17.4431,17.385,17.42,2611,0
2016-06-16,16:35:00,17.46,17.46,17.455,17.455,200,0
2016-06-16,16:40:00,17.41,17.41,17.38,17.38,700,0
2016-06-16,16:45:00,17.4,17.46,17.4,17.43,1300,0
2016-06-16,16:50:00,17.45,17.45,17.45,17.45,200,0
2016-06-16,16:55:00,17.4,17.4,17.4,17.4,100,0
2016-06-16,17:00:00,17.43,17.43,17.42,17.42,200,0
2016-06-16,17:05:00,17.43,17.445,17.41,17.445,400,0
2016-06-16,17:10:00,17.46,17.46,17.42,17.43,600,0
2016-06-16,17:15:00,17.43,17.43,17.43,17.43,400,0
2016-06-16,17:20:00,17.455,17.455,17.44,17.44,300,0
2016-06-16,17:25:00,17.44,17.47,17.44,17.47,18100,0
2016-06-16,17:30:00,17.52,17.545,17.52,17.545,200,0
2016-06-16,17:35:00,17.52,17.52,17.52,17.52,100,0
2016-06-16,17:40:00,17.49,17.49,17.48,17.48,300,0
2016-06-16,17:45:00,17.52,17.52,17.51,17.51,700,0
2016-06-16,17:50:00,17.5,17.51,17.475,17.475,400,0
2016-06-16,17:55:00,17.49,17.54,17.49,17.53,700,0
2016-06-16,18:00:00,17.53,17.53,17.42,17.46,900,0
2016-06-16,18:05:00,17.455,17.455,17.455,17.455,100,0
2016-06-16,18:10:00,17.48,17.48,17.43,17.43,400,0
2016-06-16,18:15:00,17.48,17.48,17.42,17.46,600,0
2016-06-16,18:20:00,17.42,17.42,17.42,17.42,200,0
2016-06-16,18:25:00,17.44,17.47,17.4,17.43,24734,0
2016-06-16,18:30:00,17.44,17.46,17.43,17.44,500,0
2016-06-16,18:35:00,17.48,17.48,17.48,17.48,100,0
2016-06-16,18:40:00,17.44,17.51,17.44,17.51,200,0
2016-06-16,18:45:00,17.51,17.51,17.51,17.51,100,0
2016-06-16,18:50:00,17.52,17.52,17.48,17.51,500,0
2016-06-16,18:55:00,17.4601,17.51,17.4601,17.51,200,0
2016-06-16,19:00:00,17.48,17.56,17.48,17.56,600,0
2016-06-16,19:05:00,17.56,17.61,17.56,17.61,500,0
2016-06-16,19:10:00,17.58,17.61,17.58,17.61,200,0
2016-06-16,19:15:00,17.61,17.61,17.6,17.6,300,0
2016-06-16,19:20:00,17.56,17.58,17.56,17.58,300,0
