Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,58.21,58.39,58.06,58.06,8854,0
2016-06-14,15:40:00,57.98,58.11,57.83,57.83,404,0
2016-06-14,15:45:00,58.285,58.285,58.285,58.285,50000,0
2016-06-14,15:50:00,58.55,58.55,57.96,57.96,1200,0
2016-06-14,15:55:00,58.165,58.165,58.16,58.16,300,0
2016-06-14,16:00:00,58.07,58.07,58.07,58.07,100,0
2016-06-14,16:05:00,58.17,58.17,57.66,57.87,2100,0
2016-06-14,16:10:00,57.915,57.915,57.7,57.74,900,0
2016-06-14,16:15:00,57.79,57.89,57.75,57.78,800,0
2016-06-14,16:20:00,57.64,57.85,57.64,57.84,3200,0
2016-06-14,16:25:00,57.84,57.89,57.67,57.79,7401,0
2016-06-14,16:30:00,57.75,58.05,57.74,57.99,11202,0
2016-06-14,16:35:00,57.91,57.97,57.83,57.92,3384,0
2016-06-14,16:40:00,57.91,57.995,57.91,57.985,1651,0
2016-06-14,16:45:00,58,58,58,58,300,0
2016-06-14,16:50:00,58,58.01,57.96,57.97,1000,0
2016-06-14,16:55:00,58,58,58,58,100,0
2016-06-14,17:05:00,57.88,57.97,57.88,57.9,3300,0
2016-06-14,17:10:00,57.96,57.96,57.75,57.76,1200,0
2016-06-14,17:15:00,57.87,57.87,57.87,57.87,610,0
2016-06-14,17:25:00,57.87,58,57.87,57.9,1900,0
2016-06-14,17:30:00,57.92,57.92,57.82,57.85,1325,0
2016-06-14,17:40:00,57.78,57.78,57.78,57.78,100,0
2016-06-14,17:45:00,57.94,57.96,57.94,57.96,1000,0
2016-06-14,17:55:00,57.82,57.82,57.82,57.82,100,0
2016-06-14,18:00:00,57.82,57.86,57.73,57.86,1900,0
2016-06-14,18:05:00,57.74,57.9,57.72,57.9,3200,0
2016-06-14,18:15:00,57.85,57.85,57.85,57.85,200,0
2016-06-14,18:20:00,57.92,57.97,57.92,57.96,300,0
2016-06-14,18:25:00,57.96,58.05,57.96,57.96,900,0
2016-06-14,18:30:00,58.1,58.13,57.96,58,2900,0
2016-06-14,18:35:00,58.06,58.06,58.06,58.06,100,0
2016-06-14,18:40:00,57.95,57.95,57.89,57.91,1300,0
2016-06-14,18:45:00,57.79,57.865,57.79,57.865,400,0
2016-06-14,18:55:00,57.81,57.875,57.81,57.875,2623,0
2016-06-14,19:00:00,57.79,57.79,57.63,57.71,400,0
2016-06-14,19:05:00,57.72,57.84,57.72,57.75,3100,0
2016-06-14,19:10:00,57.83,57.86,57.73,57.74,1300,0
2016-06-14,19:25:00,57.8,57.8,57.8,57.8,200,0
2016-06-14,19:35:00,57.82,57.95,57.8,57.94,3800,0
2016-06-14,19:40:00,57.885,58.1,57.885,58.0501,11981,0
2016-06-14,19:45:00,58.07,58.56,58.02,58.475,6900,0
2016-06-14,19:50:00,58.42,58.42,58.36,58.36,971,0
2016-06-14,19:55:00,58.27,58.27,58.27,58.27,100,0
2016-06-14,20:00:00,58.2299,58.2299,58.16,58.16,700,0
2016-06-14,20:05:00,58.16,58.16,58.12,58.12,400,0
2016-06-14,20:10:00,58.18,58.2,58.16,58.16,500,0
2016-06-14,20:15:00,58.23,58.23,58.16,58.16,500,0
2016-06-14,20:20:00,58.23,58.27,58.17,58.23,1300,0
2016-06-14,20:25:00,58.3599,58.48,58.35,58.46,28394,0
2016-06-14,20:30:00,58.4,58.72,58.4,58.72,700,0
2016-06-14,20:35:00,58.585,58.735,58.52,58.63,3600,0
2016-06-14,20:40:00,58.49,58.64,58.44,58.615,2499,0
2016-06-14,20:45:00,58.67,58.73,58.61,58.61,500,0
2016-06-14,20:50:00,58.69,58.69,58.51,58.51,600,0
2016-06-14,21:00:00,58.44,58.54,58.44,58.5,500,0
2016-06-14,21:05:00,58.4,58.57,58.38,58.43,1799,0
2016-06-14,21:10:00,58.43,58.665,58.4,58.59,9999,0
2016-06-14,21:15:00,58.54,58.82,58.53,58.7,1400,0
2016-06-14,21:20:00,58.66,58.88,58.64,58.85,12700,0
2016-06-14,21:25:00,58.79,58.92,58.66,58.79,6782,0
2016-06-14,21:30:00,58.9125,58.99,58.88,58.99,623,0
2016-06-14,21:35:00,58.92,58.97,58.77,58.93,7150,0
2016-06-14,21:40:00,58.93,58.93,58.86,58.86,651,0
2016-06-14,21:45:00,58.86,59.04,58.81,58.97,15600,0
2016-06-14,21:50:00,58.91,58.98,58.87,58.94,2500,0
2016-06-14,21:55:00,59,59.21,58.995,59.09,49219,0
2016-06-14,22:00:00,59.1,59.17,59.01,59.15,8165,0
2016-06-15,15:35:00,59.31,59.31,58.98,58.98,828,0
2016-06-15,15:45:00,59.01,59.74,58.89,59.42,14400,0
2016-06-15,15:50:00,59.295,59.35,59.13,59.27,1500,0
2016-06-15,15:55:00,59.45,59.45,59.42,59.42,400,0
2016-06-15,16:00:00,59.59,59.59,59.59,59.59,200,0
2016-06-15,16:30:00,59.42,59.79,59.335,59.504,20966,0
2016-06-15,16:35:00,59.605,59.605,59.43,59.4704,1542,0
2016-06-15,16:45:00,59.48,59.52,59.48,59.495,600,0
2016-06-15,16:50:00,59.49,59.52,59.49,59.52,500,0
2016-06-15,16:55:00,59.41,59.425,59.4,59.42,1200,0
2016-06-15,17:05:00,59.39,59.41,59.39,59.41,700,0
2016-06-15,17:10:00,59.44,59.6,59.44,59.54,3084,0
2016-06-15,17:20:00,59.54,59.54,59.45,59.45,600,0
2016-06-15,17:25:00,59.44,59.44,59.385,59.44,150600,0
2016-06-15,17:30:00,59.43,59.43,59.38,59.405,1000,0
2016-06-15,17:35:00,59.405,59.405,59.405,59.405,100,0
2016-06-15,17:40:00,59.34,59.42,59.34,59.42,200,0
2016-06-15,17:50:00,59.43,59.47,59.42,59.44,500,0
2016-06-15,17:55:00,59.45,59.59,59.355,59.4,1600,0
2016-06-15,18:00:00,59.45,59.7,59.435,59.5,6600,0
2016-06-15,18:05:00,59.46,59.6,59.46,59.55,4500,0
2016-06-15,18:10:00,59.61,59.6825,59.51,59.515,44300,0
2016-06-15,18:15:00,59.415,59.46,59.415,59.46,400,0
2016-06-15,18:20:00,59.58,59.58,59.58,59.58,100,0
2016-06-15,18:25:00,59.54,59.655,59.515,59.555,7536,0
2016-06-15,18:30:00,59.545,59.545,59.445,59.445,200,0
2016-06-15,18:35:00,59.56,59.56,59.51,59.51,400,0
2016-06-15,18:40:00,59.51,59.56,59.46,59.51,2800,0
2016-06-15,18:45:00,59.58,59.58,59.5,59.5,700,0
2016-06-15,18:50:00,59.485,59.485,59.485,59.485,100,0
2016-06-15,18:55:00,59.41,59.51,59.4,59.44,700,0
2016-06-15,19:00:00,59.3501,59.4,59.3501,59.37,300,0
2016-06-15,19:05:00,59.35,59.39,59.29,59.32,1400,0
2016-06-15,19:10:00,59.36,59.38,59.295,59.31,1000,0
2016-06-15,19:20:00,59.24,59.32,59.22,59.29,1800,0
2016-06-15,19:25:00,59.32,59.4,59.32,59.355,1300,0
2016-06-15,19:30:00,59.29,59.29,59.265,59.265,200,0
2016-06-15,19:35:00,59.34,59.34,59.27,59.27,500,0
2016-06-15,19:40:00,59.27,59.31,59.22,59.31,600,0
2016-06-15,19:45:00,59.235,59.32,59.2301,59.25,1200,0
2016-06-15,19:50:00,59.3,59.3,59.3,59.3,100,0
2016-06-15,19:55:00,59.3,59.3,59.3,59.3,100,0
2016-06-15,20:00:00,59.2301,59.31,59.2301,59.31,400,0
2016-06-15,20:05:00,59.31,59.38,59.2925,59.305,1300,0
2016-06-15,20:10:00,59.305,59.34,59.15,59.15,1300,0
2016-06-15,20:15:00,59.1,59.19,59.03,59.08,4300,0
2016-06-15,20:20:00,59.05,59.15,59.04,59.15,1454,0
2016-06-15,20:25:00,59.11,59.12,59.075,59.1075,1400,0
2016-06-15,20:30:00,59.142,59.142,59.04,59.04,800,0
2016-06-15,20:35:00,59.02,59.045,58.87,59.04,2100,0
2016-06-15,20:40:00,59.07,59.08,59.07,59.08,400,0
2016-06-15,20:45:00,59.085,59.14,59.08,59.08,1000,0
2016-06-15,20:50:00,59.16,59.255,59.16,59.255,600,0
2016-06-15,20:55:00,59.22,59.255,59.17,59.18,3800,0
2016-06-15,21:00:00,59.2,59.28,59.195,59.28,900,0
2016-06-15,21:05:00,59.26,59.36,59.26,59.315,500,0
2016-06-15,21:10:00,59.28,59.37,59.28,59.33,900,0
2016-06-15,21:15:00,59.26,59.33,59.2401,59.33,1000,0
2016-06-15,21:20:00,59.31,59.34,59.31,59.34,804,0
2016-06-15,21:25:00,59.33,59.36,59.33,59.36,200,0
2016-06-15,21:30:00,59.35,59.35,59.24,59.24,2000,0
2016-06-15,21:35:00,59.25,59.28,59.22,59.255,2000,0
2016-06-15,21:40:00,59.21,59.225,59.17,59.17,3500,0
2016-06-15,21:45:00,59.14,59.14,59.0601,59.09,2000,0
2016-06-15,21:50:00,59.09,59.14,59.03,59.12,4300,0
2016-06-15,21:55:00,59.11,59.12,59.01,59.03,5633,0
2016-06-15,22:00:00,59.05,59.07,58.97,59.02,10957,0
2016-06-16,15:35:00,58.62,58.62,58.62,58.62,340,0
2016-06-16,15:40:00,58.25,58.39,58.25,58.39,200,0
2016-06-16,15:45:00,58.18,58.18,58.155,58.155,200,0
2016-06-16,15:55:00,58.45,58.78,58.45,58.78,300,0
2016-06-16,16:00:00,58.39,58.39,58.19,58.19,603,0
2016-06-16,16:05:00,58.32,58.4,58.215,58.215,1400,0
2016-06-16,16:10:00,58.37,58.52,58.37,58.52,500,0
2016-06-16,16:25:00,58.39,58.41,58.3251,58.41,600,0
2016-06-16,16:30:00,58.33,58.39,58.325,58.325,1700,0
2016-06-16,16:35:00,58.6,58.6,58.6,58.6,300,0
2016-06-16,16:40:00,58.4,58.58,58.4,58.5,2699,0
2016-06-16,16:45:00,58.5,58.76,58.5,58.71,6050,0
2016-06-16,16:50:00,58.7,58.7,58.7,58.7,100,0
2016-06-16,17:00:00,58.76,58.76,58.76,58.76,100,0
2016-06-16,17:05:00,58.76,58.84,58.76,58.84,400,0
2016-06-16,17:15:00,58.9,59.15,58.9,59.15,1600,0
2016-06-16,17:20:00,59.0475,59.0475,58.88,58.88,1400,0
2016-06-16,17:25:00,58.995,58.995,58.995,58.995,100,0
