Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-01,15:35:00,5.4,5.4,5.4,5.4,961,0
2016-06-01,15:40:00,5.36,5.36,5.35,5.35,900,0
2016-06-01,15:50:00,5.34,5.34,5.3,5.3,300,0
2016-06-01,15:55:00,5.33,5.33,5.33,5.33,100,0
2016-06-01,16:50:00,5.33,5.33,5.33,5.33,200,0
2016-06-01,16:55:00,5.33,5.33,5.33,5.33,413,0
2016-06-01,17:25:00,5.35,5.35,5.35,5.35,900,0
2016-06-01,17:30:00,5.33,5.35,5.33,5.35,200,0
2016-06-01,17:40:00,5.355,5.355,5.355,5.355,100,0
2016-06-01,17:50:00,5.37,5.37,5.35,5.35,200,0
2016-06-01,18:00:00,5.37,5.37,5.35,5.37,1347,0
2016-06-01,18:05:00,5.35,5.35,5.35,5.35,100,0
2016-06-01,18:10:00,5.36,5.36,5.36,5.36,100,0
2016-06-01,18:15:00,5.375,5.375,5.36,5.36,700,0
2016-06-01,18:20:00,5.37,5.37,5.36,5.37,400,0
2016-06-01,18:40:00,5.36,5.36,5.36,5.36,300,0
2016-06-01,19:00:00,5.4,5.4,5.4,5.4,2100,0
2016-06-01,19:10:00,5.38,5.38,5.38,5.38,100,0
2016-06-01,19:15:00,5.39,5.4,5.39,5.39,1970,0
2016-06-01,19:30:00,5.38,5.38,5.38,5.38,100,0
2016-06-01,19:40:00,5.38,5.38,5.38,5.38,100,0
2016-06-01,19:45:00,5.3955,5.3955,5.3955,5.3955,1200,0
2016-06-01,19:55:00,5.4,5.4,5.39,5.39,900,0
2016-06-01,20:00:00,5.382,5.4,5.382,5.39,3500,0
2016-06-01,20:05:00,5.4,5.4,5.39,5.39,200,0
2016-06-01,20:15:00,5.39,5.4,5.39,5.4,600,0
2016-06-01,20:25:00,5.3801,5.3801,5.3801,5.3801,335,0
2016-06-01,20:45:00,5.4,5.4,5.4,5.4,100,0
2016-06-01,20:50:00,5.38,5.38,5.38,5.38,100,0
2016-06-01,21:15:00,5.37,5.37,5.37,5.37,113,0
2016-06-01,21:20:00,5.391,5.4,5.391,5.4,2595,0
2016-06-01,21:25:00,5.4,5.4,5.4,5.4,1137,0
2016-06-01,21:30:00,5.4,5.41,5.4,5.405,2470,0
2016-06-01,21:35:00,5.42,5.42,5.4,5.4,1100,0
2016-06-01,21:40:00,5.4,5.4,5.4,5.4,500,0
2016-06-01,21:45:00,5.4,5.4,5.4,5.4,600,0
2016-06-01,21:50:00,5.4,5.4,5.4,5.4,700,0
2016-06-01,21:55:00,5.4,5.4,5.4,5.4,500,0
2016-06-01,22:00:00,5.4,5.43,5.36,5.36,3161,0
2016-06-02,15:35:00,5.63,5.63,5.37,5.37,300,0
2016-06-02,15:40:00,5.4,5.41,5.25,5.25,2800,0
2016-06-02,15:45:00,5.334,5.334,5.334,5.334,500,0
2016-06-02,15:50:00,5.47,5.47,5.47,5.47,100,0
2016-06-02,16:05:00,5.3,5.33,5.3,5.33,600,0
2016-06-02,16:10:00,5.325,5.39,5.3175,5.35,1400,0
2016-06-02,16:40:00,5.4,5.4,5.4,5.4,1200,0
2016-06-02,16:45:00,5.41,5.41,5.41,5.41,100,0
2016-06-02,16:55:00,5.39,5.39,5.39,5.39,100,0
2016-06-02,17:00:00,5.4,5.4,5.4,5.4,200,0
2016-06-02,17:05:00,5.4,5.4,5.39,5.39,676,0
2016-06-02,17:15:00,5.39,5.39,5.39,5.39,100,0
2016-06-02,17:25:00,5.37,5.37,5.37,5.37,200,0
2016-06-02,17:40:00,5.364,5.364,5.3601,5.3601,750,0
2016-06-02,17:55:00,5.3999,5.4,5.37,5.37,4200,0
2016-06-02,18:15:00,5.37,5.37,5.37,5.37,100,0
2016-06-02,18:55:00,5.41,5.41,5.41,5.41,100,0
2016-06-02,19:10:00,5.38,5.38,5.38,5.38,100,0
2016-06-02,20:00:00,5.3825,5.39,5.37,5.39,2500,0
2016-06-02,20:05:00,5.41,5.41,5.38,5.38,973,0
2016-06-02,20:10:00,5.41,5.45,5.38,5.38,5400,0
2016-06-02,20:20:00,5.44,5.44,5.44,5.44,200,0
2016-06-02,20:35:00,5.415,5.415,5.415,5.415,100,0
2016-06-02,20:45:00,5.4,5.43,5.4,5.43,600,0
2016-06-02,20:55:00,5.435,5.435,5.435,5.435,100,0
2016-06-02,21:00:00,5.435,5.435,5.4301,5.435,400,0
2016-06-02,21:05:00,5.42,5.42,5.42,5.42,300,0
2016-06-02,21:10:00,5.41,5.41,5.4,5.4,300,0
2016-06-02,21:15:00,5.405,5.44,5.405,5.42,600,0
2016-06-02,21:20:00,5.4,5.4264,5.4,5.4264,1100,0
2016-06-02,21:25:00,5.44,5.44,5.42,5.42,500,0
2016-06-02,21:30:00,5.42,5.42,5.42,5.42,100,0
2016-06-02,21:35:00,5.41,5.41,5.41,5.41,200,0
2016-06-02,21:40:00,5.39,5.39,5.38,5.38,300,0
2016-06-02,21:45:00,5.4,5.4,5.4,5.4,100,0
2016-06-02,21:50:00,5.37,5.44,5.37,5.4325,1000,0
2016-06-02,21:55:00,5.43,5.43,5.43,5.43,200,0
2016-06-02,22:00:00,5.4227,5.43,5.41,5.41,1487,0
2016-06-03,15:35:00,5.35,5.35,5.35,5.35,302,0
2016-06-03,15:50:00,5.34,5.3411,5.34,5.3411,200,0
2016-06-03,15:55:00,5.3669,5.3669,5.3669,5.3669,300,0
2016-06-03,16:10:00,5.36,5.36,5.36,5.36,100,0
2016-06-03,16:25:00,5.36,5.36,5.35,5.35,800,0
2016-06-03,16:35:00,5.38,5.38,5.38,5.38,100,0
2016-06-03,16:45:00,5.38,5.38,5.38,5.38,200,0
2016-06-03,18:10:00,5.37,5.37,5.37,5.37,600,0
2016-06-03,18:15:00,5.4,5.44,5.4,5.44,1882,0
2016-06-03,18:20:00,5.45,5.4599,5.45,5.4599,1100,0
2016-06-03,18:35:00,5.46,5.46,5.46,5.46,100,0
2016-06-03,18:50:00,5.46,5.46,5.46,5.46,100,0
2016-06-03,18:55:00,5.42,5.42,5.42,5.42,100,0
2016-06-03,19:05:00,5.43,5.43,5.43,5.43,100,0
2016-06-03,19:20:00,5.42,5.42,5.42,5.42,100,0
2016-06-03,19:25:00,5.42,5.42,5.42,5.42,100,0
2016-06-03,20:00:00,5.43,5.43,5.43,5.43,200,0
2016-06-03,20:05:00,5.43,5.43,5.43,5.43,500,0
2016-06-03,20:10:00,5.43,5.43,5.42,5.43,3500,0
2016-06-03,20:20:00,5.412,5.412,5.412,5.412,533,0
2016-06-03,20:25:00,5.43,5.43,5.4299,5.4299,4700,0
2016-06-03,20:30:00,5.43,5.43,5.4263,5.4263,860,0
2016-06-03,20:40:00,5.41,5.41,5.41,5.41,100,0
2016-06-03,20:55:00,5.43,5.43,5.42,5.42,200,0
2016-06-03,21:25:00,5.43,5.43,5.43,5.43,100,0
2016-06-03,21:35:00,5.42,5.42,5.42,5.42,100,0
2016-06-03,21:50:00,5.41,5.428,5.41,5.428,200,0
2016-06-03,21:55:00,5.43,5.43,5.4,5.4,613,0
2016-06-03,22:00:00,5.43,5.47,5.428,5.45,3967,0
2016-06-06,15:35:00,5.43,5.43,5.43,5.43,102,0
2016-06-06,15:40:00,5.43,5.49,5.43,5.49,800,0
2016-06-06,15:45:00,5.5,5.5,5.5,5.5,100,0
2016-06-06,15:50:00,5.5,5.5,5.485,5.485,600,0
2016-06-06,16:00:00,5.49,5.49,5.49,5.49,900,0
2016-06-06,16:05:00,5.5,5.5,5.5,5.5,1500,0
2016-06-06,16:15:00,5.49,5.49,5.4701,5.49,2363,0
2016-06-06,16:20:00,5.47,5.51,5.47,5.51,600,0
2016-06-06,16:25:00,5.49,5.5,5.49,5.5,2396,0
2016-06-06,16:30:00,5.49,5.49,5.49,5.49,200,0
2016-06-06,16:35:00,5.5,5.5,5.49,5.49,1000,0
2016-06-06,16:40:00,5.49,5.49,5.49,5.49,100,0
2016-06-06,16:55:00,5.49,5.49,5.49,5.49,100,0
2016-06-06,17:05:00,5.49,5.49,5.49,5.49,200,0
2016-06-06,17:10:00,5.48,5.48,5.48,5.48,100,0
2016-06-06,17:20:00,5.485,5.485,5.44,5.46,900,0
2016-06-06,17:30:00,5.45,5.46,5.45,5.46,400,0
2016-06-06,17:40:00,5.46,5.46,5.45,5.46,800,0
2016-06-06,17:45:00,5.4536,5.4536,5.4536,5.4536,500,0
2016-06-06,17:50:00,5.44,5.44,5.44,5.44,200,0
2016-06-06,18:15:00,5.44,5.44,5.43,5.43,300,0
2016-06-06,18:25:00,5.43,5.44,5.37,5.37,2400,0
2016-06-06,18:30:00,5.37,5.37,5.37,5.37,100,0
2016-06-06,18:45:00,5.3901,5.3901,5.39,5.39,600,0
2016-06-06,18:50:00,5.3601,5.3601,5.36,5.36,1340,0
2016-06-06,19:05:00,5.36,5.39,5.36,5.39,700,0
2016-06-06,19:10:00,5.41,5.41,5.41,5.41,100,0
2016-06-06,19:15:00,5.41,5.41,5.41,5.41,100,0
2016-06-06,19:30:00,5.4499,5.4499,5.4499,5.4499,1700,0
2016-06-06,19:35:00,5.4499,5.45,5.435,5.4425,2300,0
2016-06-06,19:40:00,5.42,5.42,5.42,5.42,100,0
2016-06-06,19:45:00,5.42,5.423,5.42,5.42,1070,0
2016-06-06,19:55:00,5.44,5.44,5.44,5.44,200,0
2016-06-06,20:00:00,5.43,5.43,5.38,5.4225,700,0
2016-06-06,20:10:00,5.45,5.47,5.445,5.47,1800,0
2016-06-06,20:20:00,5.43,5.47,5.43,5.47,1500,0
2016-06-06,20:30:00,5.43,5.45,5.43,5.43,800,0
2016-06-06,20:35:00,5.4383,5.4383,5.41,5.41,215,0
2016-06-06,20:40:00,5.41,5.41,5.41,5.41,200,0
2016-06-06,20:45:00,5.42,5.42,5.42,5.42,100,0
2016-06-06,21:00:00,5.42,5.44,5.42,5.43,800,0
2016-06-06,21:10:00,5.43,5.43,5.43,5.43,100,0
2016-06-06,21:15:00,5.43,5.43,5.43,5.43,700,0
2016-06-06,21:20:00,5.41,5.41,5.41,5.41,100,0
2016-06-06,21:25:00,5.43,5.43,5.43,5.43,100,0
2016-06-06,21:35:00,5.42,5.42,5.42,5.42,200,0
2016-06-06,21:40:00,5.42,5.43,5.42,5.43,700,0
2016-06-06,21:45:00,5.441,5.441,5.42,5.44,1575,0
2016-06-06,21:50:00,5.43,5.43,5.43,5.43,300,0
2016-06-06,21:55:00,5.44,5.45,5.44,5.45,600,0
2016-06-06,22:00:00,5.45,5.48,5.45,5.48,3825,0
2016-06-07,15:35:00,5.46,5.46,5.4101,5.4101,299,0
2016-06-07,15:40:00,5.48,5.48,5.48,5.48,100,0
2016-06-07,15:45:00,5.45,5.45,5.45,5.45,200,0
2016-06-07,16:05:00,5.48,5.48,5.48,5.48,700,0
2016-06-07,16:10:00,5.4755,5.48,5.4755,5.48,700,0
2016-06-07,16:25:00,5.4899,5.4899,5.4899,5.4899,500,0
2016-06-07,16:45:00,5.4562,5.4562,5.4562,5.4562,1000,0
2016-06-07,16:50:00,5.45,5.49,5.45,5.49,1700,0
2016-06-07,16:55:00,5.41,5.48,5.41,5.48,600,0
2016-06-07,17:00:00,5.48,5.48,5.48,5.48,100,0
2016-06-07,17:05:00,5.48,5.48,5.48,5.48,100,0
2016-06-07,17:15:00,5.43,5.47,5.43,5.47,300,0
2016-06-07,17:30:00,5.49,5.49,5.49,5.49,100,0
2016-06-07,18:05:00,5.4913,5.51,5.4913,5.51,400,0
2016-06-07,18:20:00,5.51,5.51,5.5,5.5,1600,0
2016-06-07,18:30:00,5.51,5.51,5.51,5.51,100,0
2016-06-07,18:45:00,5.53,5.53,5.53,5.53,100,0
2016-06-07,19:00:00,5.53,5.53,5.53,5.53,100,0
2016-06-07,19:30:00,5.56,5.56,5.56,5.56,100,0
