Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-24,15:35:00,7.2,7.2,7.13,7.13,3387,0
2016-05-24,15:40:00,7.25,7.25,7.196,7.196,440,0
2016-05-24,15:50:00,7.25,7.25,7.25,7.25,100,0
2016-05-24,16:20:00,7.23,7.23,7.23,7.23,200,0
2016-05-24,17:10:00,7.2183,7.2183,7.2183,7.2183,400,0
2016-05-24,17:15:00,7.2357,7.2357,7.2357,7.2357,300,0
2016-05-24,17:20:00,7.22,7.22,7.22,7.22,100,0
2016-05-24,17:25:00,7.21,7.25,7.21,7.23,500,0
2016-05-24,17:30:00,7.2101,7.2101,7.2,7.2,1500,0
2016-05-24,17:40:00,7.2,7.2,7.2,7.2,100,0
2016-05-24,17:45:00,7.205,7.205,7.204,7.204,2000,0
2016-05-24,17:55:00,7.18,7.18,7.18,7.18,100,0
2016-05-24,18:00:00,7.17,7.17,7.17,7.17,250,0
2016-05-24,18:05:00,7.22,7.22,7.22,7.22,300,0
2016-05-24,18:10:00,7.2,7.22,7.2,7.22,200,0
2016-05-24,18:15:00,7.195,7.195,7.195,7.195,100,0
2016-05-24,18:35:00,7.21,7.21,7.21,7.21,200,0
2016-05-24,18:55:00,7.18,7.18,7.18,7.18,100,0
2016-05-24,19:05:00,7.17,7.17,7.17,7.17,100,0
2016-05-24,19:50:00,7.1635,7.1635,7.1635,7.1635,500,0
2016-05-24,19:55:00,7.15,7.15,7.15,7.15,100,0
2016-05-24,20:00:00,7.15,7.15,7.13,7.13,619,0
2016-05-24,20:05:00,7.13,7.13,7.08,7.08,500,0
2016-05-24,20:10:00,7.1,7.11,7.086,7.11,1170,0
2016-05-24,20:15:00,7.1416,7.1416,7.12,7.12,460,0
2016-05-24,20:30:00,7.12,7.13,7.12,7.13,900,0
2016-05-24,20:45:00,7.16,7.16,7.16,7.16,100,0
2016-05-24,20:50:00,7.07,7.07,7.07,7.07,100,0
2016-05-24,20:55:00,7.1112,7.1267,7.1112,7.1267,1000,0
2016-05-24,21:00:00,7.12,7.12,7.12,7.12,100,0
2016-05-24,21:05:00,7.15,7.15,7.15,7.15,300,0
2016-05-24,21:10:00,7.175,7.175,7.175,7.175,100,0
2016-05-24,21:25:00,7.1,7.1,7.05,7.06,700,0
2016-05-24,21:30:00,7.1,7.11,7.1,7.11,1254,0
2016-05-24,21:40:00,7.11,7.11,7.099,7.099,300,0
2016-05-24,21:50:00,7.11,7.11,7.11,7.11,100,0
2016-05-24,21:55:00,7.11,7.11,7.09,7.09,5850,0
