Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-07,15:35:00,15.01,15.01,15.01,15.01,154,0
2016-06-07,15:50:00,15.1,15.1,15.1,15.1,100,0
2016-06-07,15:55:00,15.1,15.1,15.1,15.1,200,0
2016-06-07,16:00:00,15.1,15.1,15.1,15.1,100,0
2016-06-07,16:45:00,15.08,15.08,15.08,15.08,100,0
2016-06-07,17:20:00,15.09,15.09,15.09,15.09,200,0
2016-06-07,17:40:00,15.11,15.11,15.11,15.11,100,0
2016-06-07,17:45:00,15.09,15.13,15.09,15.11,300,0
2016-06-07,18:15:00,15.125,15.125,15.125,15.125,250,0
2016-06-07,18:55:00,15.08,15.1,15.08,15.1,500,0
2016-06-07,19:25:00,15.11,15.11,15.11,15.11,100,0
2016-06-07,20:00:00,15.1153,15.124,15.1153,15.124,2500,0
2016-06-07,20:25:00,15.095,15.12,15.095,15.1,723,0
2016-06-07,20:35:00,15.1,15.1,15.1,15.1,499,0
2016-06-07,21:35:00,15,15,15,15,100,0
2016-06-07,21:40:00,15.005,15.005,15,15,500,0
2016-06-07,21:45:00,14.991,15.01,14.991,15.01,2500,0
2016-06-07,21:50:00,15.01,15.05,15,15.05,1679,0
2016-06-07,21:55:00,15,15,14.99,14.99,200,0
2016-06-07,22:00:00,15.01,15.03,14.99,14.99,2642,0
2016-06-08,15:35:00,14.98,14.98,14.98,14.98,100,0
2016-06-08,15:45:00,15,15,15,15,8562,0
2016-06-08,16:15:00,15.06,15.06,15.06,15.06,100,0
2016-06-08,16:20:00,15.08,15.08,15.05,15.05,1100,0
2016-06-08,16:35:00,15.03,15.03,15.03,15.03,100,0
2016-06-08,16:55:00,15.08,15.08,15.08,15.08,100,0
2016-06-08,17:10:00,15.09,15.09,15.09,15.09,474,0
2016-06-08,17:35:00,15.12,15.12,15.12,15.12,100,0
2016-06-08,17:40:00,15.15,15.15,15.15,15.15,1200,0
2016-06-08,17:50:00,15.15,15.15,15.15,15.15,200,0
2016-06-08,18:05:00,15.13,15.15,15.13,15.15,400,0
2016-06-08,18:15:00,15.15,15.15,15.15,15.15,3000,0
2016-06-08,18:25:00,15.16,15.16,15.16,15.16,200,0
2016-06-08,18:40:00,15.17,15.17,15.15,15.15,800,0
2016-06-08,18:55:00,15.15,15.15,15.15,15.15,300,0
2016-06-08,19:20:00,15.17,15.17,15.17,15.17,500,0
2016-06-08,19:30:00,15.15,15.15,15.15,15.15,8260,0
2016-06-08,19:35:00,15.14,15.14,15.13,15.13,200,0
2016-06-08,19:55:00,15.1301,15.1301,15.1301,15.1301,1000,0
2016-06-08,20:00:00,15.1304,15.1436,15.1304,15.1436,3000,0
2016-06-08,20:05:00,15.1452,15.1452,15.1452,15.1452,1000,0
2016-06-08,20:15:00,15.12,15.12,15.1,15.12,3027,0
2016-06-08,20:25:00,15.12,15.12,15.12,15.12,100,0
2016-06-08,20:30:00,15.12,15.12,15.12,15.12,100,0
2016-06-08,20:50:00,15.15,15.16,15.14,15.15,2500,0
2016-06-08,20:55:00,15.15,15.18,15.15,15.16,6960,0
2016-06-08,21:00:00,15.17,15.17,15.15,15.15,1800,0
2016-06-08,21:10:00,15.14,15.14,15.14,15.14,100,0
2016-06-08,21:15:00,15.15,15.155,15.14,15.14,8610,0
2016-06-08,21:35:00,15.13,15.13,15.13,15.13,300,0
2016-06-08,21:40:00,15.12,15.12,15.12,15.12,100,0
2016-06-08,21:50:00,15.14,15.14,15.14,15.14,100,0
2016-06-08,21:55:00,15.135,15.15,15.12,15.12,859,0
2016-06-08,22:00:00,15.12,15.15,15.12,15.14,4912,0
2016-06-09,15:35:00,14.93,14.94,14.93,14.93,300,0
2016-06-09,15:50:00,15.005,15.005,15.005,15.005,100,0
2016-06-09,15:55:00,14.94,15,14.94,14.99,2800,0
2016-06-09,16:35:00,15.02,15.02,14.99,14.99,300,0
2016-06-09,16:40:00,15,15,14.976,14.976,280,0
2016-06-09,16:45:00,14.98,15,14.98,15,200,0
2016-06-09,17:00:00,14.98,14.98,14.98,14.98,100,0
2016-06-09,17:05:00,15,15.03,14.99,15.01,5016,0
2016-06-09,17:10:00,15.03,15.04,15.03,15.04,537,0
2016-06-09,17:25:00,15.082,15.082,15.082,15.082,1828,0
2016-06-09,17:35:00,15.12,15.125,15.09,15.09,600,0
2016-06-09,18:15:00,15.06,15.085,15.06,15.085,300,0
2016-06-09,18:35:00,15.12,15.12,15.06,15.06,200,0
2016-06-09,18:45:00,15.12,15.12,15.12,15.12,1200,0
2016-06-09,18:50:00,15.07,15.07,15.07,15.07,100,0
2016-06-09,18:55:00,15.07,15.07,15.07,15.07,100,0
2016-06-09,19:05:00,15.12,15.12,15.095,15.12,300,0
2016-06-09,19:20:00,15.12,15.13,15.12,15.12,800,0
2016-06-09,19:25:00,15.12,15.12,15.12,15.12,100,0
2016-06-09,19:40:00,15.13,15.13,15.13,15.13,100,0
2016-06-09,19:50:00,15.11,15.11,15.11,15.11,100,0
2016-06-09,19:55:00,15.11,15.11,15.1,15.1,300,0
2016-06-09,20:15:00,15.09,15.12,15.09,15.12,300,0
2016-06-09,20:30:00,15.09,15.12,15.09,15.12,300,0
2016-06-09,20:45:00,15.05,15.09,15.02,15.02,1428,0
2016-06-09,20:50:00,15.02,15.02,15.02,15.02,100,0
2016-06-09,21:00:00,15.02,15.02,15.02,15.02,100,0
2016-06-09,21:05:00,15.01,15.01,15.005,15.005,200,0
2016-06-09,21:35:00,15.065,15.065,15.04,15.04,300,0
2016-06-09,21:55:00,15.04,15.04,15.04,15.04,400,0
2016-06-09,22:00:00,15.03,15.04,15.01,15.01,8404,0
2016-06-10,15:35:00,14.93,15.01,14.93,15.01,300,0
2016-06-10,15:50:00,14.97,14.97,14.97,14.97,200,0
2016-06-10,15:55:00,14.94,14.94,14.94,14.94,100,0
2016-06-10,16:05:00,14.99,14.99,14.99,14.99,100,0
2016-06-10,16:30:00,14.9665,14.9665,14.9665,14.9665,1000,0
2016-06-10,16:55:00,14.96,14.96,14.96,14.96,100,0
2016-06-10,17:00:00,14.96,14.96,14.95,14.95,1500,0
2016-06-10,17:05:00,14.96,14.96,14.96,14.96,100,0
2016-06-10,17:15:00,15.02,15.02,15.02,15.02,100,0
2016-06-10,17:20:00,15.04,15.04,15.04,15.04,100,0
2016-06-10,17:40:00,15.03,15.03,15.02,15.02,200,0
