Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,48.87,48.962,48.58,48.962,788,0
2016-06-15,15:40:00,48.62,48.952,48.6,48.6,300,0
2016-06-15,15:45:00,48.96,49.23,48.96,49.23,1000,0
2016-06-15,15:50:00,49.02,49.11,48.92,48.92,1480,0
2016-06-15,15:55:00,48.98,48.98,48.55,48.55,500,0
2016-06-15,16:25:00,48.65,48.76,48.6,48.62,6460,0
2016-06-15,16:30:00,48.69,48.83,48.5999,48.63,6901,0
2016-06-15,16:35:00,48.64,48.85,48.57,48.62,6735,0
2016-06-15,16:40:00,48.6,48.84,48.57,48.57,7363,0
2016-06-15,16:45:00,48.56,48.73,48.55,48.65,6462,0
2016-06-15,16:50:00,48.65,48.71,48.52,48.66,9588,0
2016-06-15,16:55:00,48.65,48.65,48.51,48.51,7030,0
2016-06-15,17:00:00,48.5,48.5,48.46,48.46,590,0
2016-06-15,17:05:00,48.46,48.51,48.45,48.45,500,0
2016-06-15,17:10:00,48.47,48.47,48.47,48.47,300,0
2016-06-15,17:15:00,48.48,48.48,48.21,48.21,1500,0
2016-06-15,17:20:00,48.25,48.29,48.21,48.21,400,0
2016-06-15,17:25:00,48.29,48.33,48.13,48.33,2100,0
2016-06-15,17:30:00,48.37,48.38,48.31,48.38,500,0
2016-06-15,17:35:00,48.33,48.42,48.32,48.42,1120,0
2016-06-15,17:40:00,48.44,48.72,48.44,48.6,5000,0
2016-06-15,17:45:00,48.67,48.7,48.4,48.4,5101,0
2016-06-15,17:50:00,48.45,48.62,48.45,48.62,7961,0
2016-06-15,17:55:00,48.55,48.75,48.54,48.54,2200,0
2016-06-15,18:05:00,48.57,48.68,48.57,48.68,200,0
2016-06-15,18:10:00,48.68,48.86,48.68,48.86,1000,0
2016-06-15,18:15:00,48.83,48.83,48.79,48.79,500,0
2016-06-15,18:20:00,48.88,49.21,48.88,49.21,1200,0
2016-06-15,18:25:00,49.195,49.24,49.09,49.09,1800,0
2016-06-15,18:30:00,49.03,49.03,49.03,49.03,100,0
2016-06-15,18:35:00,49.01,49.09,49.01,49.02,1833,0
2016-06-15,18:40:00,48.98,49,48.98,49,200,0
2016-06-15,18:50:00,48.97,49,48.875,48.9667,1100,0
2016-06-15,18:55:00,48.87,48.99,48.87,48.99,300,0
2016-06-15,19:00:00,48.945,49.07,48.91,48.91,1400,0
2016-06-15,19:05:00,48.985,48.985,48.985,48.985,100,0
2016-06-15,19:10:00,48.92,48.97,48.825,48.86,1000,0
2016-06-15,19:15:00,48.86,48.885,48.71,48.87,1000,0
2016-06-15,19:20:00,48.83,48.83,48.8,48.8,801,0
2016-06-15,19:30:00,48.84,48.88,48.8,48.86,2200,0
2016-06-15,19:35:00,48.91,48.96,48.91,48.95,300,0
2016-06-15,19:40:00,48.9,48.94,48.88,48.89,1000,0
2016-06-15,19:45:00,48.92,48.96,48.92,48.96,200,0
2016-06-15,19:50:00,48.99,48.99,48.975,48.975,500,0
2016-06-15,19:55:00,49.002,49.002,48.92,48.95,3950,0
2016-06-15,20:00:00,48.92,48.98,48.88,48.98,1100,0
2016-06-15,20:05:00,49.06,49.11,48.87,48.93,3200,0
2016-06-15,20:10:00,48.985,48.985,48.78,48.91,1400,0
2016-06-15,20:15:00,48.825,48.9,48.735,48.83,1800,0
2016-06-15,20:20:00,48.78,48.93,48.78,48.91,500,0
2016-06-15,20:25:00,48.92,48.92,48.71,48.85,1500,0
2016-06-15,20:30:00,48.86,48.87,48.77,48.81,1118,0
2016-06-15,20:35:00,48.76,48.82,48.76,48.82,200,0
2016-06-15,20:40:00,48.79,48.89,48.7,48.7,700,0
2016-06-15,20:45:00,48.7899,48.7899,48.71,48.71,1140,0
2016-06-15,20:50:00,48.79,49.04,48.79,49.04,2100,0
2016-06-15,20:55:00,49,49,48.965,48.965,900,0
2016-06-15,21:05:00,48.98,49.06,48.95,49.06,1000,0
2016-06-15,21:10:00,49.028,49.028,48.95,48.974,2320,0
2016-06-15,21:15:00,48.99,48.99,48.88,48.88,500,0
2016-06-15,21:20:00,48.88,48.95,48.88,48.93,1000,0
2016-06-15,21:25:00,48.99,48.99,48.97,48.98,1277,0
2016-06-15,21:30:00,48.96,48.96,48.89,48.89,600,0
2016-06-15,21:35:00,48.95,48.95,48.86,48.86,800,0
2016-06-15,21:40:00,48.86,48.86,48.64,48.66,3000,0
2016-06-15,21:45:00,48.74,48.85,48.74,48.82,3399,0
2016-06-15,21:50:00,48.75,48.82,48.74,48.79,1600,0
2016-06-15,21:55:00,48.78,48.78,48.59,48.61,3599,0
2016-06-15,22:00:00,48.61,48.74,48.6049,48.73,5326,0
2016-06-16,15:35:00,48.58,48.58,48.104,48.104,905,0
2016-06-16,15:45:00,48.51,48.825,48.51,48.815,400,0
2016-06-16,15:50:00,48.16,48.62,48.16,48.505,800,0
2016-06-16,15:55:00,48.51,48.55,48.02,48.02,17470,0
2016-06-16,16:00:00,48.13,48.15,47.5501,47.59,7593,0
