Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,43.38,43.38,42.65,42.65,462,0
2016-06-15,15:40:00,42.72,42.72,42.47,42.47,300,0
2016-06-15,15:45:00,42.78,42.78,42.78,42.78,100,0
2016-06-15,15:50:00,43.11,43.11,42.82,42.82,300,0
2016-06-15,15:55:00,42.79,42.88,42.73,42.73,1900,0
2016-06-15,16:25:00,42.96,42.96,42.85,42.9,400,0
2016-06-15,16:30:00,42.93,42.93,42.86,42.92,1300,0
2016-06-15,16:35:00,42.93,43.2,42.93,43.16,1100,0
2016-06-15,16:40:00,43.17,43.17,43.12,43.12,200,0
2016-06-15,16:45:00,43.12,43.15,43.08,43.11,2400,0
2016-06-15,16:50:00,43.16,43.18,43.16,43.18,1900,0
2016-06-15,16:55:00,43.2,43.21,43.16,43.17,1000,0
2016-06-15,17:00:00,43.1,43.1,43.1,43.1,100,0
2016-06-15,17:05:00,43.1,43.1,43.05,43.05,1000,0
2016-06-15,17:10:00,43.01,43.08,43.01,43.08,500,0
2016-06-15,17:15:00,42.96,43.12,42.96,42.99,1000,0
2016-06-15,17:20:00,43,43,42.87,42.93,1100,0
2016-06-15,17:25:00,42.95,42.95,42.75,42.835,2700,0
2016-06-15,17:30:00,42.8,42.84,42.72,42.7501,2400,0
2016-06-15,17:35:00,42.8,42.8,42.8,42.8,100,0
2016-06-15,17:40:00,42.86,42.86,42.83,42.83,900,0
2016-06-15,17:45:00,42.91,42.91,42.85,42.855,500,0
2016-06-15,17:50:00,42.9,42.9,42.84,42.87,1100,0
2016-06-15,17:55:00,42.92,42.95,42.92,42.92,1000,0
2016-06-15,18:00:00,42.92,42.92,42.87,42.87,500,0
2016-06-15,18:05:00,42.96,42.96,42.96,42.96,100,0
2016-06-15,18:10:00,42.96,43.0584,42.96,43.0584,1150,0
2016-06-15,18:15:00,43.11,43.165,43.0668,43.1,1650,0
2016-06-15,18:20:00,43.16,43.16,43.08,43.08,300,0
2016-06-15,18:25:00,43.09,43.09,43.04,43.05,500,0
2016-06-15,18:30:00,43.08,43.08,43.02,43.02,1600,0
2016-06-15,18:35:00,43.14,43.14,43.02,43.06,900,0
2016-06-15,18:40:00,43.03,43.03,43.03,43.03,100,0
2016-06-15,18:45:00,43.03,43.03,42.98,42.98,900,0
2016-06-15,18:50:00,42.95,42.95,42.95,42.95,100,0
2016-06-15,18:55:00,42.96,42.96,42.96,42.96,700,0
2016-06-15,19:00:00,42.96,42.96,42.96,42.96,100,0
2016-06-15,19:05:00,43,43.01,42.97,43.01,2500,0
2016-06-15,19:10:00,42.99,43,42.95,42.95,1400,0
2016-06-15,19:20:00,42.99,43.0969,42.99,43.07,2200,0
2016-06-15,19:25:00,43.0824,43.0824,43.08,43.08,281,0
2016-06-15,19:35:00,43.12,43.12,43.02,43.04,900,0
2016-06-15,19:40:00,43.01,43.02,43.01,43.01,1600,0
2016-06-15,19:45:00,43.02,43.08,43.02,43.06,1600,0
2016-06-15,19:50:00,43.05,43.08,43.05,43.06,900,0
2016-06-15,19:55:00,43.06,43.06,43.05,43.05,600,0
2016-06-15,20:00:00,43.05,43.05,43.02,43.045,400,0
2016-06-15,20:05:00,43.08,43.22,43.045,43.12,4500,0
2016-06-15,20:10:00,43.11,43.14,43.03,43.05,1700,0
2016-06-15,20:15:00,43.03,43.03,42.95,43,1000,0
2016-06-15,20:20:00,42.98,43.11,42.98,43.0771,4594,0
2016-06-15,20:25:00,43.02,43.04,43,43.04,2100,0
2016-06-15,20:30:00,43.02,43.02,42.99,42.99,1200,0
2016-06-15,20:35:00,42.99,43.02,42.96,43.02,2700,0
2016-06-15,20:40:00,43.03,43.06,43,43,2200,0
2016-06-15,20:45:00,43.02,43.05,42.99,42.99,3800,0
2016-06-15,20:50:00,42.99,43.05,42.99,43.025,2500,0
2016-06-15,20:55:00,43.05,43.06,43.02,43.02,800,0
2016-06-15,21:00:00,43.02,43.1,43.02,43.1,400,0
2016-06-15,21:05:00,43.05,43.28,43.05,43.205,3400,0
2016-06-15,21:10:00,43.19,43.23,43.14,43.155,2600,0
2016-06-15,21:15:00,43.15,43.15,43.15,43.15,100,0
2016-06-15,21:20:00,43.14,43.165,43.05,43.09,1600,0
2016-06-15,21:25:00,43.0937,43.095,43.07,43.095,406,0
2016-06-15,21:30:00,43.11,43.12,43.1,43.12,2100,0
2016-06-15,21:35:00,43.15,43.18,42.95,42.95,5194,0
2016-06-15,21:40:00,42.99,43.02,42.94,42.94,1700,0
2016-06-15,21:45:00,42.89,43,42.89,42.94,5400,0
2016-06-15,21:50:00,42.91,42.925,42.88,42.925,1769,0
2016-06-15,21:55:00,42.9,42.925,42.84,42.84,2660,0
2016-06-15,22:00:00,42.84,42.85,42.75,42.78,15027,0
2016-06-16,15:35:00,42.32,42.94,42.32,42.94,2850,0
2016-06-16,15:40:00,42.5678,42.5678,42.5678,42.5678,150,0
2016-06-16,15:45:00,42.425,42.425,42.2,42.2,200,0
2016-06-16,15:50:00,42.37,42.37,42.37,42.37,300,0
2016-06-16,15:55:00,42.59,42.59,42.42,42.42,200,0
2016-06-16,16:00:00,42.45,42.45,42.4,42.4,400,0
2016-06-16,16:10:00,42.19,42.345,42.19,42.29,1300,0
2016-06-16,16:15:00,42.34,42.465,42.34,42.395,600,0
2016-06-16,16:20:00,42.39,42.39,42.34,42.34,500,0
2016-06-16,16:25:00,42.24,42.24,42.24,42.24,200,0
2016-06-16,16:30:00,42.18,42.18,42.17,42.17,400,0
2016-06-16,16:35:00,42.205,42.28,42.16,42.23,2100,0
2016-06-16,16:40:00,42.32,42.32,42.23,42.23,700,0
2016-06-16,16:45:00,42.2,42.25,42.2,42.25,400,0
2016-06-16,16:50:00,42.27,42.27,42.245,42.245,200,0
2016-06-16,16:55:00,42.22,42.22,42.1,42.1,700,0
2016-06-16,17:00:00,42.15,42.22,42.15,42.16,800,0
2016-06-16,17:05:00,42.16,42.27,42.16,42.23,2486,0
2016-06-16,17:10:00,42.2,42.2,42.2,42.2,200,0
2016-06-16,17:15:00,42.22,42.3,42.22,42.3,1100,0
2016-06-16,17:20:00,42.34,42.36,42.34,42.36,200,0
2016-06-16,17:25:00,42.35,42.36,42.34,42.36,500,0
2016-06-16,17:30:00,42.42,42.42,42.4,42.42,300,0
2016-06-16,17:35:00,42.415,42.4245,42.3,42.3,1900,0
2016-06-16,17:40:00,42.32,42.34,42.32,42.33,600,0
2016-06-16,17:45:00,42.3,42.3275,42.27,42.27,500,0
2016-06-16,17:50:00,42.29,42.29,42.21,42.23,600,0
2016-06-16,17:55:00,42.14,42.16,42.14,42.16,300,0
2016-06-16,18:00:00,42.16,42.27,42.16,42.2,800,0
2016-06-16,18:05:00,42.21,42.21,42.13,42.13,700,0
2016-06-16,18:15:00,42.17,42.17,42.17,42.17,100,0
2016-06-16,18:20:00,42.15,42.15,42.11,42.11,500,0
2016-06-16,18:25:00,42.18,42.19,42.1,42.19,2860,0
2016-06-16,18:30:00,42.195,42.26,42.195,42.26,300,0
2016-06-16,18:35:00,42.3,42.3,42.22,42.29,1300,0
2016-06-16,18:40:00,42.255,42.34,42.23,42.31,1700,0
2016-06-16,18:45:00,42.31,42.41,42.31,42.405,2800,0
2016-06-16,18:50:00,42.435,42.44,42.4,42.41,812,0
2016-06-16,18:55:00,42.43,42.43,42.39,42.39,700,0
2016-06-16,19:00:00,42.39,42.44,42.39,42.4,700,0
2016-06-16,19:05:00,42.44,42.55,42.44,42.523,2100,0
2016-06-16,19:15:00,42.52,42.56,42.51,42.54,1100,0
2016-06-16,19:25:00,42.58,42.58,42.58,42.58,400,0
2016-06-16,19:30:00,42.555,42.61,42.54,42.54,800,0
2016-06-16,19:35:00,42.6,42.6,42.52,42.56,1900,0
2016-06-16,19:40:00,42.56,42.56,42.53,42.56,300,0
2016-06-16,19:45:00,42.54,42.54,42.53,42.53,200,0
2016-06-16,19:50:00,42.49,42.49,42.41,42.41,800,0
2016-06-16,19:55:00,42.39,42.39,42.35,42.35,400,0
2016-06-16,20:00:00,42.34,42.35,42.3,42.31,1900,0
2016-06-16,20:05:00,42.35,42.395,42.32,42.395,600,0
2016-06-16,20:10:00,42.44,42.44,42.34,42.34,1200,0
2016-06-16,20:15:00,42.35,42.54,42.35,42.54,1800,0
2016-06-16,20:20:00,42.555,42.65,42.555,42.65,600,0
2016-06-16,20:25:00,42.69,42.69,42.53,42.6,3500,0
2016-06-16,20:30:00,42.6,42.6,42.55,42.55,1700,0
2016-06-16,20:35:00,42.57,42.57,42.57,42.57,300,0
2016-06-16,20:40:00,42.59,42.6,42.59,42.59,1000,0
2016-06-16,20:45:00,42.61,42.65,42.61,42.65,3600,0
2016-06-16,20:50:00,42.63,42.63,42.54,42.63,1500,0
2016-06-16,20:55:00,42.6045,42.7,42.6045,42.7,1222,0
2016-06-16,21:00:00,42.67,42.69,42.65,42.68,1600,0
2016-06-16,21:05:00,42.68,42.72,42.67,42.69,2300,0
2016-06-16,21:10:00,42.68,42.68,42.68,42.68,100,0
2016-06-16,21:15:00,42.695,42.695,42.67,42.67,1368,0
2016-06-16,21:20:00,42.66,42.66,42.65,42.66,2600,0
2016-06-16,21:25:00,42.65,42.72,42.65,42.72,2300,0
2016-06-16,21:30:00,42.76,42.81,42.74,42.8,1200,0
2016-06-16,21:35:00,42.8,42.83,42.8,42.8,2371,0
2016-06-16,21:40:00,42.795,42.81,42.64,42.64,3900,0
2016-06-16,21:45:00,42.66,42.71,42.66,42.7,3600,0
2016-06-16,21:50:00,42.7,42.7,42.68,42.69,3100,0
2016-06-16,21:55:00,42.68,42.685,42.63,42.68,7252,0
2016-06-16,22:00:00,42.69,42.82,42.69,42.74,25134,0
2016-06-17,15:35:00,42.82,43.08,42.78,42.78,84221,0
2016-06-17,15:45:00,42.71,42.71,42.41,42.62,900,0
2016-06-17,15:50:00,42.62,42.82,42.5,42.64,6219,0
2016-06-17,15:55:00,42.63,42.88,42.6001,42.78,6600,0
2016-06-17,16:00:00,42.72,42.85,42.64,42.73,4700,0
2016-06-17,16:05:00,42.68,42.785,42.67,42.67,1492,0
2016-06-17,16:10:00,42.62,42.73,42.62,42.73,400,0
2016-06-17,16:15:00,42.71,42.88,42.71,42.79,1100,0
2016-06-17,16:20:00,42.785,42.795,42.785,42.795,200,0
2016-06-17,16:25:00,42.795,42.8,42.77,42.8,908,0
2016-06-17,16:30:00,42.735,42.84,42.725,42.75,1884,0
2016-06-17,16:35:00,42.73,42.77,42.64,42.64,1700,0
2016-06-17,16:40:00,42.64,42.64,42.54,42.54,1200,0
2016-06-17,16:50:00,42.6,42.6,42.6,42.6,100,0
2016-06-17,16:55:00,42.55,42.55,42.48,42.48,400,0
2016-06-17,17:00:00,42.49,42.49,42.45,42.45,200,0
2016-06-17,17:05:00,42.37,42.405,42.22,42.22,1300,0
2016-06-17,17:10:00,42.25,42.25,42.21,42.23,1300,0
2016-06-17,17:15:00,42.19,42.19,42.09,42.09,1000,0
2016-06-17,17:20:00,42.135,42.205,42.135,42.19,500,0
2016-06-17,17:25:00,42.25,42.35,42.25,42.35,900,0
2016-06-17,17:30:00,42.36,42.36,42.26,42.28,800,0
2016-06-17,17:35:00,42.2,42.2,42.09,42.13,900,0
2016-06-17,17:40:00,42.205,42.205,42.205,42.205,100,0
2016-06-17,17:50:00,42.29,42.29,42.27,42.27,200,0
2016-06-17,17:55:00,42.27,42.27,42.27,42.27,200,0
2016-06-17,18:00:00,42.22,42.25,42.198,42.198,800,0
2016-06-17,18:05:00,42.26,42.26,42.22,42.22,200,0
2016-06-17,18:10:00,42.29,42.31,42.29,42.31,573,0
2016-06-17,18:15:00,42.32,42.42,42.28,42.42,900,0
2016-06-17,18:20:00,42.42,42.42,42.41,42.41,500,0
2016-06-17,18:25:00,42.46,42.51,42.46,42.51,200,0
