Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,9.19,9.345,9.115,9.255,4572,0
2016-06-16,15:40:00,9.22,9.32,9.11,9.17,13907,0
2016-06-16,15:50:00,9.14,9.21,9.14,9.18,50400,0
2016-06-16,15:55:00,9.18,9.19,9.18,9.19,300,0
2016-06-16,16:00:00,9.14,9.16,9.1,9.1,2200,0
2016-06-16,16:05:00,9.1,9.16,9.1,9.16,900,0
2016-06-16,16:10:00,9.14,9.16,9.14,9.16,200,0
2016-06-16,16:20:00,9.14,9.16,9.14,9.16,200,0
2016-06-16,16:25:00,9.16,9.16,9.12,9.13,1900,0
2016-06-16,16:30:00,9.1,9.115,9.09,9.09,600,0
2016-06-16,16:35:00,9.1,9.13,9.085,9.1,4522,0
2016-06-16,16:40:00,9.095,9.17,9.08,9.15,13500,0
2016-06-16,16:45:00,9.15,9.15,9.1,9.14,800,0
2016-06-16,16:50:00,9.13,9.18,9.13,9.14,4900,0
2016-06-16,16:55:00,9.11,9.19,9.11,9.15,7300,0
2016-06-16,17:00:00,9.14,9.21,9.11,9.19,6120,0
2016-06-16,17:05:00,9.2,9.2,9.2,9.2,200,0
2016-06-16,17:10:00,9.195,9.26,9.19,9.24,3800,0
2016-06-16,17:15:00,9.23,9.24,9.1901,9.21,1705,0
2016-06-16,17:20:00,9.19,9.19,9.19,9.19,100,0
2016-06-16,17:25:00,9.14,9.24,9.14,9.24,3800,0
2016-06-16,17:30:00,9.21,9.23,9.19,9.2,1300,0
2016-06-16,17:35:00,9.18,9.2,9.18,9.2,1200,0
2016-06-16,17:40:00,9.21,9.27,9.21,9.27,1286,0
2016-06-16,17:45:00,9.22,9.25,9.22,9.23,500,0
2016-06-16,17:50:00,9.23,9.26,9.21,9.26,2445,0
2016-06-16,17:55:00,9.23,9.25,9.21,9.24,1100,0
2016-06-16,18:00:00,9.24,9.24,9.21,9.24,1600,0
2016-06-16,18:05:00,9.24,9.25,9.21,9.24,1500,0
2016-06-16,18:10:00,9.24,9.25,9.21,9.25,1100,0
2016-06-16,18:15:00,9.25,9.29,9.23,9.28,1900,0
2016-06-16,18:20:00,9.28,9.31,9.28,9.3,2500,0
2016-06-16,18:25:00,9.3,9.31,9.26,9.3,3700,0
2016-06-16,18:30:00,9.28,9.3,9.28,9.3,800,0
2016-06-16,18:35:00,9.3,9.31,9.295,9.3,2600,0
2016-06-16,18:40:00,9.265,9.31,9.265,9.31,1800,0
2016-06-16,18:45:00,9.32,9.325,9.3,9.32,1400,0
2016-06-16,18:50:00,9.33,9.33,9.3,9.31,1000,0
2016-06-16,18:55:00,9.31,9.33,9.31,9.33,600,0
2016-06-16,19:00:00,9.32,9.34,9.32,9.34,400,0
2016-06-16,19:05:00,9.35,9.38,9.35,9.38,2300,0
2016-06-16,19:10:00,9.38,9.38,9.38,9.38,300,0
2016-06-16,19:15:00,9.38,9.38,9.33,9.33,1400,0
2016-06-16,19:20:00,9.33,9.34,9.33,9.34,1300,0
2016-06-16,19:25:00,9.34,9.36,9.34,9.36,700,0
2016-06-16,19:30:00,9.36,9.36,9.34,9.36,990,0
2016-06-16,19:35:00,9.34,9.34,9.33,9.33,300,0
2016-06-16,19:40:00,9.34,9.34,9.33,9.34,600,0
2016-06-16,19:45:00,9.34,9.34,9.295,9.295,10002,0
2016-06-16,19:50:00,9.285,9.29,9.28,9.29,2000,0
2016-06-16,19:55:00,9.28,9.29,9.26,9.26,900,0
2016-06-16,20:00:00,9.29,9.29,9.27,9.28,800,0
2016-06-16,20:05:00,9.27,9.3,9.26,9.3,900,0
2016-06-16,20:10:00,9.28,9.29,9.28,9.29,700,0
2016-06-16,20:15:00,9.28,9.3,9.28,9.3,1778,0
2016-06-16,20:20:00,9.3,9.34,9.29,9.34,6300,0
2016-06-16,20:25:00,9.35,9.36,9.335,9.34,1000,0
2016-06-16,20:30:00,9.31,9.31,9.3075,9.31,900,0
2016-06-16,20:35:00,9.31,9.32,9.31,9.315,1400,0
2016-06-16,20:40:00,9.33,9.33,9.3,9.31,900,0
2016-06-16,20:45:00,9.305,9.31,9.305,9.305,1000,0
2016-06-16,20:50:00,9.305,9.31,9.3,9.3075,1500,0
2016-06-16,20:55:00,9.305,9.33,9.305,9.325,1499,0
2016-06-16,21:00:00,9.32,9.33,9.315,9.33,600,0
2016-06-16,21:05:00,9.325,9.34,9.325,9.34,1500,0
2016-06-16,21:10:00,9.33,9.33,9.295,9.31,5600,0
2016-06-16,21:15:00,9.32,9.32,9.3,9.3,1534,0
2016-06-16,21:20:00,9.3,9.31,9.29,9.31,1600,0
2016-06-16,21:25:00,9.3,9.3,9.28,9.3,1967,0
2016-06-16,21:30:00,9.31,9.33,9.305,9.33,1100,0
2016-06-16,21:35:00,9.34,9.35,9.34,9.35,1411,0
2016-06-16,21:40:00,9.345,9.36,9.34,9.35,4672,0
