Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,18.28,18.28,18.22,18.22,2096,0
2016-06-15,15:40:00,18.13,18.13,18.13,18.13,200,0
2016-06-15,15:45:00,18.11,18.11,18.11,18.11,200,0
2016-06-15,15:55:00,18.14,18.16,18.14,18.16,200,0
2016-06-15,16:25:00,18.21,18.21,18.17,18.17,400,0
2016-06-15,16:30:00,18.17,18.17,18.17,18.17,100,0
2016-06-15,16:35:00,18.19,18.22,18.16,18.21,600,0
2016-06-15,16:40:00,18.23,18.23,18.2,18.2,300,0
2016-06-15,16:50:00,18.198,18.23,18.198,18.23,338,0
2016-06-15,16:55:00,18.25,18.25,18.2,18.2,600,0
2016-06-15,17:00:00,18.18,18.18,18.16,18.16,300,0
2016-06-15,17:05:00,18.2,18.25,18.2,18.25,200,0
2016-06-15,17:10:00,18.24,18.3,18.24,18.25,785,0
2016-06-15,17:15:00,18.27,18.27,18.25,18.26,600,0
2016-06-15,17:20:00,18.26,18.26,18.26,18.26,200,0
2016-06-15,17:25:00,18.27,18.31,18.27,18.27,780,0
2016-06-15,17:30:00,18.22,18.22,18.21,18.21,200,0
2016-06-15,17:35:00,18.2,18.2,18.17,18.18,400,0
2016-06-15,17:40:00,18.19,18.22,18.19,18.22,500,0
2016-06-15,17:45:00,18.19,18.19,18.19,18.19,200,0
2016-06-15,17:50:00,18.19,18.2,18.143,18.2,1800,0
2016-06-15,17:55:00,18.2,18.25,18.2,18.25,200,0
2016-06-15,18:00:00,18.25,18.25,18.25,18.25,100,0
2016-06-15,18:05:00,18.22,18.23,18.18,18.21,1002,0
2016-06-15,18:10:00,18.22,18.24,18.22,18.23,300,0
2016-06-15,18:15:00,18.23,18.23,18.23,18.23,400,0
2016-06-15,18:25:00,18.22,18.22,18.18,18.18,400,0
2016-06-15,18:35:00,18.18,18.18,18.18,18.18,300,0
2016-06-15,18:45:00,18.16,18.16,18.16,18.16,200,0
2016-06-15,18:50:00,18.17,18.17,18.13,18.16,1100,0
2016-06-15,18:55:00,18.12,18.14,18.12,18.14,600,0
2016-06-15,19:00:00,18.16,18.16,18.12,18.12,300,0
2016-06-15,19:05:00,18.14,18.14,18.12,18.12,200,0
2016-06-15,19:10:00,18.12,18.12,18.05,18.07,1800,0
2016-06-15,19:15:00,18.07,18.1,18.07,18.1,300,0
2016-06-15,19:20:00,18.1,18.12,18.1,18.1,1700,0
2016-06-15,19:25:00,18.09,18.13,18.09,18.13,400,0
2016-06-15,19:35:00,18.15,18.15,18.15,18.15,100,0
2016-06-15,19:40:00,18.1,18.1,18.1,18.1,100,0
2016-06-15,19:45:00,18.12,18.12,18.12,18.12,200,0
2016-06-15,19:50:00,18.14,18.14,18.14,18.14,100,0
2016-06-15,19:55:00,18.11,18.11,18.09,18.09,1200,0
2016-06-15,20:00:00,18.12,18.14,18.11,18.14,522,0
2016-06-15,20:05:00,18.25,18.25,18.18,18.2,1700,0
2016-06-15,20:10:00,18.15,18.15,18.08,18.08,1800,0
2016-06-15,20:15:00,18.05,18.05,18.05,18.05,100,0
2016-06-15,20:20:00,18.08,18.08,18.07,18.07,300,0
2016-06-15,20:25:00,18.07,18.07,18.01,18.01,600,0
2016-06-15,20:30:00,18.04,18.0401,18.04,18.04,600,0
2016-06-15,20:35:00,18,18.05,18,18.05,200,0
2016-06-15,20:40:00,18.04,18.06,18.04,18.06,500,0
2016-06-15,20:45:00,18.06,18.08,18.05,18.07,800,0
2016-06-15,20:50:00,18.07,18.09,18.07,18.09,600,0
2016-06-15,20:55:00,18.1,18.1,18.05,18.05,700,0
2016-06-15,21:00:00,18.06,18.11,18.06,18.11,600,0
2016-06-15,21:05:00,18.12,18.13,18.11,18.11,500,0
2016-06-15,21:10:00,18.1,18.1,18.1,18.1,100,0
2016-06-15,21:15:00,18.1,18.1,18.08,18.08,500,0
2016-06-15,21:20:00,18.08,18.08,18.08,18.08,100,0
2016-06-15,21:25:00,18.08,18.08,18.07,18.07,200,0
2016-06-15,21:30:00,18.08,18.08,18.05,18.08,800,0
2016-06-15,21:35:00,18.05,18.05,18.02,18.02,1100,0
2016-06-15,21:40:00,18.02,18.025,18,18,1000,0
2016-06-15,21:45:00,18,18.02,18,18.01,4000,0
2016-06-15,21:50:00,18,18.02,17.99,18.02,2808,0
2016-06-15,21:55:00,18.01,18.02,18,18,3028,0
2016-06-15,22:00:00,18.01,18.02,18.005,18.02,4498,0
2016-06-16,15:35:00,18,18,17.84,17.885,7448,0
2016-06-16,15:40:00,17.85,17.88,17.78,17.825,5378,0
2016-06-16,15:45:00,17.81,17.89,17.81,17.875,1400,0
2016-06-16,15:50:00,17.87,17.87,17.87,17.87,100,0
2016-06-16,15:55:00,17.81,17.81,17.81,17.81,400,0
2016-06-16,16:00:00,17.73,17.74,17.6701,17.68,1200,0
2016-06-16,16:05:00,17.66,17.74,17.61,17.74,1800,0
2016-06-16,16:15:00,17.75,17.78,17.75,17.78,500,0
2016-06-16,16:20:00,17.76,17.76,17.75,17.75,600,0
2016-06-16,16:25:00,17.7001,17.7001,17.67,17.67,323,0
2016-06-16,16:30:00,17.6301,17.6301,17.6301,17.6301,100,0
2016-06-16,16:35:00,17.69,17.7,17.62,17.62,1700,0
2016-06-16,16:40:00,17.6293,17.6293,17.56,17.56,1259,0
2016-06-16,16:45:00,17.57,17.59,17.55,17.55,1410,0
2016-06-16,16:50:00,17.57,17.6,17.55,17.59,1800,0
2016-06-16,16:55:00,17.5601,17.59,17.56,17.59,800,0
2016-06-16,17:00:00,17.59,17.62,17.59,17.62,400,0
2016-06-16,17:05:00,17.67,17.67,17.62,17.63,600,0
2016-06-16,17:10:00,17.65,17.65,17.6101,17.65,900,0
2016-06-16,17:15:00,17.62,17.65,17.62,17.65,2100,0
2016-06-16,17:20:00,17.7,17.71,17.69,17.71,600,0
2016-06-16,17:25:00,17.72,17.72,17.72,17.72,100,0
2016-06-16,17:30:00,17.78,17.87,17.78,17.84,1600,0
2016-06-16,17:35:00,17.83,17.83,17.72,17.72,2137,0
2016-06-16,17:40:00,17.68,17.68,17.68,17.68,100,0
2016-06-16,17:45:00,17.72,17.72,17.65,17.66,1800,0
