Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-13,16:45:00,8.6706,8.6706,8.6706,8.6706,101,0
2016-04-13,17:30:00,8.7302,8.7402,8.7302,8.7402,201,0
2016-04-13,18:10:00,8.7402,8.7402,8.7402,8.7402,101,0
2016-04-13,19:05:00,8.7402,8.8395,8.7402,8.8395,1108,0
2016-04-13,20:25:00,8.7799,8.8196,8.7302,8.7675,1712,0
2016-04-13,21:05:00,8.7123,8.7123,8.7123,8.7123,101,0
2016-04-13,21:10:00,8.7997,8.7997,8.7104,8.7253,1645,0
2016-04-13,21:15:00,8.7004,8.7004,8.4975,8.4975,12486,0
2016-04-13,21:25:00,8.463,8.5119,8.463,8.5119,352,0
2016-04-13,21:35:00,8.472,8.472,8.472,8.472,101,0
2016-04-13,21:45:00,8.5713,8.5811,8.5514,8.5811,822,0
2016-04-13,21:50:00,8.5713,8.5713,8.5713,8.5713,201,0
2016-04-13,21:55:00,8.5812,8.6408,8.5812,8.6408,201,0
2016-04-13,22:00:00,8.6408,8.6408,8.5514,8.5514,705,0
2016-04-14,15:35:00,8.5713,8.5713,8.5713,8.5713,203,0
2016-04-14,15:40:00,8.7344,8.7344,8.7203,8.7203,2109,0
2016-04-14,15:50:00,8.6706,8.6706,8.6706,8.6706,503,0
2016-04-14,16:00:00,8.6806,8.6806,8.6806,8.6806,101,0
2016-04-14,17:05:00,8.6408,8.6408,8.6408,8.6408,297,0
2016-04-14,18:45:00,8.623,8.623,8.623,8.623,193,0
2016-04-14,20:45:00,8.6705,8.6705,8.6705,8.6705,151,0
2016-04-14,21:45:00,8.6607,8.6607,8.6607,8.6607,101,0
2016-04-15,15:45:00,8.6706,8.6905,8.6706,8.6905,3725,0
2016-04-15,15:55:00,8.7135,8.7135,8.7135,8.7135,157,0
2016-04-15,16:25:00,8.6508,8.6508,8.6508,8.6508,101,0
2016-04-15,16:30:00,8.7997,8.7997,8.6905,8.6905,302,0
2016-04-15,16:35:00,8.7402,8.7501,8.7402,8.7501,201,0
2016-04-15,16:40:00,8.7799,8.7799,8.7799,8.7799,201,0
2016-04-15,17:40:00,8.6806,8.6806,8.6806,8.6806,101,0
2016-04-15,18:20:00,8.6806,8.6806,8.6806,8.6806,201,0
2016-04-15,20:40:00,8.6532,8.6706,8.6532,8.6706,201,0
2016-04-15,20:45:00,8.6259,8.6259,8.6259,8.6259,101,0
2016-04-15,20:50:00,8.6259,8.6259,8.6259,8.6259,101,0
2016-04-15,20:55:00,8.6606,8.6606,8.6606,8.6606,1082,0
2016-04-15,21:20:00,8.6607,8.6607,8.6607,8.6607,101,0
2016-04-15,21:50:00,8.6607,8.6607,8.6607,8.6607,101,0
2016-04-15,22:00:00,8.6607,8.6607,8.621,8.621,568,0
2016-04-18,15:35:00,8.5713,8.5713,8.5713,8.5713,1712,0
2016-04-18,16:30:00,8.7402,8.7402,8.7402,8.7402,101,0
2016-04-18,16:40:00,8.6587,8.6587,8.6587,8.6587,101,0
2016-04-18,17:55:00,8.75,8.75,8.7147,8.7147,705,0
2016-04-18,18:00:00,8.7083,8.7083,8.7083,8.7083,201,0
2016-04-18,18:05:00,8.7302,8.7302,8.7302,8.7302,101,0
2016-04-18,19:35:00,8.6706,8.6706,8.6706,8.6706,404,0
2016-04-18,21:15:00,8.7203,8.7203,8.7203,8.7203,101,0
2016-04-18,21:40:00,8.6608,8.7402,8.6608,8.7402,3323,0
2016-04-18,21:55:00,8.7402,8.7402,8.7402,8.7402,101,0
2016-04-18,22:00:00,8.7302,8.7302,8.6905,8.6905,1310,0
2016-04-19,15:35:00,8.76,8.9288,8.76,8.9288,705,0
2016-04-19,15:40:00,8.7699,8.7699,8.7699,8.7699,101,0
