Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,12.99,13.03,12.97,13,4809,0
2016-06-16,15:40:00,12.97,13.06,12.97,13.05,500,0
2016-06-16,15:45:00,13.02,13.04,13.01,13.04,1000,0
2016-06-16,15:50:00,13.03,13.04,13.02,13.04,2800,0
2016-06-16,15:55:00,13.04,13.04,12.99,12.99,1900,0
2016-06-16,16:00:00,13,13.01,12.975,12.975,3603,0
2016-06-16,16:05:00,12.98,13.0007,12.98,12.99,22409,0
2016-06-16,16:10:00,12.99,12.99,12.98,12.99,8119,0
2016-06-16,16:15:00,13,13,12.99,13,1700,0
2016-06-16,16:20:00,13,13.01,12.99,12.99,7900,0
2016-06-16,16:25:00,12.99,12.99,12.96,12.96,2800,0
2016-06-16,16:30:00,12.955,12.99,12.955,12.98,8414,0
2016-06-16,16:35:00,12.98,13.01,12.98,13.01,4200,0
2016-06-16,16:40:00,13.005,13.02,13,13.005,4700,0
2016-06-16,16:45:00,13.01,13.025,13.01,13.01,5900,0
2016-06-16,16:50:00,13.02,13.02,13.01,13.01,8384,0
2016-06-16,16:55:00,13.01,13.02,13.01,13.02,4898,0
2016-06-16,17:00:00,13.02,13.03,13.02,13.03,3900,0
2016-06-16,17:05:00,13.02,13.05,13.02,13.03,6252,0
2016-06-16,17:10:00,13.04,13.05,13.03,13.03,8189,0
2016-06-16,17:15:00,13.03,13.03,13.025,13.03,12758,0
2016-06-16,17:20:00,13.03,13.03,13.02,13.02,4100,0
2016-06-16,17:25:00,13.025,13.05,13.025,13.05,6730,0
2016-06-16,17:30:00,13.06,13.11,13.06,13.11,6700,0
2016-06-16,17:35:00,13.105,13.11,13.07,13.0727,8036,0
2016-06-16,17:40:00,13.07,13.07,13.05,13.06,8100,0
2016-06-16,17:45:00,13.065,13.065,13.05,13.05,7500,0
2016-06-16,17:50:00,13.05,13.06,13.05,13.055,1800,0
2016-06-16,17:55:00,13.05,13.05,13.04,13.04,2700,0
2016-06-16,18:00:00,13.04,13.05,13.04,13.05,3825,0
2016-06-16,18:05:00,13.05,13.06,13.04,13.05,5325,0
2016-06-16,18:10:00,13.06,13.07,13.05,13.065,5526,0
2016-06-16,18:15:00,13.07,13.08,13.06,13.07,12906,0
2016-06-16,18:20:00,13.07,13.07,13.06,13.06,2500,0
2016-06-16,18:25:00,13.06,13.09,13.06,13.09,6200,0
2016-06-16,18:30:00,13.09,13.1,13.09,13.1,4000,0
2016-06-16,18:35:00,13.095,13.1,13.09,13.09,3900,0
2016-06-16,18:40:00,13.09,13.12,13.09,13.12,4100,0
2016-06-16,18:45:00,13.12,13.135,13.12,13.13,10426,0
2016-06-16,18:50:00,13.13,13.13,13.11,13.11,5600,0
2016-06-16,18:55:00,13.11,13.11,13.1,13.1,2200,0
2016-06-16,19:00:00,13.1,13.1,13.1,13.1,1000,0
2016-06-16,19:05:00,13.1,13.11,13.1,13.11,8600,0
2016-06-16,19:10:00,13.1,13.115,13.1,13.11,5415,0
2016-06-16,19:15:00,13.11,13.12,13.105,13.115,4600,0
2016-06-16,19:20:00,13.11,13.115,13.11,13.115,800,0
2016-06-16,19:25:00,13.11,13.12,13.11,13.11,4200,0
2016-06-16,19:30:00,13.115,13.115,13.09,13.09,8400,0
2016-06-16,19:35:00,13.09,13.09,13.07,13.07,5100,0
2016-06-16,19:40:00,13.07,13.085,13.07,13.08,7600,0
2016-06-16,19:45:00,13.085,13.09,13.08,13.08,10500,0
2016-06-16,19:50:00,13.075,13.075,13.06,13.06,9000,0
2016-06-16,19:55:00,13.06,13.06,13.05,13.06,9156,0
2016-06-16,20:00:00,13.07,13.0925,13.07,13.085,8200,0
2016-06-16,20:05:00,13.085,13.09,13.08,13.0801,4000,0
2016-06-16,20:10:00,13.09,13.1,13.0801,13.095,3200,0
2016-06-16,20:15:00,13.1,13.11,13.1,13.105,8400,0
2016-06-16,20:20:00,13.105,13.105,13.09,13.1,10700,0
2016-06-16,20:25:00,13.105,13.105,13.09,13.095,3756,0
2016-06-16,20:30:00,13.09,13.095,13.09,13.095,2300,0
2016-06-16,20:35:00,13.095,13.1,13.09,13.095,2400,0
2016-06-16,20:40:00,13.095,13.1,13.08,13.08,7817,0
2016-06-16,20:45:00,13.08,13.09,13.08,13.08,3402,0
2016-06-16,20:50:00,13.085,13.1,13.08,13.1,7100,0
2016-06-16,20:55:00,13.11,13.13,13.1,13.13,5400,0
2016-06-16,21:00:00,13.14,13.14,13.12,13.12,6593,0
2016-06-16,21:05:00,13.125,13.13,13.11,13.115,16551,0
2016-06-16,21:10:00,13.11,13.11,13.08,13.08,11533,0
2016-06-16,21:15:00,13.08,13.1,13.08,13.1,8290,0
2016-06-16,21:20:00,13.09,13.105,13.04,13.05,15900,0
2016-06-16,21:25:00,13.05,13.07,13.02,13.07,8980,0
2016-06-16,21:30:00,13.08,13.09,13.07,13.09,7286,0
2016-06-16,21:35:00,13.09,13.1,13.08,13.08,14384,0
2016-06-16,21:40:00,13.08,13.09,13.08,13.08,4294,0
2016-06-16,21:45:00,13.08,13.09,13.08,13.09,15379,0
2016-06-16,21:50:00,13.085,13.09,13.06,13.065,22495,0
2016-06-16,21:55:00,13.07,13.07,13.03,13.06,30936,0
2016-06-16,22:00:00,13.05,13.1,13.05,13.1,51380,0
2016-06-17,15:35:00,13.13,13.14,13.08,13.08,207226,0
2016-06-17,15:40:00,13.06,13.09,13.04,13.04,6170,0
2016-06-17,15:45:00,13.04,13.06,13.04,13.05,5299,0
2016-06-17,15:50:00,13.04,13.04,12.92,12.92,10553,0
2016-06-17,15:55:00,12.92,12.97,12.91,12.92,16000,0
2016-06-17,16:00:00,12.916,12.916,12.86,12.86,22609,0
2016-06-17,16:05:00,12.84,12.86,12.79,12.83,20953,0
2016-06-17,16:10:00,12.83,12.93,12.83,12.91,35684,0
2016-06-17,16:15:00,12.91,12.94,12.91,12.93,13303,0
2016-06-17,16:20:00,12.93,12.94,12.9,12.94,22520,0
2016-06-17,16:25:00,12.94,13,12.94,13,10788,0
2016-06-17,16:30:00,13,13,12.94,12.94,10176,0
2016-06-17,16:35:00,12.935,12.94,12.93,12.94,6118,0
2016-06-17,16:40:00,12.94,12.97,12.94,12.96,7700,0
2016-06-17,16:45:00,12.97,12.99,12.96,12.985,8400,0
2016-06-17,16:50:00,12.99,13,12.985,13,8603,0
2016-06-17,16:55:00,12.995,13,12.97,12.97,11496,0
2016-06-17,17:00:00,12.97,12.98,12.97,12.97,3900,0
2016-06-17,17:05:00,12.97,12.98,12.96,12.965,7674,0
2016-06-17,17:10:00,12.965,12.965,12.94,12.94,11985,0
2016-06-17,17:15:00,12.945,12.96,12.94,12.94,39036,0
2016-06-17,17:20:00,12.94,12.96,12.94,12.955,7429,0
2016-06-17,17:25:00,12.96,12.97,12.955,12.96,10561,0
2016-06-17,17:30:00,12.955,12.96,12.94,12.95,8997,0
2016-06-17,17:35:00,12.95,12.95,12.94,12.94,5084,0
2016-06-17,17:40:00,12.94,12.95,12.93,12.93,7660,0
2016-06-17,17:45:00,12.94,12.94,12.93,12.93,9921,0
2016-06-17,17:50:00,12.92,12.93,12.92,12.93,10710,0
2016-06-17,17:55:00,12.925,12.93,12.92,12.92,4297,0
2016-06-17,18:00:00,12.92,12.94,12.92,12.94,13376,0
2016-06-17,18:05:00,12.94,12.97,12.93,12.965,15516,0
2016-06-17,18:10:00,12.97,12.97,12.96,12.97,3400,0
2016-06-17,18:15:00,12.97,12.97,12.96,12.97,3833,0
2016-06-17,18:20:00,12.97,12.97,12.95,12.95,6900,0
2016-06-17,18:25:00,12.96,12.96,12.95,12.955,3900,0
2016-06-17,18:30:00,12.96,12.96,12.95,12.955,3780,0
2016-06-17,18:35:00,12.955,12.96,12.93,12.94,10430,0
2016-06-17,18:40:00,12.935,12.94,12.93,12.935,3822,0
2016-06-17,18:45:00,12.94,12.94,12.92,12.92,7700,0
2016-06-17,18:50:00,12.925,12.925,12.91,12.91,6699,0
2016-06-17,18:55:00,12.915,12.92,12.91,12.92,4402,0
2016-06-17,19:00:00,12.91,12.92,12.91,12.91,5500,0
2016-06-17,19:05:00,12.91,12.92,12.91,12.9101,3900,0
2016-06-17,19:10:00,12.91,12.92,12.91,12.92,14168,0
2016-06-17,19:15:00,12.92,12.93,12.92,12.92,4400,0
2016-06-17,19:20:00,12.92,12.93,12.92,12.92,8057,0
2016-06-17,19:25:00,12.92,12.93,12.91,12.9105,8059,0
2016-06-17,19:30:00,12.91,12.92,12.91,12.92,7400,0
2016-06-17,19:35:00,12.92,12.92,12.91,12.915,3321,0
2016-06-17,19:40:00,12.91,12.93,12.91,12.93,15498,0
2016-06-17,19:45:00,12.93,12.94,12.92,12.93,6477,0
2016-06-17,19:50:00,12.935,12.94,12.93,12.94,3500,0
2016-06-17,19:55:00,12.935,12.94,12.93,12.93,5214,0
