Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-25,15:35:00,20.82,20.82,20.46,20.46,1900,0
2016-04-25,15:40:00,20.35,20.42,20.35,20.42,500,0
2016-04-25,15:45:00,20.1,20.49,20.1,20.49,700,0
2016-04-25,15:55:00,20.42,20.42,20.42,20.42,100,0
2016-04-25,16:05:00,20.36,20.36,20.3,20.3,346,0
2016-04-25,16:10:00,20.43,20.43,20.43,20.43,100,0
2016-04-25,16:25:00,20.4,20.41,20.4,20.41,773,0
2016-04-25,16:40:00,20.02,20.02,20.02,20.02,100,0
2016-04-25,16:50:00,20.1,20.35,20.1,20.35,2000,0
2016-04-25,18:10:00,20.3,20.3,20.3,20.3,100,0
2016-04-25,18:35:00,20.21,20.285,20.1801,20.265,700,0
2016-04-25,19:00:00,20.11,20.11,20.11,20.11,100,0
2016-04-25,19:10:00,20,20,20,20,200,0
2016-04-25,20:50:00,20.13,20.13,20,20,200,0
2016-04-25,21:40:00,20,20,20,20,100,0
2016-04-25,21:45:00,20.1,20.1,20.1,20.1,200,0
2016-04-25,22:00:00,20.1,20.14,20.03,20.03,979,0
2016-04-26,15:35:00,20.4,20.4,20.06,20.06,1000,0
2016-04-26,15:40:00,20.43,20.43,20.43,20.43,100,0
2016-04-26,16:25:00,20.31,20.4,20.15,20.4,500,0
2016-04-26,16:30:00,20.27,20.29,20.27,20.29,262,0
2016-04-26,17:25:00,19.91,19.91,19.91,19.91,100,0
2016-04-26,20:25:00,20.255,20.255,20.255,20.255,100,0
2016-04-26,21:05:00,20.2,20.2,20.2,20.2,100,0
2016-04-26,21:25:00,20.11,20.11,20.11,20.11,100,0
2016-04-26,21:40:00,20.35,20.35,20.35,20.35,100,0
2016-04-26,21:45:00,20.3,20.57,20.295,20.295,400,0
2016-04-26,22:00:00,20.305,20.69,20.2901,20.61,1339,0
2016-04-27,15:35:00,20.5,20.5,20.5,20.5,200,0
2016-04-27,17:30:00,20.46,20.4601,20.16,20.45,1700,0
2016-04-27,17:35:00,20.51,20.6,20.3,20.55,1800,0
2016-04-27,18:05:00,21.19,21.19,21.19,21.19,100,0
2016-04-27,18:20:00,21.2,21.2,21.2,21.2,100,0
2016-04-27,18:40:00,21,21,21,21,100,0
2016-04-27,19:00:00,20.63,20.63,20.63,20.63,100,0
2016-04-27,19:05:00,20.68,20.7,20.68,20.7,400,0
2016-04-27,19:20:00,20.6999,20.6999,20.6999,20.6999,500,0
2016-04-27,19:25:00,20.7,20.7,20.7,20.7,100,0
2016-04-27,19:50:00,20.7,20.7,20.7,20.7,100,0
2016-04-27,20:10:00,20.19,20.19,20.19,20.19,100,0
2016-04-27,21:30:00,20.4,20.5,20.4,20.4,900,0
2016-04-27,21:35:00,20.5,20.5,20.4,20.4,250,0
2016-04-27,21:50:00,20.5,20.5,20.25,20.25,1000,0
2016-04-27,21:55:00,20.15,20.64,20.15,20.24,1000,0
2016-04-27,22:00:00,20.31,20.68,20.19,20.39,2738,0
2016-04-28,15:40:00,20.63,22.5,20.6015,22.5,300,0
2016-04-28,15:55:00,20.61,20.61,20.52,20.52,300,0
2016-04-28,16:05:00,20.51,20.51,20.5,20.5,546,0
2016-04-28,16:35:00,20.74,20.74,20.74,20.74,100,0
2016-04-28,16:45:00,20.66,20.77,20.66,20.77,300,0
2016-04-28,16:50:00,20.16,20.16,20.16,20.16,100,0
2016-04-28,17:10:00,20.97,20.97,20.97,20.97,100,0
2016-04-28,19:15:00,20.74,20.7499,20.74,20.7499,200,0
2016-04-28,19:20:00,20.35,20.36,20.23,20.36,600,0
2016-04-28,19:25:00,20.49,20.49,20.35,20.35,400,0
2016-04-28,19:40:00,20.16,20.16,20.09,20.09,300,0
2016-04-28,20:50:00,20.505,20.505,20.35,20.35,600,0
2016-04-28,21:30:00,20.62,20.62,20.62,20.62,100,0
2016-04-28,21:40:00,20.63,20.63,20.63,20.63,100,0
2016-04-28,21:50:00,20.58,20.58,20.245,20.245,200,0
2016-04-28,21:55:00,20.39,20.395,20.24,20.24,500,0
2016-04-28,22:00:00,20.305,20.58,20.19,20.27,1834,0
2016-04-29,15:35:00,20.54,20.54,20.54,20.54,302,0
2016-04-29,16:20:00,20.68,20.69,20.5,20.5,500,0
2016-04-29,17:15:00,20.25,20.39,20.25,20.39,600,0
2016-04-29,17:20:00,20.21,20.21,20.21,20.21,100,0
2016-04-29,17:25:00,19.8,19.8,19.8,19.8,100,0
2016-04-29,17:40:00,19.77,19.77,19.7601,19.7601,298,0
2016-04-29,18:50:00,19.99,19.99,19.99,19.99,100,0
2016-04-29,19:00:00,19.92,19.9675,19.67,19.67,500,0
2016-04-29,19:05:00,19.6,19.8392,19.6,19.8392,600,0
2016-04-29,19:50:00,19.78,19.78,19.78,19.78,100,0
2016-04-29,19:55:00,19.5,19.5001,19.5,19.5001,200,0
2016-04-29,20:00:00,19.5,19.5,19.5,19.5,100,0
2016-04-29,20:20:00,19.51,19.52,19.51,19.51,300,0
2016-04-29,21:00:00,19.5,19.5,19.5,19.5,100,0
2016-04-29,21:40:00,19.57,19.57,19.57,19.57,100,0
2016-04-29,22:00:00,19.4,19.59,19.4,19.59,2622,0
2016-05-02,15:35:00,19.62,19.62,19.62,19.62,100,0
2016-05-02,16:55:00,19.72,19.72,19.72,19.72,100,0
2016-05-02,17:30:00,19.75,19.75,19.75,19.75,200,0
2016-05-02,18:05:00,19.72,19.72,19.72,19.72,100,0
2016-05-02,18:10:00,19.72,19.72,19.62,19.62,300,0
2016-05-02,18:35:00,19.4,19.4,19.4,19.4,100,0
2016-05-02,19:10:00,19.56,19.56,19.56,19.56,200,0
2016-05-02,20:00:00,19.38,19.38,19.38,19.38,100,0
2016-05-02,20:35:00,19.46,19.66,19.46,19.66,1900,0
2016-05-02,21:00:00,19.4,19.4,19.4,19.4,100,0
2016-05-02,21:05:00,19.64,19.64,19.64,19.64,100,0
2016-05-02,21:10:00,19.51,19.51,19.51,19.51,100,0
2016-05-02,21:25:00,19.41,19.41,19.41,19.41,100,0
2016-05-02,21:30:00,19.505,19.505,19.505,19.505,100,0
2016-05-02,21:45:00,19.4,19.4,19.4,19.4,100,0
2016-05-02,21:55:00,19.42,19.42,19.38,19.38,200,0
2016-05-02,22:00:00,19.5,19.55,19.38,19.47,1783,0
2016-05-03,15:50:00,20.47,20.47,20.47,20.47,100,0
2016-05-03,16:40:00,19.78,19.78,19.69,19.69,600,0
2016-05-03,16:45:00,19.85,19.85,19.55,19.55,1302,0
2016-05-03,16:50:00,19.48,19.67,19.47,19.47,1400,0
2016-05-03,16:55:00,19.44,19.55,19.44,19.52,2611,0
2016-05-03,17:10:00,19.43,19.43,19.38,19.38,200,0
2016-05-03,17:25:00,19.38,19.38,19.38,19.38,200,0
2016-05-03,17:55:00,19.18,19.18,19.18,19.18,100,0
2016-05-03,18:35:00,19.17,19.33,19.17,19.3,500,0
2016-05-03,18:40:00,19.26,19.35,19.26,19.35,200,0
2016-05-03,19:00:00,19.15,19.15,19.15,19.15,100,0
2016-05-03,20:50:00,19.3,19.36,19.3,19.36,400,0
2016-05-03,21:20:00,19.19,19.195,19.19,19.195,200,0
2016-05-03,21:25:00,19.45,19.45,19.325,19.325,300,0
2016-05-03,22:00:00,19.35,19.3999,19.25,19.25,1611,0
2016-05-04,15:45:00,19.8,19.8,19.2005,19.2005,1200,0
2016-05-04,16:10:00,19.29,19.29,19.29,19.29,700,0
2016-05-04,16:30:00,19.3,19.32,19.3,19.32,200,0
2016-05-04,17:50:00,19.19,19.19,19.19,19.19,100,0
2016-05-04,17:55:00,19.3185,19.3185,19.3185,19.3185,400,0
2016-05-04,18:00:00,19.585,19.585,19.585,19.585,100,0
2016-05-04,18:50:00,19.23,19.23,19.18,19.18,300,0
2016-05-04,18:55:00,19.16,19.16,19.15,19.15,200,0
2016-05-04,19:05:00,19.25,19.25,19.25,19.25,100,0
2016-05-04,19:35:00,19.15,19.15,19.15,19.15,100,0
2016-05-04,19:40:00,19.15,19.15,19.15,19.15,100,0
2016-05-04,19:50:00,19.15,19.15,19.11,19.11,700,0
2016-05-04,19:55:00,19.1,19.1,19.1,19.1,100,0
2016-05-04,20:00:00,19.14,19.14,19.1,19.1,2689,0
2016-05-04,20:05:00,19.24,19.24,19.1,19.1,2689,0
2016-05-04,20:30:00,19,19.02,19,19.02,200,0
2016-05-04,20:50:00,19.095,19.095,19.095,19.095,100,0
2016-05-04,21:05:00,19.02,19.02,19.02,19.02,200,0
2016-05-04,21:15:00,19.1113,19.1113,19.1113,19.1113,400,0
2016-05-04,21:20:00,19.03,19.03,19.03,19.03,100,0
