Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,37.37,37.37,37.37,37.37,108,0
2016-06-15,15:50:00,37.53,37.53,37.53,37.53,100,0
2016-06-15,15:55:00,37.55,37.56,37.55,37.56,300,0
2016-06-15,16:25:00,37.55,37.55,37.55,37.55,100,0
2016-06-15,16:30:00,37.64,37.64,37.58,37.63,1082,0
2016-06-15,16:35:00,37.52,37.52,37.52,37.52,100,0
2016-06-15,16:40:00,37.53,37.53,37.53,37.53,208,0
2016-06-15,16:50:00,37.51,37.51,37.51,37.51,100,0
2016-06-15,16:55:00,37.51,37.51,37.51,37.51,100,0
2016-06-15,17:00:00,37.52,37.54,37.47,37.47,25500,0
2016-06-15,17:05:00,37.48,37.48,37.43,37.43,400,0
2016-06-15,17:10:00,37.44,37.49,37.42,37.49,700,0
2016-06-15,17:20:00,37.54,37.54,37.54,37.54,200,0
2016-06-15,17:30:00,37.5,37.5,37.45,37.46,500,0
2016-06-15,17:40:00,37.47,37.47,37.36,37.47,2100,0
2016-06-15,17:45:00,37.39,37.4,37.305,37.305,700,0
2016-06-15,17:50:00,37.3,37.39,37.2601,37.36,1321,0
2016-06-15,17:55:00,37.31,37.31,37.19,37.3,2500,0
2016-06-15,18:00:00,37.3,37.3,37.3,37.3,600,0
2016-06-15,18:05:00,37.33,37.33,37.33,37.33,200,0
2016-06-15,18:10:00,37.3,37.3,37.3,37.3,200,0
2016-06-15,18:15:00,37.26,37.26,37.23,37.23,300,0
2016-06-15,18:25:00,37.23,37.23,37.23,37.23,100,0
2016-06-15,18:30:00,37.2,37.21,37.19,37.1975,500,0
2016-06-15,18:35:00,37.175,37.3,37.175,37.3,2100,0
2016-06-15,18:40:00,37.3,37.32,37.28,37.32,2000,0
2016-06-15,18:50:00,37.3,37.3,37.27,37.27,500,0
2016-06-15,18:55:00,37.28,37.325,37.28,37.32,1700,0
2016-06-15,19:00:00,37.265,37.31,37.265,37.3,500,0
2016-06-15,19:05:00,37.29,37.3,37.28,37.3,700,0
2016-06-15,19:10:00,37.28,37.335,37.28,37.335,3300,0
2016-06-15,19:15:00,37.31,37.31,37.31,37.31,200,0
2016-06-15,19:20:00,37.32,37.34,37.31,37.31,1500,0
2016-06-15,19:25:00,37.35,37.46,37.35,37.4,10806,0
2016-06-15,19:30:00,37.41,37.44,37.2501,37.2501,10350,0
2016-06-15,19:35:00,37.32,37.39,37.27,37.39,3600,0
2016-06-15,19:40:00,37.35,37.39,37.35,37.39,200,0
2016-06-15,19:50:00,37.38,37.38,37.38,37.38,100,0
2016-06-15,19:55:00,37.28,37.29,37.28,37.285,400,0
2016-06-15,20:00:00,37.31,37.31,37.31,37.31,200,0
2016-06-15,20:05:00,37.265,37.265,37.265,37.265,100,0
2016-06-15,20:10:00,37.26,37.31,37.23,37.26,3200,0
2016-06-15,20:15:00,37.24,37.29,37.22,37.255,3200,0
2016-06-15,20:20:00,37.27,37.3,37.26,37.3,1400,0
2016-06-15,20:25:00,37.28,37.3,37.25,37.28,2000,0
