Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-11,17:15:00,0.68,0.68,0.68,0.68,1443,0
2015-12-11,18:05:00,0.7,0.7,0.7,0.7,557,0
2015-12-11,19:40:00,0.7,0.7,0.7,0.7,1000,0
2015-12-11,20:20:00,0.76,0.76,0.76,0.76,1100,0
2015-12-11,20:25:00,0.76,0.76,0.76,0.76,300,0
2015-12-14,21:05:00,0.76,0.76,0.76,0.76,3000,0
2015-12-14,21:15:00,1,1,1,1,416,0
2015-12-14,21:20:00,0.7885,0.7885,0.7885,0.7885,184,0
2015-12-14,21:50:00,0.86,0.86,0.86,0.86,100,0
2015-12-15,16:20:00,0.88,0.88,0.88,0.88,763,0
2015-12-15,17:55:00,1,1,1,1,2037,0
2015-12-15,19:10:00,0.9815,1,0.9815,1,9900,0
2015-12-15,20:10:00,1,1,1,1,3000,0
2015-12-16,16:00:00,1,1,1,1,2000,0
2015-12-16,17:25:00,0.5,0.5,0.5,0.5,1500,0
2015-12-17,15:50:00,0.75,0.75,0.75,0.75,500,0
2015-12-17,16:00:00,0.77,0.77,0.77,0.77,500,0
2015-12-17,17:00:00,0.77,0.77,0.77,0.77,1500,0
2015-12-17,17:05:00,0.8,0.8,0.75,0.77,1500,0
2015-12-17,17:50:00,0.8,0.8,0.8,0.8,100,0
2015-12-17,18:55:00,0.77,0.77,0.77,0.77,100,0
2015-12-17,21:00:00,0.75,0.75,0.75,0.75,700,0
2015-12-17,21:10:00,0.75,0.75,0.75,0.75,500,0
2015-12-17,22:00:00,0.75,0.75,0.75,0.75,826,0
2015-12-18,15:35:00,1.2,1.2,1.2,1.2,100,0
2015-12-18,15:40:00,1.15,1.15,1.15,1.15,200,0
2015-12-18,16:00:00,1.19,1.19,1.15,1.15,400,0
2015-12-18,16:25:00,0.97,1,0.97,1,600,0
2015-12-18,16:45:00,1,1,1,1,500,0
2015-12-18,17:15:00,1,1,1,1,500,0
2015-12-18,17:40:00,1,1,1,1,500,0
2015-12-18,18:15:00,1,1,1,1,500,0
2015-12-18,18:45:00,1,1,1,1,400,0
2015-12-18,19:20:00,1,1,1,1,100,0
2015-12-18,19:25:00,1.2,1.2,1.2,1.2,400,0
2015-12-18,19:50:00,1.17,1.17,1.17,1.17,250,0
2015-12-18,20:15:00,1.17,1.17,1.17,1.17,300,0
2015-12-18,20:35:00,1.17,1.17,1.17,1.17,300,0
2015-12-18,20:45:00,1.17,1.17,1.17,1.17,100,0
2015-12-18,20:55:00,1.17,1.17,1.17,1.17,200,0
2015-12-18,21:05:00,1.17,1.17,1.17,1.17,200,0
2015-12-18,21:15:00,1,1,1,1,2000,0
2015-12-18,21:20:00,1,1,0.76,0.76,400,0
2015-12-18,21:50:00,1.16,1.16,1.16,1.16,726,0
2015-12-18,21:55:00,1.17,1.17,1.16,1.16,200,0
2015-12-18,22:00:00,1.16,1.16,1.14,1.14,200,0
2015-12-24,16:10:00,1.2,1.2,1.2,1.2,300,0
2015-12-24,16:20:00,1.2,1.2,1.2,1.2,161,0
2015-12-24,18:30:00,1.56,1.98,1.56,1.98,400,0
2015-12-24,18:35:00,1.98,1.98,1.98,1.98,100,0
2015-12-24,18:45:00,1.5,1.5,1.5,1.5,100,0
2015-12-24,18:50:00,1.5,1.5,1.5,1.5,100,0
2015-12-24,19:00:00,1.5,1.5,1.5,1.5,126,0
2015-12-28,16:15:00,0.85,0.85,0.85,0.85,150,0
2015-12-28,21:30:00,0.88,0.88,0.86,0.86,500,0
2015-12-29,19:10:00,1.098,1.098,1.098,1.098,1500,0
2015-12-30,18:15:00,1.2,1.2,1.2,1.2,100,0
2015-12-30,19:35:00,1.5,1.5,1.5,1.5,3800,0
2015-12-30,21:25:00,1.25,1.25,1.2382,1.2382,4000,0
2015-12-30,21:40:00,1.25,1.25,1.25,1.25,2000,0
2015-12-31,20:35:00,1.01,1.01,1,1,500,0
2015-12-31,21:55:00,1,1,1,1,150,0
2016-01-05,17:20:00,0.55,0.55,0.55,0.55,400,0
2016-01-06,21:55:00,0.998,0.998,0.8965,0.8965,4550,0
2016-01-07,16:35:00,0.9,0.9,0.9,0.9,2000,0
2016-01-07,16:40:00,0.8002,0.8002,0.8002,0.8002,500,0
2016-01-07,21:40:00,0.81,0.81,0.81,0.81,1000,0
2016-01-08,15:35:00,1.98,1.98,1.98,1.98,100,0
2016-01-08,15:40:00,1.25,1.25,1.25,1.25,100,0
2016-01-08,15:45:00,1.25,1.25,1.25,1.25,100,0
2016-01-08,16:10:00,1.11,1.11,1.11,1.11,300,0
2016-01-08,16:25:00,1.1,1.19,1.1,1.19,450,0
2016-01-08,16:45:00,1.25,1.25,1.25,1.25,500,0
2016-01-08,17:20:00,1.25,1.25,1.25,1.25,500,0
2016-01-08,17:50:00,1.2,1.25,1.2,1.25,4300,0
2016-01-08,18:10:00,1.25,1.25,1.25,1.25,4000,0
2016-01-08,18:40:00,1.25,1.25,1.25,1.25,400,0
2016-01-08,19:15:00,1.25,1.25,1.25,1.25,300,0
2016-01-08,19:35:00,1.0124,1.0124,1.0124,1.0124,500,0
2016-01-08,19:50:00,1.05,1.1306,1.05,1.1306,500,0
2016-01-08,20:05:00,1.25,1.25,1.25,1.25,300,0
2016-01-08,20:30:00,1.24,1.24,1.24,1.24,300,0
2016-01-08,20:50:00,1.24,1.24,1.24,1.24,300,0
2016-01-08,21:00:00,1.24,1.24,1.24,1.24,200,0
2016-01-08,21:10:00,1.24,1.24,1.24,1.24,200,0
2016-01-08,21:20:00,1.24,1.24,1.24,1.24,200,0
2016-01-08,21:30:00,1.24,1.24,1.24,1.24,300,0
2016-01-08,21:35:00,1.1,1.1,1.1,1.1,300,0
2016-01-08,21:40:00,1.1,1.1,1.1,1.1,200,0
2016-01-08,21:45:00,1.1,1.1,1.1,1.1,100,0
2016-01-08,21:50:00,1.1,1.1,1.1,1.1,200,0
2016-01-08,21:55:00,1.1,1.24,1.1,1.24,200,0
2016-01-08,22:00:00,1.05,1.24,1.05,1.24,1300,0
2016-01-11,15:35:00,1.75,1.75,1.75,1.75,400,0
2016-01-12,15:35:00,1.2,1.2,1.2,1.2,100,0
2016-01-12,18:30:00,0.95,0.95,0.95,0.95,100,0
2016-01-20,16:00:00,1.05,1.05,1.05,1.05,100,0
2016-01-20,16:05:00,0.9999,1,0.98,0.98,500,0
2016-01-20,16:10:00,0.99,1.05,0.99,1.05,600,0
2016-01-20,16:15:00,1.02,1.02,1.02,1.02,600,0
2016-01-20,16:25:00,1.03,1.03,1.03,1.03,100,0
2016-01-20,16:35:00,0.7426,0.8599,0.7426,0.8599,600,0
2016-01-20,16:40:00,0.8599,0.8599,0.8599,0.8599,100,0
2016-01-20,16:45:00,0.8199,0.8199,0.8199,0.8199,500,0
2016-01-20,16:50:00,0.8199,0.8199,0.8199,0.8199,400,0
2016-01-20,16:55:00,0.82,0.88,0.781,0.85,1800,0
2016-01-20,17:00:00,0.85,0.91,0.85,0.91,1000,0
2016-01-20,17:05:00,1,1.11,1,1.11,1700,0
2016-01-20,17:10:00,1.21,1.25,1.16,1.1601,3800,0
2016-01-20,17:15:00,0.98,0.98,0.98,0.98,400,0
2016-01-20,17:25:00,0.89,0.89,0.78,0.8,400,0
2016-01-20,17:35:00,0.8,0.8,0.8,0.8,200,0
2016-01-20,17:45:00,0.78,0.8499,0.78,0.8,1200,0
2016-01-20,17:50:00,0.8,0.8,0.8,0.8,100,0
2016-01-20,18:00:00,0.8,0.8,0.8,0.8,100,0
2016-01-20,18:05:00,0.76,0.76,0.76,0.76,100,0
2016-01-20,18:10:00,0.8199,0.8199,0.8199,0.8199,500,0
2016-01-20,18:15:00,0.82,0.82,0.82,0.82,100,0
2016-01-20,18:25:00,0.83,0.83,0.83,0.83,100,0
2016-01-20,18:35:00,0.83,0.83,0.75,0.75,200,0
2016-01-20,18:40:00,0.8299,0.8299,0.8299,0.8299,200,0
2016-01-20,18:55:00,0.8299,0.8299,0.8299,0.8299,200,0
2016-01-20,19:00:00,0.8299,0.8299,0.8299,0.8299,200,0
2016-01-20,19:05:00,0.8299,0.83,0.8299,0.83,200,0
2016-01-20,19:35:00,0.83,0.88,0.83,0.88,900,0
2016-01-20,19:40:00,0.86,1,0.86,1,4750,0
2016-01-20,19:45:00,0.95,0.95,0.95,0.95,2300,0
2016-01-20,19:50:00,1.04,1.04,1.04,1.04,400,0
2016-01-20,19:55:00,1.13,1.13,1.13,1.13,100,0
2016-01-20,20:05:00,1.2,1.25,1.2,1.25,2900,0
2016-01-20,20:10:00,1.21,1.25,1.15,1.25,2100,0
2016-01-20,20:15:00,1.1501,1.25,1.07,1.15,5900,0
2016-01-20,20:20:00,1.07,1.07,1,1.002,1800,0
2016-01-20,20:25:00,1,1.1,1,1.0001,2000,0
2016-01-20,20:30:00,1.05,1.05,0.994,0.994,1600,0
2016-01-20,20:35:00,0.98,1.02,0.9501,0.9501,1852,0
2016-01-29,21:25:00,1.0062,1.0062,1.0062,1.0062,100,0
2016-02-04,19:55:00,0.7043,0.73,0.7043,0.73,3800,0
2016-02-05,21:55:00,0.7,0.7,0.7,0.7,100,0
2016-02-11,19:55:00,0.6,0.6,0.6,0.6,300,0
2016-02-11,21:20:00,0.6,0.6,0.6,0.6,675,0
2016-02-11,22:00:00,0.6939,0.6939,0.6939,0.6939,400,0
