Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,64.93,65.08,64.93,65.08,1242,0
2016-06-16,15:45:00,64.53,64.6799,64.53,64.56,738,0
2016-06-16,15:50:00,64.5,64.56,64.5,64.56,400,0
2016-06-16,15:55:00,64.54,64.54,64.42,64.52,1025,0
2016-06-16,16:00:00,64.45,64.5,64.37,64.42,1600,0
2016-06-16,16:05:00,64.4,64.43,64.35,64.39,1000,0
2016-06-16,16:10:00,64.43,64.47,64.37,64.44,1000,0
2016-06-16,16:15:00,64.44,64.59,64.44,64.58,1500,0
2016-06-16,16:20:00,64.57,64.66,64.56,64.64,1000,0
2016-06-16,16:25:00,64.65,64.65,64.37,64.37,3531,0
2016-06-16,16:30:00,64.39,64.45,64.35,64.43,1600,0
2016-06-16,16:35:00,64.45,64.45,64.34,64.35,2800,0
2016-06-16,16:40:00,64.34,64.35,64.1801,64.25,3800,0
2016-06-16,16:45:00,64.24,64.3143,64.24,64.275,1626,0
2016-06-16,16:50:00,64.32,64.46,64.32,64.45,1600,0
2016-06-16,16:55:00,64.455,64.46,64.4,64.46,2000,0
2016-06-16,17:00:00,64.49,64.54,64.45,64.54,900,0
2016-06-16,17:05:00,64.54,64.6,64.52,64.545,3300,0
2016-06-16,17:10:00,64.58,64.61,64.58,64.61,1200,0
2016-06-16,17:15:00,64.5945,64.69,64.5945,64.63,2708,0
2016-06-16,17:20:00,64.63,64.63,64.525,64.57,1689,0
2016-06-16,17:25:00,64.55,64.71,64.55,64.71,1300,0
2016-06-16,17:30:00,64.73,64.89,64.73,64.81,3350,0
2016-06-16,17:35:00,64.77,64.78,64.73,64.78,1600,0
2016-06-16,17:40:00,64.78,64.86,64.78,64.8,1400,0
2016-06-16,17:45:00,64.83,64.87,64.81,64.835,1600,0
2016-06-16,17:50:00,64.83,64.83,64.7854,64.83,1705,0
2016-06-16,17:55:00,64.8,64.8,64.73,64.74,1300,0
2016-06-16,18:00:00,64.74,64.78,64.7,64.765,1100,0
2016-06-16,18:05:00,64.755,64.79,64.75,64.79,700,0
2016-06-16,18:10:00,64.79,64.83,64.75,64.83,2646,0
2016-06-16,18:15:00,64.81,64.89,64.81,64.89,1100,0
2016-06-16,18:20:00,64.89,64.94,64.89,64.91,2721,0
2016-06-16,18:25:00,64.94,65.09,64.94,65.07,2700,0
2016-06-16,18:30:00,65.04,65.12,65.04,65.06,1900,0
2016-06-16,18:35:00,65.03,65.04,65,65.04,1236,0
2016-06-16,18:40:00,65.07,65.13,65.05,65.13,2469,0
2016-06-16,18:45:00,65.13,65.29,65.12,65.27,2700,0
2016-06-16,18:50:00,65.27,65.27,65.18,65.2,1643,0
2016-06-16,18:55:00,65.19,65.23,65.13,65.21,2700,0
2016-06-16,19:00:00,65.194,65.2,65.194,65.2,881,0
2016-06-16,19:05:00,65.21,65.315,65.2,65.27,2300,0
2016-06-16,19:10:00,65.2705,65.36,65.23,65.305,2100,0
2016-06-16,19:15:00,65.3,65.33,65.26,65.315,2500,0
2016-06-16,19:20:00,65.32,65.39,65.28,65.39,1446,0
2016-06-16,19:25:00,65.37,65.39,65.34,65.375,2164,0
2016-06-16,19:30:00,65.39,65.39,65.32,65.32,1200,0
2016-06-16,19:35:00,65.31,65.31,65.1436,65.1436,1614,0
2016-06-16,19:40:00,65.14,65.17,65.13,65.165,2000,0
2016-06-16,19:45:00,65.165,65.19,65.15,65.18,1333,0
2016-06-16,19:50:00,65.17,65.17,65.02,65.03,2100,0
2016-06-16,19:55:00,65.03,65.03,64.98,64.98,1900,0
2016-06-16,20:00:00,65.02,65.02,64.97,64.97,1300,0
2016-06-16,20:05:00,64.99,65.03,64.97,65.03,1300,0
2016-06-16,20:10:00,65.065,65.12,65.03,65.11,3276,0
2016-06-16,20:15:00,65.14,65.26,65.13,65.25,2500,0
2016-06-16,20:20:00,65.25,65.39,65.25,65.39,4500,0
2016-06-16,20:25:00,65.39,65.4,65.34,65.395,4800,0
2016-06-16,20:30:00,65.36,65.38,65.33,65.38,2753,0
2016-06-16,20:35:00,65.41,65.45,65.36,65.37,3200,0
2016-06-16,20:40:00,65.38,65.419,65.36,65.36,4800,0
2016-06-16,20:45:00,65.35,65.37,65.35,65.35,1143,0
2016-06-16,20:50:00,65.35,65.35,65.33,65.35,900,0
2016-06-16,20:55:00,65.38,65.54,65.38,65.54,1900,0
2016-06-16,21:00:00,65.52,65.52,65.43,65.45,1824,0
2016-06-16,21:05:00,65.44,65.49,65.44,65.49,1400,0
2016-06-16,21:10:00,65.47,65.47,65.4,65.45,4214,0
2016-06-16,21:15:00,65.45,65.4744,65.45,65.47,705,0
2016-06-16,21:20:00,65.47,65.52,65.43,65.46,3400,0
2016-06-16,21:25:00,65.42,65.56,65.42,65.56,3096,0
2016-06-16,21:30:00,65.56,65.58,65.51,65.55,3569,0
2016-06-16,21:35:00,65.58,65.58,65.54,65.57,3236,0
2016-06-16,21:40:00,65.57,65.57,65.46,65.52,4210,0
2016-06-16,21:45:00,65.52,65.58,65.52,65.57,2700,0
2016-06-16,21:50:00,65.56,65.56,65.45,65.5383,5183,0
2016-06-16,21:55:00,65.51,65.51,65.35,65.37,6500,0
2016-06-16,22:00:00,65.37,65.44,65.34,65.36,38331,0
2016-06-17,15:35:00,65.47,65.75,65.13,65.75,53234,0
2016-06-17,15:40:00,65.22,65.6,65.22,65.38,700,0
2016-06-17,15:45:00,65.26,65.47,65.26,65.43,1600,0
2016-06-17,15:50:00,65.38,65.63,65.38,65.63,1400,0
2016-06-17,15:55:00,65.55,65.64,65.51,65.56,1100,0
2016-06-17,16:00:00,65.6,65.6,65.43,65.43,400,0
2016-06-17,16:05:00,65.54,65.68,65.54,65.655,1400,0
2016-06-17,16:10:00,65.63,65.7,65.595,65.595,1500,0
2016-06-17,16:15:00,65.58,65.66,65.54,65.66,1553,0
2016-06-17,16:20:00,65.69,65.69,65.65,65.67,600,0
2016-06-17,16:25:00,65.64,65.64,65.46,65.46,1900,0
2016-06-17,16:30:00,65.44,65.56,65.41,65.41,2123,0
2016-06-17,16:35:00,65.38,65.38,65.26,65.37,1300,0
2016-06-17,16:40:00,65.37,65.41,65.32,65.41,1400,0
2016-06-17,16:45:00,65.36,65.3789,65.34,65.34,775,0
2016-06-17,16:50:00,65.37,65.58,65.36,65.39,5200,0
2016-06-17,16:55:00,65.41,65.44,65.37,65.42,2800,0
2016-06-17,17:00:00,65.45,65.49,65.42,65.454,1111,0
2016-06-17,17:05:00,65.53,65.53,65.28,65.34,1500,0
2016-06-17,17:10:00,65.3,65.36,65.3,65.36,1000,0
2016-06-17,17:15:00,65.36,65.36,65.21,65.3,1300,0
2016-06-17,17:20:00,65.3,65.34,65.25,65.25,1400,0
2016-06-17,17:25:00,65.31,65.31,65.24,65.3,1377,0
