Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,26.85,26.85,26.85,26.85,2706,0
2016-06-15,15:40:00,26.845,26.845,26.69,26.79,5000,0
2016-06-15,15:45:00,26.81,26.93,26.75,26.75,3002,0
2016-06-15,15:50:00,26.84,26.92,26.81,26.82,700,0
2016-06-15,15:55:00,26.86,26.9,26.77,26.9,2544,0
2016-06-15,16:00:00,26.9,26.9,26.9,26.9,200,0
2016-06-15,16:25:00,26.93,27.02,26.93,27,3100,0
2016-06-15,16:30:00,26.98,26.98,26.98,26.98,100,0
2016-06-15,16:35:00,26.99,27.04,26.99,27.03,3376,0
2016-06-15,16:40:00,27.07,27.12,27.06,27.08,800,0
2016-06-15,16:45:00,27.05,27.09,27.05,27.08,700,0
2016-06-15,16:50:00,27.09,27.1,27.07,27.1,700,0
2016-06-15,16:55:00,27.11,27.18,27.11,27.14,4150,0
2016-06-15,17:00:00,27.15,27.15,27.08,27.08,800,0
2016-06-15,17:05:00,27.08,27.1,27.08,27.1,1100,0
2016-06-15,17:10:00,27.1,27.17,27.1,27.17,800,0
2016-06-15,17:15:00,27.16,27.18,27.16,27.18,400,0
2016-06-15,17:20:00,27.18,27.18,27.14,27.14,863,0
2016-06-15,17:25:00,27.11,27.11,27.05,27.05,1263,0
2016-06-15,17:30:00,27.03,27.03,26.96,26.96,1813,0
2016-06-15,17:35:00,26.961,26.9687,26.9,26.92,2472,0
2016-06-15,17:40:00,26.91,26.97,26.91,26.96,1600,0
2016-06-15,17:45:00,26.96,27,26.96,27,300,0
2016-06-15,17:50:00,27.01,27.06,27.01,27.06,600,0
2016-06-15,17:55:00,27.06,27.08,27.06,27.0725,400,0
2016-06-15,18:00:00,27.11,27.16,27.11,27.16,1600,0
2016-06-15,18:05:00,27.15,27.17,27.15,27.15,600,0
2016-06-15,18:10:00,27.15,27.18,27.15,27.18,1915,0
2016-06-15,18:15:00,27.18,27.2099,27.18,27.18,600,0
2016-06-15,18:20:00,27.21,27.22,27.19,27.195,900,0
2016-06-15,18:25:00,27.18,27.2,27.18,27.18,2100,0
2016-06-15,18:30:00,27.2,27.2,27.18,27.18,1300,0
2016-06-15,18:35:00,27.18,27.195,27.18,27.195,400,0
2016-06-15,18:40:00,27.18,27.19,27.18,27.19,500,0
2016-06-15,18:45:00,27.21,27.21,27.2,27.2,400,0
2016-06-15,18:50:00,27.215,27.25,27.215,27.25,13300,0
2016-06-15,18:55:00,27.24,27.25,27.22,27.23,1900,0
2016-06-15,19:00:00,27.23,27.26,27.23,27.26,1100,0
2016-06-15,19:05:00,27.2794,27.32,27.275,27.32,3006,0
2016-06-15,19:10:00,27.32,27.32,27.28,27.29,1400,0
2016-06-15,19:15:00,27.3,27.37,27.3,27.37,1500,0
2016-06-15,19:20:00,27.38,27.42,27.38,27.41,995,0
2016-06-15,19:25:00,27.42,27.43,27.42,27.43,800,0
2016-06-15,19:30:00,27.42,27.43,27.41,27.43,2111,0
2016-06-15,19:35:00,27.425,27.44,27.41,27.44,700,0
2016-06-15,19:40:00,27.44,27.46,27.43,27.46,500,0
2016-06-15,19:45:00,27.44,27.45,27.4248,27.45,625,0
2016-06-15,19:50:00,27.455,27.455,27.455,27.455,400,0
2016-06-15,19:55:00,27.4,27.43,27.39,27.39,993,0
2016-06-15,20:00:00,27.38,27.39,27.37,27.39,486,0
2016-06-15,20:05:00,27.4,27.43,27.1,27.14,4300,0
2016-06-15,20:10:00,27.12,27.12,26.95,26.96,5636,0
2016-06-15,20:15:00,26.97,27.03,26.95,26.96,5000,0
2016-06-15,20:20:00,27.04,27.08,26.99,27.03,8500,0
2016-06-15,20:25:00,27.04,27.09,27,27.06,7420,0
2016-06-15,20:30:00,27.07,27.1,27,27,3199,0
2016-06-15,20:35:00,27,27.05,26.97,27.05,2065,0
2016-06-15,20:40:00,27.1,27.1,27.08,27.08,300,0
2016-06-15,20:45:00,27.06,27.14,27.06,27.1,1400,0
2016-06-15,20:50:00,27.125,27.17,27.11,27.14,2000,0
2016-06-15,20:55:00,27.14,27.18,27.11,27.11,1500,0
2016-06-15,21:00:00,27.12,27.185,27.12,27.17,1700,0
2016-06-15,21:05:00,27.23,27.27,27.2,27.23,1600,0
2016-06-15,21:10:00,27.22,27.31,27.22,27.25,1952,0
