Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-11,15:35:00,9.69,9.69,9.69,9.69,155,0
2016-04-11,15:40:00,9.94,9.94,9.94,9.94,200,0
2016-04-11,15:45:00,9.836,9.836,9.836,9.836,136,0
2016-04-11,16:20:00,9.6701,9.6701,9.67,9.67,900,0
2016-04-11,16:30:00,9.71,9.72,9.7,9.7,450,0
2016-04-11,16:45:00,9.68,9.68,9.68,9.68,100,0
2016-04-11,16:50:00,9.7,9.7,9.7,9.7,300,0
2016-04-11,17:00:00,9.7,9.7,9.7,9.7,200,0
2016-04-11,17:05:00,9.7,9.7,9.7,9.7,100,0
2016-04-11,17:35:00,9.7099,9.7099,9.7099,9.7099,163,0
2016-04-11,17:55:00,9.69,9.69,9.69,9.69,100,0
2016-04-11,18:15:00,9.65,9.65,9.6,9.6,3535,0
2016-04-11,18:40:00,9.52,9.52,9.52,9.52,600,0
2016-04-11,18:55:00,9.61,9.61,9.56,9.56,300,0
2016-04-11,19:30:00,9.6,9.6,9.56,9.56,200,0
2016-04-11,19:50:00,9.61,9.61,9.6,9.6,300,0
2016-04-11,20:10:00,9.57,9.57,9.57,9.57,300,0
2016-04-11,20:40:00,9.57,9.62,9.57,9.62,300,0
2016-04-11,20:50:00,9.65,9.65,9.65,9.65,100,0
2016-04-11,21:00:00,9.6,9.6,9.6,9.6,100,0
2016-04-11,21:25:00,9.64,9.64,9.6,9.6,600,0
2016-04-11,21:30:00,9.6,9.6,9.59,9.59,600,0
2016-04-11,21:35:00,9.53,9.53,9.53,9.53,100,0
2016-04-11,21:55:00,9.52,9.52,9.52,9.52,100,0
2016-04-11,22:00:00,9.55,9.55,9.51,9.51,637,0
2016-04-12,15:35:00,9.64,9.64,9.64,9.64,601,0
2016-04-12,15:55:00,9.7232,9.7232,9.7232,9.7232,250,0
2016-04-12,16:00:00,9.66,9.66,9.5715,9.5715,890,0
2016-04-12,16:35:00,9.62,9.63,9.62,9.63,200,0
